GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",25170029,25710165,26409297,26495670,26442192,26528681,26904133,27308641,27713156,28252113,28370900,27759118,27763164,28281830,28579112,28989257,29462145,29957634,30374610,30686992,31232945,31352042,29683844,30703682,32219083
 "92000","Mideast",2,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",21556532,21990402,22477345,22448117,22302450,22207480,22348621,22534615,22761401,22959777,22983924,22247126,22191220,22383095,22644644,22865737,23162238,23487656,23780450,24044661,24371937,24627613,22584998,23209298,24187992
 "92000","Mideast",2,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",3613497,3719763,3931952,4047553,4139742,4321201,4555512,4774026,4951755,5292336,5386976,5511992,5571944,5898735,5934468,6123520,6299907,6469978,6594160,6642331,6861008,6724429,7098846,7494384,8031091
 "92000","Mideast",2,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",126439,125413,124781,123120,117995,113187,109143,107909,104694,110558,109737,108634,108327,107826,105948,106514,105059,103761,102959,101356,101430,99310,99824,99767,99767
 "92000","Mideast",2,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",3487058,3594350,3807171,3924433,4021747,4208014,4446369,4666117,4847061,5181778,5277239,5403358,5463617,5790909,5828520,6017006,6194848,6366217,6491201,6540975,6759578,6625119,6999022,7394617,7931324
 "92000","Mideast",2,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",179457,182603,188424,185433,180564,171019,162655,160279,157405,161497,158564,155931,158358,159528,167786,167886,166528,166714,172771,170468,162756,157123,151277,159040,157171
 "92000","Mideast",2,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",24990572,25527562,26220873,26310237,26261628,26357662,26741478,27148362,27555751,28090616,28212336,27603187,27604806,28122302,28411326,28821371,29295617,29790920,30201839,30516524,31070189,31194919,29532567,30544642,32061912
 "92000","Mideast",2,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",21379457,21891132,22524480,22590013,22459880,22542592,22931277,23322922,23724891,24245035,24327741,23700090,23700822,24301038,24637517,25059669,25550199,26060843,26462158,26771210,27290697,27401954,25836978,26878415,28379812
 "92000","Mideast",2,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",46316,45469,43181,41160,(D),(D),41977,43395,43489,44508,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),46517,(D),(D)
 "92000","Mideast",2,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",10602,11169,9911,9778,(D),(D),9091,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7591
 "92000","Mideast",2,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",8487,8070,7871,6722,7845,(D),6998,(D),(D),(D),6766,(D),(D),(D),6231,(D),(D),(D),(D),(D),(D),(D),(D),(D),6604
 "92000","Mideast",2,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",27227,26230,25399,24660,27694,25389,25888,26113,26197,28111,29402,29697,30615,30429,30249,30110,33049,30804,32039,33010,33555,31631,31813,(D),(D)
 "92000","Mideast",2,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",44499,43461,41521,43571,(D),(D),41234,42604,46200,51626,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),51946,51583,53760
 "92000","Mideast",2,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",12409,12349,11367,12701,(D),(D),(D),13098,(D),(D),(D),(D),29623,(D),(D),37602,(D),(D),35993,(D),20911,(D),(D),(D),19258
 "92000","Mideast",2,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",28853,27882,26740,(D),24274,(D),(D),24235,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
