GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",5383530,5485654,5621494,5526201,5466125,5441678,5467547,5491717,5457438,5457366,5337592,5046457,5038098,5165197,5234356,5323127,5412068,5501527,5575793,5631139,5715122,5713233,5387741,5601637,5864009
 "26000","Michigan",3,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",4607674,4698703,4781618,4668086,4584879,4515443,4496332,4480356,4418176,4363079,4245469,3944281,3936505,4026033,4101129,4179234,4254531,4327941,4403956,4447429,4499803,4519645,4121761,4281508,4454417
 "26000","Michigan",3,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",775856,786951,839876,858115,881246,926235,971215,1011361,1039262,1094287,1092123,1102176,1101593,1139164,1133227,1143893,1157537,1173586,1171837,1183710,1215319,1193588,1265980,1320129,1409592
 "26000","Michigan",3,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",53631,54358,53423,54199,52106,50264,48792,48264,47085,49202,47686,46948,46869,46484,45621,45422,44580,44067,43271,42136,41751,41065,40738,40288,38801
 "26000","Michigan",3,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",722225,732593,786453,803916,829140,875971,922423,963097,992177,1045085,1044437,1055228,1054724,1092680,1087606,1098471,1112957,1129519,1128566,1141574,1173568,1152523,1225242,1279841,1370791
 "26000","Michigan",3,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",72875,75273,73645,73091,69650,69512,69568,67440,65059,70402,65251,64682,63240,70015,65906,67329,67561,69267,67159,61565,63811,63732,60815,60119,61897
 "26000","Michigan",3,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",5310655,5410381,5547849,5453110,5396475,5372166,5397979,5424277,5392379,5386964,5272341,4981775,4974858,5095182,5168450,5255798,5344507,5432260,5508634,5569574,5651311,5649501,5326926,5541518,5802112
 "26000","Michigan",3,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",4645236,4736066,4849596,4754342,4694264,4673579,4704586,4734873,4712984,4712880,4608548,4321934,4323327,4463785,4548670,4644951,4738071,4827469,4898550,4958177,5036367,5031339,4737085,4955975,5204203
 "26000","Michigan",3,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",14769,14364,13705,13724,14017,12865,13967,14626,13978,14566,15069,14874,15086,15417,16230,16414,17613,16811,17015,16912,17315,16909,16956,17444,18229
 "26000","Michigan",3,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",4575,4650,4271,4302,4189,3862,4131,4450,4248,4105,4186,3727,3498,3731,4422,4486,4414,4747,4739,4308,4391,4327,4095,3969,4015
