GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "29000","Missouri",4,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",3385244,3422953,3470846,3451902,3437481,3444525,3478540,3533298,3586439,3636196,3625622,3522642,3475274,3506549,3528185,3565833,3597160,3655817,3700543,3735873,3777370,3779459,3692620,3796384,3934395
 "29000","Missouri",4,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",2781777,2823700,2854724,2831268,2810274,2801068,2811744,2839409,2877033,2893376,2890123,2779351,2739175,2744988,2776689,2808724,2834949,2887003,2925031,2951186,2971443,2998939,2858071,2916922,2997480
 "29000","Missouri",4,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",603467,599253,616122,620634,627207,643457,666796,693889,709406,742820,735499,743291,736099,761561,751496,757109,762211,768814,775512,784687,805927,780520,834549,879462,936915
 "29000","Missouri",4,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",114700,114136,113104,111581,105730,101400,98668,97237,94909,96466,95448,94323,93508,92374,90260,90733,89352,88364,88012,87225,87702,86844,86354,86388,86398
 "29000","Missouri",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",488767,485117,503018,509053,521477,542057,568128,596652,614497,646354,640051,648968,642591,669187,661236,666376,672859,680450,687500,697462,718225,693676,748195,793074,850517
 "29000","Missouri",4,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",127172,124303,124097,122590,116521,111174,106865,106656,103920,104187,104343,102576,102337,101211,99353,99399,96483,98335,98263,94468,95074,95542,96287,94249,93207
 "29000","Missouri",4,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",3258072,3298650,3346749,3329312,3320960,3333351,3371675,3426642,3482519,3532009,3521279,3420066,3372937,3405338,3428832,3466434,3500677,3557482,3602280,3641405,3682296,3683917,3596333,3702135,3841188
 "29000","Missouri",4,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",2811701,2841343,2877014,2859017,2848160,2857958,2896302,2950913,3002768,3046011,3027248,2920522,2881738,2924105,2952376,2990544,3027638,3086506,3131586,3168840,3210289,3209916,3135620,3248409,3390809
 "29000","Missouri",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",11896,11445,10753,10588,11838,10784,11289,11563,11283,11511,11845,11845,12157,12514,13069,13146,13681,13008,13327,13600,14240,13946,14374,14463,14994
 "29000","Missouri",4,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",2270,2395,1981,(D),1954,1757,1890,2227,2113,2118,2128,1857,1634,1837,2264,2293,2175,2408,2431,2091,2124,2077,2132,1975,1884
 "29000","Missouri",4,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),(D),891,717,854,933,929,895,883,846,823,802,807,847,874,801,853,804,890,977,919,906,895
 "29000","Missouri",4,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",8643,8150,7903,7894,8993,8310,8545,8403,8241,8498,8834,9142,9700,9875,9998,10006,10632,9799,10043,10705,11226,10892,11323,11582,12215
 "29000","Missouri",4,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",6971,7174,6994,6876,6284,6792,6725,7378,7164,7711,8685,7852,8628,7958,9660,9829,9230,9564,9928,8809,7459,7012,7247,7592,7921
 "29000","Missouri",4,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",(T),(T),(T),1765,1531,1897,1671,1946,1991,1999,3077,3070,3813,3116,4104,4690,4451,4589,4874,3295,2380,2123,2161,2495,2633
 "29000","Missouri",4,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",4998,5217,5215,5004,4525,4625,4721,5061,4722,4876,4707,4393,4429,4443,5029,4706,4337,4518,4634,5004,4651,4468,4688,4717,4893
 "29000","Missouri",4,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",(T),251,(T),107,228,270,333,371,451,836,901,389,386,399,527,433,442,457,420,510,428,421,398,380,395
 "29000","Missouri",4,SAEMP25N,300,"22","   Utilities ","Number of jobs",12621,12491,12708,12976,12903,12279,12142,12164,12344,12749,12869,13033,13019,12649,12492,12459,12344,12429,12605,12216,12231,12368,12253,12178,12203
 "29000","Missouri",4,SAEMP25N,400,"23","   Construction ","Number of jobs",191423,200216,203819,207583,204222,209493,216639,226009,232270,232288,220869,195775,177981,174942,177019,179327,180895,182808,192179,194394,194211,196736,203684,206072,216462
 "29000","Missouri",4,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",45284,48599,48978,49121,49339,47876,50251,53053,54971,53659,50692,44019,39379,36876,38519,38958,39902,43142,44214,44114,45054,44825,46920,47518,50017
 "29000","Missouri",4,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",18554,19684,20608,21210,20827,20535,20150,20222,20921,21525,21276,20807,18305,17484,17701,18011,18269,17682,18546,18742,18724,19403,20791,21201,22489
 "29000","Missouri",4,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",127585,131933,134233,137252,134056,141082,146238,152734,156378,157104,148901,130949,120297,120582,120799,122358,122724,121984,129419,131538,130433,132508,135973,137353,143956
 "29000","Missouri",4,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",386154,380534,373084,350953,332414,320096,321699,318931,317956,312227,300208,267535,254415,258536,261080,266365,268874,274754,277834,280361,286990,289852,279638,283585,295203
 "29000","Missouri",4,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",237621,235895,231190,216869,204435,197821,201073,199829,198239,191446,179979,154348,147277,150853,151522,156048,159833,165541,167456,167848,172739,175301,167544,169724,177476
 "29000","Missouri",4,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",12665,12636,12611,11998,11283,11203,11439,11525,11930,11147,10256,8781,8518,8648,9005,8837,8732,8959,9488,9302,9037,8735,8460,8389,8493
 "29000","Missouri",4,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",11531,11814,11948,10881,10323,9887,9959,10111,10356,10257,9753,8511,8178,8281,8224,7552,7586,8021,8054,7881,8827,8948,8566,8471,8528
 "29000","Missouri",4,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",12796,12993,12766,11315,10142,9646,9581,9672,9486,9069,8588,6753,6215,7471,7648,7552,7604,7655,6951,6654,7006,7304,7116,7148,7384
 "29000","Missouri",4,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",39363,39285,38578,35983,33509,32606,33834,33719,33553,34376,33667,30039,29228,30024,30463,31621,30115,30450,30331,30855,32132,32417,31021,31646,32686
 "29000","Missouri",4,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",34488,35095,35162,33278,30361,29480,28991,30261,31800,31288,30745,26655,26305,27240,27441,26628,26163,26667,26804,27124,28159,28507,26637,27168,29272
 "29000","Missouri",4,SAEMP25N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",13691,12230,12149,10979,9379,8501,7925,8154,8438,8355,7556,6599,5935,5625,6331,7492,10002,10200,10282,10696,11350,11942,12158,12639,13415
 "29000","Missouri",4,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",20668,20636,20020,17944,16006,15236,14991,14173,14168,13834,13025,11286,10552,11559,11535,11329,10888,10758,10709,10616,11089,11061,10762,10969,11505
 "29000","Missouri",4,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",39547,40187,38973,37530,36803,36453,36477,35034,32438,28838,24399,16818,(D),(D),(D),(D),(D),(D),25678,25152,25174,25237,22650,22585,24608
 "29000","Missouri",4,SAEMP25N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",23513,21170,18795,18037,17926,17031,20406,20199,20149,19453,19285,18639,(D),(D),(D),(D),(D),(D),20855,20901,21174,22206,21958,21708,22162
 "29000","Missouri",4,SAEMP25N,521,"337","     Furniture and related product manufacturing ","Number of jobs",14986,15700,16203,15615,14622,13983,14205,13962,13418,12259,10879,8810,8413,6911,6773,7033,7113,7374,7694,7724,7762,8187,7778,8213,8178
 "29000","Missouri",4,SAEMP25N,522,"339","     Miscellaneous manufacturing ","Number of jobs",14373,14149,13985,13309,14081,13795,13265,13019,12503,12570,11826,11457,10167,10123,9527,9705,9813,9857,10610,10943,11029,10757,10438,10788,11245
 "29000","Missouri",4,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",148533,144639,141894,134084,127979,122275,120626,119102,119717,120781,120229,113187,107138,107683,109558,110317,109041,109213,110378,112513,114251,114551,112094,113861,117727
 "29000","Missouri",4,SAEMP25N,531,"311","     Food manufacturing ","Number of jobs",43115,42781,43237,42426,40911,40405,39512,38607,39367,41161,41963,42014,39581,39843,41124,40237,39638,40167,40498,42102,43027,43118,43313,43310,44393
 "29000","Missouri",4,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",5168,5386,5542,5912,6152,5390,5432,5666,5704,5918,5754,5052,4651,5047,5554,5700,5863,5900,6114,6051,6127,6228,6027,6630,7144
 "29000","Missouri",4,SAEMP25N,533,"313","     Textile mills ","Number of jobs",530,557,525,500,415,396,419,428,458,478,455,473,453,407,404,409,447,426,392,381,369,321,368,373,405
 "29000","Missouri",4,SAEMP25N,534,"314","     Textile product mills ","Number of jobs",3118,3120,2997,2830,2894,2500,2482,2603,2743,3041,3122,2571,2329,2479,2045,1824,1868,1969,1971,2039,2012,1981,1963,2022,1801
 "29000","Missouri",4,SAEMP25N,535,"315","     Apparel manufacturing ","Number of jobs",11571,9187,7243,5894,5026,4196,3920,3691,3566,3492,3246,2941,2929,2722,2843,2920,2814,2556,2392,2476,2337,2342,2228,2308,2656
 "29000","Missouri",4,SAEMP25N,536,"316","     Leather and allied product manufacturing ","Number of jobs",3959,3489,3052,2709,2456,2533,2523,2448,2344,2244,2125,2167,1222,1456,1573,1545,1591,1572,1504,1404,1446,1439,1087,1084,1182
 "29000","Missouri",4,SAEMP25N,537,"322","     Paper manufacturing ","Number of jobs",12811,12654,12355,11582,10426,9849,9523,8912,8773,8691,8524,8121,7831,7535,7402,7324,6744,6937,6727,6732,6948,7180,6895,6972,7133
 "29000","Missouri",4,SAEMP25N,538,"323","     Printing and related support activities ","Number of jobs",23179,22580,22290,20705,19046,17996,17779,17799,17715,17554,17241,15356,14484,14087,14367,14582,13884,12986,12955,12465,12401,11976,11153,10865,11357
 "29000","Missouri",4,SAEMP25N,539,"324","     Petroleum and coal products manufacturing ","Number of jobs",1716,1762,1792,1588,1543,1504,1444,1546,1369,1286,1299,1360,1230,1302,1212,1262,1263,1281,1330,1451,1474,1448,1466,1525,1552
 "29000","Missouri",4,SAEMP25N,541,"325","     Chemical manufacturing ","Number of jobs",22636,21785,21471,19756,19358,18408,18630,18501,18719,18585,18789,17881,17238,17905,18019,19221,19359,19099,19819,20395,20494,20827,20925,21524,22784
 "29000","Missouri",4,SAEMP25N,542,"326","     Plastics and rubber products manufacturing ","Number of jobs",20730,21338,21390,20182,19752,19098,18962,18901,18959,18331,17711,15251,15190,14900,15015,15293,15570,16320,16676,17017,17616,17691,16669,17248,17320
 "29000","Missouri",4,SAEMP25N,600,"42","   Wholesale trade ","Number of jobs",133165,132101,132048,129363,127459,126816,128580,131639,132956,134741,134838,127904,125736,126597,127315,128701,136055,136298,130253,130384,130914,132678,129629,133081,138827
 "29000","Missouri",4,SAEMP25N,700,"44-45","   Retail trade ","Number of jobs",385424,384662,388100,381982,385900,387687,387578,394708,393693,393132,382327,371706,365627,371024,371144,372545,377081,384818,386619,386354,382482,371442,363759,378073,386934
 "29000","Missouri",4,SAEMP25N,701,"441","    Motor vehicle and parts dealers ","Number of jobs",44834,45224,45377,45578,47023,45989,46764,46807,46136,46013,44656,41767,41444,41757,42612,43488,44619,46066,46960,47507,47854,46687,45293,45606,45586
 "29000","Missouri",4,SAEMP25N,702,"442","    Furniture and home furnishings stores ","Number of jobs",11412,11507,11824,11318,11689,12101,11914,11993,11621,11305,10401,8828,8837,9357,9207,9243,9376,9162,9462,9646,9538,8927,8108,8501,(D)
 "29000","Missouri",4,SAEMP25N,703,"443","    Electronics and appliance stores ","Number of jobs",10871,10885,10917,10932,10282,10298,10774,10750,10225,10114,10865,9847,9495,9669,8438,7970,7701,8856,8631,8613,8159,7596,7020,7042,(D)
