GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",1445429,1469707,1476295,1455992,1454782,1452910,1463650,1473724,1508313,1538835,1537448,1492328,1490777,1509966,1519741,1532509,1556854,1568216,1581199,1592198,1602929,1607308,1573290,1625695,1674142
 "28000","Mississippi",5,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",1214368,1233957,1232416,1207513,1204053,1194743,1203505,1202477,1217428,1229732,1225908,1174184,1166595,1166468,1174647,1179067,1194114,1201893,1211002,1217298,1218207,1222522,1173893,1201565,1226196
 "28000","Mississippi",5,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",231061,235750,243879,248479,250729,258167,260145,271247,290885,309103,311540,318144,324182,343498,345094,353442,362740,366323,370197,374900,384722,384786,399397,424130,447946
 "28000","Mississippi",5,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",43820,44638,44711,43491,38671,37983,36637,36564,35636,35287,34648,34157,33780,33218,32400,31998,31777,31406,30740,30155,30048,29394,29374,29281,29112
 "28000","Mississippi",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",187241,191112,199168,204988,212058,220184,223508,234683,255249,273816,276892,283987,290402,310280,312694,321444,330963,334917,339457,344745,354674,355392,370023,394849,418834
 "28000","Mississippi",5,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",54110,55028,55096,53241,48115,45394,44733,44364,45329,44186,43312,44059,43707,42449,40588,38939,43896,40781,39107,39846,39221,36652,37740,39236,38095
 "28000","Mississippi",5,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",1391319,1414679,1421199,1402751,1406667,1407516,1418917,1429360,1462984,1494649,1494136,1448269,1447070,1467517,1479153,1493570,1512958,1527435,1542092,1552352,1563708,1570656,1535550,1586459,1636047
 "28000","Mississippi",5,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",1126504,1146124,1147578,1127966,1128099,1126062,1136861,1152615,1187592,1215228,1210307,1163568,1164935,1188049,1199683,1216761,1237017,1253373,1267258,1277549,1291959,1297733,1268101,1323065,1375842
 "28000","Mississippi",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",17548,17382,16227,15474,15764,14559,15148,15318,14740,14506,14356,13466,13928,13693,14344,14764,14749,14635,15163,14655,15123,14823,14505,14584,14640
 "28000","Mississippi",5,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",8562,8448,7699,7133,6970,6562,6796,7132,6901,6492,6345,5663,5434,5570,6337,6516,6229,6691,6766,6057,6155,6001,5844,5640,5472
 "28000","Mississippi",5,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),1334,1585,1230,1356,1287,1153,1144,1217,1262,1707,1349,1311,1387,1316,1214,1382,1259,1480,1625,1598,1516,1525
 "28000","Mississippi",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",7320,7366,7035,7007,7209,6767,6996,6899,6686,6870,6794,6541,6787,6774,6696,6861,7204,6730,7015,7339,7488,7197,7063,7428,7643
 "28000","Mississippi",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",10103,8875,7948,8957,8004,8655,7931,8049,9540,10426,12782,11955,13964,12839,16334,17255,16703,16635,15988,12936,10628,9365,8675,8823,9364
 "28000","Mississippi",5,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",4631,4394,3479,3934,3624,4229,3419,3655,4229,4496,6505,6651,8513,7002,9629,10902,10261,11107,11610,7833,6096,5210,4968,5273,5531
 "28000","Mississippi",5,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",1386,1429,1404,1359,1282,1331,1253,1145,1082,1141,1112,1062,1162,1130,1568,1523,1487,1713,1636,1773,1374,1254,1390,1423,1424
 "28000","Mississippi",5,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",4086,3052,3065,3664,3098,3095,3259,3249,4229,4789,5165,4242,4289,4707,5137,4830,4955,3815,2742,3330,3158,2901,2317,2127,2409
 "28000","Mississippi",5,SAEMP25N,300,"22","   Utilities ","Number of jobs",7552,7747,8100,8125,8171,8102,8134,8115,8099,7922,8102,8083,8137,8024,8029,8215,8189,8311,8645,8425,8300,8168,8149,8224,8337
 "28000","Mississippi",5,SAEMP25N,400,"23","   Construction ","Number of jobs",85006,86124,85925,85350,86430,85324,85130,92513,102788,105461,104023,91525,87410,86224,85934,89372,87256,82868,83705,82926,84259,85328,88037,88684,91886
 "28000","Mississippi",5,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",22517,22713,23323,21923,23105,21027,20352,22555,26020,24941,24393,20875,19696,18404,20344,20860,19316,18684,17499,16517,17360,17730,18767,18802,19218
 "28000","Mississippi",5,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",11871,12201,12034,13081,14515,12885,12457,13055,14138,15679,16853,14517,14412,14111,14322,14352,13063,12381,13037,13764,14125,13661,13787,14092,14529
 "28000","Mississippi",5,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",50618,51210,50568,50346,48810,51412,52321,56903,62630,64841,62777,56133,53302,53709,51268,54160,54877,51803,53169,52645,52774,53937,55483,55790,58139
 "28000","Mississippi",5,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",234316,233784,223867,204440,191677,182610,183135,182023,179475,173304,163345,145753,139833,140262,141796,142384,145073,147235,149165,150089,150855,152745,145580,149890,154424
 "28000","Mississippi",5,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",144373,146911,140900,127375,120520,115628,118761,119256,119204,115117,107528,93369,89701,91184,93664,93920,96705,97873,98508,98867,98947,100185,93896,98007,100730
 "28000","Mississippi",5,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",19986,19280,17820,16908,15925,14405,14061,14265,14970,14074,12805,10257,9672,(D),9504,9164,9145,9141,9526,9679,9670,9622,9038,9244,9844
 "28000","Mississippi",5,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",5687,5540,5545,5620,5476,5158,5042,4766,4842,4979,4609,3888,3478,3582,3377,3341,3521,3357,3487,3588,3570,3526,3482,3448,3396
 "28000","Mississippi",5,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",3806,3559,3915,3411,3109,2743,2704,2724,2848,3019,3377,3224,2929,3055,3338,3302,3356,3451,3620,3732,3978,4309,4225,4122,4243
 "28000","Mississippi",5,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",14267,14709,14476,14588,13211,11892,11403,11208,11600,11456,11377,9748,8940,9163,9959,10037,10282,10290,10425,10365,10609,10816,10208,10337,10795
 "28000","Mississippi",5,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",15331,16102,15970,14759,13107,12646,12367,12666,13086,12806,12305,10689,10305,11104,12050,12224,12660,12475,12236,12581,12911,13400,12653,14328,15339
