GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "91000","New England",1,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",8360643,8512502,8739633,8766028,8712097,8696487,8808796,8900992,8997758,9167891,9173308,8936008,8892243,9003350,9112766,9266021,9411313,9656340,9778193,9870110,9992392,9987781,9514252,9872592,10309646
 "91000","New England",1,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",6988761,7120778,7282848,7291613,7200951,7124390,7138838,7162428,7225358,7287929,7280691,7015529,6994319,7055203,7173503,7258497,7360639,7467138,7558826,7624933,7703361,7772137,7184629,7418593,7687874
 "91000","New England",1,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",1371882,1391724,1456785,1474415,1511146,1572097,1669958,1738564,1772400,1879962,1892617,1920479,1897924,1948147,1939263,2007524,2050674,2189202,2219367,2245177,2289031,2215644,2329623,2453999,2621772
 "91000","New England",1,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",27137,26983,26852,27588,27973,26933,26106,25732,25111,29370,29615,29840,30372,30968,31037,31136,30734,30464,29924,29425,29443,28882,29064,29043,29046
 "91000","New England",1,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",1344745,1364741,1429933,1446827,1483173,1545164,1643852,1712832,1747289,1850592,1863002,1890639,1867552,1917179,1908226,1976388,2019940,2158738,2189443,2215752,2259588,2186762,2300559,2424956,2592726
 "91000","New England",1,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",46159,45934,46704,47797,48155,47477,43018,42015,39892,43580,45097,44797,45129,47102,48445,51028,50704,50362,48495,46824,46434,45878,45393,45779,46942
 "91000","New England",1,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",8314484,8466568,8692929,8718231,8663942,8649010,8765778,8858977,8957866,9124311,9128211,8891211,8847114,8956248,9064321,9214993,9360609,9605978,9729698,9823286,9945958,9941903,9468859,9826813,10262704
 "91000","New England",1,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",7319576,7454003,7656316,7668211,7604777,7600155,7727901,7818539,7909976,8068163,8062149,7831416,7787917,7910761,8017158,8166292,8306134,8554012,8673474,8772388,8897363,8890481,8454626,8815187,9236648
 "91000","New England",1,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",43475,41674,39216,(D),(D),(D),38163,38730,38064,37672,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34148,(D)
 "91000","New England",1,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",11658,11877,10749,(D),10229,9149,9874,10851,10600,10349,10555,9336,(D),(D),(D),10699,(D),(D),(D),(D),(D),(D),8023,(D),(D)
 "91000","New England",1,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",20504,18861,18183,(D),(D),(D),(D),(D),(D),(D),16213,(D),15873,14851,15238,15531,(D),(D),(D),15458,(D),15752,15435,15147,15122
 "91000","New England",1,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",11313,10936,10284,9920,11303,(D),(D),(D),(D),(D),(D),(D),11204,10337,(D),(D),11114,10321,10427,(D),(D),10515,(D),(D),12006
 "91000","New England",1,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",7019,6982,6848,(D),(D),(D),7506,7561,8158,9318,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8074,(D)
 "91000","New England",1,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",2285,2261,2071,2333,(D),(D),2207,2444,2740,2898,(D),(D),5172,4177,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",4428,4410,4457,5078,(D),4902,5011,4882,5213,5999,(D),(D),(D),(D),(D),(D),(D),(D),(D),6536,5039,(D),5055,4767,4982
