GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",743341,760763,783545,788168,788485,797649,812824,825602,835584,848007,844885,820826,813758,818810,824378,835032,844521,860652,873123,882481,892584,890072,858471,894739,933022
 "33000","New Hampshire",1,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",604077,620478,637473,640657,635884,637306,643789,648881,655752,658831,656969,633063,629910,633736,640437,647097,655536,666439,676228,682550,689118,696051,654243,676894,700357
 "33000","New Hampshire",1,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",139264,140285,146072,147511,152601,160343,169035,176721,179832,189176,187916,187763,183848,185074,183941,187935,188985,194213,196895,199931,203466,194021,204228,217845,232665
 "33000","New Hampshire",1,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",3089,3076,3078,3264,3481,3404,3328,3327,3265,3983,3979,3997,4048,4041,4071,4086,4043,4015,3961,3871,3866,3802,3813,3812,3812
 "33000","New Hampshire",1,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",136175,137209,142994,144247,149120,156939,165707,173394,176567,185193,183937,183766,179800,181033,179870,183849,184942,190198,192934,196060,199600,190219,200415,214033,228853
 "33000","New Hampshire",1,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",4760,4691,4718,4882,5045,4992,4630,4577,4396,5066,5159,5137,5173,5270,5521,5744,5707,5673,5509,5215,5179,5114,5074,5104,5194
 "33000","New Hampshire",1,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",738581,756072,778827,783286,783440,792657,808194,821025,831188,842941,839726,815689,808585,813540,818857,829288,838814,854979,867614,877266,887405,884958,853397,889635,927828
 "33000","New Hampshire",1,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",657419,673209,692161,695243,692212,699306,716324,729109,737585,748251,744074,719446,710849,718214,723927,734592,743715,760130,773313,783163,793195,790536,763102,800005,838173
 "33000","New Hampshire",1,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",3765,3721,3466,3445,3591,3113,3238,3347,3172,3226,3305,3092,2943,2953,3298,3298,3287,3190,3199,2991,2991,2834,2819,2786,2788
 "33000","New Hampshire",1,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",1936,2003,1849,1825,1695,1497,1561,1753,1669,1665,1704,1519,1360,1416,1746,1757,1640,1753,1691,1427,1425,1329,1249,1183,1135
 "33000","New Hampshire",1,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),486,426,497,395,444,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",1286,1220,1131,1194,1399,1221,1233,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",628,638,606,882,779,905,922,950,1023,1266,1295,1174,1363,1202,1685,1577,1558,1592,1734,1526,1218,1101,1227,1210,1278
