GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",4500635,4571128,4748598,4777145,4791997,4825010,4909630,4991163,5057231,5130173,5123837,4992097,4960649,5018547,5053885,5133106,5206898,5303132,5391258,5448785,5550061,5571245,5319454,5585214,5905843
 "34000","New Jersey",2,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",3876020,3927176,4057425,4059504,4050550,4041443,4068036,4099795,4133471,4143117,4113618,3951169,3908088,3903393,3937660,3978092,4010156,4061785,4122606,4174983,4222072,4265250,3922381,4097199,4307291
 "34000","New Jersey",2,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",624615,643952,691173,717641,741447,783567,841594,891368,923760,987056,1010219,1040928,1052561,1115154,1116225,1155014,1196742,1241347,1268652,1273802,1327989,1305995,1397073,1488015,1598552
 "34000","New Jersey",2,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",9390,9369,9408,9591,9492,9095,8849,8717,8517,8904,8613,8444,8344,8221,7888,8221,8333,8580,8666,8806,8855,8704,8735,8732,8731
 "34000","New Jersey",2,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",615225,634583,681765,708050,731955,774472,832745,882651,915243,978152,1001606,1032484,1044217,1106933,1108337,1146793,1188409,1232767,1259986,1264996,1319134,1297291,1388338,1479283,1589821
 "34000","New Jersey",2,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",16362,17456,18927,18931,19114,17350,16910,16549,16721,16734,15584,15208,15805,15677,17529,17113,17885,17832,19832,19305,17731,16793,15593,17221,16473
 "34000","New Jersey",2,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",4484273,4553672,4729671,4758214,4772883,4807660,4892720,4974614,5040510,5113439,5108253,4976889,4944844,5002870,5036356,5115993,5189013,5285300,5371426,5429480,5532330,5554452,5303861,5567993,5889370
 "34000","New Jersey",2,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",3897530,3962188,4125661,4145761,4147480,4171646,4243966,4318708,4384063,4456472,4448804,4316987,4296305,4378200,4418279,4497388,4571953,4672108,4760982,4817838,4920119,4938907,4714916,4981043,5293067
 "34000","New Jersey",2,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",5798,5598,5668,5269,5811,5183,5507,5598,5569,5809,5895,5808,6222,6012,6196,5706,6490,6450,6989,6812,6809,6647,6424,6475,6743
 "34000","New Jersey",2,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",(T),(T),(T),370,348,312,314,390,375,405,405,357,309,348,440,443,414,463,451,378,421,392,386,381,365
 "34000","New Jersey",2,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",1919,1809,1730,1429,1667,1340,1558,1587,1630,1541,1569,1541,1556,1450,1418,1426,1429,1299,1416,1319,1345,1527,1519,1464,1537
 "34000","New Jersey",2,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3473,3363,3567,3470,3796,3531,3635,3621,3564,3863,3921,3910,4357,4214,4338,3837,4647,4688,5122,5115,5043,4728,4519,4630,4841
 "34000","New Jersey",2,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",3390,3215,3000,3038,2486,2898,2820,3133,3363,3283,3848,3646,4103,3594,4557,4551,4335,4334,4410,3823,3022,2782,2891,3027,3170
 "34000","New Jersey",2,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",926,942,873,(D),888,1122,1003,1267,1485,(D),(D),1860,2364,1860,2422,2622,2362,2316,2394,1562,(D),(D),(D),955,1004
 "34000","New Jersey",2,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",2368,2183,2042,1890,1463,1630,1663,1710,1728,1769,1709,1544,1509,1428,1820,1641,1667,1646,1671,1899,1599,1543,1587,1751,1846
 "34000","New Jersey",2,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),135,146,154,156,150,(D),(D),242,230,306,315,288,306,372,345,362,(D),(D),(D),321,320
 "34000","New Jersey",2,SAEMP25N,300,"22","   Utilities ","Number of jobs",16536,16365,16720,16412,15947,15435,15315,14501,14384,13969,12656,12324,15135,14452,14926,14823,14828,15805,16839,15499,16473,16064,15435,15649,16161
 "34000","New Jersey",2,SAEMP25N,400,"23","   Construction ","Number of jobs",197158,203457,213114,226122,227559,233261,246191,256380,264972,261798,251950,223400,211595,212046,216641,227533,233280,239400,249910,249296,254846,254626,256120,258496,268659
 "34000","New Jersey",2,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",42873,44570,47175,49019,51835,52215,55934,60416,61678,58983,55356,48122,45362,43474,46228,49448,51561,56194,57233,56628,60339,59462,62275,63572,66840
 "34000","New Jersey",2,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",17161,17505,18767,20375,20964,19525,19998,19613,20410,20804,21420,20012,19223,19264,20081,21253,21970,22725,22487,23250,23199,22760,22155,21784,22245
 "34000","New Jersey",2,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",137124,141382,147172,156728,154760,161521,170259,176351,182884,182011,175174,155266,147010,149308,150332,156832,159749,160481,170190,169418,171308,172404,171690,173140,179574
 "34000","New Jersey",2,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",440942,426728,428991,408397,376916,359059,347772,341660,333859,319832,309285,279847,269127,266044,259205,258190,257595,253996,259352,261121,263518,266640,253688,256162,266311
 "34000","New Jersey",2,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",194990,188685,192123,186307,167516,159626,154792,152130,150595,145023,140737,125527,120264,121011,118782,118231,115959,117332,118698,119913,123330,124216,116953,118188,121732
 "34000","New Jersey",2,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",4951,5057,5347,5224,5049,5253,5730,5671,5155,4601,3958,3039,2717,2536,2625,2765,2649,2816,3010,3124,3134,3197,3276,3481,3679
 "34000","New Jersey",2,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",16646,15967,16781,15947,15156,14506,14520,14406,13607,12646,11954,10311,10037,10288,10471,10320,10293,10390,10586,11098,11471,11722,10756,10588,10791
 "34000","New Jersey",2,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",10690,10144,9948,9236,8561,7826,7926,7292,6807,6232,5666,5006,4805,4945,5003,4863,4747,4674,4667,4594,4563,4501,4021,3632,3723
 "34000","New Jersey",2,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",36175,35611,35800,34866,30894,28924,28480,28469,28379,27816,27045,23577,23038,23344,22952,22742,21005,21176,21453,21918,22743,23358,22069,21599,22048
 "34000","New Jersey",2,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",27486,26129,24662,23431,20684,19756,18293,17649,17664,17441,17252,15149,14748,15009,14723,15155,15123,14790,14535,14640,14861,14806,13817,14367,14649
 "34000","New Jersey",2,SAEMP25N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",40863,38343,40637,41017,34783,32562,31665,31576,32370,31210,31043,28542,27457,26839,25415,24435,23783,23969,23808,24058,24928,25128,24290,25728,26601
