GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",937525,942297,964919,976506,984383,1003008,1027012,1050201,1079128,1103272,1105330,1071898,1059918,1064201,1067145,1075551,1083585,1092272,1092375,1095489,1110587,1116844,1069531,1092639,1139488
 "35000","New Mexico",6,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",758654,765160,781167,792124,801308,812462,828962,844245,867015,876587,879291,845418,836525,836189,839254,846495,852640,860272,861158,862616,875784,890636,833796,846057,878478
 "35000","New Mexico",6,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",178871,177137,183752,184382,183075,190546,198050,205956,212113,226685,226039,226480,223393,228012,227891,229056,230945,232000,231217,232873,234803,226208,235735,246582,261010
 "35000","New Mexico",6,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",15947,15428,15227,17825,14530,16045,15632,15588,15255,18139,18041,18270,19083,20715,21328,21649,21557,21542,21476,21410,21322,21173,21072,20999,20491
 "35000","New Mexico",6,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",162924,161709,168525,166557,168545,174501,182418,190368,196858,208546,207998,208210,204310,207297,206563,207407,209388,210458,209741,211463,213481,205035,214663,225583,240519
 "35000","New Mexico",6,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",23314,22119,21910,24378,20859,22838,22619,23272,22829,25761,24712,25238,25631,27322,28262,29310,28346,29003,29826,28930,28766,28061,28305,27643,26416
 "35000","New Mexico",6,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",914211,920178,943009,952128,963524,980170,1004393,1026929,1056299,1077511,1080618,1046660,1034287,1036879,1038883,1046241,1055239,1063269,1062549,1066559,1081821,1088783,1041226,1064996,1113072
 "35000","New Mexico",6,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",715666,721518,740685,746987,753791,766536,786823,808183,842018,867636,867350,830523,816832,823041,826968,835381,845579,854485,854083,860410,875655,880931,839461,868128,913153
 "35000","New Mexico",6,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",6603,6130,5699,5222,5474,5024,5171,5276,5168,5182,5308,5228,5184,5221,5133,5235,5675,5556,5819,5989,6013,5954,5949,5987,6223
 "35000","New Mexico",6,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",495,505,461,(D),(D),(D),295,372,334,323,322,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),242,238,213,190
