GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,SAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",11541749,11761409,12138771,12284685,12291965,12374943,12588075,13003916,13493483,14008293,14365985,14202860,14262584,14681517,15095946,15532152,16001898,16414554,16683280,17104407,17608884,17901639,17700743,18559325,19631436
 "48000","Texas",6,SAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",9372859,9573162,9850925,9929736,9863975,9812334,9919146,10156926,10507929,10833340,11066610,10772161,10780494,11026135,11358594,11664188,12018819,12305315,12449776,12664282,12975175,13279307,12729870,13179837,13887510
 "48000","Texas",6,SAEMP25N,40,"..."," Proprietors employment ","Number of jobs",2168890,2188247,2287846,2354949,2427990,2562609,2668929,2846990,2985554,3174953,3299375,3430699,3482090,3655382,3737352,3867964,3983079,4109239,4233504,4440125,4633709,4622332,4970873,5379488,5743926
 "48000","Texas",6,SAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",235685,235501,234912,236602,224444,216489,211178,211399,206773,220609,221006,221346,223089,224186,222832,226853,226564,225073,226318,225017,225636,222877,222196,222274,221394
 "48000","Texas",6,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",1933205,1952746,2052934,2118347,2203546,2346120,2457751,2635591,2778781,2954344,3078369,3209353,3259001,3431196,3514520,3641111,3756515,3884166,4007186,4215108,4408073,4399455,4748677,5157214,5522532
 "48000","Texas",6,SAEMP25N,70,"111-112"," Farm employment ","Number of jobs",281395,277379,284440,295942,274531,263394,253780,257839,246076,263582,263611,269751,266416,266163,266551,274297,273674,274103,277016,272681,275544,265184,272241,269423,273763
 "48000","Texas",6,SAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",11260354,11484030,11854331,11988743,12017434,12111549,12334295,12746077,13247407,13744711,14102374,13933109,13996168,14415354,14829395,15257855,15728224,16140451,16406264,16831726,17333340,17636455,17428502,18289902,19357673
 "48000","Texas",6,SAEMP25N,90,"113-814","  Private nonfarm employment ","Number of jobs",9601894,9800540,10134515,10254176,10235965,10308501,10527769,10919388,11386483,11860681,12165529,11942990,11976301,12424021,12859216,13282584,13743318,14130021,14364337,14767106,15261604,15539417,15343189,16200574,17244895
 "48000","Texas",6,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",67169,65506,63668,51713,57031,52136,53894,55549,53651,55110,56560,56236,58403,58667,58991,58993,62179,59531,61490,63904,65810,64986,65490,65534,67486
 "48000","Texas",6,SAEMP25N,101,"113","    Forestry and logging ","Number of jobs",6130,6191,5445,5305,5216,4798,4980,5374,5173,4981,5170,4558,4061,4223,4891,5007,4898,5303,5171,4648,4815,4637,4600,4436,4302
 "48000","Texas",6,SAEMP25N,102,"114","    Fishing, hunting and trapping ","Number of jobs",8400,7908,7774,8206,9546,7804,8756,8849,8895,8421,8344,8218,8746,8130,8155,8607,8683,8332,8802,8696,9099,9868,9784,9470,9598
 "48000","Texas",6,SAEMP25N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",52639,51407,50449,38202,42269,39534,40158,41326,39583,41708,43046,43460,45596,46314,45945,45379,48598,45896,47517,50560,51896,50481,51106,51628,53586
 "48000","Texas",6,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",231651,227223,219226,232930,216787,236234,229706,251571,283844,309145,386447,355210,396692,396387,502287,542289,552459,533359,490958,453270,416238,396066,338310,340076,369093
 "48000","Texas",6,SAEMP25N,201,"211","    Oil and gas extraction ","Number of jobs",142625,138737,131204,141515,131421,146633,134897,146092,160166,162633,221344,223023,257471,232069,297657,332586,323340,336126,336530,271926,221509,204278,192192,200348,207745
 "48000","Texas",6,SAEMP25N,202,"212","    Mining (except oil and gas) ","Number of jobs",11496,11442,11326,11499,11085,11585,11646,11045,11520,13395,13872,12363,12816,12863,17260,15718,16697,17605,18169,21157,19401,18440,18062,18267,19383
 "48000","Texas",6,SAEMP25N,203,"213","    Support activities for mining ","Number of jobs",77530,77044,76696,79916,74281,78016,83163,94434,112158,133117,151231,119824,126405,151455,187370,193985,212422,179628,136259,160187,175328,173348,128056,121461,141965
 "48000","Texas",6,SAEMP25N,300,"22","   Utilities ","Number of jobs",48612,49478,50422,52526,52994,50349,49406,48934,48754,51523,54967,53605,54180,53425,53227,53597,53955,56240,59951,55870,57044,58680,57714,58511,62244
 "48000","Texas",6,SAEMP25N,400,"23","   Construction ","Number of jobs",764853,793638,830071,856717,843716,853298,859764,912696,968306,1020911,1040283,960641,909408,915910,947862,986349,1036537,1068594,1121733,1151587,1207229,1246118,1266854,1262284,1329912
 "48000","Texas",6,SAEMP25N,401,"236","    Construction of buildings ","Number of jobs",178938,186376,194721,204166,206118,193704,187388,198544,214400,219628,226550,208271,196853,191094,197895,205164,220284,244395,249575,251721,260257,265672,271945,275792,299156
 "48000","Texas",6,SAEMP25N,402,"237","    Heavy and civil engineering construction ","Number of jobs",95067,101777,108533,114015,114055,112837,116429,124731,136681,150980,155558,136202,130723,136447,149442,152156,158354,160828,170260,175079,189445,203691,193875,186829,197312
 "48000","Texas",6,SAEMP25N,403,"238","    Specialty trade contractors ","Number of jobs",490848,505485,526817,538536,523543,546757,555947,589421,617225,650303,658175,616168,581832,588369,600525,629029,657899,663371,701898,724787,757527,776755,801034,799663,833444
 "48000","Texas",6,SAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",1117173,1097455,1103180,1067636,991898,943792,934360,946782,977564,988763,975718,897234,865198,901208,929678,947970,959838,953138,924573,933458,963691,985393,951394,955704,1005501
 "48000","Texas",6,SAEMP25N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",694378,683526,693061,671599,615917,586110,585767,601012,633509,646364,639131,572678,548868,582076,607384,620505,630347,621582,587796,590033,610727,626171,597039,595694,628815
 "48000","Texas",6,SAEMP25N,511,"321","     Wood product manufacturing ","Number of jobs",37229,38344,36820,34231,32164,29551,30409,30780,31462,30220,27759,24236,22241,21582,22413,23556,24247,24734,26630,27549,28033,27731,27586,28801,30635
 "48000","Texas",6,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",42688,44781,45531,45278,45699,44246,44618,45022,46095,46186,43347,37804,35122,35632,35736,37364,38265,39776,41492,41746,41725,41825,41360,41118,43108
 "48000","Texas",6,SAEMP25N,513,"331","     Primary metal manufacturing ","Number of jobs",29701,28217,28876,28641,26370,25089,25394,24975,26633,26703,26411,21064,20853,22244,23439,23849,24485,22851,20998,20480,21446,22365,20700,20438,21782
 "48000","Texas",6,SAEMP25N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",130394,127431,129703,128443,118975,109829,111449,119377,130821,136535,140552,123849,117717,129399,140361,143098,149702,143237,126236,128409,136774,140968,129232,126162,134488
 "48000","Texas",6,SAEMP25N,515,"333","     Machinery manufacturing ","Number of jobs",85093,85020,87619,90178,84544,82260,81113,84534,92973,99016,100859,93229,90818,101282,109324,113601,115363,111259,95183,95713,102221,105243,94941,92294,98732
 "48000","Texas",6,SAEMP25N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",173175,164341,169678,158970,131544,116644,114278,114819,113701,113485,112289,101423,97115,101049,99190,97389,98590,98024,94067,93157,93294,95899,96315,95639,100748
 "48000","Texas",6,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",23259,23348,24711,23300,20669,19283,18946,19268,20558,21228,21395,19624,18289,19200,20771,21547,21974,22098,21166,21366,22214,22448,21647,21537,23098
 "48000","Texas",6,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",33606,34801,35024,32619,31220,29966,30887,31762,35382,37188,34523,28558,29440,32717,34607,36400,37854,39568,39280,40783,41698,41878,39148,43111,46855
 "48000","Texas",6,SAEMP25N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",60573,58449,55446,52700,50163,55828,55749,58143,60676,61104,61721,58188,56318,56876,58090,58527,55114,54185,53465,51911,53786,58049,57312,55690,56048
 "48000","Texas",6,SAEMP25N,521,"337","     Furniture and related product manufacturing ","Number of jobs",33283,34880,36553,35865,33380,32748,33437,33368,35241,33831,31629,27075,25125,24798,24763,25518,24954,25702,27000,26901,27163,27577,27166,27954,28260
 "48000","Texas",6,SAEMP25N,522,"339","     Miscellaneous manufacturing ","Number of jobs",45377,43914,43100,41374,41189,40666,39487,38964,39967,40868,38646,37628,35830,37297,38690,39656,39799,40148,42279,42018,42373,42188,41632,42950,45061
 "48000","Texas",6,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",422795,413929,410119,396037,375981,357682,348593,345770,344055,342399,336587,324556,316330,319132,322294,327465,329491,331556,336777,343425,352964,359222,354355,360010,376686
 "48000","Texas",6,SAEMP25N,531,"311","     Food manufacturing ","Number of jobs",96407,96318,97154,96947,98099,95167,94425,96468,96216,95318,93816,94502,93962,94626,94761,95067,95998,97539,100002,104629,106696,110136,109644,114458,119975
 "48000","Texas",6,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",11443,11364,11506,11524,11260,11140,10627,10944,11597,11912,12042,12178,11902,12188,12803,13437,13989,14706,16578,17770,18733,19130,19480,21094,22154
 "48000","Texas",6,SAEMP25N,533,"313","     Textile mills ","Number of jobs",3624,3722,3785,3616,3496,3576,3480,3384,3302,3285,3285,2869,2930,3327,3247,3447,3345,2812,2100,2017,2292,2236,2311,2390,2635
 "48000","Texas",6,SAEMP25N,534,"314","     Textile product mills ","Number of jobs",10096,10333,9984,9361,8728,8604,8541,8351,8322,8444,7497,6978,6826,7076,6649,7037,7471,7326,6993,6621,6943,6483,6366,6403,6719
 "48000","Texas",6,SAEMP25N,535,"315","     Apparel manufacturing ","Number of jobs",43834,37993,33961,29219,23085,16913,13640,11567,10321,9558,8000,8501,7830,7172,8161,8894,8332,8390,9101,8967,8848,9789,10461,10980,11582
 "48000","Texas",6,SAEMP25N,536,"316","     Leather and allied product manufacturing ","Number of jobs",7356,6891,6488,6040,5538,5191,4996,5132,5201,5000,4849,4773,4753,5273,5406,5316,5214,5548,5449,5532,6094,6185,5372,5397,5480
 "48000","Texas",6,SAEMP25N,537,"322","     Paper manufacturing ","Number of jobs",29513,28555,28175,26668,25310,23941,22463,21779,20748,20319,19457,18239,17854,17644,17316,17058,17254,17260,17372,17759,18382,18677,17818,18179,19640
 "48000","Texas",6,SAEMP25N,538,"323","     Printing and related support activities ","Number of jobs",52508,50822,50724,48241,44807,42588,41814,40446,39756,39281,38037,35678,34453,32931,32675,32274,32137,31699,31891,31131,31578,30604,29786,30258,32192
 "48000","Texas",6,SAEMP25N,539,"324","     Petroleum and coal products manufacturing ","Number of jobs",24818,25071,24538,24522,24106,23580,23701,23321,24017,24874,25877,25786,24847,25986,25626,26018,23996,23743,24376,24816,24282,25153,22882,22012,22173
 "48000","Texas",6,SAEMP25N,541,"325","     Chemical manufacturing ","Number of jobs",89987,88357,87257,85581,81526,79263,77671,76590,76410,77415,78565,75166,73045,75059,76992,79272,81726,82922,83946,84575,87737,88912,88489,86631,88603
 "48000","Texas",6,SAEMP25N,542,"326","     Plastics and rubber products manufacturing ","Number of jobs",53209,54503,56547,54318,50026,47719,47235,47788,48165,46993,45162,39886,37928,37850,38658,39645,40029,39611,38969,39608,41379,41917,41746,42208,45533
 "48000","Texas",6,SAEMP25N,600,"42","   Wholesale trade ","Number of jobs",489694,496953,511207,512853,500773,498816,509773,525980,550944,569499,578362,549497,546916,570802,593805,617251,658104,676937,635531,643070,654418,664975,649181,662142,709293
 "48000","Texas",6,SAEMP25N,700,"44-45","   Retail trade ","Number of jobs",1322086,1324628,1365442,1369900,1375490,1359551,1367063,1403625,1428120,1453521,1448297,1423891,1409591,1450532,1472163,1512371,1556982,1607268,1625023,1652356,1659132,1644872,1634613,1703010,1755470
 "48000","Texas",6,SAEMP25N,701,"441","    Motor vehicle and parts dealers ","Number of jobs",156799,160075,165661,170931,177361,172785,175177,176059,176742,182274,180911,168063,167350,170569,177917,187823,196157,205653,209593,213706,217041,216179,210556,213769,219915
 "48000","Texas",6,SAEMP25N,702,"442","    Furniture and home furnishings stores ","Number of jobs",44373,46190,48011,47999,49632,48194,49025,50248,51493,53277,51472,45398,43308,43479,43017,43662,46023,47828,47276,46964,48259,46404,42374,44836,(D)
 "48000","Texas",6,SAEMP25N,703,"443","    Electronics and appliance stores ","Number of jobs",47498,49545,52392,51119,47083,45248,47371,48975,49641,50645,50867,44814,47034,47864,45438,42388,43547,48328,48084,47982,47377,46066,42689,45509,(D)
 "48000","Texas",6,SAEMP25N,704,"444","    Building material and garden equipment and supplies dealers ","Number of jobs",77647,80798,83037,82887,89160,86125,89781,91890,98201,100624,98679,96656,93551,94995,95898,101435,103495,105235,109480,111546,112452,109798,118422,125706,127047
 "48000","Texas",6,SAEMP25N,705,"445","    Food and beverage stores ","Number of jobs",219804,221552,225098,223983,215402,206177,205631,204566,208606,210720,215077,218161,218763,222326,225674,233290,237950,246113,249425,253418,254183,257826,271394,277695,285803
 "48000","Texas",6,SAEMP25N,706,"446","    Health and personal care stores ","Number of jobs",71628,70964,71535,72098,75944,76919,77884,76390,81427,82343,81838,81879,81997,85954,87758,89776,92767,95426,97649,97831,99580,99185,95813,104490,(D)
 "48000","Texas",6,SAEMP25N,707,"447","    Gasoline stations ","Number of jobs",76882,75636,76585,74914,73904,71947,72734,72285,71431,71669,72692,73872,72890,74463,77590,82091,83111,86147,89999,90151,90477,91501,91938,93319,(D)
 "48000","Texas",6,SAEMP25N,708,"448","    Clothing and clothing accessories stores ","Number of jobs",106736,107375,110696,114437,112712,115451,117228,121564,130076,140154,136150,132915,133170,141586,147402,144545,138872,139708,139012,149786,149601,146274,123189,125421,(D)
 "48000","Texas",6,SAEMP25N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Number of jobs",55724,55095,55461,53045,51503,50981,48698,48552,49028,49362,49829,52172,51194,50539,50538,60970,62118,64144,63973,63126,60814,59301,56978,62237,(D)
 "48000","Texas",6,SAEMP25N,711,"452","    General merchandise stores ","Number of jobs",219026,222840,232650,239058,242946,241344,240933,256558,257679,262008,270753,266897,260544,266900,269423,267499,284577,294414,301434,289580,287114,278915,276077,291473,(D)
