GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01000","Alabama",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",1994381,2007120,2008801,1988175,1971266,1965710,2000343,2036263,2073054,2095756,2075003,1968090,1949620,1949289,1963894,1979322,1996343,2025359,2050129,2073260,2098780,2126752,2044118,2095377,2154012
 "01000","Alabama",5,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",9280,8247,8337,8359,9103,8611,9657,8337,9025,7626,7733,9453,7826,8188,7349,7713,5455,7625,7213,8571,7251,5864,6426,6370,7420
 "01000","Alabama",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",1985101,1998873,2000464,1979816,1962163,1957099,1990686,2027926,2064029,2088130,2067270,1958637,1941794,1941101,1956545,1971609,1990888,2017734,2042916,2064689,2091529,2120888,2037692,2089007,2146592
 "01000","Alabama",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",1600201,1612672,1614674,1593437,1573233,1564967,1592705,1629078,1659569,1678272,1656758,1547544,1528909,1533363,1553371,1571050,1590754,1618624,1640980,1660313,1684910,1710728,1630965,1683985,1738846
 "01000","Alabama",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",12210,11313,10847,(D),10158,9878,9916,9675,9345,9195,8780,8444,8711,8468,8568,8780,8875,8963,8925,8891,8900,9399,8956,8832,8745
 "01000","Alabama",5,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",7268,6541,6237,(D),5684,5602,5610,5419,5229,5087,4773,4489,4660,4553,4507,4620,4613,4622,4567,4350,4187,4323,4213,4186,4147
 "01000","Alabama",5,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),89,95,101,57,71,59,63,59,68,68,99,74,66,56,54,59,53,52,70,64,61,59,62
 "01000","Alabama",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",4823,4655,4521,4255,4373,4219,4235,4197,4053,4049,3939,3887,3952,3841,3995,4104,4208,4282,4305,4489,4643,5012,4682,4587,4536
 "01000","Alabama",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",10225,9288,8023,7909,7852,7342,7399,8046,8321,8162,8264,7712,7762,8281,8587,7988,7546,6829,5353,6027,6295,6372,5856,5028,5246
 "01000","Alabama",5,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",633,580,566,661,613,654,598,619,666,762,767,748,780,800,757,714,711,443,438,411,410,370,279,299,342
 "01000","Alabama",5,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",8068,7503,6537,6343,6373,5932,5963,6464,6632,6331,6437,6085,6155,6559,6848,6216,5818,5466,4199,4738,4952,5091,4723,3937,4056
 "01000","Alabama",5,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",1524,1205,920,905,866,756,838,963,1023,1069,1060,879,827,922,982,1058,1017,920,716,878,933,911,854,792,848
 "01000","Alabama",5,SAEMP27N,300,"22","   Utilities ","Number of jobs",14184,14198,14222,14377,14003,13600,13482,12673,12947,13350,13971,13867,14089,14262,14246,14382,14293,14435,14169,13729,13774,13302,13028,12908,12813
 "01000","Alabama",5,SAEMP27N,400,"23","   Construction ","Number of jobs",103498,107147,108835,108989,104566,103797,106591,109337,113561,116012,111489,94344,89873,82993,81847,81656,81855,83801,86250,87540,91361,96074,94822,96596,101429
 "01000","Alabama",5,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",27065,27143,26876,28016,26790,25845,26436,27511,27644,28028,26247,22045,20648,19009,19053,19263,18361,19183,19502,19490,20250,21977,21579,21669,22775
 "01000","Alabama",5,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",16481,17078,17664,18388,17333,16713,16604,17267,18190,18469,17509,15749,16435,15616,15583,15307,15875,16035,16511,17531,17820,18118,17271,17418,18811
 "01000","Alabama",5,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",59952,62926,64295,62585,60443,61239,63551,64559,67727,69515,67733,56550,52790,48368,47211,47086,47619,48583,50237,50519,53291,55979,55972,57509,59843
 "01000","Alabama",5,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",364547,355279,347619,328855,308358,293150,291867,299277,302952,296543,282919,246487,236630,237783,243858,249458,253210,258126,260638,263663,266932,269349,258585,264776,273952
 "01000","Alabama",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",191780,190929,187540,178459,172420,165079,168537,178348,187376,186542,178490,152502,146438,147992,154363,159661,165092,169236,170050,171523,173811,175191,168843,175273,181859
 "01000","Alabama",5,SAEMP27N,511,"321","     Wood product manufacturing ","Number of jobs",27910,28339,26029,23219,22520,20777,20734,20970,21595,20434,18023,13069,12720,13108,13233,13672,14414,15166,15840,16252,17319,17646,17664,18960,19519
 "01000","Alabama",5,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",9423,9241,9272,9228,8805,8534,8513,8673,9257,10101,9181,7531,6917,6607,6405,6495,6527,6701,6877,7103,7203,7372,7151,7503,8055
 "01000","Alabama",5,SAEMP27N,513,"331","     Primary metal manufacturing ","Number of jobs",24932,24410,22807,21102,19307,18608,18424,19040,19039,18333,17908,15468,16210,17667,18329,18214,18933,18076,17070,16840,17251,17599,16782,16918,17592
 "01000","Alabama",5,SAEMP27N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",29051,29283,29250,28610,27864,27386,27146,27827,29003,29070,29328,25629,24157,23424,24920,24973,25266,26069,25779,26134,26805,27245,25957,25965,26639
 "01000","Alabama",5,SAEMP27N,515,"333","     Machinery manufacturing ","Number of jobs",15984,15870,15707,14192,12840,11946,12474,12809,13733,13309,12707,10668,10039,10570,10617,10467,10415,10749,10398,10392,10552,10548,9703,9660,10302
 "01000","Alabama",5,SAEMP27N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",21390,18157,18010,17597,15895,15140,14697,14719,15258,15369,13635,12330,11185,10156,9454,9045,9007,9040,9007,8881,8802,8661,8034,7694,7845
 "01000","Alabama",5,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",7767,7794,7610,7213,6340,5940,5991,6085,5832,5527,5369,4933,4819,4758,5088,5151,5032,4919,5035,4980,5272,5476,5784,5936,6393
 "01000","Alabama",5,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",18224,19936,19946,18437,20231,21137,24001,30833,35136,34585,33201,27783,27538,29088,32856,37498,40549,42699,43036,43594,43843,43769,40434,45271,48091
 "01000","Alabama",5,SAEMP27N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",13006,13604,14577,16295,16596,14458,14618,14809,15839,17988,19352,19276,18205,18266,18822,19241,19458,20253,20701,20565,20014,20439,20452,20148,20302
 "01000","Alabama",5,SAEMP27N,521,"337","     Furniture and related product manufacturing ","Number of jobs",15441,15394,15798,14537,14024,13663,14464,15066,15033,14397,12649,9707,8793,8484,8441,8532,8775,8822,9391,9742,9641,9323,9489,9426,9538
 "01000","Alabama",5,SAEMP27N,522,"339","     Miscellaneous manufacturing ","Number of jobs",8652,8901,8534,8029,7998,7490,7475,7517,7651,7429,7137,6108,5855,5864,6198,6373,6716,6742,6916,7040,7109,7113,7393,7792,7583
 "01000","Alabama",5,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",172767,164350,160079,150396,135938,128071,123330,120929,115576,110001,104429,93985,90192,89791,89495,89797,88118,88890,90588,92140,93121,94158,89742,89503,92093
 "01000","Alabama",5,SAEMP27N,531,"311","     Food manufacturing ","Number of jobs",36051,37528,36952,36595,36343,35346,35256,35472,34725,34120,34412,33071,32316,31679,31282,31462,30619,30916,31736,32543,32885,33228,32181,30711,31637
 "01000","Alabama",5,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",2731,3092,3069,2868,2845,2909,3029,3003,2849,2693,2616,2096,1925,1999,1999,1966,2031,1882,2134,2361,2239,2453,2340,2394,2693
 "01000","Alabama",5,SAEMP27N,533,"313","     Textile mills ","Number of jobs",21351,20499,20576,18791,16057,14119,12308,11693,10403,8436,7126,5377,5402,6311,6454,6416,6285,5752,5364,5037,5128,4926,4798,5140,5022
 "01000","Alabama",5,SAEMP27N,534,"314","     Textile product mills ","Number of jobs",12440,12557,12356,12040,11651,11165,10780,10664,9322,8118,5792,4435,4682,4544,3849,3893,3766,3792,3946,3871,3932,4131,3505,3666,3360
 "01000","Alabama",5,SAEMP27N,535,"315","     Apparel manufacturing ","Number of jobs",38150,30743,28121,24297,18005,16082,15113,13371,11702,10706,9463,7341,5760,4374,3984,3521,3178,3175,3057,2956,2774,2748,2561,2274,2266
 "01000","Alabama",5,SAEMP27N,536,"316","     Leather and allied product manufacturing ","Number of jobs",(T),(T),(T),81,90,94,92,110,116,104,88,62,57,50,64,61,63,61,49,46,38,27,26,32,33
 "01000","Alabama",5,SAEMP27N,537,"322","     Paper manufacturing ","Number of jobs",20363,19088,18070,17034,15020,15068,14897,14355,14298,14065,13766,12791,12505,12393,12147,12208,11429,11093,11199,11481,11819,11680,11256,11084,11990
 "01000","Alabama",5,SAEMP27N,538,"323","     Printing and related support activities ","Number of jobs",9290,9230,9185,8427,7792,6531,6252,5705,5639,5439,5173,4431,3761,3482,3347,3343,3468,3560,3500,3457,3373,3376,3135,3107,3219
 "01000","Alabama",5,SAEMP27N,539,"324","     Petroleum and coal products manufacturing ","Number of jobs",2023,2034,2082,2132,2237,2249,2150,2127,2113,2047,1816,1644,1597,1829,1990,1959,1986,2212,2260,2334,2380,2377,2251,2179,2163
 "01000","Alabama",5,SAEMP27N,541,"325","     Chemical manufacturing ","Number of jobs",12566,12349,12157,11711,10996,10394,9861,9678,9577,9633,9825,9339,9223,9607,10052,10451,10428,10355,10341,10493,10356,11032,10868,11198,11820
 "01000","Alabama",5,SAEMP27N,542,"326","     Plastics and rubber products manufacturing ","Number of jobs",17464,17043,17317,16420,14902,14114,13592,14751,14832,14640,14352,13398,12964,13523,14327,14517,14865,16092,17002,17561,18197,18180,16821,17718,17890
 "01000","Alabama",5,SAEMP27N,600,"42","   Wholesale trade ","Number of jobs",79271,80257,81443,80613,78562,77283,78443,79726,81761,82428,81571,74972,72037,72261,72882,73366,73142,73931,74006,73861,74200,74663,72908,73823,77579
 "01000","Alabama",5,SAEMP27N,700,"44-45","   Retail trade ","Number of jobs",232883,236680,236479,232112,230613,231733,234944,238177,238076,243702,239738,227102,224984,226473,225831,226040,228885,232363,234297,232956,232577,232614,226408,233607,237076
 "01000","Alabama",5,SAEMP27N,701,"441","    Motor vehicle and parts dealers ","Number of jobs",29686,30458,30667,30328,30253,30763,31446,31893,32510,32638,30874,27180,27282,28322,28942,29426,30065,30661,31495,32015,32234,32831,31719,32701,32753
 "01000","Alabama",5,SAEMP27N,702,"442","    Furniture and home furnishings stores ","Number of jobs",8578,8442,8325,7702,7584,7722,7969,8185,8614,8744,8021,6885,6511,6345,6361,6290,6397,6608,6706,6786,6738,6807,6355,6570,(D)
 "01000","Alabama",5,SAEMP27N,703,"443","    Electronics and appliance stores ","Number of jobs",5784,5767,5935,6000,5852,5862,6012,5777,5659,7473,7396,6983,6856,6969,6640,6487,6639,6633,6866,6625,6506,6339,5754,5468,(D)
 "01000","Alabama",5,SAEMP27N,704,"444","    Building material and garden equipment and supplies dealers ","Number of jobs",17437,18103,17596,17016,17131,17445,18742,20299,21500,21752,20851,19328,18964,19151,19187,19026,18848,19192,19748,20117,20814,20659,22245,22790,22914
 "01000","Alabama",5,SAEMP27N,705,"445","    Food and beverage stores ","Number of jobs",45773,44377,43063,40295,38011,37332,35476,34860,33775,33352,33056,31812,31061,31250,31044,31232,32152,32459,32572,32463,32601,32693,33565,34272,35322
 "01000","Alabama",5,SAEMP27N,706,"446","    Health and personal care stores ","Number of jobs",14061,14041,13766,13623,13674,14070,14333,14586,15150,15443,16031,16172,16245,16300,16583,16984,17059,17193,16979,17026,16605,16317,15192,15959,(D)
 "01000","Alabama",5,SAEMP27N,707,"447","    Gasoline stations ","Number of jobs",20039,20526,20284,20038,19716,19658,19598,19267,19215,19210,18350,17330,17388,17400,17554,17924,18051,18314,18400,18525,18599,19052,18821,19367,(D)
 "01000","Alabama",5,SAEMP27N,708,"448","    Clothing and clothing accessories stores ","Number of jobs",19530,19732,19824,19557,19364,18001,18807,19386,19922,20850,20258,18077,18057,17425,17281,17285,16850,16537,16579,17008,16538,16174,13050,13760,(D)
 "01000","Alabama",5,SAEMP27N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Number of jobs",7607,7845,7849,7911,7901,8111,8088,8268,8802,9313,9704,9474,9498,9622,9641,10009,9972,10250,10061,9659,9191,8640,7394,7889,(D)
 "01000","Alabama",5,SAEMP27N,711,"452","    General merchandise stores ","Number of jobs",46209,48640,50591,51590,52904,54969,57168,58470,56633,58883,59335,59068,58781,59692,58516,57370,58656,60688,60901,58863,58641,58500,58448,59818,(D)
 "01000","Alabama",5,SAEMP27N,712,"453","    Miscellaneous store retailers ","Number of jobs",13481,14013,14015,13403,13198,13244,12830,12894,12326,11974,11695,10757,10444,10346,10618,10635,10747,10956,10906,10816,10919,11117,10321,11082,(D)
 "01000","Alabama",5,SAEMP27N,713,"454","    Nonstore retailers ","Number of jobs",4698,4736,4564,4649,5025,4556,4475,4292,3970,4070,4167,4036,3897,3651,3464,3372,3449,2872,3084,3053,3191,3485,3544,3931,(D)
 "01000","Alabama",5,SAEMP27N,800,"48-49","   Transportation and warehousing ","Number of jobs",56487,57436,57584,55804,52819,52322,53504,55740,57956,58572,58219,52990,52559,53766,55510,57203,59195,59785,59996,60572,62515,65308,65259,78010,79636
 "01000","Alabama",5,SAEMP27N,801,"481","    Air transportation ","Number of jobs",706,1019,1175,1127,1006,941,898,992,1005,942,779,631,674,696,748,679,640,661,602,629,715,690,620,521,589
 "01000","Alabama",5,SAEMP27N,802,"482","    Rail transportation ","Number of jobs",3687,3695,3504,(D),(D),(D),(D),(D),(D),3660,(D),3361,3404,3571,3596,3620,3617,3584,3355,3186,3122,3047,2695,(D),(D)
 "01000","Alabama",5,SAEMP27N,803,"483","    Water transportation ","Number of jobs",444,375,420,385,388,524,541,488,(D),871,1256,1180,1343,1379,1388,1214,1163,1091,880,706,425,423,487,446,465
 "01000","Alabama",5,SAEMP27N,804,"484","    Truck transportation ","Number of jobs",31392,31778,31464,30350,28736,28295,(D),29593,30583,29778,28280,24964,24843,24746,25162,25591,26053,26235,26465,26904,27423,27925,26822,27001,27571
 "01000","Alabama",5,SAEMP27N,805,"485","    Transit and ground passenger transportation ","Number of jobs",1679,1790,1737,1569,1683,1742,1907,1959,2038,2154,2376,2357,2341,2385,2300,2326,2462,2399,2352,2322,2313,2399,1784,1808,1901
 "01000","Alabama",5,SAEMP27N,806,"486","    Pipeline transportation ","Number of jobs",616,591,558,507,506,527,539,589,657,673,715,708,539,553,540,546,525,527,652,643,612,631,615,574,588
 "01000","Alabama",5,SAEMP27N,807,"487","    Scenic and sightseeing transportation ","Number of jobs",129,(T),(T),90,76,78,(D),(D),(D),70,61,(D),50,50,54,58,58,60,86,100,87,82,81,79,80
 "01000","Alabama",5,SAEMP27N,808,"488","    Support activities for transportation ","Number of jobs",5812,5701,5992,5913,5784,5486,5621,5828,6172,6533,7031,6491,6361,6607,6392,6907,7310,7547,7585,7753,8010,8818,8648,8942,9611
 "01000","Alabama",5,SAEMP27N,809,"492","    Couriers and messengers ","Number of jobs",5440,5734,5931,(D),(D),(D),5361,5498,5621,5642,(D),(D),5070,5088,5139,5176,5557,5881,6064,6323,6860,7721,9039,(D),(D)
 "01000","Alabama",5,SAEMP27N,811,"493","    Warehousing and storage ","Number of jobs",6582,6634,6701,6735,5798,5957,6240,7238,7690,8249,8426,8042,7934,8691,10191,11086,11810,11800,11955,12006,12948,13572,14468,25515,25860
 "01000","Alabama",5,SAEMP27N,900,"51","   Information ","Number of jobs",32589,34167,35575,35945,34255,31808,31356,30952,30208,28034,27352,25306,23973,23129,22696,22590,21962,21543,20701,20805,21017,21282,19309,20051,21215
 "01000","Alabama",5,SAEMP27N,901,"511","    Publishing industries (except Internet) ","Number of jobs",7070,7136,7139,7226,6962,7059,7170,7174,7062,7172,7044,6296,5756,5596,5549,5312,4958,4840,4582,4634,4693,5644,5099,5513,(D)
