GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "93000","Great Lakes",3,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",22131481,22487073,22792145,22468655,22125882,21929371,21967621,22028195,22101758,22111944,21843109,20650368,20546451,20824690,21157894,21397936,21706165,22038878,22299225,22475526,22682776,22798775,21303521,21854679,22595165
 "93000","Great Lakes",3,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",86023,94082,95409,92409,78420,88564,85569,87044,87463,91572,80247,79698,84361,88549,90742,88208,83295,91034,91482,84874,94334,88911,84760,86762,89189
 "93000","Great Lakes",3,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",22045458,22392991,22696736,22376246,22047462,21840807,21882052,21941151,22014295,22020372,21762862,20570670,20462090,20736141,21067152,21309728,21622870,21947844,22207743,22390652,22588442,22709864,21218761,21767917,22505976
 "93000","Great Lakes",3,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",18884057,19197017,19431633,19089651,18726311,18523504,18579743,18656888,18736006,18734200,18463467,17269901,17181998,17520868,17885490,18148920,18467247,18792853,19031730,19210737,19408075,19517922,18151070,18719043,19428683
 "93000","Great Lakes",3,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",25131,24260,23884,24078,23208,23388,23889,23753,23211,23563,23986,24095,24936,25105,26404,27193,29998,30022,30459,30607,30375,30884,(D),30587,(D)
 "93000","Great Lakes",3,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",4907,4774,4645,(D),4355,4238,4261,4080,3862,3565,3372,3106,3202,(D),(D),(D),3183,(D),(D),(D),3403,3556,3389,3424,3621
 "93000","Great Lakes",3,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",664,660,614,(D),459,412,405,393,380,374,376,391,453,(D),(D),(D),334,(D),(D),(D),320,335,(D),384,(D)
 "93000","Great Lakes",3,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",19560,18826,18625,19188,18394,18738,19223,19280,18969,19624,20238,20598,21281,21550,22827,23712,26481,26315,26661,26852,26652,26993,26193,26779,27914
 "93000","Great Lakes",3,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",42264,41217,39476,39542,37742,36198,36403,36717,37259,36882,36802,34868,34044,35637,38067,37960,41176,38965,33354,33689,35060,34493,(D),27276,(D)
 "93000","Great Lakes",3,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",4479,4347,4059,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2690,(D),2438,(D)
 "93000","Great Lakes",3,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",32716,32385,30653,30200,28747,27347,27175,27315,27318,26298,25202,24051,23419,24258,25035,24606,25343,24605,22269,22070,22787,22166,19253,18425,19301
 "93000","Great Lakes",3,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",5069,4485,4764,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9637,6757,6413,6991
 "93000","Great Lakes",3,SAEMP27N,300,"22","   Utilities ","Number of jobs",108420,107508,106246,102190,97305,92800,91184,90882,90717,90447,92337,91797,88663,87806,87427,86842,86552,87778,87172,87199,87257,86474,85064,84104,84319
 "93000","Great Lakes",3,SAEMP27N,400,"23","   Construction ","Number of jobs",951360,992482,1032298,1031425,1019467,1003360,1007264,997942,992259,965244,909744,770273,720338,728989,737295,752577,784802,819528,844681,877322,900125,921587,886674,918591,957689
 "93000","Great Lakes",3,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",226060,235744,240524,240197,241785,239258,241688,239847,235571,226353,211278,174884,166582,165625,163232,166370,174246,180932,188509,194778,204503,210278,201031,209685,220351
 "93000","Great Lakes",3,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",102937,106698,114110,112813,106999,105858,104641,104758,107141,107672,105799,97900,88684,89507,92529,97444,102399,106834,105729,113091,113314,115756,113900,117173,122743
 "93000","Great Lakes",3,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",622363,650040,677664,678415,670683,658244,660935,653337,649547,631219,592667,497489,465072,473857,481534,488763,508157,531762,550443,569453,582308,595553,571743,591733,614595
 "93000","Great Lakes",3,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",4082549,4074446,4049658,3777418,3515111,3355746,3294435,3256824,3202272,3121594,2988667,2550904,2533759,2628606,2710829,2741952,2797760,2843255,2849901,2878880,2933373,2942859,2729282,2802045,2893487
 "93000","Great Lakes",3,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",2886607,2873110,2859265,2643529,2423782,2300203,2262823,2240834,2205394,2140081,2033129,1670703,1660219,1748623,1823386,1844422,1886977,1918825,1909413,1926914,1972532,1970810,1799397,1848099,1908351
