GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",564673,580625,604213,610828,612915,617086,632993,654849,682740,699033,691220,649650,642642,646369,652210,667785,685333,703879,726723,749669,773803,799468,791826,832961,865816
 "16000","Idaho",7,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",15938,14812,17339,16086,16358,15551,15752,15154,15278,14509,15287,14342,14489,16704,16505,16382,17623,17001,17215,20651,18650,19493,18283,16350,18251
 "16000","Idaho",7,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",548735,565813,586874,594742,596557,601535,617241,639695,667462,684524,675933,635308,628153,629665,635705,651403,667710,686878,709508,729018,755153,779975,773543,816611,847565
 "16000","Idaho",7,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",437589,451365,469047,475632,475050,478165,492498,514654,541850,557552,547178,506470,499558,502825,509172,524715,540185,557498,577990,595410,619691,642781,639739,682587,712592
 "16000","Idaho",7,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",11000,10141,9563,8208,8164,8168,8228,8195,7955,7740,7722,7417,7765,7700,7836,8168,8381,8704,8502,8463,8504,8561,8559,8648,8701
 "16000","Idaho",7,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",2727,2612,2428,2189,2139,1993,2201,2099,1975,1908,1595,1200,1318,1338,1277,1411,1402,1457,1444,1372,1366,1312,1269,1315,1197
 "16000","Idaho",7,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),42,57,61,71,82,101,94,87,72,54,50,53,60,79,89,73,74,72,68,82,90,109
 "16000","Idaho",7,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",8215,7435,7052,5977,5968,6114,5956,6014,5879,5738,6040,6145,6393,6312,6506,6697,6900,7158,6985,7017,7066,7181,7208,7243,7395
 "16000","Idaho",7,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",2832,2477,2359,1966,1755,1792,1955,2174,2380,2650,2778,2166,2272,2564,2671,2547,2416,2322,2363,2177,2217,2289,2485,2784,2868
 "16000","Idaho",7,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),18,19,(D),25,28,31,39,33,37,49,39,29,25,9,8,8,13
 "16000","Idaho",7,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",2763,2413,2277,1893,1683,1704,1851,2054,2216,2425,2494,1970,1973,2192,2258,2194,2035,1894,2044,1951,1962,2054,2247,2504,2554
 "16000","Idaho",7,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),146,206,(D),171,271,341,374,320,344,379,280,197,230,226,230,272,301
 "16000","Idaho",7,SAEMP27N,300,"22","   Utilities ","Number of jobs",1738,1707,1710,1786,1919,1877,1874,1949,2018,2069,2161,2098,2729,2797,2826,2806,2912,3012,3010,2984,3012,2944,2966,3047,3140
 "16000","Idaho",7,SAEMP27N,400,"23","   Construction ","Number of jobs",33565,35993,37565,39201,37881,38221,41455,46664,53776,53946,46563,35452,32165,30296,30380,32611,34681,37070,40444,43785,47934,51995,54549,59175,64772
 "16000","Idaho",7,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",7359,7743,8208,8794,8635,8851,9623,11311,13580,13541,11275,8231,7267,7140,7112,7733,8350,8824,9449,10572,11759,12622,13130,14127,15808
 "16000","Idaho",7,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",5848,6237,6649,6787,6690,5722,5655,6064,6302,6686,6215,5506,5381,4839,4684,4336,4244,4218,4437,4799,5202,6153,6517,6912,7289
 "16000","Idaho",7,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",20358,22013,22708,23620,22556,23648,26177,29289,33894,33719,29073,21715,19517,18317,18584,20542,22087,24028,26558,28414,30973,33220,34902,38136,41675
 "16000","Idaho",7,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",67834,69267,70505,68696,64964,62222,62215,63039,66000,66405,63058,55034,53342,54589,56595,59239,59928,61657,63836,66098,67823,68483,67731,70257,73559
 "16000","Idaho",7,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",42522,43771,44894,43092,40375,38234,39026,40656,42829,42447,38386,31177,29940,31291,32652,34029,34481,35618,36846,37784,39325,39326,38520,40113,42052
 "16000","Idaho",7,SAEMP27N,511,"321","     Wood product manufacturing ","Number of jobs",9451,9436,8785,7802,7573,7278,7224,7615,8220,7834,6459,4801,4541,4866,5185,5642,5660,5828,6254,6457,6784,6977,6734,6967,7023
 "16000","Idaho",7,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",1407,1468,1457,1473,1476,1487,1534,1606,1794,1826,1673,1343,1250,1123,1069,1132,1176,1223,1270,1351,1573,1812,1735,1961,2045
 "16000","Idaho",7,SAEMP27N,513,"331","     Primary metal manufacturing ","Number of jobs",274,(T),319,334,306,349,391,453,523,586,624,657,692,792,707,744,751,750,726,647,520,571,535,483,491
 "16000","Idaho",7,SAEMP27N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",3949,3999,4084,3884,3642,3545,3646,3917,4392,4668,4663,4379,4449,4550,4739,5318,5419,5568,5798,5847,5814,5637,5730,6382,6847
 "16000","Idaho",7,SAEMP27N,515,"333","     Machinery manufacturing ","Number of jobs",3009,2973,3248,3058,2836,2638,2569,2669,2924,2990,3157,2743,2475,2572,2654,2847,2911,2958,3036,3145,3297,3380,3539,3813,4524
 "16000","Idaho",7,SAEMP27N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",17654,18443,19617,19655,17939,16313,16765,16699,16667,16229,14281,11099,10587,11200,11616,11298,11555,11891,12114,12209,12689,12193,11371,10861,11191
 "16000","Idaho",7,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",443,484,581,520,355,360,405,485,498,517,564,609,622,672,801,918,897,997,1110,1282,1296,1353,1402,1510,1822
