GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",6082793,6152804,6243126,6189475,6082004,6011014,6010041,6045857,6125082,6168712,6137141,5846151,5790395,5851153,5922945,5965128,6043594,6139084,6181417,6216876,6253329,6283495,5849163,5967686,6190308
 "17000","Illinois",3,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",17345,19184,20364,20398,16174,17893,15261,17293,18006,17850,16413,15430,17706,16969,15801,12653,11710,14743,14215,13625,14762,12911,15411,16537,15606
 "17000","Illinois",3,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",6065448,6133620,6222762,6169077,6065830,5993121,5994780,6028564,6107076,6150862,6120728,5830721,5772689,5834184,5907144,5952475,6031884,6124341,6167202,6203251,6238567,6270584,5833752,5951149,6174702
 "17000","Illinois",3,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",5194861,5251524,5328012,5268729,5153696,5089990,5098019,5134830,5211794,5253264,5212218,4916218,4865163,4942805,5025343,5075128,5156874,5248199,5289068,5324533,5368434,5396250,4998257,5117321,5333577
 "17000","Illinois",3,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",5061,4517,4546,4701,4656,4624,4442,4465,4240,4419,4536,4414,4147,4257,4623,4798,5916,5573,5506,5590,5421,5291,5113,5028,5157
 "17000","Illinois",3,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",(T),(T),(T),153,144,147,104,147,176,175,167,108,99,95,69,72,87,108,115,95,96,114,98,104,115
 "17000","Illinois",3,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),80,95,102,101,102,104,93,94,102,103,86,92,35,38,48,44,36,31,28,30,55,59
 "17000","Illinois",3,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",4751,4183,4241,4468,4417,4375,4237,4216,3960,4151,4275,4204,3945,4076,4462,4691,5791,5417,5347,5459,5294,5149,4985,4869,4983
 "17000","Illinois",3,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",10900,10480,9805,9990,9690,9309,9228,9712,10134,9955,9670,9294,9046,9490,10082,9647,9859,9280,7991,7762,7797,8187,6740,6554,6826
 "17000","Illinois",3,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",951,745,767,787,747,723,754,749,790,810,885,844,867,905,975,1184,1225,1077,864,730,714,886,752,724,720
 "17000","Illinois",3,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",8771,8734,7827,7722,7683,7375,7181,7519,7723,7498,6780,6613,6339,6640,6906,6507,6621,6471,5847,5678,5767,5835,4881,4676,4818
 "17000","Illinois",3,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",1178,1001,1211,1481,1260,1211,1293,1444,1621,1647,2005,1837,1840,1945,2201,1956,2013,1732,1280,1354,1316,1466,1107,1154,1288
 "17000","Illinois",3,SAEMP27N,300,"22","   Utilities ","Number of jobs",33335,32304,31387,29539,28212,24748,24082,23425,23111,23063,23520,23636,23182,23524,23858,23795,24016,24173,24339,24532,24641,24493,23817,23308,23843
 "17000","Illinois",3,SAEMP27N,400,"23","   Construction ","Number of jobs",251641,263529,278194,286257,284997,284012,278511,277789,285281,279751,266377,226116,205110,201222,194654,196717,206985,219295,224260,225912,231364,233875,221410,227119,236029
 "17000","Illinois",3,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",54570,56241,58805,59714,60707,60514,60067,60409,61631,60034,57045,48999,46869,44199,39423,39339,42037,43767,45171,46305,48373,48386,46622,48652,50483
 "17000","Illinois",3,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",26717,28606,30570,31411,30598,31673,29839,29433,31037,31499,32038,28495,24470,24550,25254,26055,27182,30406,29468,27738,29246,30248,29478,30099,31131
 "17000","Illinois",3,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",170354,178682,188819,195132,193692,191825,188605,187947,192613,188218,177294,148622,133771,132473,129977,131323,137766,145122,149621,151869,153745,155241,145310,148368,154415
 "17000","Illinois",3,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",899293,879148,866371,817734,757229,717386,699055,690781,684678,676741,659580,579095,561408,574663,583705,580271,580264,581867,575059,575884,586511,586779,555149,554784,569256
 "17000","Illinois",3,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",574095,553425,544522,507305,458507,430657,422012,419405,421075,415938,403784,339926,329570,343556,354465,350887,349957,348435,338158,336253,345358,344290,321803,317721,326604
 "17000","Illinois",3,SAEMP27N,511,"321","     Wood product manufacturing ","Number of jobs",10026,10173,10160,9647,9493,9241,9030,9229,9258,8864,8079,6426,6058,6000,5924,5970,6218,6372,6322,6444,6572,6787,6595,6867,7050
 "17000","Illinois",3,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",21365,21448,21407,20094,18059,17547,17418,17472,17672,16839,15808,13260,12378,12820,12771,12959,12973,13799,14145,14539,14500,14027,13360,13345,13554
 "17000","Illinois",3,SAEMP27N,513,"331","     Primary metal manufacturing ","Number of jobs",41173,39901,38921,33387,27150,25701,25917,25308,25067,23818,22538,17333,17407,19279,19921,19477,19829,19400,18082,17449,18452,19041,17293,17153,17626
 "17000","Illinois",3,SAEMP27N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",131071,129156,129360,125182,116200,110759,109198,109117,111014,110365,107514,89892,87459,92327,94846,93097,93319,93003,89851,89662,91780,92215,84695,85441,86884
 "17000","Illinois",3,SAEMP27N,515,"333","     Machinery manufacturing ","Number of jobs",126195,120666,115981,106525,95042,86900,87387,90884,91351,91887,92318,78274,75442,79004,82206,81108,79956,76169,71983,71619,73912,73561,67832,66689,69993
 "17000","Illinois",3,SAEMP27N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",81845,69554,68088,64015,54226,49077,45370,43616,42480,41847,40682,36428,34665,34380,33989,32472,31696,31572,31182,30493,30304,30898,29430,29034,29110
 "17000","Illinois",3,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",47417,47044,46538,42643,37822,33172,30914,29044,29074,28680,28300,24241,23182,23519,23955,23683,22901,22836,22429,22238,22285,21546,20938,20594,20930
 "17000","Illinois",3,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",48089,49402,48737,44647,42481,41197,40999,39328,39402,38609,34294,25730,26813,29983,33880,35364,36090,37787,37141,36659,40281,39886,36848,34678,36296
 "17000","Illinois",3,SAEMP27N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",7983,7356,6806,6020,5629,5555,5533,5600,5846,5895,6120,5191,4973,5332,5883,5603,5838,6207,5619,5415,5754,5852,6414,5925,6409
