GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "22000","Louisiana",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",1987258,1994018,2013967,2012821,2001038,2004477,2012251,1980783,1948244,2011605,2035771,1995687,1982504,1996088,2016937,2038073,2067252,2076101,2049340,2044453,2060746,2064405,1917823,1955755,2001020
 "22000","Louisiana",5,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",9942,10092,10140,9570,9318,7176,7693,7272,8867,7988,7776,8887,8910,8286,7181,6545,6186,8839,7889,9355,8855,7007,8076,9611,8671
 "22000","Louisiana",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",1977316,1983926,2003827,2003251,1991720,1997301,2004558,1973511,1939377,2003617,2027995,1986800,1973594,1987802,2009756,2031528,2061066,2067262,2041451,2035098,2051891,2057398,1909747,1946144,1992349
 "22000","Louisiana",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",1570110,1573300,1589942,1595475,1577288,1580638,1587674,1566494,1556681,1614443,1626944,1580365,1564451,1590120,1622066,1653431,1693960,1703910,1680891,1678546,1694285,1696801,1558509,1600283,1649603
 "22000","Louisiana",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",9036,8345,7975,7456,7596,7765,7805,7596,7448,7532,7417,7052,7275,6976,7088,7169,7301,7339,7371,7161,7166,7265,6926,6820,6591
 "22000","Louisiana",5,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",4667,3920,3743,3579,3615,3618,3572,3571,3313,3261,3267,3024,3118,2924,2945,3019,3037,2951,2866,2693,2633,2655,2568,2521,2357
 "22000","Louisiana",5,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",1059,1064,977,627,703,723,760,564,607,703,679,628,637,561,577,570,585,699,806,795,832,818,749,736,690
 "22000","Louisiana",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3310,3361,3255,3250,3278,3424,3473,3461,3528,3568,3471,3400,3520,3491,3566,3580,3679,3689,3699,3673,3701,3792,3609,3563,3544
 "22000","Louisiana",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",53865,43047,43384,49044,45449,44001,41516,41771,45271,47683,51918,48032,48658,50237,51662,51241,50917,44904,35594,32545,34137,34752,28765,27453,29128
 "22000","Louisiana",5,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",14010,12317,10323,10656,9831,9135,8684,8047,7477,7733,8651,8654,8559,8878,9828,9854,9428,9138,8147,6244,6361,6410,6188,5507,5311
 "22000","Louisiana",5,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",2331,2207,2095,1806,1802,1775,1705,1420,1367,1328,1332,1273,1177,1289,1281,1318,1433,1435,1423,1350,1225,1245,1170,1148,1251
 "22000","Louisiana",5,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",37524,28523,30966,36582,33816,33091,31127,32304,36427,38622,41935,38105,38922,40070,40553,40069,40056,34331,26024,24951,26551,27097,21407,20798,22566
 "22000","Louisiana",5,SAEMP27N,300,"22","   Utilities ","Number of jobs",9218,9274,9494,9958,10057,9897,9716,9662,9500,9314,9328,9524,9479,9340,9152,9155,8838,8605,8441,8488,8692,8611,8673,8572,8104
 "22000","Louisiana",5,SAEMP27N,400,"23","   Construction ","Number of jobs",131010,131566,132229,129414,124110,123764,121387,123312,135149,140267,139372,134572,124594,125155,129980,134785,142778,144364,143665,151103,155783,145862,124273,132346,131960
 "22000","Louisiana",5,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",26954,26927,26540,25478,23922,23337,23674,25526,27444,29764,30143,26436,23009,22047,24229,25184,23770,23283,29042,35964,35522,29426,23854,26916,25060
 "22000","Louisiana",5,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",41522,41817,41320,40049,37733,37440,35995,35677,39751,41683,41990,43259,39306,41411,42220,42433,47349,50928,47395,48269,46556,43820,38477,39947,39766
 "22000","Louisiana",5,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",62534,62822,64369,63887,62455,62987,61718,62109,67954,68820,67239,64877,62279,61697,63531,67168,71659,70153,67228,66870,73705,72616,61942,65483,67134
 "22000","Louisiana",5,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",180695,177026,173488,173347,161480,156861,153284,152118,152441,157492,152893,142654,137527,139616,141977,144070,147274,143936,135935,134771,135622,137921,131499,129134,134072
 "22000","Louisiana",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",91327,89154,86987,87814,80938,78960,78042,78655,82531,86680,82791,74489,69630,71136,73085,74639,77238,73222,65135,63516,63602,65463,60822,59370,62364
 "22000","Louisiana",5,SAEMP27N,511,"321","     Wood product manufacturing ","Number of jobs",9903,10079,9981,9334,8967,8134,8329,8377,8824,8679,7625,6125,5765,5849,5856,5813,6145,6467,6637,6623,6798,7196,7133,7286,7716
