GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",8471480,8669419,8840737,8791179,8660767,8617937,8665277,8725381,8809813,8939214,8999591,8725018,8709087,8808196,8932953,9051400,9220420,9386511,9511407,9627890,9797952,9917860,8936355,9161209,9601792
 "36000","New York",2,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",21000,20839,21745,22051,21934,22881,19300,19044,17716,17460,19023,18375,18128,19821,19707,22515,22608,22524,21022,22108,21588,21596,20749,21268,22742
 "36000","New York",2,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",8450480,8648580,8818992,8769128,8638833,8595056,8645977,8706337,8792097,8921754,8980568,8706643,8690959,8788375,8913246,9028885,9197812,9363987,9490385,9605782,9776364,9896264,8915606,9139941,9579050
 "36000","New York",2,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",7009701,7190733,7335187,7284926,7127454,7086690,7144845,7198250,7286090,7400245,7440709,7166325,7159075,7299111,7444889,7570645,7743944,7910869,8030424,8142724,8273558,8386042,7452884,7697633,8137941
 "36000","New York",2,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",5335,5378,5434,4903,4854,4704,4730,4836,4940,4889,5137,5115,5301,5336,5240,5286,5545,5771,5671,5809,5814,5830,5605,5655,5776
 "36000","New York",2,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",1163,1232,1280,1084,974,944,959,968,969,863,772,696,723,655,643,665,632,685,671,652,643,633,583,621,641
 "36000","New York",2,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",274,276,246,141,145,123,152,105,116,125,132,119,120,118,132,104,115,121,114,119,110,122,119,120,137
 "36000","New York",2,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3898,3870,3908,3678,3735,3637,3619,3763,3855,3901,4233,4300,4458,4563,4465,4517,4798,4965,4886,5038,5061,5075,4903,4914,4998
 "36000","New York",2,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",4347,4355,4383,4337,4173,4418,4756,4948,5281,5483,5633,4772,4630,4672,4673,4406,4619,4655,4438,4393,4729,4697,4506,4695,4877
 "36000","New York",2,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",209,185,166,191,194,196,137,163,238,275,343,362,449,581,638,490,505,455,329,107,145,144,137,141,169
 "36000","New York",2,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",3853,3881,3870,3783,3636,3843,4202,4353,4488,4588,4388,3746,3561,3497,3525,3471,3651,3802,3776,3907,4130,4112,3969,4122,4307
 "36000","New York",2,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",285,289,347,363,343,379,417,432,555,620,902,664,620,594,510,445,463,398,333,379,454,441,400,432,401
 "36000","New York",2,SAEMP27N,300,"22","   Utilities ","Number of jobs",43353,41757,41294,42815,42443,41284,39468,39434,39102,38719,38886,39366,38315,37267,36035,36174,37698,38327,37640,38051,37718,37119,36294,35490,36090
 "36000","New York",2,SAEMP27N,400,"23","   Construction ","Number of jobs",290816,317528,335050,341850,333528,332081,334593,335701,348116,363952,371422,334330,316228,316519,323268,335998,351437,370578,386439,397773,409981,417360,370979,384376,396663
 "36000","New York",2,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",65590,73222,78882,81764,80106,79568,81217,83220,87668,93468,96254,84840,79593,79086,81062,84933,89814,96382,101515,106227,109652,111011,96375,99526,105534
 "36000","New York",2,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",26255,28087,29426,29958,30686,30141,28811,27845,28173,28180,29937,29371,29990,29136,28501,28425,28670,29905,31121,31320,33451,33873,31542,32506,33707
 "36000","New York",2,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",198971,216219,226742,230128,222736,222372,224565,224636,232275,242304,245231,220119,206645,208297,213705,222640,232953,244291,253803,260226,266878,272476,243062,252344,257422
 "36000","New York",2,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",781065,759452,745336,709439,653742,615099,597943,583421,568447,554116,534185,477495,457711,459132,459318,456653,453396,455281,451144,445724,442950,439157,401087,409418,423805
 "36000","New York",2,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",426871,420436,418850,409858,374774,349526,341895,335861,331363,326335,317516,281110,268320,271143,269461,266778,265248,266167,262441,256812,256393,254262,232020,233595,240681
 "36000","New York",2,SAEMP27N,511,"321","     Wood product manufacturing ","Number of jobs",10476,10979,11166,10396,9896,9317,9607,9684,9818,9335,8439,7117,6719,6712,7009,7527,7949,8258,8400,7970,7860,7851,7200,7295,7816
 "36000","New York",2,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",23062,21926,22663,21989,19954,18096,17846,17624,17334,17582,17311,15571,15047,14874,15115,15128,15253,15424,15614,15719,15688,15794,14336,14933,15605
 "36000","New York",2,SAEMP27N,513,"331","     Primary metal manufacturing ","Number of jobs",17210,16667,16643,15524,14235,12867,12749,12748,12782,12188,12391,10310,9929,10355,10608,10361,10323,10431,10179,10183,10654,10640,9682,9594,10226
 "36000","New York",2,SAEMP27N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",70437,69521,69629,66527,61034,57618,57534,57099,57028,56886,55889,50080,48985,49888,51250,51499,51695,51219,50488,49287,49358,49975,45740,45774,46624
 "36000","New York",2,SAEMP27N,515,"333","     Machinery manufacturing ","Number of jobs",73868,71526,68843,68326,60933,54341,52331,51491,50470,50149,50257,45216,42531,44573,43538,42826,42338,41988,40004,38599,37864,37170,34114,33821,34385
 "36000","New York",2,SAEMP27N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",82269,80950,83576,90106,81301,76576,76265,74802,74008,71876,70669,65387,62170,62191,60696,58686,56845,58657,58475,57567,57421,55663,53703,52857,53950
 "36000","New York",2,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",23279,22684,22442,21390,19247,17609,15888,15349,15340,15262,15404,13515,13152,13228,13521,13419,13773,13516,13589,13197,13343,13208,12437,12766,13724
 "36000","New York",2,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",36232,35528,34896,32317,31006,29519,27793,26114,24105,22299,18943,13878,13526,13329,12013,11667,(D),(D),12006,(D),(D),(D),(D),(D),10836
 "36000","New York",2,SAEMP27N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",10457,10751,10275,10217,10056,9417,9953,10803,10985,11565,11854,10960,9733,9250,9179,8470,(D),(D),7923,(D),(D),(D),(D),(D),8034
 "36000","New York",2,SAEMP27N,521,"337","     Furniture and related product manufacturing ","Number of jobs",22180,22999,23253,21759,19746,19084,18847,18353,18362,18466,16948,13981,12958,13068,13057,13349,13366,13231,13165,12881,12642,12253,10129,10516,10936
 "36000","New York",2,SAEMP27N,522,"339","     Miscellaneous manufacturing ","Number of jobs",57401,56905,55464,51307,47366,45082,43082,41794,41131,40727,39411,35095,33570,33675,33475,33846,33167,33018,32598,30999,30474,30275,25605,27202,28545
 "36000","New York",2,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",354194,339016,326486,299581,278968,265573,256048,247560,237084,227781,216669,196385,189391,187989,189857,189875,188148,189114,188703,188912,186557,184895,169067,175823,183124
 "36000","New York",2,SAEMP27N,531,"311","     Food manufacturing ","Number of jobs",54245,54373,55176,55226,53823,53493,52352,51201,50774,51218,50090,48647,49227,49964,51819,52698,53101,54786,56248,57218,57290,57439,52869,55352,58287
 "36000","New York",2,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",8533,8200,8061,7049,7208,6854,6471,6444,6051,6296,6613,6461,6441,6363,6835,7159,8188,8359,9026,9835,10467,11163,10261,11965,13157
 "36000","New York",2,SAEMP27N,533,"313","     Textile mills ","Number of jobs",14397,12828,11690,10455,8900,7599,6869,6206,5596,5253,4846,4014,3999,3916,3779,3819,3814,3563,3525,3485,3379,3294,2846,2257,2227
 "36000","New York",2,SAEMP27N,534,"314","     Textile product mills ","Number of jobs",8017,7716,7785,7251,6282,5993,6037,5823,5563,5690,5269,4470,4035,3866,3957,4082,3912,3866,3761,3609,3552,3391,2901,2813,2737
 "36000","New York",2,SAEMP27N,535,"315","     Apparel manufacturing ","Number of jobs",79849,72130,65168,54496,45771,39213,37671,33928,30049,27691,25889,21439,19879,19716,19733,19264,18706,18164,16468,15704,14171,12406,8541,8562,8937
 "36000","New York",2,SAEMP27N,536,"316","     Leather and allied product manufacturing ","Number of jobs",5154,4329,3743,3112,2748,2424,2434,2232,2087,2016,2083,1782,1718,1731,1686,1695,1613,1598,1600,1573,1357,1230,966,1067,1120
 "36000","New York",2,SAEMP27N,537,"322","     Paper manufacturing ","Number of jobs",29280,28561,27536,25527,23389,22234,21480,21136,20313,19557,18820,16981,16404,16512,16518,16649,16459,16134,16019,15235,14547,14547,13854,13832,14014
 "36000","New York",2,SAEMP27N,538,"323","     Printing and related support activities ","Number of jobs",45380,45392,44080,41210,39189,37536,36851,36426,35186,33620,30890,26569,23523,22700,22188,21901,21364,21523,21163,20931,20384,19903,16231,16375,17023
 "36000","New York",2,SAEMP27N,539,"324","     Petroleum and coal products manufacturing ","Number of jobs",2985,2960,2915,2669,2433,2252,1983,1957,2001,2026,2006,1912,1838,1910,1953,1821,1834,1822,1835,1820,1820,1646,1625,1564,1676
 "36000","New York",2,SAEMP27N,541,"325","     Chemical manufacturing ","Number of jobs",71958,68571,67160,61995,60798,60403,57077,55918,53855,49990,46882,43654,41926,40455,40488,40080,38260,38266,37690,37970,38349,38753,38584,40489,41429
 "36000","New York",2,SAEMP27N,542,"326","     Plastics and rubber products manufacturing ","Number of jobs",34396,33956,33172,30591,28427,27572,26823,26289,25609,24424,23281,20456,20401,20856,20901,20707,20897,21033,21368,21532,21241,21123,20389,21547,22517
 "36000","New York",2,SAEMP27N,600,"42","   Wholesale trade ","Number of jobs",368130,376902,382614,370588,358159,355425,356431,355665,356533,359911,353696,331499,327004,332566,336159,337768,339689,342645,340253,340283,331693,328249,296573,297539,311414
 "36000","New York",2,SAEMP27N,700,"44-45","   Retail trade ","Number of jobs",844157,868232,887654,881236,869872,868603,879641,889360,892902,906207,905649,872427,883081,900223,920821,933745,948837,952906,951471,945918,939779,924412,808755,835823,848876
 "36000","New York",2,SAEMP27N,701,"441","    Motor vehicle and parts dealers ","Number of jobs",74748,77395,79126,79349,80053,81906,83244,82555,80361,79395,77017,70425,70404,73050,74878,75838,77997,79670,81279,80895,81569,82129,71546,75376,76041
