GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",1516388,1532662,1563936,1577432,1556541,1524751,1543662,1573857,1616490,1645715,1673742,1618958,1606128,1625056,1657454,1679892,1699684,1705945,1689282,1696327,1720358,1741574,1666465,1683378,1743257
 "40000","Oklahoma",6,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",10822,9995,11917,14393,12247,9758,11917,11604,10690,12120,12703,11399,9486,8747,10448,11398,9773,5799,7400,7174,6282,8754,12293,7504,13369
 "40000","Oklahoma",6,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",1505566,1522667,1552019,1563039,1544294,1514993,1531745,1562253,1605800,1633595,1661039,1607559,1596642,1616309,1647006,1668494,1689911,1700146,1681882,1689153,1714076,1732820,1654172,1675874,1729888
 "40000","Oklahoma",6,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",1185182,1199041,1221586,1228275,1204355,1179960,1190444,1213628,1247740,1270884,1292293,1228232,1216052,1244182,1278902,1297872,1320491,1328644,1310685,1319108,1345869,1357100,1285785,1310580,1362058
 "40000","Oklahoma",6,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",4086,4042,4090,3755,3868,3923,4020,4135,4198,4159,4207,4147,4236,4115,4157,4329,4451,4563,4675,4715,4842,4797,4834,5258,5535
 "40000","Oklahoma",6,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",344,334,361,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3679,3669,3681,3458,3490,3572,3717,3826,3917,3910,3965,3900,3977,3865,3903,4099,4207,4304,4393,4428,4562,4552,4607,5026,5329
 "40000","Oklahoma",6,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",29544,27868,27395,29954,28573,30399,32092,35613,41582,46181,50730,42422,43152,50870,57760,59644,61354,53557,43913,47566,52667,47980,31197,27323,29759
 "40000","Oklahoma",6,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",15260,14014,13574,13438,13215,13469,13612,14547,16192,17839,18515,18214,18707,21061,24019,24388,24134,23884,20919,18728,17938,16284,13371,11692,11211
 "40000","Oklahoma",6,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",2120,2072,2178,2008,2080,1987,1944,2134,2250,2409,2376,2085,1958,1935,1995,2015,2038,1994,2170,2213,2316,2380,2237,2186,2303
 "40000","Oklahoma",6,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",12164,11782,11643,14508,13278,14943,16536,18932,23140,25933,29839,22123,22487,27874,31746,33241,35182,27679,20824,26625,32413,29316,15589,13445,16245
