GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",1888382,1933166,1958940,1925645,1908114,1909204,1929570,1953422,1995574,2027600,2013462,1902814,1892280,1913098,1947206,1985125,2032130,2089967,2133884,2173373,2228983,2267383,2159572,2225246,2307528
 "45000","South Carolina",5,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",8737,7632,7584,7473,7999,7485,8304,7092,7595,6349,6439,7871,6515,6817,6839,7775,5527,6969,7270,7560,6396,5173,5667,5617,6545
 "45000","South Carolina",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",1879645,1925534,1951356,1918172,1900115,1901719,1921266,1946330,1987979,2021251,2007023,1894943,1885765,1906281,1940367,1977350,2026603,2082998,2126614,2165813,2222587,2262210,2153905,2219629,2300983
 "45000","South Carolina",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",1515776,1552553,1568418,1540372,1520612,1522090,1544676,1564851,1600889,1630258,1606164,1492677,1487565,1514217,1544822,1578000,1626129,1676954,1719836,1756791,1815584,1847874,1746589,1816227,1898133
 "45000","South Carolina",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",8106,7976,8037,7812,7605,7563,7550,7310,7463,6842,6774,6601,6934,6915,6778,6963,7073,7290,7296,7299,7542,7485,7271,7189,7402
 "45000","South Carolina",5,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",4282,4107,4000,3941,3888,3955,3968,3748,3567,3494,3220,3130,3133,3037,2994,2971,3035,3103,3056,3023,3106,3048,2918,2873,2921
 "45000","South Carolina",5,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),212,195,164,80,73,86,65,66,57,60,61,68,68,77,99,117,140,110,111,125,126,152
 "45000","South Carolina",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3546,3492,3631,3659,3522,3444,3502,3489,3810,3283,3488,3414,3741,3817,3716,3924,3961,4088,4123,4136,4326,4326,4228,4190,4329
 "45000","South Carolina",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",1921,2060,1881,1668,1637,1615,1565,1528,1507,1451,1481,1339,1243,1232,1193,1140,1157,1236,1467,1679,1729,1853,1924,1957,2062
 "45000","South Carolina",5,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),3,(D),(D),(D),(D),(D),5,(D),6,7,(D),(D),(D),3,4,10
 "45000","South Carolina",5,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",1861,1962,1717,1631,1598,1578,1531,1496,1465,1400,1425,1285,1182,1150,1112,1077,1090,1120,1341,1492,1570,1642,1680,1787,1925
 "45000","South Carolina",5,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),48,(D),(D),(D),(D),(D),58,(D),110,119,(D),(D),(D),241,166,127
 "45000","South Carolina",5,SAEMP27N,300,"22","   Utilities ","Number of jobs",12028,12064,12245,12289,12090,11939,11758,11631,12157,12063,12363,12437,12045,11919,12134,12212,12349,12346,12369,12355,12003,11491,11245,10918,10943
 "45000","South Carolina",5,SAEMP27N,400,"23","   Construction ","Number of jobs",112946,118380,117840,117309,116893,117271,119146,121969,130626,128666,113785,90894,82387,78773,79761,82074,84710,89162,96910,103499,106822,109820,105926,106902,111226
 "45000","South Carolina",5,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",29638,30812,29617,29402,30058,30936,31434,31643,34441,32621,29412,22642,20449,19042,19249,19804,19828,21423,22896,24102,24800,26118,24861,25357,27170
 "45000","South Carolina",5,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",15440,16872,18017,17691,18130,17346,17880,17933,18022,17989,15929,13275,12503,11888,12412,12195,12727,13337,15745,18436,17003,17571,16734,16433,17153
 "45000","South Carolina",5,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",67868,70696,70206,70216,68705,68989,69832,72393,78163,78056,68444,54977,49435,47843,48100,50075,52155,54402,58269,60961,65019,66131,64331,65112,66903
 "45000","South Carolina",5,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",341130,334228,334071,315009,291129,279163,267164,260668,255348,250614,243285,214738,208040,216455,221508,225165,230746,236149,238247,240486,249748,258478,244589,249841,261614
 "45000","South Carolina",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",148903,149713,156049,149762,139926,136737,135937,137159,137211,138962,136640,118245,114210,121002,126035,129348,133674,137685,139574,139892,146199,152711,145158,148860,156606
 "45000","South Carolina",5,SAEMP27N,511,"321","     Wood product manufacturing ","Number of jobs",10609,10383,10385,9192,9148,9153,9827,10025,10357,10053,9141,7375,7270,7329,7272,7586,7855,8006,8193,8315,8694,8396,7837,8042,8651
 "45000","South Carolina",5,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing ","Number of jobs",9608,9997,10326,10647,9921,9217,8969,9634,9869,9838,9285,7480,7129,6996,6788,6770,6392,6648,6872,7307,7544,7586,7138,7301,7829
 "45000","South Carolina",5,SAEMP27N,513,"331","     Primary metal manufacturing ","Number of jobs",7566,7135,7480,7190,6820,6570,6262,7006,7155,6876,6955,5788,5389,5693,5876,5777,5844,5951,5628,5486,5709,6280,5898,5870,6243
 "45000","South Carolina",5,SAEMP27N,514,"332","     Fabricated metal product manufacturing ","Number of jobs",29844,29726,30520,29862,27966,27549,27380,27507,26836,26833,26799,23006,22765,23960,25150,25531,26920,28347,28437,25618,25543,25577,23639,23451,23956
 "45000","South Carolina",5,SAEMP27N,515,"333","     Machinery manufacturing ","Number of jobs",28487,27069,27493,24616,22347,22450,21203,21653,21682,22237,23329,21394,20339,22326,22287,22042,21868,21056,21315,20750,20891,21543,20948,22263,24221
 "45000","South Carolina",5,SAEMP27N,516,"334","     Computer and electronic product manufacturing ","Number of jobs",9441,9133,9651,9409,8171,7689,7244,7125,7121,6887,7002,6159,6196,6215,6048,6050,6380,6487,5907,6312,6516,6950,6954,6638,6961
 "45000","South Carolina",5,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Number of jobs",13182,13936,14727,13923,11970,10584,11146,11245,11488,12300,11801,10910,10239,10588,11000,11599,12032,12444,12404,12346,12700,13580,13840,15535,17328
 "45000","South Carolina",5,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Number of jobs",20602,22161,24655,(D),(D),(D),(D),(D),(D),(D),(D),(D),17594,19141,21387,23188,25261,26885,28253,30772,34984,38194,35576,36740,37448
 "45000","South Carolina",5,SAEMP27N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Number of jobs",5278,5604,6041,(D),(D),(D),(D),(D),(D),(D),(D),(D),7837,9471,10869,11309,11635,12157,13009,13095,12993,13267,12368,11626,12277
 "45000","South Carolina",5,SAEMP27N,521,"337","     Furniture and related product manufacturing ","Number of jobs",6038,6020,5935,5489,4925,4275,3967,3725,3769,3798,3517,2695,2322,2228,2216,2169,2335,2600,2705,2903,2991,2932,3018,3403,3427
 "45000","South Carolina",5,SAEMP27N,522,"339","     Miscellaneous manufacturing ","Number of jobs",8248,8549,8836,8502,8023,8304,7973,7575,7364,7575,7747,7515,7130,7055,7142,7327,7152,7104,6851,6988,7634,8406,7942,7991,8265
 "45000","South Carolina",5,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing ","Number of jobs",192227,184515,178022,165247,151203,142426,131227,123509,118137,111652,106645,96493,93830,95453,95473,95817,97072,98464,98673,100594,103549,105767,99431,100981,105008
 "45000","South Carolina",5,SAEMP27N,531,"311","     Food manufacturing ","Number of jobs",16375,17400,16853,17122,17592,17920,17818,17045,17122,17617,17524,18091,18242,18650,18584,18635,18612,18565,18098,18131,18460,19209,18643,18629,19013
 "45000","South Carolina",5,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing ","Number of jobs",1250,1414,1564,1622,1453,1447,1155,1153,1192,1166,1172,1163,1121,1164,1219,1245,1196,1344,1492,1740,1839,1988,2033,2368,2775
