GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "47000","Tennessee",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",2724800,2776704,2820380,2781665,2762431,2764845,2812872,2843586,2888426,2903668,2880826,2716254,2709739,2754075,2806409,2846398,2903879,2975215,3040549,3083963,3133993,3195762,3074162,3170189,3305841
 "47000","Tennessee",5,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",11422,11442,10879,10950,9972,12632,12403,9862,9935,9770,9417,8420,8430,9323,9902,9138,9927,11141,9177,11007,10809,10526,10586,10787,11523
 "47000","Tennessee",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",2713378,2765262,2809501,2770715,2752459,2752213,2800469,2833724,2878491,2893898,2871409,2707834,2701309,2744752,2796507,2837260,2893952,2964074,3031372,3072956,3123184,3185236,3063576,3159402,3294318
 "47000","Tennessee",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",2309428,2354732,2388830,2347080,2319924,2318082,2361858,2396158,2436103,2446961,2416974,2255304,2243649,2290134,2346605,2389178,2448343,2521437,2585801,2625145,2671394,2729042,2612853,2712806,2843236
 "47000","Tennessee",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",5352,5306,5278,5143,4950,4814,4600,4546,4581,4535,4384,4410,4523,4584,4720,4865,5030,5124,4999,5005,5120,5049,4769,4762,5073
 "47000","Tennessee",5,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",1258,1221,1245,(D),1116,(D),1016,942,879,841,783,827,765,731,769,866,978,1051,996,924,900,887,814,787,788
 "47000","Tennessee",5,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",(T),(T),(T),(D),8,(D),8,9,13,14,13,12,9,8,7,7,10,13,16,22,20,16,13,13,15
 "47000","Tennessee",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3900,3907,3859,3915,3826,3730,3576,3595,3689,3680,3588,3571,3749,3845,3944,3992,4042,4060,3987,4059,4200,4146,3942,3962,4270
 "47000","Tennessee",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",4157,4097,3998,3839,3513,3229,3082,3225,3316,3872,3920,3228,3548,3591,3424,3423,3429,3457,3061,3273,3511,3627,3374,3466,3763
 "47000","Tennessee",5,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",57,56,64,69,57,49,41,43,48,50,59,49,48,55,54,58,50,40,24,35,46,53,44,43,49
