GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",1070842,1097247,1124807,1130770,1125873,1126674,1158056,1200061,1257996,1306859,1307395,1241949,1235032,1262604,1303978,1342337,1381251,1428555,1480314,1528376,1579306,1624360,1609937,1686443,1759886
 "49000","Utah",7,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",4481,4597,4765,4889,4056,5006,4786,4936,5063,4492,4713,4548,4745,4477,4495,4792,4501,4373,4619,5688,4969,4946,5257,4786,5483
 "49000","Utah",7,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",1066361,1092650,1120042,1125881,1121817,1121668,1153270,1195125,1252933,1302367,1302682,1237401,1230287,1258127,1299483,1337545,1376750,1424182,1475695,1522688,1574337,1619414,1604680,1681657,1754403
 "49000","Utah",7,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",872544,895266,916325,918818,909091,907198,935832,974912,1030184,1076952,1074158,1005867,995837,1018698,1058136,1096519,1134241,1179842,1225530,1266007,1313325,1352192,1338408,1411324,1480816
 "49000","Utah",7,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",2011,1885,1741,1196,1201,1200,1183,1201,1241,1351,1381,1331,1375,1390,1396,1451,1513,1578,1621,1592,1619,1640,1655,1718,1805
 "49000","Utah",7,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",(T),(T),(T),92,76,57,46,47,43,47,51,(D),44,45,45,(D),61,(D),77,(D),(D),(D),33,28,32
 "49000","Utah",7,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",398,354,239,109,131,123,76,86,106,158,157,(D),168,157,171,(D),172,(D),218,(D),(D),(D),183,187,212
 "49000","Utah",7,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",1459,1370,1338,995,994,1020,1061,1068,1092,1146,1173,1151,1163,1188,1180,1223,1280,1309,1326,1368,1427,1439,1439,1503,1561
 "49000","Utah",7,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",7611,7193,7359,7207,6894,6684,7149,8464,10117,11124,12539,10653,10372,11580,12480,12135,12180,10322,8463,8596,9443,9329,8617,8802,9962
 "49000","Utah",7,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",545,516,530,551,563,645,733,820,1095,1267,1413,1357,1408,1589,1802,1935,2021,1740,1468,1243,1213,1176,909,784,893
 "49000","Utah",7,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",5197,5103,4926,4320,4074,3860,3851,4256,4765,4957,5228,5128,4748,5015,5137,4805,4728,4549,4096,4158,4846,4836,4893,5014,5287
 "49000","Utah",7,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",1869,1574,1903,2336,2257,2179,2565,3388,4257,4900,5898,4168,4216,4976,5541,5395,5431,4033,2899,3195,3384,3317,2815,3004,3782
 "49000","Utah",7,SAEMP27N,300,"22","   Utilities ","Number of jobs",4827,4508,4462,4219,4037,3892,3908,3943,4042,4116,4152,4139,4062,4019,4019,3908,3888,3914,3856,3918,3918,3830,3701,3562,3637
