GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "51000","Virginia",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",3560427,3649856,3753970,3760473,3746524,3757420,3839333,3915225,3965608,3998351,3993678,3864857,3852484,3881610,3926456,3947762,3972383,4048926,4113850,4151690,4187177,4241662,4033049,4131257,4255727
 "51000","Virginia",5,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",11002,11297,10959,11347,12533,14297,11739,9788,9859,9414,9266,9842,13123,10307,10499,11663,14301,12948,11967,9774,11043,9186,8220,8530,9613
 "51000","Virginia",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",3549425,3638559,3743011,3749126,3733991,3743123,3827594,3905437,3955749,3988937,3984412,3855015,3839361,3871303,3915957,3936099,3958082,4035978,4101883,4141916,4176134,4232476,4024829,4122727,4246114
 "51000","Virginia",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",2772684,2851415,2935872,2940788,2911244,2917543,2991048,3063170,3104141,3130280,3111840,2981760,2965000,3000752,3043819,3066621,3088602,3162544,3211047,3251849,3303406,3355717,3170167,3263022,3383907
 "51000","Virginia",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",6816,6680,6492,5766,5475,5531,5590,5571,5521,5579,5519,5406,5570,5547,5726,5950,6073,6818,7001,7143,6994,6487,6193,6188,6307
 "51000","Virginia",5,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",3353,3213,3030,2533,2288,2250,2279,2225,2172,2137,2014,1907,1977,1954,2080,2159,2277,2379,2308,2333,2194,2188,2136,2114,2102
 "51000","Virginia",5,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",252,235,221,124,165,165,190,185,195,229,231,221,232,223,223,211,215,235,247,252,309,284,251,233,249
 "51000","Virginia",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",3211,3232,3241,3109,3022,3116,3121,3161,3154,3213,3274,3278,3361,3370,3423,3580,3581,4204,4446,4558,4491,4015,3806,3841,3956
 "51000","Virginia",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",9642,9034,8973,9108,8668,8179,8288,8764,9445,9072,9286,8484,8587,9048,9028,8069,7463,6839,5770,5941,5939,5949,5110,5084,5246
 "51000","Virginia",5,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",330,357,287,243,211,157,172,249,244,280,366,417,446,445,425,388,379,367,295,255,228,190,178,195,191
