GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs) ","Number of jobs",2789554,2854408,2910707,2902109,2865981,2875510,2913915,2983029,3072918,3143374,3177301,3034348,2997186,3028819,3129288,3196805,3280951,3361729,3451989,3527789,3609042,3687321,3494233,3582684,3750100
 "53000","Washington",8,SAEMP27N,70,"111-112"," Farm wage and salary employment ","Number of jobs",43368,46443,41291,44576,44217,47682,42139,42703,43496,39661,47611,47567,48036,47194,56396,53313,53512,51723,52493,52719,53588,61248,56529,59217,58781
 "53000","Washington",8,SAEMP27N,80,"..."," Nonfarm wage and salary employment ","Number of jobs",2746186,2807965,2869416,2857533,2821764,2827828,2871776,2940326,3029422,3103713,3129690,2986781,2949150,2981625,3072892,3143492,3227439,3310006,3399496,3475070,3555454,3626073,3437704,3523467,3691319
 "53000","Washington",8,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment ","Number of jobs",2204565,2257029,2306329,2287195,2235019,2236451,2277099,2339185,2424667,2493832,2503102,2356004,2316646,2356105,2452267,2524253,2606531,2681175,2756662,2822427,2902123,2967224,2794702,2883789,3043403
 "53000","Washington",8,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",27177,26507,25785,25068,25839,25800,26501,27145,27451,27050,26978,27300,27833,28222,29991,30682,31300,32538,31742,32160,32607,33007,31853,31759,31820
 "53000","Washington",8,SAEMP27N,101,"113","    Forestry and logging ","Number of jobs",7834,8183,7765,7273,7160,6533,6569,6209,5868,5644,5253,4307,4253,4325,4377,4550,4506,4507,4304,4176,4126,4041,3844,3959,3941
 "53000","Washington",8,SAEMP27N,102,"114","    Fishing, hunting and trapping ","Number of jobs",2704,2663,2174,2062,2204,2330,2405,2294,2272,2139,2212,1962,2026,1809,1881,1617,1458,1831,1691,1524,1322,1375,1282,1196,1135
 "53000","Washington",8,SAEMP27N,103,"115","    Support activities for agriculture and forestry ","Number of jobs",16639,15661,15846,15733,16475,16937,17527,18642,19311,19267,19513,21031,21554,22088,23733,24515,25336,26200,25747,26460,27159,27591,26727,26604,26744
 "53000","Washington",8,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",3850,3664,3441,3394,3061,3009,3293,3383,3461,3129,2953,2365,2201,2202,2156,2161,2244,2401,2434,2558,2634,2305,2114,2170,2026
 "53000","Washington",8,SAEMP27N,201,"211","    Oil and gas extraction ","Number of jobs",30,19,17,(D),(D),(D),0,0,0,0,0,0,(D),(D),(D),3,7,24,22,(D),(D),(D),(D),(D),(D)
 "53000","Washington",8,SAEMP27N,202,"212","    Mining (except oil and gas) ","Number of jobs",3659,3434,3161,3267,2931,2887,3122,3221,3318,2912,2734,2222,2028,1983,1973,1968,2041,2162,2193,2262,2256,2088,1896,1904,1840
 "53000","Washington",8,SAEMP27N,203,"213","    Support activities for mining ","Number of jobs",161,211,263,(D),(D),(D),171,162,143,217,219,143,(D),(D),(D),190,196,215,219,(D),(D),(D),(D),(D),(D)
 "53000","Washington",8,SAEMP27N,300,"22","   Utilities ","Number of jobs",4986,4932,4917,4802,4524,4428,4423,4463,4583,4460,4703,4768,4862,4869,4913,4823,4838,4942,4646,4822,5120,5246,5292,5402,5598
 "53000","Washington",8,SAEMP27N,400,"23","   Construction ","Number of jobs",149398,159994,165944,165094,160210,162619,170903,183922,202393,215766,206371,163523,144411,139529,142641,153034,164785,179297,191756,205308,218279,224725,217340,228207,235813
 "53000","Washington",8,SAEMP27N,401,"236","    Construction of buildings ","Number of jobs",41557,43969,44370,43379,43548,43621,45046,48536,53433,56265,52736,40547,35658,34332,34711,37611,41152,45159,48303,53153,56996,58547,56780,59855,62924
 "53000","Washington",8,SAEMP27N,402,"237","    Heavy and civil engineering construction ","Number of jobs",20558,21242,21406,20758,19827,20249,21277,22264,24307,24825,22902,19514,17736,17545,18280,19507,19610,19759,20225,20864,21448,22340,21833,22174,22048
 "53000","Washington",8,SAEMP27N,403,"238","    Specialty trade contractors ","Number of jobs",87283,94783,100168,100957,96835,98749,104580,113122,124653,134676,130733,103462,91017,87652,89650,95916,104023,114379,123228,131291,139835,143838,138727,146178,150841
 "53000","Washington",8,SAEMP27N,500,"31-33","   Manufacturing ","Number of jobs",361727,346403,334171,317459,285944,267230,264055,271718,285591,293106,290947,265745,258042,268941,280365,286464,288518,291196,289718,283783,287354,293615,271406,259270,268573
 "53000","Washington",8,SAEMP27N,510,"321,327-339","    Durable goods manufacturing ","Number of jobs",262657,248091,237510,225721,199718,184034,182755,191004,203801,211814,211148,190199,183601,192973,204248,209079,209446,211237,207365,200124,201868,206688,189603,175401,181811
