GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAINC30,10,"...","Personal income (millions of dollars) ","Millions of dollars",1215.8,1286.9,1316.1,1391.9,1487.9,1523.0,1574.8,1793.8,1817.3,1931.8,2065.1,2391.0,2647.7,2894.2,3304.3,3820.5,4497.4,4866.7,5436.2,5942.3,6829.9,7467.5,8395.9,9233.9,9694.1,10599.7,11280.4,11923.4,12165.6,12674.4,13748.0,15124.5,16343.3,17199.2,18881.9,20689.5,22134.2,23788.6,25263.8,26370.0,28498.1,30180.1,32667.0,34059.4,35213.9,36454.9,39386.7,41724.7,45887.7,48853.5,50157.4,48498.8,50201.9,53076.5,55719.8,57790.6,60897.0,64564.3,67294.1,71472.6,76529.6,83019.4,91888.5,103114.0,109775.9
 "16000","Idaho",7,SAINC30,45,"...","Net earnings by place of residence ","Millions of dollars",962.0,1014.5,1030.8,1083.8,1161.3,1180.1,1218.2,1413.8,1416.9,1494.1,1585.5,1828.3,1988.2,2132.3,2456.8,2835.3,3336.0,3469.3,3904.0,4240.0,4934.6,5310.7,5830.3,6212.2,6185.5,6827.2,7252.7,7544.8,7690.4,8223.1,9007.8,9902.0,10793.5,11278.2,12510.4,13778.2,14672.8,15508.1,16415.6,17038.9,18632.0,20201.8,21980.8,22642.1,23477.0,23858.5,25711.8,27056.6,29596.1,31236.3,30997.4,29683.4,30456.4,32107.7,33251.6,35149.7,36842.0,38791.0,40260.4,42851.2,46154.6,50030.9,53677.0,59047.8,64271.5
 "16000","Idaho",7,SAINC30,50,"...","Personal current transfer receipts ","Millions of dollars",78.1,84.8,90.1,101.8,105.7,109.0,112.0,120.2,129.1,154.9,174.3,193.7,228.7,269.2,306.3,350.7,421.5,523.7,592.5,628.4,670.4,782.6,937.4,1074.0,1232.6,1303.5,1349.2,1445.3,1524.8,1569.8,1686.0,1834.1,1978.5,2214.4,2477.9,2666.7,2829.0,3114.1,3329.5,3455.2,3598.5,3823.1,4144.7,4630.9,5025.6,5336.9,5717.8,6178.0,6706.5,7282.0,8477.4,9323.7,10249.4,10294.0,10430.5,10776.2,11345.3,12029.1,12568.6,13198.6,14053.9,15165.5,19283.6,22417.5,20629.9
 "16000","Idaho",7,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",10.0,10.2,10.2,10.3,10.2,10.1,9.9,9.9,10.0,11.9,12.3,13.5,17.8,20.0,25.6,22.2,32.5,41.8,47.5,50.4,50.2,65.0,89.8,94.6,96.3,101.1,100.2,104.1,107.3,108.0,116.8,126.6,138.7,160.5,194.9,214.7,234.3,266.7,285.7,287.8,281.1,303.5,307.8,321.6,375.2,435.2,481.3,541.7,558.7,627.7,701.7,874.9,1016.9,1089.7,1069.4,1078.3,1042.1,1049.9,1038.1,1013.7,979.1,1061.8,1191.6,1813.7,2272.8
 "16000","Idaho",7,SAINC30,70,"..."," Unemployment insurance compensation ","Millions of dollars",11.6,10.7,11.5,15.2,12.0,10.9,9.7,7.3,7.0,8.7,8.3,8.5,11.7,19.3,21.5,17.4,24.8,46.2,43.4,37.5,34.6,47.6,75.6,82.2,145.1,124.9,84.9,89.9,98.0,80.5,67.9,65.0,71.8,100.7,131.5,140.2,107.9,112.8,115.3,110.3,118.9,113.5,112.9,165.1,249.3,252.1,176.2,144.9,121.8,139.1,265.0,638.8,598.9,440.0,320.8,213.9,137.8,128.9,122.3,114.1,91.2,93.1,1006.5,338.7,74.2
 "16000","Idaho",7,SAINC30,80,"..."," Retirement and other ","Millions of dollars",56.4,63.9,68.5,76.4,83.5,88.0,92.5,102.9,112.1,134.4,153.6,171.6,199.2,229.9,259.2,311.2,364.2,435.7,501.6,540.6,585.6,670.0,772.1,897.3,991.1,1077.5,1164.2,1251.3,1319.5,1381.2,1501.3,1642.5,1768.0,1953.2,2151.6,2311.9,2486.8,2734.5,2928.6,3057.1,3198.4,3406.1,3724.0,4144.2,4401.2,4649.6,5060.4,5491.4,6026.0,6515.2,7510.7,7810.1,8633.6,8764.3,9040.3,9484.0,10165.4,10850.3,11408.2,12070.8,12983.7,14010.6,17085.5,20265.1,18283.0
 "16000","Idaho",7,SAINC30,90,"...","Dividends, interest, and rent ","Millions of dollars",175.7,187.5,195.2,206.3,221.0,233.9,244.6,259.9,271.3,282.9,305.3,369.1,430.8,492.7,541.1,634.5,739.9,873.7,939.7,1073.9,1225.0,1374.2,1628.3,1947.7,2276.1,2469.0,2678.5,2933.3,2950.4,2881.5,3054.2,3388.4,3571.2,3706.6,3893.5,4244.6,4632.4,5166.5,5518.7,5875.9,6267.6,6155.2,6541.5,6786.4,6711.2,7259.6,7957.1,8490.0,9585.1,10335.2,10682.6,9491.7,9496.1,10674.9,12037.8,11864.8,12709.7,13744.2,14465.1,15422.8,16321.1,17823.0,18927.9,21648.7,24874.4
 "16000","Idaho",7,SAINC30,91,"..."," Personal dividend income ","Millions of dollars",19.5,22.8,24.9,29.5,30.5,32.5,32.0,42.8,46.8,55.0,37.5,39.2,40.6,43.0,47.1,58.1,70.3,76.9,91.6,106.8,125.3,145.4,164.4,182.1,200.9,210.5,226.8,260.9,281.4,295.3,384.6,499.3,562.6,627.6,684.2,778.0,946.1,1066.1,1226.5,1369.1,1523.1,1487.3,1600.1,1542.9,1668.8,2028.0,2700.7,2891.1,3575.9,3884.9,3707.6,2480.9,2563.8,3326.3,4248.8,4085.4,4624.4,5302.3,5491.3,5992.1,6277.0,7014.2,7679.2,9673.6,11835.8
 "16000","Idaho",7,SAINC30,92,"..."," Personal interest income ","Millions of dollars",101.9,103.0,107.5,114.1,125.7,134.3,146.1,151.0,159.2,163.4,204.3,250.8,309.5,349.1,390.2,455.7,555.9,689.5,748.1,880.8,1008.2,1141.0,1352.5,1623.5,1919.0,2142.6,2328.8,2546.7,2570.9,2493.9,2557.3,2772.5,2865.5,2889.4,2955.6,3065.4,3220.2,3565.9,3668.1,3825.9,4026.8,3867.4,4081.5,4273.3,3991.4,4122.1,4029.7,4525.2,5076.7,5517.1,5666.8,5356.0,4967.8,5035.8,5394.0,5076.3,5331.6,5690.7,6069.1,6445.1,6759.6,7296.4,7302.2,7412.2,8093.1
 "16000","Idaho",7,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",51.3,56.5,59.6,62.8,67.1,71.9,78.8,81.7,84.1,90.2,100.8,125.9,163.7,188.3,214.1,240.6,292.1,396.2,412.8,472.1,536.1,545.2,607.1,653.7,835.6,1097.5,1109.0,1323.8,1359.8,1374.7,1411.0,1472.2,1519.0,1607.6,1743.8,1873.6,1967.0,2171.3,2211.3,2338.6,2313.6,2210.6,2304.8,2339.5,2377.1,2546.2,2650.1,2844.4,3072.9,3226.1,3423.7,3422.3,3338.2,3388.8,3464.9,3404.2,3590.1,3771.3,3884.4,4068.1,4298.0,4448.0,4322.9,4343.9,4669.2
