GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,SAINC30,10,"...","Personal income (millions of dollars) ","Millions of dollars",1414.3,1392.4,1451.3,1454.6,1701.3,1691.6,1727.5,1856.3,1989.5,2029.1,2128.3,2350.5,2604.2,2787.3,3230.3,3745.2,4069.9,4478.7,4806.5,5197.9,6090.5,6549.4,7215.7,8194.4,8632.6,9082.3,9594.0,9735.9,10122.8,10355.1,10679.8,11763.6,12379.2,13216.6,14009.3,15154.0,15574.4,16400.0,17173.6,17910.2,19125.7,19496.9,20770.5,21685.2,22350.3,24015.2,26072.2,28052.0,30362.7,32646.8,34730.5,33926.6,35670.9,38082.7,40436.9,40786.0,42901.4,44583.3,45283.3,48003.3,50352.0,53393.0,58208.8,64542.1,68477.0
 "30000","Montana",7,SAINC30,45,"...","Net earnings by place of residence ","Millions of dollars",1113.9,1066.5,1110.7,1106.2,1334.4,1312.7,1320.6,1417.2,1517.2,1511.4,1585.0,1746.6,1908.1,2018.0,2379.7,2752.9,2909.3,3129.0,3323.3,3545.0,4234.5,4434.0,4699.1,5181.1,5239.3,5475.5,5683.5,5654.5,5960.2,6199.6,6330.6,6985.0,7306.0,7947.7,8501.4,9359.8,9481.8,9791.8,10254.5,10630.2,11446.3,11898.4,12489.7,12942.9,13519.0,14522.0,15871.2,17185.4,18249.8,19457.2,20092.5,19642.8,20651.1,22321.6,23681.3,24140.2,24821.5,25666.1,25672.3,26575.7,27776.1,29437.8,30805.8,33985.2,37475.7
 "30000","Montana",7,SAINC30,50,"...","Personal current transfer receipts ","Millions of dollars",99.6,107.5,108.1,117.2,119.0,121.4,126.1,134.2,142.7,168.9,191.1,209.5,241.1,280.4,309.9,359.9,422.8,514.2,569.9,614.7,674.5,759.8,894.9,1034.4,1157.6,1268.4,1353.0,1430.5,1527.7,1600.8,1692.9,1856.0,2032.5,2140.0,2320.8,2492.9,2588.5,2773.6,2879.9,2940.3,3052.2,3030.7,3389.5,3670.6,3808.0,3980.7,4243.3,4541.6,4916.5,5246.9,5965.3,6465.1,7059.1,6990.0,7186.5,7371.3,7755.3,8123.6,8778.5,9585.9,9928.9,10579.4,13483.0,14709.0,13110.5
 "30000","Montana",7,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",11.2,11.3,10.6,10.6,10.5,10.2,10.5,10.0,9.7,11.0,11.2,11.9,17.4,22.1,22.6,24.1,32.1,34.5,40.3,41.7,42.8,49.7,70.8,75.6,77.8,89.5,96.1,106.3,116.5,120.1,131.1,139.1,150.4,168.5,192.7,202.4,220.8,249.1,267.3,260.7,268.6,261.2,266.8,283.7,311.4,350.6,359.5,386.2,392.7,409.2,427.7,519.0,589.6,619.8,624.5,636.1,629.1,597.9,602.6,610.3,589.0,611.3,705.6,1002.2,872.1
 "30000","Montana",7,SAINC30,70,"..."," Unemployment insurance compensation ","Millions of dollars",17.3,15.3,14.4,16.4,10.2,9.1,9.2,7.7,6.5,7.1,6.8,7.1,9.5,14.1,17.8,15.6,21.1,42.0,45.0,39.7,34.5,38.0,56.5,57.7,84.9,96.9,75.5,67.9,64.2,58.0,45.5,43.7,47.8,60.6,85.4,88.9,72.1,67.0,71.7,67.0,64.3,68.2,70.6,82.0,95.7,103.7,81.4,69.0,68.7,73.0,119.1,307.6,329.7,246.9,217.3,168.5,115.3,121.6,128.0,116.1,107.2,108.4,1063.1,423.1,69.6
 "30000","Montana",7,SAINC30,80,"..."," Retirement and other ","Millions of dollars",71.1,80.9,83.2,90.1,98.2,102.0,106.4,116.5,126.5,150.8,173.0,190.6,214.3,244.2,269.4,320.1,369.5,437.7,484.6,533.3,597.3,672.2,767.7,901.2,994.9,1082.0,1181.5,1256.3,1347.0,1422.7,1516.3,1673.1,1834.3,1910.8,2042.7,2201.6,2295.6,2457.6,2540.9,2612.5,2719.3,2701.3,3052.0,3304.8,3400.9,3526.4,3802.4,4086.4,4455.1,4764.8,5418.5,5638.5,6139.9,6123.3,6344.7,6566.7,7010.9,7404.1,8047.8,8859.5,9232.7,9859.7,11714.3,13283.7,12168.8
 "30000","Montana",7,SAINC30,90,"...","Dividends, interest, and rent ","Millions of dollars",200.8,218.4,232.5,231.2,248.0,257.5,280.8,304.9,329.6,348.8,352.3,394.4,454.9,488.9,540.7,632.4,737.9,835.6,913.2,1038.2,1181.5,1355.5,1621.7,1978.9,2235.7,2338.4,2557.4,2651.0,2635.0,2554.6,2656.2,2922.6,3040.7,3129.0,3187.1,3301.4,3504.1,3834.6,4039.3,4339.8,4627.3,4567.8,4891.3,5071.7,5023.3,5512.5,5957.7,6325.0,7196.4,7942.8,8672.8,7818.7,7960.7,8771.1,9569.0,9274.4,10324.7,10793.6,10832.5,11841.7,12647.0,13375.9,13919.9,15847.8,17890.9
 "30000","Montana",7,SAINC30,91,"..."," Personal dividend income ","Millions of dollars",27.9,30.8,32.9,32.6,36.3,36.4,42.3,51.2,56.7,59.7,51.0,51.9,52.9,55.4,60.2,70.6,82.1,87.4,103.8,120.0,140.3,162.7,178.8,192.8,219.0,228.2,234.4,249.6,273.7,267.9,319.3,398.3,429.4,477.8,497.2,546.9,627.2,672.4,793.4,885.1,937.2,936.5,974.8,997.0,1094.0,1391.1,1946.0,1950.1,2548.1,2953.0,3037.9,2224.5,2224.2,2698.7,3057.6,2766.2,3273.7,3849.4,3858.4,4478.4,4820.5,5480.2,5923.1,7432.7,8518.0
 "30000","Montana",7,SAINC30,92,"..."," Personal interest income ","Millions of dollars",102.8,118.5,131.3,133.7,143.7,155.1,170.9,185.6,203.5,221.6,235.6,266.6,318.7,357.3,394.7,461.5,551.4,649.9,714.4,836.8,949.8,1101.8,1333.4,1636.9,1850.3,1963.8,2173.9,2255.8,2259.3,2189.5,2230.0,2413.3,2482.6,2488.5,2468.7,2462.8,2513.4,2776.9,2859.0,2988.7,3204.5,3117.0,3371.8,3454.2,3265.9,3382.2,3100.1,3420.6,3800.8,4153.0,4362.4,4240.4,4015.7,4053.9,4258.7,3995.1,4198.2,4498.0,4663.0,4938.9,5037.9,5290.5,5186.3,5225.7,5708.0
 "30000","Montana",7,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",43.4,51.1,58.2,64.6,68.8,74.6,80.4,84.2,89.4,95.4,100.8,115.2,143.1,164.5,184.5,209.1,245.6,309.8,330.9,374.6,423.8,444.7,513.2,574.9,691.1,840.1,865.7,969.5,1008.0,1037.8,1060.8,1103.8,1140.7,1200.8,1263.9,1339.2,1376.9,1500.2,1539.0,1652.2,1666.4,1656.7,1743.1,1757.4,1792.9,1936.7,1990.1,2115.0,2272.0,2396.3,2573.6,2644.2,2643.0,2715.4,2772.9,2688.8,2822.8,2952.8,3009.7,3089.3,3148.5,3216.3,3140.1,3127.4,3376.8
