GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,SAINC30,10,"...","Personal income (millions of dollars) ","Millions of dollars",17896.0,18929.4,19437.8,20546.0,21582.3,22539.1,24171.3,26016.7,28468.5,31101.0,34653.9,38575.0,42497.0,46116.2,51173.4,58113.0,65532.3,74746.7,84227.6,93978.6,108293.3,124674.9,143179.4,168206.0,185427.4,198102.2,216621.1,233449.0,238841.0,242766.1,258008.1,275613.3,297664.4,311648.5,336384.6,356047.5,376212.5,402352.7,432484.5,472267.8,514882.6,543797.6,591738.3,631080.2,639443.1,664814.9,696381.3,754775.9,827439.7,878902.4,968499.3,923470.7,982052.8,1074858.0,1142887.5,1173747.4,1257639.6,1281170.1,1276330.6,1367826.0,1463789.8,1536597.0,1611228.3,1789719.4,1879419.6
 "48000","Texas",6,SAINC30,45,"...","Net earnings by place of residence ","Millions of dollars",14476.1,15184.8,15447.0,16296.4,17046.9,17673.7,19012.2,20478.3,22519.2,24521.7,27440.5,30284.8,32782.2,35191.8,39020.3,44006.6,48892.7,55311.0,63164.0,70990.2,81989.1,94455.2,106732.0,124397.7,133588.6,140071.0,152626.6,162930.0,165588.3,169538.2,180074.3,190737.4,207283.9,217082.6,234749.3,249965.6,263315.9,279659.2,301942.8,333452.6,367927.9,393034.0,428562.4,458460.6,462132.2,475151.3,498515.1,532800.6,585887.4,612961.5,655015.0,617674.2,657040.4,720802.9,768137.3,796198.7,851783.1,856726.1,850432.9,909066.3,973888.4,1017357.5,1003971.1,1097588.2,1209152.3
 "48000","Texas",6,SAINC30,50,"...","Personal current transfer receipts ","Millions of dollars",887.8,951.5,997.9,1122.4,1221.8,1321.4,1371.0,1498.2,1629.9,1969.3,2360.0,2644.0,3139.4,3666.6,4116.4,4950.2,5904.3,7380.4,8073.0,8587.7,9559.6,10902.9,12770.3,14505.2,16513.5,18640.4,19818.2,21176.3,23217.3,24412.2,25668.8,28248.3,31613.3,35139.7,41555.8,44468.2,47807.6,51951.7,55571.2,58165.6,59395.6,61134.5,64787.1,70961.7,78060.2,83497.7,88040.6,97554.4,104228.0,114522.4,130228.2,142786.0,158614.5,164222.4,163712.0,169515.2,178067.0,190022.6,199395.2,204265.8,213886.2,226203.1,306338.3,355047.6,305280.1
 "48000","Texas",6,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",161.5,171.9,170.4,171.8,178.2,190.3,193.7,196.1,208.3,215.8,223.5,242.6,327.6,382.5,386.8,427.4,688.8,752.2,825.8,800.7,819.6,992.0,1273.8,1394.7,1402.7,1597.5,1686.7,1818.5,2067.5,2256.0,2635.2,3134.6,3713.6,4361.6,5321.4,5781.8,6257.9,6881.4,7316.1,7378.9,7324.1,7301.3,7413.2,7830.2,8939.0,10154.2,11152.4,13015.2,13346.0,13781.7,15284.0,17975.8,20521.6,21280.9,21467.7,21738.0,21948.6,21967.8,22088.4,23235.4,21670.5,22760.4,26648.2,44751.4,38843.7
 "48000","Texas",6,SAINC30,70,"..."," Unemployment insurance compensation ","Millions of dollars",90.5,71.2,73.6,90.4,77.0,81.2,68.8,57.4,36.7,33.4,33.5,37.5,73.3,116.3,117.4,88.7,112.6,320.4,263.1,208.5,184.7,225.2,348.0,315.2,693.6,1186.4,706.1,714.5,1240.1,1139.0,815.3,764.3,825.1,1095.3,1975.2,1819.8,1202.6,1078.3,1063.6,1021.1,1029.3,1273.1,1103.9,1648.0,2934.6,3004.9,1913.6,1423.6,1247.3,1262.9,2007.7,6149.9,7031.2,5631.4,4737.8,3667.1,2333.1,2867.6,3115.8,2585.7,2088.7,2185.8,34292.9,19281.2,1758.1
 "48000","Texas",6,SAINC30,80,"..."," Retirement and other ","Millions of dollars",635.8,708.4,753.9,860.2,966.6,1050.0,1108.4,1244.8,1384.9,1720.1,2102.9,2364.0,2738.4,3167.8,3612.2,4434.0,5102.9,6307.8,6984.1,7578.5,8555.3,9685.6,11148.5,12795.2,14417.2,15856.5,17425.3,18643.3,19909.7,21017.2,22218.3,24349.3,27074.6,29682.8,34259.2,36866.6,40347.0,43992.0,47191.5,49765.5,51042.2,52560.2,56270.0,61483.5,66186.6,70338.6,74974.6,83115.6,89634.8,99477.8,112936.4,118660.3,131061.6,137310.0,137506.5,144110.2,153785.3,165187.2,174191.0,178444.7,190127.1,201256.8,245397.2,291015.0,264678.4
 "48000","Texas",6,SAINC30,90,"...","Dividends, interest, and rent ","Millions of dollars",2532.1,2793.1,2992.9,3127.2,3313.6,3544.0,3788.1,4040.2,4319.5,4610.0,4853.4,5646.1,6575.4,7257.9,8036.7,9156.2,10735.3,12055.3,12990.6,14400.7,16744.6,19316.7,23677.1,29303.2,35325.3,39390.9,44176.3,49342.7,50035.4,48815.7,52265.0,56627.6,58767.2,59426.2,60079.6,61613.7,65089.0,70741.8,74970.5,80649.6,87559.1,89629.0,98388.8,101658.0,99250.7,106166.0,109825.7,124420.9,137324.2,151418.5,183256.1,163010.5,166397.9,189832.7,211038.2,208033.5,227789.5,234421.4,226502.4,254493.9,276015.2,293036.4,300918.9,337083.6,364987.2
 "48000","Texas",6,SAINC30,91,"..."," Personal dividend income ","Millions of dollars",355.9,407.9,436.6,455.1,497.4,545.5,615.6,689.1,733.5,775.8,860.9,910.7,946.7,1005.6,1109.3,1278.3,1466.0,1513.0,1833.3,2146.7,2528.4,2958.9,3306.3,3632.1,4046.0,4390.4,4389.4,4879.6,5065.2,4673.7,6022.0,7150.6,7828.6,8529.4,9091.3,9888.0,11367.9,12434.2,14400.1,16098.8,17181.3,16947.9,19477.6,19437.2,21126.2,23342.5,29982.2,31841.7,40783.9,48399.7,56334.0,42645.7,39783.8,53652.6,63304.4,58509.8,66998.0,72890.4,70966.4,84722.6,91690.0,102360.1,106366.8,128798.0,137837.7
 "48000","Texas",6,SAINC30,92,"..."," Personal interest income ","Millions of dollars",1212.0,1347.9,1482.0,1564.4,1702.2,1842.0,2056.5,2241.8,2476.1,2726.1,2921.2,3535.3,4368.5,4945.0,5531.9,6488.6,7783.1,9054.7,9762.1,11117.4,12953.9,15075.5,18792.4,23473.4,28806.4,32163.7,36991.8,41631.2,43254.4,42665.8,44635.3,47920.9,48874.5,48389.5,47473.2,46768.3,47826.4,51956.5,53071.5,55783.8,59917.7,60725.3,65425.0,66712.6,61968.8,63743.6,58856.5,70637.3,76533.8,83306.7,95294.1,89749.8,87504.3,89866.0,97617.5,91743.8,97013.0,104238.7,101955.9,110021.0,118297.3,123803.1,116566.9,117211.6,126007.2
 "48000","Texas",6,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",662.2,748.1,820.9,887.4,951.6,1012.3,1104.4,1179.1,1292.4,1425.3,1568.2,1900.1,2430.2,2766.6,3110.2,3515.5,4114.0,5161.0,5526.9,6198.0,7084.8,7527.7,8825.3,10145.7,12945.2,16527.1,17647.2,20858.4,22108.1,22946.9,23721.0,24738.6,25455.7,26299.9,27515.0,28604.7,29227.9,31587.8,32133.7,34586.1,35040.7,36516.3,37941.9,38453.6,39423.2,41140.8,40891.7,43139.6,46248.7,49383.2,54141.4,57250.3,58175.8,60044.0,61733.9,60455.8,63821.1,67196.0,67386.1,70059.6,72362.3,74398.7,71317.6,70811.3,74459.2
