GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAINC35,1000,"...","Personal current transfer receipts (thousands of dollars) ","Thousands of dollars",16710,17523,37355,24380,20702,17904,18081,47526,30942,29696,35043,37224,39081,41909,39811,51504,94087,190896,202549,194675,204605,231413,198800,207624,226817,229247,256488,273278,303178,331186,359021,378290,416190,440786,471033,491280,525611,583494,700131,788608,855497,981410,1130720,1239968,1405941,1663592,2051820,2250549,2392975,2574704,2955171,3418891,3882103,4376392,4801407,4981670,5321796,5657499,5886106,6231162,6628757,7133266,7804139,8730227,9180371,9752703,10532899,11054563,11358558,11588646,12105036,12796821,14132195,15097978,16091303,16998988,18260467,20003547,21446906,24058330,25944726,27687504,28023322,28641797,29259169,30177136,31254995,32298027,33603112,34791497,37218194,46809106,53430827,48710861
 "40000","Oklahoma",6,SAINC35,2000,"..."," Current transfer receipts of individuals from governments ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),182969,193799,217887,183765,192660,212835,219509,242436,256636,285536,315164,341755,361891,398893,419811,446184,462345,495217,554687,664432,746373,798179,925967,1074189,1176546,1332251,1574370,1928623,2116438,2278893,2422140,2776047,3224236,3653159,4138408,4538352,4629880,4942224,5264509,5536177,5881611,6245318,6766171,7485063,8419637,8886963,9465844,10175566,10643103,10991472,11135260,11544738,12126726,13393413,14496642,15574306,16590907,17743937,19542714,20867032,23403584,25229967,26910074,27183972,27882633,28518547,29379548,30371611,31299904,32748387,33905294,36245976,45043572,51699007,46844981
 "40000","Oklahoma",6,SAINC35,2100,"...","  Retirement and disability insurance benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6945,8241,11120,20324,24917,34236,41635,55423,64797,85086,100470,123120,136782,156753,181724,197333,210122,239365,266412,287171,333646,360342,430622,506692,568296,703168,802584,917467,1040618,1158433,1272081,1443503,1646822,1920074,2122180,2223038,2359434,2508965,2649688,2805218,2971226,3106474,3335242,3617762,3898403,4182246,4444332,4640171,4751574,4870156,5018120,5144762,5400354,5691038,5940829,6230657,6652648,7019372,7428957,7875858,8260651,9024136,9329557,9571788,10129733,10535539,10919448,11242997,11433212,11770360,12319961,13019190,13585839,14026721,15232493
 "40000","Oklahoma",6,SAINC35,2110,"...","   Social Security benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4415,5235,7614,16301,19479,28132,34925,48376,56983,76682,91070,112690,125250,145088,169237,183935,196211,224744,250346,270294,314828,340330,407357,478851,536857,663509,758705,865545,981540,1093509,1194387,1334042,1531901,1791568,1989212,2108948,2237958,2382833,2520285,2616483,2770688,2947400,3165579,3394420,3617942,3826362,4007940,4229143,4419851,4601873,4767543,4890175,5146776,5431872,5719642,5951043,6239202,6612329,7041356,7470343,7842020,8598901,8899467,9140459,9695903,10105650,10497771,10917365,11205004,11551239,12094283,12789844,13350946,13785939,14981159
 "40000","Oklahoma",6,SAINC35,2120,"...","   Excluding Social Security benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2530,3006,3506,4023,5438,6104,6710,7047,7814,8404,9400,10430,11532,11665,12487,13398,13911,14621,16066,16877,18818,20012,23265,27841,31439,39659,43879,51922,59078,64924,77694,109461,114921,128506,132968,114090,121476,126132,129403,188735,200538,159074,169663,223342,280461,355884,436392,411028,331723,268283,250577,254587,253578,259166,221187,279614,413446,407043,387601,405515,418631,425235,430090,431329,433830,429889,421677,325632,228208,219121,225678,229346,234893,240782,251334
 "40000","Oklahoma",6,SAINC35,2121,"...","    Railroad retirement and disability benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2107,2466,2674,2753,3884,4080,4405,4539,5039,5421,6055,6863,7938,8347,9199,9670,10033,10510,11175,12085,13707,14541,16428,18996,20413,24312,26433,30794,33379,35332,36958,39512,43839,48379,52289,54140,53531,54368,55235,55697,57450,58859,61070,63649,65267,66193,67799,69247,70255,71593,72285,72613,73577,75715,78638,80500,82381,84649,88551,91085,93540,98819,100860,102439,106397,109185,111443,113026,113599,113871,115709,118314,120434,120776,124584
 "40000","Oklahoma",6,SAINC35,2122,"...","    Workers' compensation ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),412,518,810,1259,1543,2007,2294,2498,2765,2973,3335,3556,3582,3304,3273,3713,3872,4107,4887,4788,5107,5466,6550,7536,8358,9112,11535,15160,19711,23691,34433,59611,60620,69762,70627,49678,57920,62072,64437,123306,133362,91205,99927,151124,206776,281191,360363,334085,253901,189934,171483,174663,174384,178096,134580,189340,320192,308861,285810,302701,314550,316854,319266,318795,317473,313246,298384,197505,107502,101508,106910,107963,109706,111605,119933
 "40000","Oklahoma",6,SAINC35,2123,"...","    Other government retirement and disability insurance benefits 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11,22,22,11,11,17,11,10,10,10,10,11,12,14,15,15,6,4,4,4,4,5,287,1309,2668,6235,5911,5968,5988,5901,6303,10338,10462,10365,10052,10272,10025,9692,9731,9732,9726,9010,8666,8569,8418,8500,8230,7696,7567,6756,6809,7311,5617,5355,7969,9774,10873,13533,13240,11729,10541,9562,9964,10095,9960,7458,11850,15101,7107,3742,3059,3069,4753,8401,6817
 "40000","Oklahoma",6,SAINC35,2200,"...","  Medical benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2348,3215,3720,4660,5599,6177,9500,13256,17013,19007,23838,24752,26734,25819,56484,123079,155923,171306,192912,215170,237068,255129,297336,359408,413002,470976,531538,626795,742886,857057,1026278,1170128,1243180,1346989,1437927,1576698,1725678,1874766,2078506,2372150,2724017,2866995,3195773,3575049,3880034,4070245,4051645,4208196,4517978,5237188,5678029,6120215,6675613,7281187,8524551,9215954,9820237,10428984,10702805,11147831,11803277,11970063,12346431,12575919,12875184,13537241,13937167,15048261,15416733,17220677,19753322
 "40000","Oklahoma",6,SAINC35,2210,"...","   Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),15050,70157,82109,93505,102435,107311,109492,129736,162108,195538,227835,269222,317130,367650,451244,513508,628355,719279,797703,852101,912526,981082,1029139,1143846,1268776,1410473,1594730,1748564,2088601,2413136,2644588,2790603,2645283,2623635,2709511,2984769,3229401,3555728,3953438,4282174,5260677,5590703,5891328,6222183,6451549,6681196,6859929,6999278,7140987,7568515,7927128,8377748,8938054,9710994,9987088,10717210,11381629
