GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",6618909,7159161,7746764,8109107,8790823,9437402,10332156,11266629,12107777,12861519,13527617,15139365,16875870,18269178,19878427,22211155,25386274,27935497,30045134,33225936,38085124,43777202,53288555,65178572,71952685,78973501,89471824,95743929,99818929,100971597,110873044,125281648,133310931,134618277,135158838,138554514,144954194,156265863,166130734,172383679,186728849,192288788,208146942,214146192,207318770,216303450,225572817,245796609,278702836,303009360,317313356,285017329,280368166,311855637,346264450,333250186,364838900,398095023,419576944,449925241,475096553,495481810,504026698,549839340,588270981
 "06000","California",8,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",1183235,1282191,1364436,1414901,1537507,1655922,1856485,2087302,2143335,2228969,2466039,2574070,2589372,2670141,2871184,3182065,3529689,3578880,4291448,4989142,5681290,6476054,7423158,8240397,7969908,9587978,10281680,11044757,12259211,12045923,14915381,18207024,19727139,20988835,21479616,22692689,25481543,27825332,32824874,37792045,40559490,40771833,45878194,44996023,48417333,52636312,68935246,69811688,87459462,97528885,98748292,68647716,65871828,86400285,105565095,99736602,119030512,133800132,140676229,156278408,168452232,180857397,191067034,230754123,247255361
 "06000","California",8,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",3594987,3932352,4319204,4579913,5042043,5511408,6124370,6731260,7398221,7951404,8385454,9691911,11481198,12573066,13772731,15607297,18303710,20806184,22469557,25715332,29779228,34657043,42648339,52947275,60006776,65269083,74856135,80115190,84082958,85937218,91823787,103290342,108416163,106291947,101591110,98095100,97912933,104979929,106130182,110751234,119132991,123046320,133893484,138102561,127674495,130081242,121331385,143399145,164296209,177585818,176049718,163084366,150270477,152139996,162043213,151952194,162817967,178372448,188533617,201175632,210450628,215524994,204368424,204712690,218674074
 "06000","California",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1600498,1825203,2004845,2163521,2363020,2569132,2809901,3036904,3334622,3654716,4004629,4724916,5869225,6504440,7228386,7955096,9177281,11262344,11919386,13286731,15053243,15809255,18488282,21018866,25165632,30729039,32690319,37467925,40751161,43733094,45971688,49492866,52455406,54669371,56135788,56892009,56775059,60505434,60461713,64404827,64704766,70645941,73787441,74575971,76086752,80273677,79585096,83409902,89332524,94076022,97405110,98068540,95128907,96009915,98054118,95443162,101542049,109361075,112090695,116939292,121477583,123091882,117250277,115357670,119382272
 "06000","California",8,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",1994489,2107149,2314359,2416392,2679023,2942276,3314469,3694356,4063599,4296688,4380825,4966995,5611973,6068626,6544345,7652201,9126429,9543840,10550171,12428601,14725985,18847788,24160057,31928409,34841144,34540044,42165816,42647265,43331797,42204124,45852099,53797476,55960757,51622576,45455322,41203091,41137874,44474495,45668469,46346407,54428225,52400379,60106043,63526590,51587743,49807565,41746289,59989243,74963685,83509796,78644608,65015826,55141570,56130081,63989095,56509032,61275918,69011373,76442922,84236340,88973045,92433112,87118147,89355020,99291802
 "06000","California",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",1840687,1944618,2063124,2114293,2211273,2270072,2351301,2448067,2566221,2681146,2676124,2873384,2805300,3025971,3234512,3421793,3552875,3550433,3284129,2521462,2624606,2644105,3217058,3990900,3976001,4116440,4334009,4583982,3476760,2988456,4133876,3784282,5167629,7337495,12088112,17766725,21559718,23460602,27175678,23840400,27036368,28470635,28375264,31047608,31226942,33585896,35306186,32585776,26947165,27894657,42515346,53285247,64225861,73315356,78656142,81561390,82990421,85922443,90367098,92471201,96193693,99099419,108591240,114372527,122341546
 "06000","California",8,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",1153743,1276815,1393434,1493017,1608729,1678539,1707863,1760161,1837965,1914090,1875379,2031701,1929752,2156116,2199769,2173595,2312958,2261023,2010390,1104587,1099324,841667,882741,853493,132901,-70997,-585154,-1253681,-2429771,-2558990,-1325242,-1414249,-913091,54420,2768882,7157432,10223860,11472861,14065035,10462604,12546836,14343864,15042915,16873545,18286355,20251614,21476472,17624283,12735714,12310618,23517199,32094290,40656131,47656323,49326907,54263813,55800579,57670829,60907165,65761800,68764378,70300430,78643552,82019059,87670184
 "06000","California",8,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",686944,667803,669690,621276,602544,591533,643438,687906,728256,767056,800745,841683,875548,869855,1034743,1248198,1239917,1289410,1273739,1416875,1525282,1802438,2334317,3137407,3843100,4187437,4919163,5837663,5906531,5547446,5459118,5198531,6080720,7283075,9319230,10609293,11335858,11987741,13110643,13377796,14489532,14126771,13332349,14174063,12940587,13334282,13829714,14961493,14211451,15584039,18998147,21190957,23569730,25659033,29329235,27297577,27189842,28251614,29459933,26709401,27429315,28798989,29947688,32353468,34671362
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
