GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",245920,255570,270256,276590,296761,323367,345563,365690,356813,373998,388056,415303,442508,466120,494457,534984,594213,595869,661911,739153,811892,908704,1111234,1346997,1470423,1539052,1737362,1892899,2022660,2113687,2377451,2875138,3026334,3174852,3172330,3303793,3396124,3695184,4007829,4231700,4631407,4518766,5024768,5036997,5114509,5206385,5555401,5673287,6322199,6688717,7063667,6443747,6159390,6796847,7126472,7165925,7667446,7925783,8362713,9019820,9642032,10132438,9929792,10730102,11498427
 "10000","Delaware",2,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",145158,151558,159724,160736,173766,186909,200266,201917,184455,173107,197655,195351,185430,181285,185172,188233,191549,158471,192791,224034,237978,256814,270340,277920,294164,323074,343684,376241,403825,386834,474492,603571,663534,715479,728011,774152,852644,882356,1067652,1168257,1245120,1157792,1336500,1273587,1484789,1566026,2027931,1891705,2102243,2221080,2205793,1504897,1310544,1682618,1862402,1854798,2145571,2235380,2391348,2698692,2933799,3250384,3326320,3888537,4190991
 "10000","Delaware",2,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",62896,63236,67529,70715,76116,87202,95644,111060,120687,144295,138064,170588,204590,229514,254984,297385,352304,389619,427139,485506,543049,623639,809334,1032003,1145652,1179002,1356950,1470832,1596176,1706469,1861031,2230475,2304370,2361654,2292931,2299723,2251473,2486030,2560417,2662653,2930076,2859173,3165068,3186156,2974116,2933463,2779036,3133611,3662411,3944530,3998678,3843695,3539438,3552164,3648760,3571315,3714149,3894714,4079294,4341085,4515985,4732809,4393543,4400405,4741157
 "10000","Delaware",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",31214,32325,33955,37196,39729,43553,48451,50979,55563,63962,69644,78908,98820,113112,127639,144473,166434,195188,215504,239496,269380,288701,350237,410111,479434,544707,597005,655280,738823,836798,907946,1011458,1096473,1164120,1190549,1248650,1260420,1381095,1404153,1518336,1534801,1551985,1644256,1669497,1719474,1784591,1827275,1921403,2068651,2162030,2297055,2362773,2329271,2393177,2445449,2436734,2566752,2682706,2748518,2831717,2931709,2967941,2828644,2798501,2964752
 "10000","Delaware",2,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",31682,30911,33574,33519,36387,43649,47193,60081,65124,80333,68420,91680,105770,116402,127345,152912,185870,194431,211635,246010,273669,334938,459097,621892,666218,634295,759945,815552,857353,869671,953085,1219017,1207897,1197534,1102382,1051073,991053,1104935,1156264,1144317,1395275,1307188,1520812,1516659,1254642,1148872,951761,1212208,1593760,1782500,1701623,1480922,1210167,1158987,1203311,1134581,1147397,1212008,1330776,1509368,1584276,1764868,1564899,1601904,1776405
 "10000","Delaware",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",37866,40776,43003,45139,46879,49256,49653,52713,51671,56596,52337,49364,52488,55321,54301,49366,50360,47779,41981,29613,30865,28251,31560,37074,30607,36976,36728,45826,22659,20384,41928,41092,58430,97719,151388,229918,292007,326798,379760,400790,456211,501801,523200,577254,655604,706896,748434,647971,557545,523107,859196,1095155,1309408,1562065,1615310,1739812,1807726,1795689,1892071,1980043,2192248,2149245,2209929,2441160,2566279
 "10000","Delaware",2,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",28231,31044,33724,35836,38360,39828,40360,41471,43233,44990,43912,40906,39767,42037,40820,38323,38772,36236,30686,17436,17865,14154,13716,15129,5764,4108,-2614,-10841,-26373,-28269,-8942,-8210,2817,23293,69324,141026,191988,211285,255683,276574,327788,372466,394260,454241,514535,578709,624527,534796,452772,416250,730967,945722,1138775,1367234,1401267,1528551,1586907,1573793,1655868,1757487,1959851,1926021,1979882,2193043,2328637
 "10000","Delaware",2,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",9635,9732,9279,9303,8519,9428,9293,11242,8438,11606,8425,8458,12721,13284,13481,11043,11588,11543,11295,12177,13000,14097,17844,21945,24843,32868,39342,56667,49032,48653,50870,49302,55613,74426,82064,88892,100019,115513,124077,124216,128423,129335,128940,123013,141069,128187,123907,113175,104773,106857,128229,149433,170633,194831,214043,211261,220819,221896,236203,222556,232397,223224,230047,248117,237642
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
