GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",175050,199289,259837,294278,325298,350086,386019,428331,455013,503698,539330,624333,758867,840347,923184,1054538,1193537,1294672,1370604,1494828,1726134,1958895,2302169,2673728,2729783,3128826,3481080,3705797,3874105,3962621,4337454,4962558,5271147,5492682,5827150,6136289,6419781,6688955,6650291,6930057,7141738,7167245,7569151,7531095,7470013,7506068,8060854,8587910,9812640,10946583,11943040,11416520,11124832,11601050,12027727,11943231,12699645,13176882,13697555,14362609,14348826,15414999,15834159,16782261,17796916
 "15000","Hawaii",8,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",31343,34572,48560,49487,49115,51622,59346,69402,71764,82283,75428,83238,86984,92400,101844,116474,132398,135154,151618,166616,194003,224457,250483,271278,240090,316346,333051,350236,391415,394079,500876,651054,718196,770284,784838,816433,919339,994248,1056083,1214079,1159837,1183346,1380070,1311263,1431857,1390435,1990484,2049746,2687774,3150174,3355508,2324172,2050225,2333829,2712364,2635702,3001126,3107119,3170573,3520301,3542333,4135676,4459084,5202120,5039658
 "15000","Hawaii",8,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",99565,113226,143203,165212,184860,204504,226946,251767,268383,297231,336892,413940,542525,607619,685687,798309,931581,1046973,1118001,1248101,1458629,1661298,1963169,2305337,2400656,2683172,3017058,3199408,3389265,3490575,3728513,4218220,4411777,4511597,4631846,4707578,4745174,4882393,4734317,4840995,5010132,5021876,5262233,5264963,5082812,5106312,4980410,5559446,6333897,6987405,7234790,7407829,6917514,6821754,6766136,6349115,6691838,6929352,7254585,7434987,7407800,7582324,7361960,7351860,8186248
 "15000","Hawaii",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",70322,81521,100723,117092,132330,148131,163216,176654,181120,197011,220806,265804,361681,400085,451092,514727,585246,674484,722299,797017,921712,972136,1113146,1205979,1371114,1575227,1674950,1841242,1998865,2150952,2276192,2474746,2642251,2788118,2960250,3089645,3143768,3266625,3185883,3345323,3293808,3341802,3423267,3389979,3636442,3798002,3883682,4086592,4399618,4672932,4988207,5116492,5086366,5178510,5189160,4929585,5156702,5329165,5364904,5451543,5452229,5406580,5060441,4976621,5530202
 "15000","Hawaii",8,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",29243,31705,42480,48120,52530,56373,63730,75113,87263,100220,116086,148136,180844,207534,234595,283582,346335,372489,395702,451084,536917,689162,850023,1099358,1029542,1107945,1342108,1358166,1390400,1339623,1452321,1743474,1769526,1723479,1671596,1617933,1601406,1615768,1548434,1495672,1716324,1680074,1838966,1874984,1446370,1308310,1096728,1472854,1934279,2314473,2246583,2291337,1831148,1643244,1576976,1419530,1535136,1600187,1889681,1983444,1955571,2175744,2301519,2375239,2656046
 "15000","Hawaii",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",44142,51491,68074,79579,91323,93960,99727,107162,114866,124184,127010,127155,129358,140328,135653,139755,129558,112545,100985,80111,73502,73140,88517,97113,89037,129308,130971,156153,93425,77967,108065,93284,141174,210801,410466,612278,755268,812314,859891,874983,971769,962023,926848,954869,955344,1009321,1089960,978718,790969,809004,1352742,1684519,2157093,2445467,2549227,2958414,3006681,3140411,3272397,3407321,3398693,3696999,4013115,4228281,4571010
 "15000","Hawaii",8,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",26439,31360,42322,47717,53694,57921,60578,63881,68022,72080,71698,73567,70492,74946,72762,68555,69123,63738,54136,27882,25285,17709,18338,17664,993,-5022,-20612,-42911,-83564,-92323,-55729,-63156,-50328,-19689,77669,235826,344387,388782,477951,396779,477633,539678,552435,593572,604358,655983,688406,537532,357156,342529,789975,1111844,1420156,1651131,1747310,2140329,2147338,2257225,2341885,2529648,2499839,2730401,3055777,3100319,3391651
 "15000","Hawaii",8,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",17703,20131,25752,31862,37629,36039,39149,43281,46844,52104,55312,53588,58866,65382,62891,71200,60435,48807,46849,52229,48217,55431,70179,79449,88044,134330,151583,199064,176989,170290,163794,156440,191502,230490,332797,376452,410881,423532,381940,478204,494136,422345,374413,361297,350986,353338,401554,441186,433813,466475,562767,572675,736937,794336,801917,818085,859343,883186,930512,877673,898854,966598,957338,1127962,1179359
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
