GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "19000","Iowa",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",761551,837156,871551,936864,976835,1044194,1117237,1188769,1258418,1246592,1448156,1618851,1817638,1984251,2184507,2525707,2877774,3224897,3504323,3982384,4429855,5021246,6084702,7422946,8497799,8799616,9502267,9638221,9704711,9388297,9737515,10579848,10980148,11074397,11041673,11196062,11624502,12759710,13659806,14715197,15534533,15008984,15935585,16257836,15832038,15722336,16164884,16131591,17605059,19495537,20979044,19780026,19586405,21859962,23976499,23026386,24409443,25694935,26952729,28270983,28979147,29834641,30247531,33184162,35251968
 "19000","Iowa",4,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",85322,101311,111885,120849,123955,130647,137019,154881,154518,160059,175488,190722,197148,208303,227640,267334,311716,330084,394008,457685,520767,593782,654521,706926,743960,823537,827744,869254,966640,980308,1193874,1510954,1623235,1767647,1868059,2044175,2361143,2557126,2982005,3498531,3632393,3464724,3623580,3667079,3978733,3920861,5077560,4764811,5815066,6967483,7250273,5370322,5239307,6594882,7942473,7359962,8270145,8876054,9315606,10086248,10556015,10954225,11686927,14427600,15416140
 "19000","Iowa",4,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",331329,374763,407506,432247,456445,486314,542806,598673,640375,658079,824379,1028550,1214407,1351283,1475608,1714670,2046112,2416331,2669931,3132772,3489980,4015547,4954853,6148860,7169695,7591176,8268354,8369380,8479962,8163429,8251815,8775506,9015399,8868349,8554805,8289879,8212528,8973382,9215737,9647044,10360512,9883200,10592554,10718696,9956347,9791284,8875309,9375002,10068056,10938286,11416973,11413015,10657023,10792558,11166676,10460682,10790439,11430753,11986500,12381262,12684214,13075122,12522339,12425044,13309003
 "19000","Iowa",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",134311,150800,166224,182245,195854,205621,223512,238684,257573,277709,309971,374708,464649,534619,590582,661328,777360,998405,1085339,1237200,1376510,1414409,1688496,1902653,2314382,2852179,2968717,3315536,3489788,3654742,3748084,3882239,3986751,4124130,4249084,4381613,4373047,4732903,4800537,5157439,5159881,5037151,5188618,5223641,5268087,5512522,5458169,5578653,5798348,6000218,6506382,6851174,6755935,6927562,7030166,6826158,7125236,7448637,7568970,7779713,8000586,8075235,7572321,7322916,7610820
 "19000","Iowa",4,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",197018,223963,241282,250002,260591,280693,319294,359989,382802,380370,514408,653842,749758,816664,885026,1053342,1268752,1417926,1584592,1895572,2113470,2601138,3266357,4246207,4855313,4738997,5299637,5053844,4990174,4508687,4503731,4893267,5028648,4744219,4305721,3908266,3839481,4240479,4415200,4489605,5200631,4846049,5403936,5495055,4688260,4278762,3417140,3796349,4269708,4938068,4910591,4561841,3901088,3864996,4136510,3634524,3665203,3982116,4417530,4601549,4683628,4999887,4950018,5102128,5698183
 "19000","Iowa",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",344900,361082,352160,383768,396435,427233,437412,435215,463525,428454,448289,399579,406083,424665,481259,543703,519946,478482,440384,391927,419108,411917,475328,567160,584144,384903,406169,399587,258109,244560,291826,293388,341514,438401,618809,862008,1050831,1229202,1462064,1569622,1541628,1661060,1719451,1872061,1896958,2010191,2212015,1991778,1721937,1589768,2311798,2996689,3690075,4472522,4867350,5205742,5348859,5388128,5650623,5803473,5738918,5805294,6038265,6331518,6526825
 "19000","Iowa",4,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",124978,135748,145705,152330,160409,164475,164958,168215,174202,179821,175455,218113,224246,233901,234673,221258,225465,212761,191909,144300,142519,119335,118518,112291,61177,38115,10423,-19535,-58495,-52115,-26,14817,46186,87098,171018,328673,457839,514968,632427,783561,915374,1024526,1089319,1180219,1265652,1394745,1542954,1334217,1059138,983718,1595742,2138359,2664976,3258156,3488326,3797395,3933816,3939056,4197220,4525415,4492758,4560666,4739465,4991907,5191681
 "19000","Iowa",4,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",219922,225334,206455,231438,236026,262758,272454,267000,289323,248633,272834,181466,181837,190764,246586,322445,294481,265721,248475,247627,276589,292582,356810,454869,522967,346788,395746,419122,316604,296675,291852,278571,295328,351303,447791,533335,592992,714234,829637,786061,626254,636534,630132,691842,631306,615446,669061,657561,662799,606050,716056,858330,1025099,1214366,1379024,1408347,1415043,1449072,1453403,1278058,1246160,1244628,1298800,1339611,1335144
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
