GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",12559497,13521819,14532883,15315606,16864161,18386025,20142138,21853740,23175796,24678610,26718063,28328129,30856637,33001505,35187623,38688952,43426322,46399962,49379543,54357932,59882077,67005269,80550655,97374113,111493150,118763622,134820221,143245925,149705018,151513286,169106632,193158221,202218410,204224455,203089846,206537281,215357398,232601212,245344298,260824523,276938653,275460272,298158268,298764375,283145292,287406168,298122396,316847278,356448008,399465366,418645143,374446585,368600072,404717082,442748410,434507847,464328792,489872824,508166640,544794104,575165124,596513074,584591553,633383726,659120159
 "92000","Mideast",2,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",4038442,4324537,4533062,4612117,4954023,5355083,5926865,6508124,6500552,6658064,7389264,7457914,7215155,7172272,7433430,8008578,8636816,8271503,9642682,10897430,11974766,13278720,14813391,16065894,17230831,18427649,19401531,20710546,22475355,21490278,26371404,32492841,34438310,35902806,36874585,39033336,43947565,47204132,54788933,61316032,63145907,60891114,68929416,66204561,70155401,73153578,94345894,90507857,112956635,132495222,137979894,94925388,88579455,112523521,132736968,125392773,146347696,155725860,160956917,179887120,194156181,212288182,213334842,252606309,251008950
 "92000","Mideast",2,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",5930242,6422609,7028664,7573276,8616135,9572121,10697451,11722209,12930310,14111182,15472159,17341335,20105344,22140752,24019843,26987719,31231672,34810255,36795129,41292909,45818712,51831250,63561870,78756718,91973908,97695267,112692546,119667819,125508951,128500284,139991436,158219945,164291940,163165492,156868914,152583715,153104979,165310571,167362711,175106493,185762388,184683506,199329121,200406198,180896423,179888394,168008835,195778095,220284497,244339651,241681887,228080872,214331854,215255014,228784903,220621248,227063906,241845657,250982432,266218460,279193525,281628162,258859887,260054739,276912196
 "92000","Mideast",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",2728363,3035674,3292617,3558790,3887351,4183950,4620451,4977150,5429501,5976146,6659424,7737769,9363125,10634997,11716762,12959898,14827933,17940349,18615412,20316404,22514027,23298809,27208956,30893643,37238137,45143298,48430022,54513888,59736211,64588831,68480542,73918481,78120734,80934577,83314538,85817313,86137008,92240338,92769736,99013966,98456477,99524202,104139816,104360771,104497550,107762866,108022790,112648510,120016535,126923292,134367708,135750446,132555899,133348226,134303049,131155203,137260144,143864068,142397570,146519762,153138458,153814653,145231430,143354496,147057467
 "92000","Mideast",2,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",3201879,3386935,3736047,4014486,4728784,5388171,6077000,6745059,7500809,8135036,8812735,9603566,10742219,11505755,12303081,14027821,16403739,16869906,18179717,20976505,23304685,28532441,36352914,47863075,54735771,52551969,64262524,65153931,65772740,63911453,71510894,84301464,86171206,82230915,73554376,66766402,66967971,73070233,74592975,76092527,87305911,85159304,95189305,96045427,76398873,72125528,59986045,83129585,100267962,117416359,107314179,92330426,81775955,81906788,94481854,89466045,89803762,97981589,108584862,119698698,126055067,127813509,113628457,116700243,129854729
 "92000","Mideast",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",2590813,2774673,2971157,3130213,3294003,3458821,3517822,3623407,3744934,3909364,3856640,3528880,3536138,3688481,3734350,3692655,3557834,3318204,2941732,2167593,2088599,1895299,2175394,2551501,2288411,2640706,2726144,2867560,1720712,1522724,2743792,2445435,3488160,5156157,9346347,14920230,18304854,20086509,23192654,24401998,28030358,29885652,29899731,32153616,32093468,34364196,35767667,30561326,23206876,22630493,38983362,51440325,65688763,76938547,81226539,88493826,90917190,92301307,96227291,98688524,101815418,102596730,112396824,120722678,131199013
 "92000","Mideast",2,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",2029708,2224433,2408219,2537805,2698294,2779180,2795559,2851509,2950005,3047842,2963366,2593226,2526801,2658596,2570148,2404140,2422568,2231567,1876707,1000321,950455,698602,690804,700887,142904,-31236,-502234,-1147714,-2328503,-2557982,-1396741,-1560622,-1093231,-83032,2758491,7170440,10105161,11207487,13605375,14820831,17766662,20220949,20881988,22700035,23605854,25709845,26814633,21221363,14286107,13326293,27750183,38691367,50763360,60341713,63810920,70615671,71657783,73732497,76958898,80774171,83286896,84031630,93177874,98871824,105799836
 "92000","Mideast",2,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",561105,550240,562938,592408,595709,679641,722263,771898,794929,861522,893274,935654,1009337,1029885,1164202,1288515,1135266,1086637,1065025,1167272,1138144,1196697,1484590,1850614,2145507,2671942,3228378,4015274,4049215,4080706,4140533,4006057,4581391,5239189,6587856,7749790,8199693,8879022,9587279,9581167,10263696,9664703,9017743,9453581,8487614,8654351,8953034,9339963,8920769,9304200,11233179,12748958,14925403,16596834,17415619,17878155,19259407,18568810,19268393,17914353,18528522,18565100,19218950,21850854,25399177
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
