GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",268980,281641,292157,301227,319351,344061,379353,417260,435998,457557,452219,522050,589996,645410,705585,776016,880785,974157,1047753,1180846,1317646,1464102,1741075,2075586,2449172,2611995,2942583,3162984,3435219,3620982,4067196,4603303,4760632,4781536,4811298,4897539,5088271,5505667,5851255,6247417,6680379,6427945,6921852,7121321,6969816,7285606,7484393,7304662,7853725,8471779,8928979,8447436,8481855,9284867,9574889,9415286,9794860,10363038,11031455,11626247,12005139,12811396,13091897,14075596,15150175
 "23000","Maine",1,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",80300,80784,77899,77930,88176,98748,111169,128428,128104,133064,114224,123421,127540,134865,148439,159758,172161,165794,198961,228989,254093,284455,309103,327778,387911,406228,436143,455616,501878,491181,600589,753697,768054,809608,840509,908076,1042241,1123085,1343236,1503675,1578797,1499248,1624561,1604921,1732923,1957209,2405674,2063782,2408903,2697256,2739880,2026116,1830524,2322283,2511059,2394345,2809866,3038507,3161474,3485413,3670425,4340683,4350260,5129426,5530563
 "23000","Maine",1,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",140511,150820,162532,172810,179914,192520,213663,232251,248695,262118,276233,331625,398199,439040,480818,543640,629387,734216,781453,898238,1005814,1123176,1364748,1662871,1964864,2117370,2406257,2616634,2855748,3055720,3350042,3736466,3852492,3786941,3635766,3567689,3556014,3848113,3903287,4023869,4300623,4058437,4441908,4552514,4229358,4241276,3931737,4232645,4665451,4992306,5001724,4832763,4625289,4542138,4628216,4374393,4510745,4735239,4936197,5138899,5283155,5553235,5270354,5326252,5747729
 "23000","Maine",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",77947,88808,97553,104285,107647,113123,121981,126370,131958,139684,148128,173043,219261,247020,275176,303522,344285,430581,446979,502024,563898,578832,653500,716456,895954,1118732,1170336,1358910,1485347,1619062,1763957,1928449,2015377,2084280,2159105,2213186,2196209,2337697,2346525,2470414,2469921,2315006,2423462,2466479,2506502,2629386,2659705,2729942,2800963,2892524,3071303,3123219,3065877,3092985,3074141,2970267,3073344,3201720,3198977,3239633,3297753,3310531,3164089,3167705,3351205
 "23000","Maine",1,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",62564,62012,64979,68525,72267,79397,91682,105881,116737,122434,128105,158582,178938,192020,205642,240118,285102,303635,334474,396214,441916,544344,711248,946415,1068910,998638,1235921,1257724,1370401,1436658,1586085,1808017,1837115,1702661,1476661,1354503,1359805,1510416,1556762,1553455,1830702,1743431,2018446,2086035,1722856,1611890,1272032,1502703,1864488,2099782,1930421,1709544,1559412,1449153,1554075,1404126,1437401,1533519,1737220,1899266,1985402,2242704,2106265,2158547,2396524
 "23000","Maine",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",48169,50037,51726,50487,51261,52793,54521,56581,59199,62375,61762,67004,64257,71505,76328,72618,79237,74147,67339,53619,57739,56471,67224,84937,96397,88397,100183,90734,77593,74081,116565,113140,140086,184987,335023,421774,490016,534469,604732,719873,800959,870260,855383,963886,1007535,1087121,1146982,1008235,779371,782217,1187375,1588557,2026042,2420446,2435614,2646548,2474249,2589292,2933784,3001935,3051559,2917478,3471283,3619918,3871883
 "23000","Maine",1,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",34041,37173,40047,41926,44183,45380,45569,46495,48116,49975,48426,54397,53396,57054,56527,53680,54327,50721,43446,26866,29940,25839,24131,28007,13964,12459,2871,-8047,-29444,-31630,-2271,332,19266,52804,117451,205476,262160,276595,324762,449586,529541,597838,626518,704603,774643,860019,916488,763743,555546,554211,927257,1299510,1688778,2038644,2036581,2240410,2061902,2168546,2488641,2598409,2645782,2501462,3032519,3141208,3388998
 "23000","Maine",1,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",14128,12864,11679,8561,7078,7413,8952,10086,11083,12400,13336,12607,10861,14451,19801,18938,24910,23426,23893,26753,27799,30632,43093,56930,82433,75938,97312,98781,107037,105711,118836,112808,120820,132183,217572,216298,227856,257874,279970,270287,271418,272422,228865,259283,232892,227102,230494,244492,223825,228006,260118,289047,337264,381802,399033,406138,412347,420746,445143,403526,405777,416016,438764,478710,482885
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
