GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",963270,1045128,1115734,1172129,1245165,1335613,1432641,1559187,1651481,1765944,1921022,2147410,2376368,2587659,2775858,3136605,3611255,4042303,4343270,4860365,5407322,6075831,7391961,9006919,10591765,11358743,12650477,13402273,14036105,14120265,15127405,16886025,17973638,18290533,18575235,19149687,20571436,22637819,24091180,26215654,28423895,28806858,31179629,31725678,30588892,32100713,32937871,33582694,36977943,39677676,41968678,38001633,38066748,42229450,46625604,45693369,49539372,53227695,55027414,57275201,61389442,64750104,64238709,71747047,78843067
 "27000","Minnesota",4,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",173430,196025,211392,217799,222502,246207,273653,314752,308210,322315,345696,350470,352569,363652,388993,443576,504643,516113,607677,697708,798298,914870,1016923,1105135,1197332,1303532,1375240,1584691,1798109,1851728,2375293,3000053,3328253,3631298,3986279,4327615,5283597,5862457,6704171,7443987,8334519,8553887,9323867,9099108,9313590,10161708,12178063,11995194,14383832,15958494,15975850,11476181,11015103,13843283,16532925,15979170,18623115,20649398,21256983,22503200,24463100,26594495,27394383,33799873,38191740
 "27000","Minnesota",4,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",480743,529770,575842,600611,661816,707933,778039,855076,931298,1036316,1161389,1373281,1604731,1777132,1942731,2221611,2627828,3069844,3319597,3821731,4261087,4828176,5965144,7383816,8869667,9594419,10800987,11354617,11922452,11977468,12374313,13516707,14178442,14015419,13596575,13312581,13437164,14644011,15039270,16030590,17109796,16939412,18442567,18833817,17408740,17828781,16323068,17763269,19565998,20933960,21242609,20452821,19476603,19499927,20652404,19286653,20267293,21439623,22431299,23155409,24908016,25769920,24198308,23918837,25672485
 "27000","Minnesota",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",202372,230703,254843,275675,296614,312996,342919,364416,396646,441914,494242,598884,729565,832541,926484,1029952,1205700,1528801,1616526,1810656,2029417,2095162,2477739,2796235,3457706,4348089,4660831,5312125,5720812,6103358,6344273,6633864,6913319,7196959,7464946,7686978,7731882,8376687,8510957,9174631,9244340,9378002,9953905,10106643,10211619,10673844,10518072,10709628,11126273,11473087,12212282,12447388,12130376,12312524,12487479,12145582,12793760,13514241,13700580,14074583,14829436,15021690,14165497,13626388,14233129
 "27000","Minnesota",4,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",278371,299067,320999,324936,365202,394937,435120,490660,534652,594402,667147,774397,875166,944591,1016247,1191659,1422128,1541043,1703071,2011075,2231670,2733014,3487405,4587581,5411961,5246330,6140156,6042492,6201640,5874110,6030040,6882843,7265123,6818460,6131629,5625603,5705282,6267324,6528313,6855959,7865456,7561410,8488662,8727174,7197121,7154937,5804996,7053641,8439725,9460873,9030327,8005433,7346227,7187403,8164925,7141071,7473533,7925382,8730719,9080826,10078580,10748230,10032811,10292449,11439356
 "27000","Minnesota",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",309097,319333,328500,353719,360847,381473,380949,389359,411973,407313,413937,423659,419068,446875,444134,471418,478784,456346,415996,340926,347937,332785,409894,517968,524766,460792,474250,462965,315544,291069,377799,369265,466943,643816,992381,1509491,1850675,2131351,2347739,2741077,2979580,3313559,3413195,3792753,3866562,4110224,4436740,3824231,3028113,2785222,4750219,6072631,7575042,8886240,9440275,10427546,10648964,11138674,11339132,11616592,12018326,12385689,12646018,14028337,14978842
 "27000","Minnesota",4,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",183833,201425,217942,230095,244873,252635,254532,260088,269552,278383,271540,302691,314365,330738,327942,307430,311982,294847,256902,163560,159362,131870,128743,127739,58863,33377,-9770,-66185,-154895,-156762,-55225,-45542,9222,94650,308711,706226,1012261,1153643,1424794,1758051,2097900,2388343,2509885,2750325,2914883,3201973,3425994,2823407,2125996,1870783,3629826,4768396,6037254,7062409,7451863,8293985,8454303,8837326,9169802,9690536,9993207,10327152,10389124,11621961,12347784
 "27000","Minnesota",4,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",125264,117908,110558,123624,115974,128838,126417,129271,142421,128930,142397,120968,104703,116137,116192,163988,166802,161499,159094,177366,188575,200915,281151,390229,465903,427415,484020,529150,470439,447831,433024,414807,457721,549166,683670,803265,838414,977708,922945,983026,881680,925216,903310,1042428,951679,908251,1010746,1000824,902117,914439,1120393,1304235,1537788,1823831,1988412,2133561,2194661,2301348,2169330,1926056,2025119,2058537,2256894,2406376,2631058
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
