GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "38000","North Dakota",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",183200,177161,190198,179140,231652,227565,239200,265066,266875,269795,293739,329877,365423,406302,449376,533923,619024,715953,777040,881988,986633,1111884,1378980,1762908,2058537,2057203,2195125,2258527,2247335,2130699,2153342,2343170,2431453,2439417,2436790,2541082,2669667,2858438,2977762,3213654,3356906,3248277,3472487,3560774,3550082,3625696,3646698,3846846,4163268,4624442,5470928,5198205,5680368,6968238,8290234,8715157,9730758,8919801,8504180,8713864,9644119,9677870,10272827,11484410,12499589
 "38000","North Dakota",4,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",12381,15818,15237,15721,15599,18720,20390,23662,23076,27136,24609,23258,24706,26652,29591,36858,45025,50922,58856,66594,77257,89296,100287,111557,148211,126452,122663,136691,158679,167117,194020,245778,269097,297664,314793,355626,415912,457223,518440,603737,637712,631271,691919,690153,777229,836186,988410,1000471,1164753,1440875,1757889,1419980,1544001,2014109,2640426,2699335,2933647,2830889,2385479,2578042,2923016,2908973,3142832,3926686,4601119
 "38000","North Dakota",4,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",61410,66243,74789,81448,93401,104639,117974,137889,149192,160080,188402,223457,272910,302336,331978,388585,457733,544094,606230,712471,797455,910998,1142951,1442832,1654127,1734795,1890596,1928007,1954481,1845265,1836945,1975658,2024492,1984422,1926673,1930307,1932482,2074264,2134857,2202438,2331937,2211389,2369601,2417152,2289364,2310739,2096276,2221875,2378755,2559719,2776756,2790222,2741115,2858447,3074320,3019674,3194274,3438324,3496863,3704455,3838888,3960461,3823668,3816720,4112878
 "38000","North Dakota",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",27079,32428,38077,44099,50114,55155,60962,67167,72284,76440,83061,98530,128747,144634,160425,181579,206003,252871,274355,309007,350675,363596,419341,476379,575648,699585,726657,810496,850400,878977,883380,909590,934906,973604,1017045,1075178,1089946,1172944,1193226,1246620,1234821,1185007,1226198,1246912,1318911,1422061,1428712,1460818,1488395,1517390,1634679,1751326,1829850,1955047,2068235,2082599,2262121,2398575,2357189,2444927,2543747,2600985,2443686,2391362,2517613
 "38000","North Dakota",4,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",34331,33815,36712,37349,43287,49484,57012,70722,76908,83640,105341,124927,144163,157702,171553,207006,251730,291223,331875,403464,446780,547402,723610,966453,1078479,1035210,1163939,1117511,1104081,966288,953565,1066068,1089586,1010818,909628,855129,842536,901320,941631,955818,1097116,1026382,1143403,1170240,970453,888678,667564,761057,890360,1042329,1142077,1038896,911265,903400,1006085,937075,932153,1039749,1139674,1259528,1295141,1359476,1379982,1425358,1595265
 "38000","North Dakota",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",109409,95100,100172,81971,122652,104206,100836,103515,94607,82579,80728,83162,67807,77314,87807,108480,116266,120937,111954,102923,111921,111590,135742,208519,256199,195956,181866,193829,134175,118317,122377,121734,137864,157331,195324,255149,321273,326951,324465,407479,387257,405617,410967,453469,483489,478771,562012,624500,619760,623848,936283,988003,1395252,2095682,2575488,2996148,3602837,2650588,2621838,2431367,2882215,2808436,3306327,3741004,3785592
 "38000","North Dakota",4,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",19366,21201,22861,23572,24509,24929,24791,25089,25809,26283,25564,42357,44262,46663,47789,44696,46289,47089,42187,32481,34610,32355,30521,30210,20777,17737,11259,5290,-2342,-720,10608,15322,24518,35677,51738,77161,96688,101758,118257,155363,177121,194299,208871,229375,255485,284503,323880,291446,237045,243184,389263,491081,579710,824479,957032,1071120,1124399,1154310,1267496,1162246,1168046,1183890,1371941,1201674,1227171
 "38000","North Dakota",4,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",90043,73899,77311,58399,98143,79277,76045,78426,68798,56296,55164,40805,23545,30651,40018,63784,69977,73848,69767,70442,77311,79235,105221,178309,235422,178219,170607,188539,136517,119037,111769,106412,113346,121654,143586,177988,224585,225193,206208,252116,210136,211318,202096,224094,228004,194268,238132,333054,382715,380664,547020,496922,815542,1271203,1618456,1925028,2478438,1496278,1354342,1269121,1714169,1624546,1934386,2539330,2558421
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
