GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "91000","New England",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",3612463,3885047,4105762,4376713,4809991,5239404,5791992,6319173,6784876,7435889,7648518,8212648,8932009,9531657,10222626,11183305,12444973,13150264,14078339,15592731,17244019,19388498,23622231,28752329,33495601,35493654,40684481,42971764,46064164,47891176,54426687,61530717,63410181,62776662,63144994,65516490,68126300,72995194,77114874,81032247,87159421,87099460,95896842,98712260,93505345,95181491,98510581,103580434,119203276,130901037,137966716,123978684,122529937,135011820,147524363,144244202,156452947,165761981,172481196,181647121,193252966,202083519,196075131,211656790,223200695
 "91000","New England",1,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",1199215,1301411,1320101,1361065,1457946,1568315,1758536,1922974,2003506,2192364,2113038,2152309,2162711,2230419,2399124,2556047,2724032,2583663,3018622,3408716,3799957,4269220,4743690,5115493,5789737,6151346,6570469,6782664,7293736,7072237,8609227,10524107,10625950,11168182,11627158,12598704,14171280,15423640,17886835,20334296,21180403,20752361,23450963,23044699,24306692,26118273,33266352,31096281,38939740,43929455,47084716,33323588,31848507,40233540,47122694,44332254,53491392,56656048,58526727,62987544,66954147,73949231,73145652,86285661,89167228
 "91000","New England",1,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",1713335,1835093,1974862,2141105,2405018,2678485,2986824,3280338,3585624,3961304,4224951,4782302,5552405,6072845,6608564,7428795,8540191,9486619,10087675,11454669,12730820,14468141,18049915,22614711,26674715,28356719,33143924,35167981,38063971,40153441,44604557,49948313,51450893,49701818,47853477,47139453,46793360,49654852,50043644,51957841,56177812,55869906,62040430,64340490,57967547,57319175,53104094,62035542,72464313,79341842,78124894,73453703,68895415,68832509,72926009,70366426,73172931,78271104,82085118,85831857,92365609,93810110,84434077,84819966,90816387
 "91000","New England",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",797452,880381,941649,1020145,1103413,1184496,1302662,1391474,1485847,1627361,1797853,2097165,2533015,2829572,3132337,3458174,3894076,4717657,4925800,5465298,6092188,6348179,7496427,8552576,10386385,12791054,13863917,15837292,17637088,19431624,21091015,22917431,23989652,24396513,24944652,25665292,25618748,27400505,27400232,29083738,28995760,29443383,31304994,31741998,31512511,32209650,32331282,33876437,36243233,38742053,41453330,41436588,40450396,41095974,41355469,40303089,42667587,45425024,44643464,45525168,47463901,47929652,45338167,44714245,46243847
 "91000","New England",1,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",915883,954712,1033213,1120960,1301605,1493989,1684162,1888864,2099777,2333943,2427098,2685137,3019390,3243273,3476227,3970621,4646115,4768962,5161875,5989371,6638632,8119962,10553488,14062135,16288330,15565665,19280007,19330689,20426883,20721817,23513542,27030882,27461241,25305305,22908825,21474161,21174612,22254347,22643412,22874103,27182052,26426523,30735436,32598492,26455036,25109525,20772812,28159105,36221080,40599789,36671564,32017115,28445019,27736535,31570540,30063337,30505344,32846080,37441654,40306689,44901708,45880458,39095910,40105721,44572540
 "91000","New England",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",699913,748543,810799,874543,947027,992604,1046632,1115861,1195746,1282221,1310529,1278037,1216893,1228393,1214938,1198463,1180750,1079982,972042,729346,713242,651137,828626,1022125,1031149,985589,970088,1021119,706457,665498,1212903,1058297,1333338,1906662,3664359,5778333,7161660,7916702,9184395,8740110,9801206,10477193,10405449,11327071,11231106,11744043,12140135,10448611,7799223,7629740,12757106,17201393,21786015,25945771,27475660,29545522,29788624,30834829,31869351,32827720,33933210,34324178,38495402,40551163,43217080
 "91000","New England",1,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",570072,626362,679542,728075,785097,818752,832623,857536,894744,930390,912113,850844,795209,839901,811168,759603,764595,705755,594993,313284,296263,215631,213827,223587,36183,-27836,-206683,-465405,-950632,-1066388,-613511,-702578,-528039,-112091,1064634,2835180,3968564,4366606,5269284,4821481,5792469,6604731,6823053,7433191,7733081,8420098,8746551,6887573,4632020,4402278,8967609,12950886,16716943,20166301,21394649,23543531,23712325,24652939,25428636,27107163,28145042,28212136,32061192,33409804,35836257
 "91000","New England",1,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",129841,122181,131257,146468,161930,173852,214009,258325,301002,351831,398416,427193,421684,388492,403770,438860,416155,374227,377049,416062,416979,435506,614799,798538,994966,1013425,1176771,1486524,1657089,1731886,1826414,1760875,1861377,2018753,2599725,2943153,3193096,3550096,3915111,3918629,4008737,3872462,3582396,3893880,3498025,3323945,3393584,3561038,3167203,3227462,3789497,4250507,5069072,5779470,6081011,6001991,6076299,6181890,6440715,5720557,5788168,6112042,6434210,7141359,7380823
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
