GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",104169,114717,133501,151634,168146,178224,198047,224675,237039,257707,315816,362706,426667,480958,539854,620608,718445,797953,902043,1029673,1275898,1512996,1820168,2183674,2550422,2789076,3089581,3411878,3652004,3814617,4304506,5008694,5628581,6144088,6657093,7207434,8220120,9186026,10168976,11001627,12194853,12646296,13963369,14341532,14304210,15623833,17354581,20066186,21789779,23342287,23409436,20470471,20156547,21831214,25043886,23685124,26264575,29405588,30777020,33052898,35421061,38317868,38976277,43739187,47365141
 "32000","Nevada",8,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",13128,14196,18059,22094,24154,25198,27772,33763,33687,33123,56124,57896,62189,67960,76703,89348,102643,101877,126678,152060,190160,230827,246941,260298,285911,306062,321156,394535,471720,507532,705284,943062,1093741,1223222,1377225,1524150,1995377,2285436,2765554,3010497,3194538,3129209,3531321,3509700,3683811,4352071,5993153,6562189,7736576,8174192,7612764,4957546,5034887,6298840,8275303,7316363,9306775,11384379,12080689,13193119,14484260,15975506,16492673,20429739,22163616
 "32000","Nevada",8,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",66200,73731,85896,96938,107681,114035,128613,146288,155382,173475,207683,241314,298016,340093,383210,451105,536958,616314,691897,814721,1014799,1208362,1484527,1809904,2154823,2359356,2648073,2872604,3055585,3185207,3447814,3908166,4329474,4647694,4873477,5081898,5477800,6042848,6400444,6900758,7699891,8055967,8842239,9046316,8717256,9166942,9156396,11487236,12368309,13418494,13100123,12165088,11111150,10999184,12184481,11450843,12122250,13038383,13459842,14403945,15117441,15929163,15011032,15238383,16538640
 "32000","Nevada",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",38449,41963,47883,56553,63371,66171,75545,81675,87924,97919,108938,139079,177498,205478,234193,268865,312649,382778,423053,486688,598359,651062,759906,850994,981124,1223168,1282179,1411499,1539625,1687443,1800681,1995646,2190939,2405438,2636716,2887495,3071231,3452744,3652614,3995101,4132775,4393156,4707086,4783859,4877348,5228364,5544076,6144878,6733240,7138549,7327535,7190013,6917233,6948277,7084273,6950714,7455821,7954901,8063558,8289764,8618389,8780367,8483665,8547622,9108652
 "32000","Nevada",8,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",27751,31768,38013,40385,44310,47864,53068,64613,67458,75556,98745,102235,120518,134615,149017,182240,224309,233536,268844,328033,416440,557300,724621,958910,1173699,1136188,1365894,1461105,1515960,1497764,1647133,1912520,2138535,2242256,2236761,2194403,2406569,2590104,2747830,2905657,3567116,3662811,4135153,4262457,3839908,3938578,3612320,5342358,5635069,6279945,5772588,4975075,4193917,4050907,5100208,4500129,4666429,5083482,5396284,6114181,6499052,7148796,6527367,6690761,7429988
 "32000","Nevada",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",24841,26790,29546,32602,36311,38991,41662,44624,47970,51109,52009,63496,66462,72905,79941,80155,78844,79762,83468,62892,70939,73807,88700,113472,109688,123658,120352,144739,124699,121878,151408,157466,205366,273172,406391,601386,746943,857742,1002978,1090372,1300424,1461120,1589809,1785516,1903143,2104820,2205032,2016761,1684894,1749601,2696549,3347837,4010510,4533190,4584102,4917918,4835550,4982826,5236489,5455834,5819360,6413199,7472572,8071065,8662885
 "32000","Nevada",8,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",17503,19672,21673,24935,28234,30996,32938,35309,38143,40725,41153,51964,51691,55728,55513,53124,54497,51597,44582,27491,31464,27026,25934,29985,14945,13995,5931,-2545,-19415,-18990,9529,16038,36490,74973,147815,282881,395653,448781,560079,613994,756871,887039,960492,1125718,1283175,1464763,1612176,1385163,977150,1020650,1835539,2411649,2937734,3434501,3424390,3647198,3519428,3666160,3899920,4265974,4487597,4821914,5589191,5783061,6352555
 "32000","Nevada",8,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",7338,7118,7873,7667,8077,7995,8724,9315,9827,10384,10856,11532,14771,17177,24428,27031,24347,28165,38886,35401,39475,46781,62766,83487,94743,109663,114421,147284,144114,140868,141879,141428,168876,198199,258576,318505,351290,408961,442899,476378,543553,574081,629317,659798,619968,640057,592856,631598,707744,728951,861010,936188,1072776,1098689,1159712,1270720,1316122,1316666,1336569,1189860,1331763,1591285,1883381,2288004,2310330
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
