GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",6069170,6581842,7096071,7504338,8306831,9116086,10038798,10904202,11562496,12230906,13280909,13814823,14736049,15427540,16207655,17672029,19779539,20941921,21992001,24114466,26314426,29385835,34765350,41627694,47392646,51004652,58510237,61551767,63632770,63798304,71450502,81425146,84851720,85154158,83531391,83973158,87500753,94854265,99742552,106202573,112238853,112300560,120364952,119590305,110386009,112520916,116359091,132056518,149851104,171935144,177205024,155292270,153506437,170002433,189986918,190663799,204651420,217281595,227645263,247800948,260837078,267146898,255156911,275771612,281338584
 "36000","New York",2,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",2144669,2323774,2455382,2481476,2614732,2790606,3088188,3405916,3398016,3455509,3791387,3828144,3615472,3506490,3541887,3819745,4123069,3868218,4481121,5033351,5516226,6104326,6712264,7196645,7399047,8198332,8575857,8977654,9576922,8999605,11137644,13649536,14345094,14822437,15293155,15926235,17774003,19099208,22124949,24908787,25678110,24892148,27995865,26774408,27559702,28833558,36421300,37548258,48717314,58646271,61610155,41706037,38633829,49549476,58825509,57079996,67391406,71751114,73845433,83387477,91604333,96999106,96059966,113488493,109574129
 "36000","New York",2,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",2976222,3233668,3532016,3831141,4440758,4990665,5575893,6065486,6661637,7194870,7908874,8590667,9761696,10536873,11277661,12458993,14303359,15812286,16393142,18226046,19988562,22545715,27210774,33449076,39100239,41740042,48742059,51292435,53177664,53993642,59080255,66664528,68993383,68149238,64431309,62147229,62671664,68076613,68607255,71831038,75667775,75829186,80894751,80500849,70649557,70744361,66397543,82725978,92038440,104311421,100596529,93667198,89920788,91004412,100219221,100090300,102632328,110105083,116396740,126480093,130367146,130751253,115130573,115379233,120996855
 "36000","New York",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1204583,1354742,1469953,1583228,1743811,1884455,2087150,2233375,2436163,2675092,3015356,3469060,4122363,4585100,4993189,5463016,6278567,7683509,7736107,8328389,9041588,9178996,10735178,12178218,14886872,18453951,19740180,22423803,24584938,26333923,27814866,30039961,31588034,32382898,33042572,33802236,33695667,36180150,36300919,38890535,38559064,39470436,41098049,40760113,40358300,41907322,41668387,43961808,47162380,50318407,52740816,53159457,51980768,52256337,53429301,52606553,56045320,59816901,60225782,62599350,66371658,66662377,62381919,61231356,60776043
 "36000","New York",2,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",1771639,1878926,2062063,2247913,2696947,3106210,3488743,3832111,4225474,4519778,4893518,5121607,5639333,5951773,6284472,6995977,8024792,8128777,8657035,9897657,10946974,13366719,16475596,21270858,24213367,23286091,29001879,28868632,28592726,27659719,31265389,36624567,37405349,35766340,31388737,28344993,28975997,31896463,32306336,32940503,37108711,36358750,39796702,39740736,30291257,28837039,24729156,38764170,44876060,53993014,47855713,40507741,37940020,38748075,46789920,47483747,46587008,50288182,56170958,63880743,63995488,64088876,52748654,54147877,60220812
 "36000","New York",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",948279,1024400,1108673,1191721,1251341,1334815,1374717,1432800,1502843,1580527,1580648,1396012,1358881,1384177,1388107,1393291,1353111,1261417,1117738,855069,809638,735794,842312,981973,893360,1066278,1192321,1281678,878184,805057,1232603,1111082,1513243,2182483,3806927,5899694,7055086,7678444,9010348,9462748,10892968,11579226,11474336,12315048,12176750,12942997,13540248,11782282,9095350,8977452,14998340,19919035,24951820,29448545,30942188,33493503,34627686,35425398,37403090,37933378,38865599,39396539,43966372,46903886,50767600
 "36000","New York",2,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",773542,850466,923329,974989,1038456,1071228,1078991,1101892,1141180,1180409,1148459,920161,883777,923566,887922,823562,823091,747962,621250,326430,304041,220068,212438,222246,43790,-15595,-178973,-410467,-841574,-938148,-524545,-596310,-432103,-57015,990806,2568334,3585469,3945833,4761637,5424409,6507367,7413216,7645877,8301060,8599651,9337694,9683343,7601519,5082334,4717063,9898385,14044784,18464275,22256046,23478016,25941040,26518037,27337460,28836877,30285846,30969079,31569112,36158302,38192730,41351049
 "36000","New York",2,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",174737,173934,185344,216732,212885,263587,295726,330908,361663,400118,432189,475851,475104,460611,500185,569729,530020,513455,496488,528639,505597,515726,629874,759727,849570,1081873,1371294,1692145,1719758,1743205,1757148,1707392,1945346,2239498,2816121,3331360,3469617,3732611,4248711,4038339,4385601,4166010,3828459,4013988,3577099,3605303,3856905,4180763,4013016,4260389,5099955,5874251,6487545,7192499,7464172,7552463,8109649,8087938,8566213,7647532,7896520,7827427,7808070,8711156,9416551
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
