GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",569873,623770,683495,715177,748743,772619,832776,893964,945548,990684,1079542,1260974,1453872,1633300,1734596,2008986,2324179,2580593,2827900,3175498,3677701,4222811,5255828,6611115,7818448,8429132,9244507,9843486,9629796,9241344,9659313,10490143,10880043,10908283,11027712,11179577,11789698,12649750,13374559,13974767,15098072,15287852,17072459,17612002,17329683,17852510,18929959,20625624,23151388,25838725,28159624,25206512,25804843,28874836,31227276,30730878,33002477,31997772,31206214,32776592,34888536,36269167,37048632,41651703,43113720
 "40000","Oklahoma",6,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",72219,83540,90052,95224,97561,100648,116310,132555,135924,135432,163009,174854,181465,192549,211782,247602,287508,292231,361209,430635,485195,549579,609804,667152,786587,774912,743286,849551,890905,864479,1075660,1304060,1450183,1544074,1704370,1823291,2167962,2246360,2637029,2857221,3310548,3437363,4105148,4040316,4353610,4456067,5788465,6168747,7870303,9179405,9596397,7263951,7087410,8612430,10306117,9557422,10239703,10395710,9848750,10532273,11369811,12563117,13326911,16616638,15868426
 "40000","Oklahoma",6,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",259043,293268,331710,357309,384773,405793,458372,502056,554131,602290,673643,814114,984154,1098904,1208857,1415809,1688821,1940772,2129563,2447983,2861062,3336457,4228666,5329562,6325380,6833540,7711277,8195984,8314386,8025734,8206798,8819837,8959748,8831066,8567771,8443956,8533136,9293034,9479665,9652440,10139304,9991959,10836202,11109516,10404470,10396580,9746882,10729916,12050639,13219757,13683526,13492362,12851214,13068589,13698964,12996143,13342745,13997344,14097015,14604700,15098567,15832646,14866197,14829249,15779310
 "40000","Oklahoma",6,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",153077,169937,185140,204898,224230,233843,256467,274634,297649,335193,361227,429707,541686,613781,679912,767718,891035,1078289,1181772,1334021,1556786,1677995,1982851,2294978,2816776,3415616,3618651,4020783,4249068,4395335,4457601,4594623,4728105,4911470,5068996,5222145,5259294,5665909,5765315,6079442,6104866,6115338,6430548,6586024,6752997,6998175,7051724,7387901,7898517,8352188,8935426,9305278,9292097,9541085,9755592,9549211,9936388,10268786,10163541,10345217,10617146,10860004,10416555,10254100,10682474
 "40000","Oklahoma",6,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",105966,123331,146570,152411,160543,171950,201905,227422,256482,267097,312416,384407,442468,485123,528945,648091,797786,862483,947791,1113962,1304276,1658462,2245815,3034584,3508604,3417924,4092626,4175201,4065318,3630399,3749197,4225214,4231643,3919596,3498775,3221811,3273842,3627125,3714350,3572998,4034438,3876621,4405654,4523492,3651473,3398405,2695158,3342015,4152122,4867569,4748100,4187084,3559117,3527504,3943372,3446932,3406357,3728558,3933474,4259483,4481421,4972642,4449642,4575149,5096836
 "40000","Oklahoma",6,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",238611,246962,261733,262644,266409,266178,258094,259353,255493,252962,242890,272006,288253,341847,313957,345575,347850,347590,337128,296880,331444,336775,417358,614401,706481,820680,789944,797951,424505,351131,376855,366246,470112,533143,755571,912330,1088600,1110356,1257865,1465106,1648220,1858530,2131109,2462170,2571603,2999863,3394612,3726961,3230446,3439563,4879701,4450199,5866219,7193817,7222195,8177313,9420029,7604718,7260449,7639619,8420158,7873404,8855524,10205816,11465984
 "40000","Oklahoma",6,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",97839,107023,115610,121607,128941,132735,133498,136270,141141,146045,142040,166312,177881,189682,189529,182056,186031,175044,152893,97414,103540,91409,92168,93556,50170,40176,17097,-8073,-45849,-37879,22150,41484,82317,141557,238547,389746,503345,539382,638939,821115,965179,1087011,1149847,1279125,1408858,1562369,1703716,1464092,1087679,1135673,1814650,2372581,3180431,3766451,3859245,4318553,4478200,4482751,4682472,4813322,4989939,5022281,5517748,5773239,6072473
 "40000","Oklahoma",6,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",140772,139939,146123,141037,137468,133443,124596,123083,114352,106917,100850,105694,110372,152165,124428,163519,161819,172546,184235,199466,227904,245366,325190,520845,656311,780504,772847,806024,470354,389010,354705,324762,387795,391586,517024,522584,585255,570974,618926,643991,683041,771519,981262,1183045,1162745,1437494,1690896,2262869,2142767,2303890,3065051,2077618,2685788,3427366,3362950,3858760,4941829,3121967,2577977,2826297,3430219,2851123,3337776,4432577,5393511
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
