GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "97000","Rocky Mountain",7,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",1385053,1489274,1590630,1681652,1824710,1910843,2049257,2187382,2325793,2465081,2571934,2997754,3472483,3883043,4287608,4926192,5712498,6448828,7024387,7918746,9167898,10462322,12587678,15232046,17383156,18999328,20858570,22444574,23023370,23028042,24500175,27257954,28552874,29539955,30362982,32407273,35570470,39664563,42971040,46005270,49644777,49463852,54311925,56400150,55575489,58327532,61994603,67735283,76554787,85288104,91856933,81736139,80757633,92886130,102028323,100668373,110253582,118426800,122137017,131258336,140305845,152378355,157995594,178769392,198434270
 "97000","Rocky Mountain",7,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",199401,223156,235643,253688,275172,292895,324444,369086,386772,402980,381678,412290,428360,455731,503155,590800,686540,725672,874016,1021191,1210668,1421189,1596973,1754118,1865276,2048584,2088209,2351137,2583114,2635523,3354914,4212055,4708729,5214620,5640281,6373711,7733989,8682582,10362160,11564906,12360181,12490216,14055183,13965268,14724299,15695665,20127840,21216498,26935625,31417036,31751011,22296737,21310570,28255357,34252988,31888147,36900419,41135435,42552290,47559727,51373220,58054295,61694106,76482248,86515766
 "97000","Rocky Mountain",7,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",763844,822313,890887,960726,1061107,1126685,1222841,1304736,1407894,1523724,1653871,1962022,2392029,2720681,3043875,3558427,4239565,4987718,5460821,6342382,7355182,8446885,10275446,12548692,14531945,15967078,17799554,19043073,19691285,19721536,20363360,22285940,22933212,23115178,22978403,23294920,24330401,26912648,27780404,29421784,31688939,30814004,33642709,34933157,32996810,33864570,31969825,37272342,41660154,45942667,47259440,45266134,42479969,43853796,46735680,45099719,47572089,51257856,53476935,56668639,59593824,64228841,63480725,64831397,70373428
 "97000","Rocky Mountain",7,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",390380,432664,476675,523880,575569,609107,671031,707329,750692,817003,881492,1051527,1324062,1533471,1734979,1976244,2310307,2883047,3104444,3527797,4087754,4315358,4977490,5568372,6686443,8330336,8783466,10004450,10655661,11170389,11492504,11981686,12403678,13103189,13762414,14509926,14984685,16466609,16937897,18308015,18548647,18127784,19276866,19639515,20107410,21177637,21545360,22918978,24657309,26349050,28236164,28988513,28673545,29451798,30189310,29772307,31441809,33213099,33921376,35132998,36634296,38106487,37036890,37633884,40065784
 "97000","Rocky Mountain",7,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",373464,389649,414212,436846,485538,517578,551810,597407,657202,706721,772379,910495,1067967,1187210,1308896,1582183,1929258,2104671,2356377,2814585,3267428,4131527,5297956,6980320,7845502,7636742,9016088,9038623,9035624,8551147,8870856,10304254,10529534,10011989,9215989,8784994,9345716,10446039,10842507,11113769,13140292,12686220,14365843,15293642,12889400,12686933,10424465,14353364,17002845,19593617,19023276,16277621,13806424,14401998,16546370,15327412,16130280,18044757,19555559,21535641,22959528,26122354,26443835,27197513,30307644
 "97000","Rocky Mountain",7,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",421808,443805,464100,467238,488431,491263,501972,513560,531127,538377,536385,623442,652094,706631,740578,776965,786393,735438,689550,555173,602048,594248,715259,929236,985935,983666,970807,1050364,748971,670983,781901,759959,910933,1210157,1744298,2738642,3506080,4069333,4828476,5018580,5595657,6159632,6614033,7501725,7854380,8767297,9896938,9246443,7959008,7928401,12846482,14173268,16967094,20776977,21039655,23680507,25781074,26033509,26107792,27029970,29338801,30095219,32820763,37455747,41545076
 "97000","Rocky Mountain",7,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",223890,247243,269034,282735,298812,307630,309390,315954,327290,339166,329371,416448,439405,471574,474789,454614,467612,441412,386827,246242,261537,220984,217405,221250,108505,86853,25237,-43683,-154443,-143604,10603,43974,140308,294518,639572,1344160,1953124,2260862,2828454,2929903,3504206,4007450,4264525,4797215,5260758,5846655,6332428,5374065,3997598,3911437,6995933,9576881,11733114,14410583,14789493,16673232,17486239,18005690,19368229,20526213,21564233,22739744,24344768,26867400,29130922
 "97000","Rocky Mountain",7,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",197918,196562,195066,184503,189619,183633,192582,197606,203837,199211,207014,206994,212689,235057,265789,322351,318781,294026,302723,308931,340511,373264,497854,707986,877430,896813,945570,1094047,903414,814587,771298,715985,770625,915639,1104726,1394482,1552956,1808471,2000022,2088677,2091451,2152182,2349508,2704510,2593622,2920642,3564510,3872378,3961410,4016964,5850549,4596387,5233980,6366394,6250162,7007275,8294835,8027819,6739563,6503757,7774568,7355475,8475995,10588347,12414154
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
