GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",347157,377817,410105,443212,483636,521743,553858,616008,660375,715249,770988,908912,1090331,1209059,1353121,1546986,1785802,1999904,2189287,2444246,2801350,3170532,3837380,4660727,5351933,5925666,6694043,7283376,7850551,8134706,8978953,10161245,10879469,11269873,11565554,12117661,12960004,13924041,15001397,16146262,17487016,17189342,18632755,18894831,18845074,18923390,20016856,21471625,24362226,27106861,28617750,26176330,25815621,28519617,30272215,29738275,32581472,34905918,36934387,39517507,41265254,45328985,46670434,51185810,55996586
 "45000","South Carolina",5,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",49717,56719,60775,65951,68927,74746,81413,100917,102348,117216,123213,135309,144072,156427,175679,204310,235730,236275,287302,339278,398120,463108,527309,585908,600995,724776,764804,875545,962819,985137,1204275,1497823,1648624,1802142,1916458,2125079,2529537,2770636,3357743,3832646,4170726,3922760,4283984,4035146,4518475,4424455,5951300,6472236,8020137,9123332,8792168,5899714,5285545,6887362,8208822,7878386,9797122,10809817,11754556,13153508,14075423,16483827,17359929,21045027,23845686
 "45000","South Carolina",5,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",185680,204066,227441,242934,266218,289139,313763,352530,392850,424323,485635,589726,752695,846635,960915,1121724,1349544,1564580,1723756,1966765,2256656,2567197,3151076,3875396,4559975,5012119,5732890,6190459,6693568,6950847,7503617,8378505,8855273,8933119,8906020,8969331,9189808,9807126,10099039,10609454,11417447,11245965,12262475,12465099,11691496,11579578,10896315,12171501,13969942,15497926,15955028,15499071,14523423,14541774,14873119,14157516,14844888,15782181,16394816,17356376,17848286,18958219,18204466,18403139,19655840
 "45000","South Carolina",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",124026,143568,154714,167787,181099,196602,209517,231242,261860,285045,314533,378483,501383,563867,646219,733343,868831,1035779,1132382,1260966,1460794,1582092,1831984,2088047,2426710,2859425,3138124,3482679,3859533,4198594,4470043,4844085,5142915,5416676,5639503,5864110,5982192,6392895,6503359,6959220,7068956,7080845,7408103,7414168,7615830,7913741,7995211,8361567,8970331,9590851,10267135,10611316,10310319,10390696,10564436,10390505,10768210,11284252,11404295,11626435,11884354,12093736,11728739,11775429,12307474
 "45000","South Carolina",5,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",61654,60498,72727,75147,85119,92537,104246,121288,130990,139278,171102,211243,251312,282768,314696,388381,480713,528801,591374,705799,795862,985105,1319092,1787349,2133265,2152694,2594766,2707780,2834035,2752253,3033574,3534420,3712358,3516443,3266517,3105221,3207616,3414231,3595680,3650234,4348491,4165120,4854372,5050931,4075666,3665837,2901104,3809934,4999611,5907075,5687893,4887755,4213104,4151078,4308683,3767011,4076678,4497929,4990521,5729941,5963932,6864483,6475727,6627710,7348366
 "45000","South Carolina",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",111760,117032,121889,134327,148491,157858,158682,162561,165177,173710,162140,183877,193564,205997,216527,220952,200528,199049,178229,138203,146574,140227,158995,199423,190963,188771,196349,217372,194164,198722,271061,284917,375572,534612,743076,1023251,1240659,1346279,1544615,1704162,1898843,2020617,2086296,2394586,2635103,2919357,3169241,2827888,2372147,2485603,3870554,4777545,6006653,7090481,7190274,7702373,7939462,8313920,8785015,9007623,9341545,9886939,11106039,11737644,12495060
 "45000","South Carolina",5,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",63765,70444,76699,85913,95707,103103,107880,114094,121894,129801,129281,150094,154958,164235,163996,154442,157519,146076,125332,78498,86462,75811,71015,82074,44411,43484,24716,9250,-21913,-14246,58608,84735,147128,254262,413352,638631,811109,868858,1033834,1110081,1301500,1469161,1566277,1836755,2136770,2412257,2629684,2301050,1849506,1919186,3145246,3999640,5039468,5972571,6027465,6547185,6796544,7173966,7562615,7926753,8149772,8658680,9761204,10234046,11055969
 "45000","South Carolina",5,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",47995,46588,45190,48414,52784,54755,50802,48467,43283,43909,32859,33783,38606,41762,52531,66510,43009,52973,52897,59705,60112,64416,87980,117349,146552,145287,171633,208122,216077,212968,212453,200182,228444,280350,329724,384620,429550,477421,510781,594081,597343,551456,520019,557831,498333,507100,539557,526838,522641,566417,725308,777905,967185,1117910,1162809,1155188,1142918,1139954,1222400,1080870,1191773,1228259,1344835,1503598,1439091
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
