GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "95000","Southeast",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",7560360,8242922,8939181,9648497,10553455,11406452,12334714,13416046,14388146,15595554,17074615,20074735,23440086,26165394,29037082,33295354,38811047,42949592,46882933,52776586,60876813,69813712,85824125,105300161,118201736,128418334,144929334,157426301,167489408,171902773,191043406,219301432,232765140,237538759,240112222,250704090,266563283,289467884,308226387,330546902,357012929,355622553,383637590,392209823,385293141,398250138,423039885,455766136,510702654,567460183,594263806,532415779,543267086,594795717,637102844,611153491,660665594,702542783,723683691,785912707,837808072,890103260,904976033,997789774,1071624102
 "95000","Southeast",5,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",1401072,1525428,1645769,1755641,1931334,2099926,2408939,2719450,2819236,2967373,3393594,3642721,3838035,4132966,4617238,5312601,6059372,6177069,7339660,8452650,9869119,11460436,12918143,14147211,14479142,16934150,17634073,19994561,22350662,22664199,29059035,35485047,38745627,41774765,44106752,48695826,57103620,62530285,72931053,80900059,87204230,84747592,93239172,91334744,99687371,108164352,139248559,145297473,175045574,197257683,196705887,137638444,129862459,167334147,202863677,188560462,221150979,240250305,250823637,286285062,310286401,340494801,359373468,439371791,470210523
 "95000","Southeast",5,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",3802449,4232829,4660601,5094652,5631407,6142444,6756798,7470544,8260606,9196287,10337401,12774798,15803688,18010061,20246727,23836420,28540038,32716006,35858149,41408454,47913081,55301651,69329906,86525500,99097167,106778107,122592259,132160419,141087126,145384944,156921740,178688540,187435059,186841543,183065150,183670960,187153282,202355194,206907068,217977156,234232507,231921676,250012962,255591071,237110510,236789763,226185162,258329802,292487740,320184194,326362880,310938236,309545591,307704884,309925492,289186542,302897678,322265504,327965967,348562133,371379155,387386911,365903021,368077259,395848837
 "95000","Southeast",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",2166431,2448280,2653301,2934622,3246276,3538940,3873544,4195413,4598118,5105263,5655711,6950856,8853568,10183223,11534037,13154431,15386480,18497161,20096156,22727542,26361795,28168576,33170955,37875553,44477171,52756138,57169112,64182357,70708787,77141946,82000190,88629585,94465167,99415188,103815048,108387274,110816253,120097387,122217863,131013016,131963986,132788596,139856956,140733983,143277555,149661579,152756515,161440949,173048093,183144880,193093662,196448794,194192945,198478008,200828850,194188332,201826216,210651274,212124844,218133904,225538082,228440595,216986320,215371504,226200989
 "95000","Southeast",5,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",1636018,1784549,2007300,2160030,2385131,2603504,2883254,3275131,3662488,4091024,4681690,5823942,6950120,7826838,8712690,10681989,13153558,14218845,15761993,18680912,21551286,27133075,36158951,48649947,54619996,54021969,65423147,67978062,70378339,68242998,74921550,90058955,92969892,87426355,79250102,75283686,76337029,82257807,84689205,86964140,102268521,99133080,110156006,114857088,93832955,87128184,73428647,96888853,119439647,137039314,133269218,114489442,115352646,109226876,109096642,94998210,101071462,111614230,115841123,130428229,145841073,158946316,148916701,152705755,169647848
 "95000","Southeast",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",2356839,2484665,2632811,2798204,2990714,3164082,3168977,3226052,3308304,3431894,3343620,3657216,3798363,4022367,4173117,4146333,4211637,4056517,3685124,2915482,3094613,3051625,3576076,4627450,4625427,4706077,4703002,5271321,4051620,3853630,5062631,5127845,6584454,8922451,12940320,18337304,22306381,24582405,28388266,31669687,35576192,38953285,40385456,45284008,48495260,53296023,57606164,52138861,43169340,50018306,71195039,83839099,103859036,119756686,124313675,133406487,136616937,140026974,144894087,151065512,156142516,162221548,179699544,190340724,205564742
 "95000","Southeast",5,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",1439734,1595639,1742834,1885279,2044634,2150424,2204419,2289744,2408836,2525152,2489869,2818537,2899021,3083220,3065695,2910323,2964823,2751889,2373662,1469431,1586122,1368276,1310055,1441353,725064,638147,217653,-203103,-972300,-924957,332888,623938,1525590,2980868,5650948,9883733,13103576,14331392,17315278,20351768,24146996,27431360,29036062,33137976,37103467,41517201,44909589,38332725,29523705,35949563,53070130,66419345,83307512,96626173,99771815,108480837,110822597,115030575,120818493,127771224,131818147,137082174,152081891,158930601,170114978
 "95000","Southeast",5,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",917105,889026,889977,912925,946080,1013658,964558,936308,899468,906742,853751,838679,899342,939147,1107422,1236010,1246814,1304628,1311462,1446051,1508491,1683349,2266021,3186097,3900363,4067930,4485349,5474424,5023920,4778587,4729743,4503907,5058864,5941583,7289372,8453571,9202805,10251013,11072988,11317919,11429196,11521925,11349394,12146032,11391793,11778822,12696575,13806136,13645635,14068743,18124909,17419754,20551524,23130513,24541860,24925650,25794340,24996399,24075594,23294288,24324369,25139374,27617653,31410123,35449764
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
