GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "47000","Tennessee",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",577962,615850,666045,715630,783977,836325,898550,964510,1022977,1093133,1255112,1409952,1617594,1801201,2002469,2292917,2679997,3004828,3255803,3644439,4178552,4760856,5791992,7054935,8126901,8630496,9790021,10401996,10982431,11249699,12545378,13900209,14765510,14920716,15171785,15813788,16854491,18429627,19521697,20467669,21846825,21968185,23350521,23696917,22684736,23586279,24050194,25103714,27575924,30218000,32904682,30538632,31172108,33680670,36317851,34875298,36741100,38608058,40198699,43171517,46750800,51081529,51606276,55217153,60174331
 "47000","Tennessee",5,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",100036,103642,111207,125235,139411,145782,159241,174359,182102,188510,227744,235360,247650,266680,297187,337165,381360,388293,450876,514398,588681,671428,736934,798637,854220,952160,1017586,1084547,1216565,1236589,1562899,1817696,1946552,2085577,2213768,2401586,2778770,3057181,3452193,3681262,3614351,3549984,3772166,3483183,3809683,4380130,5777819,5363842,6714035,7753509,8040348,5366809,5472781,6861064,8478260,7765564,9021817,9481188,9934815,11418247,12894694,15126174,15708005,18128511,20077401
 "47000","Tennessee",5,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",286501,314367,348749,371588,410534,442445,491507,537755,584575,641446,772018,888521,1073190,1219776,1373992,1624428,1962369,2283607,2500422,2890252,3339944,3838069,4774206,5921270,6962607,7365531,8462992,8970130,9510138,9768220,10637759,11734166,12361937,12227361,12059333,12079948,12441292,13435318,13845490,14431934,15689059,15658466,16712778,17053454,15508357,15531019,14330255,16187409,17932322,19557291,20293382,19410985,18624199,18434931,18936324,17676962,18143515,19184692,19842852,20933252,22685478,23909720,22821612,22761611,24859193
 "47000","Tennessee",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",154980,174506,189316,206989,228454,246298,273099,295235,321992,354900,394582,459031,568485,657421,753200,859740,1017596,1254438,1363536,1548575,1819503,1947963,2264657,2551166,2990993,3583798,3877387,4324316,4727145,5165112,5485402,5815563,6177041,6439525,6717096,7012372,7274243,7861113,8011471,8484444,8527570,8643403,8983472,9160104,9369368,9780611,9809481,10244630,10760695,11158778,12001794,12155522,11991810,12230074,12307999,11957033,12332047,12722280,12984214,13351023,14029283,14345654,13639875,13323878,14348730
 "47000","Tennessee",5,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",131521,139861,159433,164599,182080,196147,218408,242520,262583,286546,377436,429490,504705,562355,620792,764688,944773,1029169,1136886,1341677,1520441,1890106,2509549,3370104,3971614,3781733,4585605,4645814,4782993,4603108,5152357,5918603,6184896,5787836,5342237,5067576,5167049,5574205,5834019,5947490,7161489,7015063,7729306,7893350,6138989,5750408,4520774,5942779,7171627,8398513,8291588,7255463,6632389,6204857,6628325,5719929,5811468,6462412,6858638,7582229,8656195,9564066,9181737,9437733,10510463
 "47000","Tennessee",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",191425,197841,206089,218807,234032,248098,247802,252396,256300,263177,255350,286071,296754,314745,331290,331324,336268,332928,304505,239789,249927,251359,280852,335028,310074,312805,309443,347319,255728,244890,344720,348347,457021,607778,898684,1332254,1634429,1937128,2224014,2354473,2543415,2759735,2865577,3160280,3366696,3675130,3942120,3552463,2929567,2907200,4570952,5760838,7075128,8384675,8903267,9432772,9575768,9942178,10421032,10820018,11170628,12045635,13076659,14327031,15237737
 "47000","Tennessee",5,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",120401,132561,144046,155751,169115,177732,182049,188885,198510,208335,204816,238394,246968,261698,262013,250854,255861,238297,207845,132062,141190,125643,121724,125511,64192,53950,15003,-22349,-85170,-79479,14139,36374,100175,206483,406187,748356,1016510,1126172,1376509,1501890,1779977,2017295,2132413,2389749,2625724,2919101,3158590,2688744,2047312,2068809,3561175,4665127,5845723,6908957,7206924,7775529,7907659,8242273,8588324,9160889,9306114,10044527,10806450,11612180,12563468
 "47000","Tennessee",5,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",71024,65280,62043,63056,64917,70366,65753,63511,57790,54842,50534,47677,49786,53047,69277,80470,80407,94631,96660,107727,108737,125716,159128,209517,245882,258855,294440,369668,340898,324369,330581,311973,356846,401295,492497,583898,617919,810956,847505,852583,763438,742440,733164,770531,740972,756029,783530,863719,882255,838391,1009777,1095711,1229405,1475718,1696343,1657243,1668109,1699905,1832708,1659129,1864514,2001108,2270209,2714851,2674269
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
