GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",233465,254250,289412,308745,334095,342604,381522,412391,442249,451086,457288,505229,579553,666309,742642,814166,937312,1037184,1151656,1300910,1534875,1754768,2080644,2466097,2823536,3115512,3499747,3760406,3954113,4068672,4361076,4706119,4976131,5210482,5345034,5698583,6315048,7159643,7971680,8529858,9081545,9105822,10028844,10462297,10748723,11258227,11636048,13175713,14364883,16475471,18169033,16330593,16169515,18190768,19791499,19865412,21622918,24031297,25687013,27878412,29707063,31998033,33236129,38084967,42895662
 "49000","Utah",7,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",30614,36088,42507,45386,46310,49201,59311,67102,72147,67111,60526,63145,66865,72116,80655,95459,111878,120569,150531,181591,212290,246406,269840,291956,300346,352316,365073,429198,478557,486558,623782,777801,880784,965413,1084009,1225873,1479086,1693858,2134273,2247469,2280223,2176397,2595096,2689438,3071252,3177435,3822958,4362135,5227038,6388899,6557603,4651759,4451249,5543807,6578609,6544455,7523570,8881860,9397622,10660187,11554242,12657875,13598105,17292115,19766610
 "49000","Utah",7,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",127121,137485,157783,174130,193478,199498,228316,249739,272620,284192,299322,333780,396573,461472,508038,582649,682432,785639,882764,1031320,1231798,1420958,1707905,2054121,2410448,2637627,3006696,3205581,3384327,3501170,3632481,3825030,3968987,4068055,3989366,3987163,4176066,4700176,4904406,5333456,5729093,5737636,6194730,6414827,6234343,6457036,6129530,7289813,7980616,8945243,9653025,9159446,8635836,8809048,9216631,9022815,9518119,10454332,11261343,12034575,12824038,13705653,13409459,13899620,15314251
 "49000","Utah",7,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",74562,80511,88392,100183,112148,116762,129454,140866,155537,169921,176441,200130,242133,291596,322345,362370,417161,496486,556202,638849,769077,829934,960335,1076153,1236376,1490601,1633069,1797633,1966234,2116412,2191303,2274778,2368949,2502908,2579530,2662625,2742853,3032675,3146053,3436731,3519610,3618480,3799356,3951273,4137169,4409885,4515165,4827886,5162671,5580745,6095387,6349876,6319888,6490058,6580740,6466217,6833759,7355132,7819378,8277297,8810848,9199407,8991810,9349294,10235845
 "49000","Utah",7,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",52559,56974,69391,73947,81330,82736,98862,108873,117083,114271,122881,133650,154440,169876,185693,220279,265271,289153,326562,392471,462721,591024,747570,977968,1174072,1147026,1373627,1407948,1418093,1384758,1441178,1550252,1600038,1565147,1409836,1324538,1433213,1667501,1758353,1896725,2209483,2119156,2395374,2463554,2097174,2047151,1614365,2461927,2817945,3364498,3557638,2809570,2315948,2318990,2635891,2556598,2684360,3099200,3441965,3757278,4013190,4506246,4417649,4550326,5078406
 "49000","Utah",7,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",75730,80677,89122,89229,94307,93905,93895,95550,97482,99783,97440,108304,116115,132721,153949,136058,143002,130976,118361,87999,90787,87404,102899,120020,112742,125569,127978,125627,91229,80944,104813,103288,126360,177014,271659,485547,659896,765609,933001,948933,1072229,1191789,1239018,1358032,1443128,1623756,1683560,1523765,1157229,1141329,1958405,2519388,3082430,3837913,3996259,4298142,4581229,4695105,5028048,5183650,5328783,5634505,6228565,6893232,7814801
 "49000","Utah",7,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",53453,58975,64143,67011,70612,72278,72292,73397,75605,77732,75365,87065,92432,99527,99432,94892,97337,91404,79535,46491,47072,39744,40950,38827,15144,9349,-4374,-19974,-44639,-42614,-11576,-7432,8526,33408,102285,262987,405229,479476,618086,620372,753105,864776,907184,1001766,1064215,1174787,1251230,1024597,725400,686545,1387352,2004485,2426364,3041495,3199724,3476154,3616382,3682285,4074798,4322546,4501060,4783999,5253832,5741169,6283712
 "49000","Utah",7,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",22277,21702,24979,22218,23695,21627,21603,22153,21877,22051,22075,21239,23683,33194,54517,41166,45665,39572,38826,41508,43715,47660,61949,81193,97598,116220,132352,145601,135868,123558,116389,110720,117834,143606,169374,222560,254667,286133,314915,328561,319124,327013,331834,356266,378913,448969,432330,499168,431829,454784,571053,514903,656066,796418,796535,821988,964847,1012820,953250,861104,827723,850506,974733,1152063,1531089
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
