GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",95441,103497,111574,124317,133547,139676,156066,174177,196340,219444,240293,253631,287295,319315,354887,390628,435855,479338,511206,572425,641851,723281,873111,1055917,1230546,1327585,1498245,1615026,1724006,1767816,2008858,2361224,2439902,2456652,2472757,2529628,2668990,2911956,3052799,3315997,3598781,3520388,3766397,3904048,3688168,3855568,4080367,3830350,4351725,4752852,5205093,4752405,4578834,5189368,5483334,5458745,6051832,6325125,6387407,6610223,6950951,7534564,7515262,7922998,8431020
 "50000","Vermont",1,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",26663,29270,31659,34045,34315,38165,45071,52309,57523,64180,74708,65881,69933,75701,85074,87426,90046,86383,103699,119493,140166,163323,178388,189770,224320,237276,257137,258222,278825,272878,339148,426563,435493,452632,454950,493205,558493,605392,700119,825834,881037,896562,971177,948031,935876,1048939,1437745,1116083,1394563,1599583,1789727,1270010,1058838,1417242,1639722,1621156,1984288,2146655,2198225,2297143,2342418,2772175,2713549,3171041,3437531
 "50000","Vermont",1,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",51905,56221,60019,66968,73444,75229,83976,93799,109462,124407,134860,153957,183228,206125,229071,260390,304943,353037,371567,423050,471316,529056,657590,818791,956064,1039538,1188444,1304549,1396887,1447382,1606351,1868926,1926014,1902796,1859062,1829677,1858348,2038256,2046610,2096253,2274439,2149872,2307847,2410610,2197993,2222135,2039364,2189066,2547041,2719927,2759153,2626583,2431322,2459568,2513505,2444458,2566148,2703964,2740601,2865779,2975500,3144316,2916004,2920244,3098796
 "50000","Vermont",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",25828,28678,30559,32718,35176,36838,40016,42592,46685,52280,58643,70437,86028,99157,112211,125108,145299,186030,189891,210350,234776,238467,273001,304123,387510,504175,526126,628281,683612,733810,793502,870449,915199,956463,1004228,1046149,1044719,1128896,1133667,1204704,1199388,1093444,1160298,1189600,1178645,1237732,1248788,1280166,1346319,1386910,1496921,1531240,1483791,1486547,1482772,1476290,1550655,1631760,1595272,1625337,1669271,1706108,1612924,1588892,1625340
 "50000","Vermont",1,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",26077,27543,29460,34250,38268,38391,43960,51207,62777,72127,76217,83520,97200,106968,116860,135282,159644,167007,181676,212700,236540,290589,384589,514668,568554,535363,662318,676268,713275,713572,812849,998477,1010815,946333,854834,783528,813629,909360,912943,891549,1075051,1056428,1147549,1221010,1019348,984403,790576,908900,1200722,1333017,1262232,1095343,947531,973021,1030733,968168,1015493,1072204,1145329,1240442,1306229,1438208,1303080,1331352,1473456
 "50000","Vermont",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",16873,18006,19896,23304,25788,26282,27019,28069,29355,30857,30725,33793,34134,37489,40742,42812,40866,39918,35940,29882,30369,30902,37133,47356,50162,50771,52664,52255,48294,47556,63359,65735,78395,101224,158745,206746,252149,268308,306070,393910,443305,473954,487373,545407,554299,584494,603258,525201,410121,433342,656213,855812,1088674,1312558,1330107,1393131,1501396,1474506,1448581,1447301,1633033,1618073,1885709,1831713,1894693
 "50000","Vermont",1,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",13744,14940,16047,17593,19172,20330,21001,21979,23250,24543,24308,28317,27507,29931,30347,28876,28936,26864,23038,14757,15727,13644,12730,13884,7305,6332,1465,-4124,-14649,-15723,-2686,-1614,6712,21432,50296,90974,117301,123929,145045,228880,269755,304566,319891,357924,392106,433531,462981,386948,277821,298434,489890,663635,838423,1034453,1058968,1129303,1214280,1204342,1168350,1205678,1400956,1377096,1631133,1560390,1626449
 "50000","Vermont",1,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",3129,3066,3849,5711,6616,5952,6018,6090,6105,6314,6417,5476,6627,7558,10395,13936,11930,13054,12902,15125,14642,17258,24403,33472,42857,44439,51199,56379,62943,63279,66045,67349,71683,79792,108449,115772,134848,144379,161025,165030,173550,169388,167482,187483,162193,150963,140277,138253,132300,134908,166323,192177,250251,278105,271139,263828,287116,270164,280231,241623,232077,240977,254576,271323,268244
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
