GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",396743,456321,478210,589267,846441,587903,726609,696277,758869,970162,1131305,1195342,886211,915942,969591,1009689,1050145,1038876,1177525,1301355,1481701,1501896,1455767,1505730,1600563,1603062,1557949,1685656,1914176,1943733,2006528,2119681,2209769,1954083,2138574,2574150,2605841,2501335,3080572,3050408,2567412,3156377,3789109,3673496,3225573,3658692,3097413,2922755,2968549,2940263,3173716,3035581,3183854,3770883
 "35000","New Mexico",6,SAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",304001,364858,380661,473084,671439,410366,539051,505088,570050,748183,879490,913890,586275,640913,641251,662265,722032,713810,816996,908604,968685,1017659,1030644,1025172,1137263,1138912,1060378,1196781,1366058,1419861,1442238,1613070,1667970,1397561,1591961,1990570,1977300,1876914,2364502,2404016,1893126,2346664,2996435,2903717,2529207,2949597,2343602,2164083,2214281,2228412,2462258,2369219,2414901,2993473
 "35000","New Mexico",6,SAINC45,30,"...","  Meat animals and other livestock ","Thousands of dollars",276111,335358,349912,439827,633356,367023,490323,446073,508249,678186,795042,810558,463874,501926,493857,504362,566075,558144,675592,758826,781345,788100,791951,740902,777802,714443,600675,636447,810392,750644,761794,946748,830425,633100,784090,967339,983335,955885,995797,1013120,921444,1084946,1391157,1472951,1000899,1116638,1029789,936190,846109,965453,1043887,1002024,1107728,1200387
 "35000","New Mexico",6,SAINC45,31,"...","   Cattle and calves ","Thousands of dollars",261712,320877,339347,424671,610577,344194,466691,421479,482971,652105,762454,778460,426441,465563,457870,467822,529873,517361,635939,719766,743926,756736,762936,709526,751371,686841,568762,610037,782878,726910,736610,919339,807053,611394,757918,941033,956093,928252,967123,980420,881514,1045016,1347610,1425375,955387,1072509,987573,895532,806977,926342,1003743,964030,1069501,1161406
 "35000","New Mexico",6,SAINC45,32,"...","   Hogs and pigs ","Thousands of dollars",3919,4244,3244,5784,7139,7804,9525,10622,8998,9835,6102,6873,8627,8562,6542,5580,5527,6719,5760,4545,3469,4059,4417,3880,5071,4049,4165,1317,1177,556,675,687,423,269,373,522,513,279,215,235,186,154,242,220,486,592,366,374,462,680,526,485,635,885
 "35000","New Mexico",6,SAINC45,33,"...","   Sheep and other livestock ","Thousands of dollars",10480,10237,7321,9372,15640,15025,14107,13972,16280,16246,26486,25225,28806,27801,29445,30960,30675,34064,33893,34515,33950,27305,24598,27496,21360,23553,27748,25093,26337,23178,24509,26722,22949,21437,25799,25784,26729,27354,28459,32465,39744,39776,43305,47356,45026,43537,41850,40284,38670,38431,39618,37509,37592,38096
 "35000","New Mexico",6,SAINC45,40,"...","  Dairy products ","Thousands of dollars",20804,22022,24199,26013,27661,33464,37128,44367,47017,52706,65526,84280,102662,123847,132170,140328,142904,140962,127292,136697,169800,212009,220994,269554,327732,393882,430804,523969,525936,641580,657440,643808,814592,743869,790080,1004301,981409,909194,1353788,1363250,950213,1237140,1577608,1409748,1506068,1798049,1254029,1196052,1331221,1208634,1380400,1319974,1262179,1683023
 "35000","New Mexico",6,SAINC45,50,"...","  Poultry and poultry products ","Thousands of dollars",7086,7478,6550,7244,10422,9879,11600,14648,14784,17291,18922,19052,19739,15140,15224,17575,13053,14704,14112,13081,17540,17550,17699,14716,31729,30587,28899,36365,29730,27637,23004,22514,22953,20592,17791,18930,12556,11835,14917,27646,21469,24578,27670,21018,22240,34910,59784,31841,36951,54325,37971,47221,44994,110063
 "35000","New Mexico",6,SAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",92742,91463,97549,116183,175002,177537,187558,191189,188819,221979,251815,281452,299936,275029,328340,347424,328113,325066,360529,392751,513016,484237,425123,480558,463300,464150,497571,488875,548118,523872,564290,506611,541799,556522,546613,583580,628541,624421,716070,646392,674286,809713,792674,769779,696366,709095,753811,758672,754268,711851,711458,666362,768953,777410
 "35000","New Mexico",6,SAINC45,70,"...","  Total grains ","Thousands of dollars",25720,29461,24730,35212,69274,62641,74283,72784,49819,46090,82954,92107,71432,64217,82511,88980,78635,71132,55700,86894,109595,58017,61389,77043,77020,68805,64114,76947,90826,67566,61370,45393,49987,44591,38784,56522,59840,48474,82404,88827,82183,100630,90961,91156,82445,77385,73253,60768,44227,40704,44017,56435,67644,61214
 "35000","New Mexico",6,SAINC45,71,"...","   Corn ","Thousands of dollars",514,561,354,831,1689,5305,11851,18336,15608,6433,18133,14083,17428,10925,16401,21384,17837,14976,11134,18134,20658,18779,18738,19004,23733,26723,28893,37960,34387,28918,25659,22716,16087,16099,17471,20269,16303,16507,24700,41055,43888,44969,50738,52066,39901,36012,33166,27024,21065,24155,26164,30969,36186,37210
 "35000","New Mexico",6,SAINC45,72,"...","   Oats ","Thousands of dollars",55,59,67,57,67,77,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "35000","New Mexico",6,SAINC45,73,"...","   Sorghum ","Thousands of dollars",15737,17003,16118,23240,36070,38601,20665,30355,12378,20388,25025,35940,16765,16683,21248,28764,25809,13948,12056,26077,39536,10449,15047,21441,22747,16477,13573,14526,19304,10331,8805,5455,8638,7335,4029,6364,7010,7122,9852,7287,8073,14025,9023,6478,5965,8437,12027,13965,7528,5738,6156,9547,11571,9777
 "35000","New Mexico",6,SAINC45,74,"...","   Wheat ","Thousands of dollars",6278,8444,5102,6863,26541,13980,35279,17343,15475,13105,32397,34815,34054,34716,42108,37214,33321,40968,28659,35823,38544,20430,22319,30589,23521,18658,15211,18161,29978,22905,24745,13699,19798,17831,14425,25785,32079,20313,41392,30854,19294,31145,18009,19604,23766,21406,18756,17024,15634,10811,11697,15919,19887,14227
 "35000","New Mexico",6,SAINC45,75,"...","   Soybeans ","Thousands of dollars",56,60,126,133,169,300,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "35000","New Mexico",6,SAINC45,76,"...","   Other grains ","Thousands of dollars",3080,3334,2963,4088,4738,4378,6238,6750,6358,6164,7399,7269,3185,1893,2754,1618,1668,1240,3851,6860,10857,8359,5285,6009,7019,6947,6437,6300,7157,5412,2161,3523,5459,3326,2859,4104,4448,4532,6460,9631,10928,10491,13191,13008,12813,11530,9304,2755,0,0,0,0,0,0
 "35000","New Mexico",6,SAINC45,80,"...","  Hay, silage, etc. ","Thousands of dollars",15399,16581,21464,21351,28900,33392,35447,40239,36308,46921,47169,54057,54942,63949,72474,87158,82008,69009,89163,100907,111641,116224,68723,104573,123449,138156,130884,144015,141545,139297,170712,151019,164191,167864,148733,137037,139814,169463,188729,153747,121892,110559,170903,178723,141565,162662,115712,86311,108994,119802,125372,101633,107223,125327
 "35000","New Mexico",6,SAINC45,110,"...","  Fruits and nuts ","Thousands of dollars",4204,3637,3079,4832,7329,7628,9481,13927,15136,12914,12029,14517,19367,22257,22053,21577,27786,27134,19815,20985,32545,54847,44980,53275,24457,33812,57794,18990,45823,50510,64050,51332,41758,48387,73753,93065,120800,99250,111500,62350,119680,186780,162870,110500,136800,140700,182500,212949,220354,168107,163876,122016,189199,162864
 "35000","New Mexico",6,SAINC45,112,"...","  Forest and maple products ","Thousands of dollars",1960,1750,1400,1200,1200,1200,1200,1300,1300,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "35000","New Mexico",6,SAINC45,113,"...","  Tobacco ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "35000","New Mexico",6,SAINC45,114,"...","  Cotton ","Thousands of dollars",23164,21384,25751,29173,39765,35172,25003,18729,42254,50963,44679,41589,47135,20345,34846,38423,21154,26923,41048,27433,59632,53572,35066,24688,32826,36757,37275,37243,34778,38754,31876,31086,24142,22984,29249,31729,39910,36156,41895,29538,26524,54864,59071,64417,36586,32724,30578,33661,44845,48016,40524,33895,47783,57963
 "35000","New Mexico",6,SAINC45,115,"...","  Other crops 1/","Thousands of dollars",22295,18650,21125,24415,28534,37504,42144,44210,44002,65091,64984,79182,107060,104261,116456,111286,118530,130868,154803,156532,199603,201577,214965,220979,205548,186620,207504,211680,235146,227745,236282,227781,261721,272696,256094,265227,268177,271078,291542,311930,324007,356880,308869,324983,298970,295624,351768,364983,335848,335222,337669,352383,357104,370042
 "35000","New Mexico",6,SAINC45,120,"...","Other income ","Thousands of dollars",49576,51384,43189,51632,39367,27636,27133,31842,31303,48472,41845,39163,45233,56167,80752,73841,75598,100021,137038,123427,116538,111656,109051,106370,127983,111714,112217,117100,96699,141605,177121,147178,171357,190387,175946,153241,217287,188669,182247,178730,208642,174936,342766,236771,282467,376924,180665,221541,229414,248681,239809,599956,448075,493097
 "35000","New Mexico",6,SAINC45,130,"..."," Government payments ","Thousands of dollars",41647,43091,34062,42503,29365,13341,11346,15502,15112,29201,21341,20888,25961,31939,57488,49183,44641,71780,93346,71422,64675,63840,58447,60267,76442,61042,55134,58989,38995,60809,92378,79814,94090,73653,92920,78558,116636,82602,66974,74629,81737,91454,88098,97672,109985,203466,68352,85113,84338,101858,121103,378952,208032,160924
 "35000","New Mexico",6,SAINC45,140,"..."," Imputed and miscellaneous income received 2/","Thousands of dollars",7929,8293,9127,9129,10002,14295,15787,16340,16191,19271,20504,18275,19272,24228,23264,24658,30957,28241,43692,52005,51863,47816,50604,46103,51541,50672,57083,58111,57704,80796,84743,67364,77267,116734,83026,74683,100651,106067,115273,104101,126905,83482,254668,139099,172482,173458,112313,136428,145076,146823,118706,221004,240043,332173
 "35000","New Mexico",6,SAINC45,150,"...","Production expenses ","Thousands of dollars",368981,391087,407499,529090,688410,524822,568909,614455,737570,854590,1045096,1002998,923525,936573,975888,1017659,999306,964917,1092459,1172142,1195593,1208937,1225433,1145072,1233361,1396115,1394068,1481931,1646065,1608549,1617579,1814084,1693408,1741305,1834862,1949194,2136626,2288064,2522075,2704842,2599635,2586908,2945972,2942051,2666012,3024475,2674274,2486858,2630081,2521573,2588767,2853607,2988634,3532025
 "35000","New Mexico",6,SAINC45,160,"..."," Feed purchased ","Thousands of dollars",58280,70206,71040,86569,142798,116185,118933,138207,129522,137051,184598,194184,143771,143887,161927,149656,156297,149632,157100,164568,155355,146131,136214,145111,163403,219211,253677,265699,299774,287183,274085,311477,292222,417877,413249,439049,453776,539597,633261,626190,626190,593898,859257,817269,814441,957902,820097,663147,636600,565450,705253,728969,790133,1185823
 "35000","New Mexico",6,SAINC45,170,"..."," Livestock purchased ","Thousands of dollars",131065,139032,148241,248162,321174,154528,161940,156886,253104,297409,375579,262629,217742,227193,224934,263221,244084,251795,326584,382805,387897,382096,419584,342419,353743,321816,263616,307508,367356,333307,354408,445471,390840,267908,366206,454029,460355,430804,439244,597502,492400,561559,567455,609000,272825,358863,360818,269146,300485,332724,369969,360337,361554,417964
 "35000","New Mexico",6,SAINC45,180,"..."," Seed purchased ","Thousands of dollars",2904,2770,2743,2990,3885,5006,4813,5165,9023,8563,9111,9741,9984,8882,7752,10033,9523,9964,10451,13370,14861,15658,18168,17012,18296,21609,20804,23066,25495,22623,23242,21318,19178,25209,24237,21582,27692,27584,24222,27837,30729,31452,34706,43203,55547,51157,35385,40323,45124,56405,43009,50060,43362,42304
 "35000","New Mexico",6,SAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",10644,10762,11896,12368,16148,23321,23161,24705,21750,24662,27021,28382,28640,26707,27419,35421,35138,34318,31972,34896,36410,35082,35984,36120,39544,50199,52208,56139,58673,55653,54422,55512,54292,57024,51130,54373,65713,68149,82416,103954,95525,95040,118510,102462,97218,100834,94625,88211,97867,88371,79568,106839,134149,128515
 "35000","New Mexico",6,SAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",13178,13258,13270,13068,14453,20421,25715,31257,35306,37927,43878,57788,59457,50236,48394,50570,46197,39362,37886,37129,37351,45697,44760,40264,39305,43557,43304,50267,50377,46482,46644,65346,59526,52733,57472,68121,85490,95506,117248,139804,111148,117807,150183,124477,137081,135105,93344,89699,110965,105207,117409,104649,121068,148356
 "35000","New Mexico",6,SAINC45,210,"..."," Hired farm labor expenses 3/","Thousands of dollars",39837,37515,37529,38230,44494,45110,49817,57240,55895,73869,80073,81231,78540,83864,85341,95301,104520,99116,108826,116380,126259,142295,137885,139486,157616,192880,215666,204874,235829,230996,233476,252231,248917,267110,246813,270706,286900,295219,349342,330484,367174,314720,297353,322338,360216,369447,288388,353069,377164,368545,295787,401873,414801,398135
 "35000","New Mexico",6,SAINC45,220,"..."," All other production expenses 4/","Thousands of dollars",113073,117544,122780,127703,145458,160251,184530,200995,232970,275109,324836,369043,385391,395804,420121,413457,403547,380730,419640,422994,437460,441978,432838,424660,461454,546843,544793,574378,608561,632305,631302,662729,628433,653444,675755,641334,756700,831205,876342,879071,876469,872432,918508,923302,928684,1051167,981617,983263,1061876,1004871,977772,1100880,1123567,1210928
 "35000","New Mexico",6,SAINC45,240,"...","Value of inventory change ","Thousands of dollars",6406,-6797,-3113,11765,-11293,33196,-19969,-28120,51062,-29709,48455,-116591,63693,10121,-27878,16360,28907,-35641,-33212,11691,-43927,-20371,18622,5506,-10660,67040,-9593,-3522,87443,5803,-825,-52408,-6893,-29778,-46486,10294,48273,24136,-44365,26886,-33810,-16866,-160254,-120293,-94587,42784,49466,29140,110562,-62942,-83308,-77976,-106637,-12451
