GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",1038145,1228953,1172927,1490612,2304142,1919395,1959461,2006147,1925785,2699585,3858319,3564780,2993753,3161884,2781384,2892712,2667629,3138981,3267941,3728960,3949426,4010722,4307375,4096138,4267933,4268741,3871740,3651571,4456378,4017724,4427611,4786778,4490006,4464733,5146566,5770354,6189060,5701911,5898404,6212557,5482730,6758716,7990715,8014920,7900328,8521260,7227632,6443524,7226699,7258546,7346000,6790113,8419437,10374130
 "40000","Oklahoma",6,SAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",775274,880341,912101,1160413,1522548,1145313,1159316,1388041,1381736,2024557,2564719,2519769,2100552,2326299,1900170,1981428,1936348,2127053,2335702,2596634,2766423,2802755,3235898,2972349,3233676,3160199,2854661,2655378,3338128,3107419,3542305,3959233,3684114,3506776,4128332,4639413,4978796,4766470,4654974,4506852,4246803,5316176,6734585,6193751,6338598,7143279,6033944,5128186,5817619,5838583,5958911,5257844,6563738,8533945
 "40000","Oklahoma",6,SAINC45,30,"...","  Meat animals and other livestock ","Thousands of dollars",672338,775073,806253,1055777,1385538,993561,1012193,1222771,1214412,1830153,2338543,2264309,1817991,2040712,1612211,1670754,1630219,1771553,1986911,2214049,2301607,2347322,2804108,2503710,2716907,2588774,2283161,2034016,2752304,2460310,2888192,3342711,2966431,2916253,3492903,3798982,4153950,4044935,3794820,3614247,3454495,4312031,5689191,5242474,5232908,5981711,4968229,4248776,4829920,4861511,4981450,4478273,5570685,6868551
 "40000","Oklahoma",6,SAINC45,31,"...","   Cattle and calves ","Thousands of dollars",631909,734369,764695,1005548,1331074,942376,953078,1165563,1159035,1768695,2273679,2198145,1742700,1957156,1538668,1587203,1550669,1670208,1871202,2105222,2193529,2220125,2684147,2387788,2575458,2420971,2012173,1627198,2249577,2058200,2484857,2729902,2295839,2376007,2886945,2985324,3315646,3307486,3040972,2885216,2789871,3426757,4516359,4094216,4008100,4712377,4004302,3300355,3766276,3742367,3765855,3354177,3943103,5168959
 "40000","Oklahoma",6,SAINC45,32,"...","   Hogs and pigs ","Thousands of dollars",33082,33007,33253,40902,44266,40356,47845,44956,44564,50899,51425,52904,59929,48318,39074,46986,43364,45593,49327,46791,47856,68768,59337,56078,83685,119983,222858,359235,461149,359974,358874,566139,623303,492072,547745,756625,784886,687605,706711,679904,609633,834446,1120347,1095124,1165956,1208054,900965,882684,994297,1053766,1149195,1059219,1563100,1628192
 "40000","Oklahoma",6,SAINC45,33,"...","   Sheep and other livestock ","Thousands of dollars",7347,7697,8305,9327,10198,10829,11270,12252,10813,10559,13439,13260,15362,35238,34469,36565,36186,55752,66382,62036,60222,58429,60624,59844,57764,47820,48130,47583,41578,42136,44461,46670,47289,48174,58213,57033,53418,49844,47137,49127,54991,50828,52485,53134,58852,61280,62962,65737,69347,65378,66400,64877,64482,71400
 "40000","Oklahoma",6,SAINC45,40,"...","  Dairy products ","Thousands of dollars",71445,73083,75093,73557,85019,100393,93410,106364,109510,118038,131518,148617,163734,165606,163228,152668,156388,152988,152760,148350,168280,174460,152400,166455,166562,169974,167050,194052,170016,190320,191425,176800,208449,174555,177826,218750,199512,178044,236797,212100,144832,171000,201080,171051,165765,186221,134664,121422,138432,127804,146248,137940,140471,201877
 "40000","Oklahoma",6,SAINC45,50,"...","  Poultry and poultry products ","Thousands of dollars",31491,32185,30755,31079,51991,51359,53713,58906,57814,76366,94658,106843,118827,119981,124731,158006,149741,202512,196031,234235,296536,280973,279390,302184,350207,401451,404450,427310,415808,456789,462688,439722,509234,415968,457603,621681,625334,543491,623357,680505,647476,833145,844314,780226,939925,975347,931051,757988,849267,849268,831213,641631,852582,1463517
 "40000","Oklahoma",6,SAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",262871,348612,260826,330199,781594,774082,800145,618106,544049,675028,1293600,1045011,893201,835585,881214,911284,731281,1011928,932239,1132326,1183003,1207967,1071477,1123789,1034257,1108542,1017079,996193,1118250,910305,885306,827545,805892,957957,1018234,1130941,1210264,935441,1243430,1705705,1235927,1442540,1256130,1821169,1561730,1377981,1193688,1315338,1409080,1419963,1387089,1532269,1855699,1840185
 "40000","Oklahoma",6,SAINC45,70,"...","  Total grains ","Thousands of dollars",198852,276965,197769,247582,614916,651650,666397,484659,427399,451778,1049025,835075,658345,597137,569058,626016,464998,609286,478475,627611,638592,566183,501158,551275,561008,592443,554335,544571,666505,559151,496700,464380,378608,491269,541337,630011,614608,469262,729603,1258070,793474,878862,824647,1376157,1082074,885669,730625,795265,738154,742647,752237,873935,1132821,1108440
 "40000","Oklahoma",6,SAINC45,71,"...","   Corn ","Thousands of dollars",3634,4344,3231,4974,8980,17785,12317,14585,10246,4495,11766,9977,8605,3908,9117,11283,10360,7627,8933,8983,15643,19021,21967,31019,36616,36163,41477,65110,59620,52720,59991,65976,47127,36266,40841,58486,55950,53159,87227,132136,132500,149147,129081,145781,188450,187726,142740,130025,122153,133783,146295,173053,211111,212436
 "40000","Oklahoma",6,SAINC45,72,"...","   Oats ","Thousands of dollars",1214,1733,1776,1689,3743,2201,1843,2507,1812,512,2824,2970,2553,1972,2744,1992,2001,2070,1802,4122,1810,1652,858,1024,813,942,473,529,603,226,295,199,240,629,747,418,348,163,654,909,711,406,304,624,544,1027,558,547,1095,924,1263,1264,975,1224
 "40000","Oklahoma",6,SAINC45,73,"...","   Sorghum ","Thousands of dollars",17313,20165,14105,25595,37028,43188,37264,25508,15314,20497,38864,35457,26319,24725,24176,37114,40741,34143,34945,33995,42255,36078,22578,33678,33780,29035,41510,51849,54926,34643,25371,27654,24799,33301,21744,22452,24055,20481,34035,33879,47104,43811,27003,21621,48187,71307,65004,68797,43480,40152,41064,52113,89682,55685
 "40000","Oklahoma",6,SAINC45,74,"...","   Wheat ","Thousands of dollars",136344,202798,128535,163037,498553,515490,544684,358253,305636,345665,902807,716723,589872,538273,482180,552318,387258,543446,409489,547421,544005,476799,425349,452070,450317,478565,426097,377651,486614,423708,379287,341864,282183,385590,431264,490357,477395,354814,569513,1027038,491984,533290,566748,1120001,696986,484183,400259,440108,402030,404650,427230,480555,680114,708025
 "40000","Oklahoma",6,SAINC45,75,"...","   Soybeans ","Thousands of dollars",7562,8840,8796,11001,20512,30142,23636,30809,34094,34346,37258,30455,29412,27357,48320,21414,21215,19893,21980,30516,32919,30625,28814,31430,37250,44641,41686,45926,60935,43566,28145,24544,19947,30356,40095,49400,46652,31983,29362,55151,108120,129180,73733,50550,100387,111144,91663,128402,143477,140336,121151,157121,139846,121334
 "40000","Oklahoma",6,SAINC45,76,"...","   Other grains ","Thousands of dollars",32785,39085,41326,41286,46100,42844,46653,52997,60297,46263,55506,39493,1584,902,2521,1895,3423,2107,1326,2574,1960,2008,1592,2054,2232,3097,3092,3506,3807,4288,3611,4143,4312,5127,6646,8898,10208,8662,8812,8957,13055,23028,27778,37580,47520,30282,30401,27386,25919,22802,15234,9829,11093,9736
 "40000","Oklahoma",6,SAINC45,80,"...","  Hay, silage, etc. ","Thousands of dollars",14421,16970,21202,19461,32199,30578,34748,36737,30108,49708,45349,40611,49023,42711,59076,82134,78784,60241,65202,81830,76136,71364,57155,71267,73194,77219,68281,111275,120855,66580,76215,122506,139443,170066,145750,117113,124098,120096,148677,126053,90619,85091,65674,127552,159229,170918,118746,99517,92885,108280,169044,169573,188602,158335
 "40000","Oklahoma",6,SAINC45,110,"...","  Fruits and nuts ","Thousands of dollars",6008,4471,7274,3080,10928,1704,9242,3797,8389,11257,8246,5455,26084,9846,8710,19044,11080,14970,10165,30778,15273,8511,26106,16289,17494,21418,32015,7125,26883,13448,46824,13227,16312,12612,13116,47560,37783,30280,32072,6080,13950,35700,11400,24750,19767,13904,20770,24640,24181,14780,26772,12904,17327,11142
 "40000","Oklahoma",6,SAINC45,112,"...","  Forest and maple products ","Thousands of dollars",461,498,475,668,968,1033,784,1120,1153,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "40000","Oklahoma",6,SAINC45,113,"...","  Tobacco ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "40000","Oklahoma",6,SAINC45,114,"...","  Cotton ","Thousands of dollars",25154,30281,15038,38722,97956,62765,58314,55815,40312,121403,149920,122801,49310,72928,112002,49456,38879,68492,87354,75489,113850,137366,84975,65979,85446,101097,58924,51215,49342,57440,43096,34597,32087,38243,66030,71612,86458,67622,79339,75852,95073,202695,110589,52518,49985,76863,85536,160161,309617,316980,227919,258746,297647,319095
 "40000","Oklahoma",6,SAINC45,115,"...","  Other crops 1/","Thousands of dollars",17975,19427,19068,20686,24627,26352,30660,35978,36688,40882,41060,41069,110439,112963,132368,134634,137540,258939,291043,316618,339152,424543,402083,418979,297115,316365,303524,282007,254665,213686,222471,192835,239442,245767,252001,264645,347317,248181,253739,239650,242811,240192,243820,240192,250675,230627,238011,235755,244243,237276,211117,217111,219302,243173
 "40000","Oklahoma",6,SAINC45,120,"...","Other income ","Thousands of dollars",149347,152372,147724,158457,121107,68074,78558,86367,143988,167742,103416,91808,183811,271344,487096,437629,449813,613327,493749,448326,426824,476502,456180,401022,480900,364753,359783,434706,446581,574175,839331,689646,680698,588565,712728,594086,710343,748202,768055,743382,786383,599900,1243784,895523,1124773,2013915,1036159,860089,801480,915969,961969,1564164,1253764,1509233
 "40000","Oklahoma",6,SAINC45,130,"..."," Government payments ","Thousands of dollars",115214,117951,112067,119400,66869,14355,18777,27679,84132,102604,41676,34890,124474,127727,351727,309379,249477,393025,362769,288406,234817,319040,290922,248322,323949,207003,164662,236704,205603,304393,532263,440083,393034,317226,358126,213839,311951,243293,249017,316838,229207,318738,341770,295627,339373,901927,454742,271891,253629,303709,413771,1075122,761498,538537
