GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "44000","Rhode Island",1,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",20001,20808,19975,19256,22858,23565,27689,28435,27208,30058,30995,33358,34830,54983,58105,62867,76256,76308,76478,78485,73269,70538,70752,66797,66973,66195,63221,66300,51540,49961,47652,47014,54373,57456,61275,65110,63900,64886,66024,84586,78200,78564,79722,70988,69694,74048,76276,66432,70472,68149,57556,59446,63869,76754
 "44000","Rhode Island",1,SAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",11401,11084,9814,9430,11035,12195,12041,12638,12126,13319,13472,14888,16096,15276,12797,14413,14080,12634,13542,14426,14011,14743,13604,14749,13474,12465,9526,12119,9503,10724,9878,9236,10080,9418,9920,10498,10568,10124,10416,15257,12725,14610,17002,20474,22162,27242,29996,23466,26895,23176,20261,22193,21296,33250
 "44000","Rhode Island",1,SAINC45,30,"...","  Meat animals and other livestock ","Thousands of dollars",2057,1720,1618,1804,2330,2153,2466,2724,2483,3857,3246,2856,2988,3386,2060,2006,2404,2584,3473,4697,4177,4166,4309,5206,4181,3237,2794,4149,3158,3269,3156,3411,4391,4182,4524,4515,5229,4917,4533,4369,4010,4011,4775,4840,8926,11582,12359,13907,18140,12252,11796,12335,11647,12439
 "44000","Rhode Island",1,SAINC45,31,"...","   Cattle and calves ","Thousands of dollars",1376,1220,853,870,1122,929,928,1549,1056,1999,1293,1339,1325,1112,816,455,902,754,741,2320,1698,1790,1899,1807,2127,1569,1339,2378,1077,1258,1507,1451,1461,1187,1524,1485,1706,1486,1392,1179,987,910,1528,1533,1465,2412,1852,1964,720,1136,709,1348,664,784
 "44000","Rhode Island",1,SAINC45,32,"...","   Hogs and pigs ","Thousands of dollars",544,370,643,802,1093,1101,1406,1031,1338,1737,1827,1383,1281,1813,672,1011,872,902,973,616,725,979,979,779,1056,878,603,904,1039,842,399,787,669,407,401,544,634,500,348,418,217,281,468,478,464,578,338,211,357,305,443,479,515,757
 "44000","Rhode Island",1,SAINC45,33,"...","   Sheep and other livestock ","Thousands of dollars",137,130,122,132,115,123,132,144,89,121,126,134,382,461,572,540,630,928,1759,1761,1754,1397,1431,2620,998,790,852,867,1042,1169,1250,1173,2261,2588,2599,2486,2889,2931,2793,2772,2806,2820,2779,2829,6997,8592,10169,11732,17063,10811,10644,10508,10468,10898
 "44000","Rhode Island",1,SAINC45,40,"...","  Dairy products ","Thousands of dollars",5325,5211,4876,4922,5232,5960,5909,6420,6099,6353,6353,6375,6592,6592,6447,6262,6057,5577,5677,5450,5185,5377,4476,4554,4370,4368,4334,4805,4568,5265,4774,3948,3756,3032,2957,3473,3125,2768,3798,3980,2769,3492,4271,3584,3684,4462,2967,2408,2387,1961,2006,1890,1900,2755
 "44000","Rhode Island",1,SAINC45,50,"...","  Poultry and poultry products ","Thousands of dollars",4019,4153,3320,2704,3473,4082,3666,3494,3544,3109,3873,5657,6516,5298,4290,6145,5619,4473,4392,4279,4649,5200,4819,4989,4923,4860,2398,3165,1777,2190,1948,1877,1933,2204,2439,2510,2214,2439,2085,6908,5946,7107,7956,12050,9552,11198,14670,7151,6368,8963,6459,7968,7749,18056
 "44000","Rhode Island",1,SAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",8600,9724,10161,9826,11823,11370,15648,15797,15082,16739,17523,18470,18734,39707,45308,48454,62176,63674,62936,64059,59258,55795,57148,52048,53499,53730,53695,54181,42037,39237,37774,37778,44293,48038,51355,54612,53332,54762,55608,69329,65475,63954,62720,50514,47532,46806,46280,42966,43577,44973,37295,37253,42573,43504
 "44000","Rhode Island",1,SAINC45,70,"...","  Total grains ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,71,"...","   Corn ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,72,"...","   Oats ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,73,"...","   Sorghum ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,74,"...","   Wheat ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,75,"...","   Soybeans ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,76,"...","   Other grains ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAINC45,80,"...","  Hay, silage, etc. ","Thousands of dollars",60,78,116,145,154,179,214,222,167,186,219,226,235,326,380,404,501,724,710,716,709,701,502,514,541,522,501,621,638,803,712,733,686,668,770,847,1038,976,705,723,626,702,885,1008,963,739,573,474,530,538,432,452,726,1120
