GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",440645,472903,481291,545087,720571,870240,827592,857683,807378,955814,1047756,1104096,1114385,1113722,1051793,1189776,1026846,951067,1006210,1144046,1286006,1233759,1233324,1233583,1290114,1408720,1473809,1648001,1720985,1533998,1441203,1561293,1649215,1493691,1673839,1991320,1923839,1925794,2138463,2337084,2292416,2503779,2643203,2954548,3022182,2805205,2494475,2201056,2460071,2560740,2326490,2164814,2815186,3713965
 "45000","South Carolina",5,SAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",191120,189345,193953,221648,310769,253899,274643,296208,296308,392650,406232,440468,427975,432403,442558,462692,445500,481663,485490,523232,589146,641930,566594,568002,634631,633989,657252,787078,840759,799989,810422,839657,932700,806484,916132,1157109,1189291,1153962,1365427,1465464,1330540,1467264,1578129,1654933,1782318,1707064,1501842,1292329,1409466,1446599,1317536,1103226,1502062,2171229
 "45000","South Carolina",5,SAINC45,30,"...","  Meat animals and other livestock ","Thousands of dollars",85749,84927,95840,120376,161257,103736,113091,124777,129894,204784,184891,204315,179147,190831,193689,171372,173897,187427,225425,233547,263583,305720,241292,220087,251258,217907,211003,202229,229270,187256,193734,235407,243111,213025,255690,328277,369435,336420,323856,326332,275703,310958,374947,362217,322061,420282,282787,253218,264520,258157,277925,277521,341083,339887
 "45000","South Carolina",5,SAINC45,31,"...","   Cattle and calves ","Thousands of dollars",47240,49634,54368,69109,90164,52393,43025,57507,71017,130109,110781,117716,80353,101378,106954,89991,98859,112125,138840,163625,170233,191546,138279,133390,154740,132059,122408,97450,129022,114428,133624,165173,165760,139577,164155,208896,240094,211085,208513,189150,174612,198246,251667,251437,208626,301714,188049,162409,179125,179562,188164,188923,207136,223401
 "45000","South Carolina",5,SAINC45,32,"...","   Hogs and pigs ","Thousands of dollars",37667,34466,40458,50159,69967,50280,68918,65875,56847,73053,71406,84048,96815,84175,81026,74081,69038,69286,80406,61760,84885,102974,91081,74531,83836,69421,69695,85461,80583,51732,39868,49896,54501,49417,50477,74563,80751,77151,69135,73725,37557,48712,57468,48246,52370,59090,35785,34584,32817,26189,36087,35011,75512,55771
 "45000","South Carolina",5,SAINC45,33,"...","   Sheep and other livestock ","Thousands of dollars",842,827,1014,1108,1126,1063,1148,1395,2030,1622,2704,2551,1979,5278,5709,7300,6000,6016,6179,8162,8465,11200,11932,12166,12682,16427,18900,19318,19665,21096,20242,20338,22850,24031,41058,44818,48590,48184,46208,63457,63534,64000,65812,62534,61065,59478,58953,56225,52578,52406,53674,53587,58435,60715
 "45000","South Carolina",5,SAINC45,40,"...","  Dairy products ","Thousands of dollars",33291,35353,36777,37122,42115,51956,52765,57270,58511,59895,68791,78126,86505,86876,88886,84312,89637,81265,74398,70916,71463,72003,55073,61036,59887,60745,55303,62185,57565,61215,59658,51747,60060,48735,42840,49416,47310,42196,67309,68800,51198,56317,62928,56511,60030,71253,51282,43966,46795,41586,38773,35319,31752,45562
 "45000","South Carolina",5,SAINC45,50,"...","  Poultry and poultry products ","Thousands of dollars",72080,69065,61336,64150,107397,98207,108787,114161,107903,127971,152550,158027,162323,154696,159983,207008,181966,212971,185667,218769,254100,264207,270229,286879,323486,355337,390946,522664,553924,551518,557030,552503,629529,544724,617602,779416,772546,775346,974262,1070332,1003639,1099989,1140254,1236205,1400227,1215529,1167773,995145,1098151,1146856,1000838,790386,1129227,1785780
 "45000","South Carolina",5,SAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",249525,283558,287338,323439,409802,616341,552949,561475,511070,563164,641524,663628,686410,681319,609235,727084,581346,469404,520720,620814,696860,591829,666730,665581,655483,774731,816557,860923,880226,734009,630781,721636,716515,687207,757707,834211,734548,771832,773036,871620,961876,1036515,1065074,1299615,1239864,1098141,992633,908727,1050605,1114141,1008954,1061588,1313124,1542736
 "45000","South Carolina",5,SAINC45,70,"...","  Total grains ","Thousands of dollars",65611,90058,72452,109100,139000,268978,208080,256395,202415,217392,311831,325545,261575,290066,283321,316410,235199,170187,149594,223141,242031,167340,139847,167838,133283,146200,183616,227705,209920,130618,92227,101152,103943,92795,120800,169843,139668,147244,217771,266478,318991,316633,303822,449259,464745,379807,263010,277244,323198,325212,282541,334191,453194,567438
 "45000","South Carolina",5,SAINC45,71,"...","   Corn ","Thousands of dollars",8767,11879,15145,19139,32964,67950,73291,82835,57356,36281,64213,44780,54050,54494,41443,57089,61045,59084,39749,46247,50333,41196,32902,41778,30980,33165,57714,78693,64858,35012,22435,28219,35263,30544,36297,57859,48938,61415,106866,110510,111920,157828,143080,212457,231134,171653,111341,127801,168656,188390,172922,193912,256154,292069
