GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",3604376,3887528,4127594,4918850,7658915,6509169,6720823,7162067,7061264,8841192,11534927,10162817,10265866,9239552,10078345,10943325,9695977,10041110,11072335,11813734,12909706,13918835,14186878,13405463,14844375,14624236,14845620,13991668,14623265,14618747,14921215,15869517,16378614,15467408,19268435,20944491,20768042,20227739,22990442,23395749,20630754,23940398,26613993,26331529,25769055,28873678,23998987,21677154,24287899,24166067,23835480,23840601,28368833,34269473
 "48000","Texas",6,SAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",2395653,2562020,2959706,3430124,4795371,3797262,3877178,4083812,4410254,5818269,7561406,6290868,6351728,6329126,6422789,7013051,6544799,6742270,7655258,8234812,8479671,9709533,9867999,9518078,10263106,9840543,10130137,8864480,9614202,9748379,10486610,11707448,12220081,10960480,14171101,15271159,14694671,14325411,15683791,15401549,14126278,15439746,20091719,18498312,19215254,21618856,17537928,14607024,16488371,17039536,17572042,17840523,20559105,26379502
 "48000","Texas",6,SAINC45,30,"...","  Meat animals and other livestock ","Thousands of dollars",1973740,2132505,2536590,2983820,4180933,3175813,3213993,3345596,3666299,4980443,6632919,5290148,5265584,5286221,5346535,5879913,5463028,5558159,6481170,6951787,6967629,8094013,8396836,7941244,8584608,8059567,8373406,6828833,7682360,7676623,8412155,9684225,10000757,9030167,12041860,12492608,11972950,11865581,12377929,11728790,10907743,11723182,15938402,14442682,14538829,16226903,12812428,10472870,11572640,11886538,12328850,12894459,14626958,16544447
 "48000","Texas",6,SAINC45,31,"...","   Cattle and calves ","Thousands of dollars",1789770,1958498,2346410,2749571,3878416,2935507,2924765,3075472,3399849,4662239,6309769,5011168,4979323,5014587,5073580,5591855,5180888,5285075,6146594,6609402,6636983,7778270,8073212,7614562,8212893,7586832,7950597,6469590,7326370,7348515,8099735,9319262,9644294,8703065,11682392,12075246,11437315,11361615,11865363,11158582,10337881,11203808,15313524,13682700,13845958,15500697,12202048,9877065,10902693,11174150,11571794,12171658,13711862,15645285
 "48000","Texas",6,SAINC45,32,"...","   Hogs and pigs ","Thousands of dollars",99190,97886,119419,141308,185364,145091,163369,154361,138796,174189,158355,135636,139572,128069,114163,113772,89945,107104,137479,130936,123861,121239,124859,104203,116794,100503,99858,117500,126708,110176,97774,157164,146348,97586,99175,136203,156875,167120,157009,216933,187961,135904,222425,398638,321616,351303,236443,219520,242554,292008,333933,303343,497050,430315
 "48000","Texas",6,SAINC45,33,"...","   Sheep and other livestock ","Thousands of dollars",84780,76121,70761,92941,117153,95215,125859,115763,127654,144015,164795,143344,146689,143565,158792,174286,192195,165980,197097,211449,206785,194504,198765,222479,254921,372232,322951,241743,229282,217932,214646,207799,210115,229516,260293,281159,378760,336846,355557,353275,381901,383470,402453,361344,371255,374903,373937,376285,427393,420380,423123,419458,418046,468847
 "48000","Texas",6,SAINC45,40,"...","  Dairy products ","Thousands of dollars",195924,204888,220328,234238,263770,305839,299261,346860,358402,398176,442401,503037,540900,550070,575980,548180,544736,546330,582527,639144,734679,813763,683260,760213,780710,830800,791570,920798,787339,876531,839400,766346,803588,680604,729430,975718,982107,948556,1449723,1568743,1172262,1505313,1986816,1789964,1955544,2529372,1818675,1848140,2213152,2168608,2640193,2757636,2833348,4258709
 "48000","Texas",6,SAINC45,50,"...","  Poultry and poultry products ","Thousands of dollars",225989,224627,202788,212066,350668,315610,363924,391356,385553,439650,486086,497683,545244,492835,500274,584958,537035,637781,591561,643881,777363,801757,787903,816621,897788,950176,965161,1114849,1144503,1195225,1235055,1256877,1415736,1249709,1399811,1802833,1739614,1511274,1856139,2104016,2046273,2211251,2166501,2265666,2720881,2862581,2906825,2286014,2702579,2984390,2602999,2188428,3098799,5576346
 "48000","Texas",6,SAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",1208723,1325508,1167888,1488726,2863544,2711907,2843645,3078255,2651010,3022923,3973521,3871949,3914138,2910426,3655556,3930274,3151178,3298840,3417077,3578922,4430035,4209302,4318879,3887385,4581269,4783693,4715483,5127188,5009063,4870368,4434605,4162069,4158533,4506928,5097334,5673332,6073371,5902328,7306651,7994200,6504476,8500652,6522274,7833217,6553801,7254822,6461059,7070130,7799528,7126531,6263438,6000078,7809728,7889971
 "48000","Texas",6,SAINC45,70,"...","  Total grains ","Thousands of dollars",607805,678767,573662,727156,1546444,1508820,1799980,1580190,1099941,1046374,1808364,1910552,1610758,1077198,1499526,1608084,1344542,1298018,935198,1387470,1323430,1163574,1248559,1457042,1368667,1323693,1597869,1665148,1620274,1211238,1078084,1077009,976170,924768,1073591,1472337,1017382,1082360,2076878,2828863,2002159,2498399,1771518,2985964,2339355,2555478,2314474,2133225,1744648,1818916,1912989,1781324,2742659,2295880
 "48000","Texas",6,SAINC45,71,"...","   Corn ","Thousands of dollars",27859,30394,45243,38954,104227,168826,246284,342489,264957,218715,296755,376659,256336,162694,293970,499275,266650,331134,206476,409739,391112,322906,421552,466617,448978,604733,712664,602042,566955,440077,415265,452286,308519,279715,407824,616057,365024,534491,738254,1201812,1020539,1242857,816308,1477859,1170787,1308204,1067346,1170850,1010355,1029645,1102881,901148,1490122,1284906
 "48000","Texas",6,SAINC45,72,"...","   Oats ","Thousands of dollars",7151,8337,3030,3515,11692,5370,11402,9844,6784,3621,10483,10367,14587,10009,15961,7123,15568,6882,9281,7205,6579,7934,4661,4188,7484,6254,3260,4702,2023,2141,1360,1376,2725,8013,5243,4835,3850,2572,8183,11127,6411,8472,3783,8205,3036,6946,6093,9618,5136,10899,7584,9171,4874,7595
 "48000","Texas",6,SAINC45,73,"...","   Sorghum ","Thousands of dollars",330764,355933,288342,376511,770514,724215,719819,562904,264003,323309,468248,574507,359408,284477,466102,462268,423024,425091,258749,480262,418419,318073,411664,406818,395560,332678,393451,472479,467030,217326,252785,296879,268964,290849,294423,336589,203703,189502,487858,572895,440394,466351,338555,628506,483361,562530,588781,471410,312524,223694,299677,384381,586572,398571
 "48000","Texas",6,SAINC45,74,"...","   Wheat ","Thousands of dollars",65303,92246,52565,75465,277548,212984,400151,301947,209347,138114,539744,454819,574747,358727,533762,492734,441905,415317,283345,352536,294522,315546,230375,352940,338432,227394,285045,327542,353598,337077,241667,186871,271077,242956,246333,327083,277426,192002,690422,821712,267866,524858,387076,623457,445126,433385,447915,295029,197151,340983,295873,273883,414413,373226
 "48000","Texas",6,SAINC45,75,"...","   Soybeans ","Thousands of dollars",15258,15964,8747,16129,33740,45022,40473,48222,73068,110374,118995,97066,78831,83603,71800,58052,35461,31420,24819,39338,50667,42064,25928,57467,26855,26195,38647,46762,58093,49845,30959,39235,30530,31296,32660,42567,46008,35054,28112,35813,49880,53496,30374,33969,35808,41336,31655,37848,50349,41439,25084,32246,37122,32210
 "48000","Texas",6,SAINC45,76,"...","   Other grains ","Thousands of dollars",161470,175893,175735,216582,348723,352403,381851,314784,281782,252241,374139,397134,326849,177688,117931,88632,161934,88174,152528,98390,162131,157051,154379,169012,151358,126439,164802,211621,172575,164772,136048,100362,94355,71939,87108,145206,121371,128739,124049,185504,217069,202365,195422,213968,201237,203077,172684,148470,169133,172256,181890,180495,209556,199372
 "48000","Texas",6,SAINC45,80,"...","  Hay, silage, etc. ","Thousands of dollars",23687,25409,29668,26864,42458,60385,52373,60723,54994,69368,81990,81264,106844,92855,148141,151816,145322,116219,136570,126463,135497,127541,121723,134231,133103,138436,124260,203584,205785,156857,180792,283533,299614,425519,397588,423331,379512,500620,631525,389620,341724,390984,274565,342977,414217,496134,395753,460479,410625,410581,419469,568475,749893,779772
 "48000","Texas",6,SAINC45,110,"...","  Fruits and nuts ","Thousands of dollars",27624,35272,36515,71119,48854,44439,57399,50025,72879,74541,89848,67224,137293,91715,94889,37686,72066,52195,55698,70150,87250,83041,80420,102720,83488,74020,105154,70130,96291,85669,126158,93536,106491,76150,106323,142487,224219,160579,178198,101286,149329,269273,165121,159772,145698,201124,155646,204509,221281,155587,162174,127457,136916,92375
 "48000","Texas",6,SAINC45,112,"...","  Forest and maple products ","Thousands of dollars",3478,4266,7000,9000,18000,14000,16000,18000,24000,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "48000","Texas",6,SAINC45,113,"...","  Tobacco ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "48000","Texas",6,SAINC45,114,"...","  Cotton ","Thousands of dollars",357324,394047,333098,462653,910918,791900,534918,997314,925315,1313194,1489306,1259046,1246322,787743,1053936,1144194,649711,873202,1270841,1002335,1833560,1642416,1638148,932073,1616964,1870439,1381730,1738459,1423983,1510328,1234362,901152,714853,945851,1276659,1418992,1964334,1920188,2013411,2198357,1695457,2926707,2139129,2019734,1615714,2076184,1710732,2366885,3443602,2991572,2465939,2038565,2603436,3014755
 "48000","Texas",6,SAINC45,115,"...","  Other crops 1/","Thousands of dollars",188805,187747,187945,191934,296870,292363,382975,372003,473881,519446,504013,553863,812921,860915,859064,988494,939537,959206,1018770,992504,1050298,1192730,1230029,1261319,1379047,1377105,1506470,1449867,1662730,1906276,1815209,1806839,2061405,2134640,2243173,2216185,2487924,2238581,2406639,2476074,2315807,2415289,2171941,2324770,2038817,1925902,1884454,1905032,1979372,1749875,1302867,1484257,1576824,1707189
 "48000","Texas",6,SAINC45,120,"...","Other income ","Thousands of dollars",589523,629050,557644,625053,496420,195828,275291,242668,279493,464367,496049,414156,525592,1270286,1743533,1346486,1572416,1682031,2030098,1821136,2007051,1633970,1480926,1883421,2157694,1589891,1533395,1724011,1670759,2289363,3374334,2804836,3325025,2444736,3632446,3045259,3351650,3155390,2863030,3033730,3103900,1937063,4963703,4679827,6277505,4320610,4942994,2971552,3425569,3811570,4366110,5696463,4694393,6079670
