GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01000","Alabama",5,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",843.2,697.5,583.7,421.9,435.6,556.3,586.9,683.2,733.7,673.8,705.5,800.0,1100.6,1568.6,1950.6,2107.4,2214.3,2218.1,2382.4,2617.0,2513.4,2811.3,3277.2,3487.0,3642.8,3516.5,3980.3,4269.9,4538.5,4732.8,4977.0,5188.3,5360.1,5634.1,5984.1,6497.6,7052.4,7563.9,7991.8,8737.5,9737.7,10628.3,11699.3,12999.1,14638.9,16241.1,18100.1,20324.1,22394.9,25339.9,28150.8,31044.4,34454.2,36384.6,38978.8,42838.0,46085.8,48777.2,51514.4,55527.3,60351.0,64234.2,67982.5,73004.4,76346.1,80786.7,85393.8,89218.0,93851.9,99772.9,103204.1,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215165.8,230872.6,252791.9,258362.2
 "01000","Alabama",5,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",668.1,583.8,491.1,362.5,355.6,437.2,460.4,555.4,592.2,557.3,607.0,696.7,948.7,1372.6,1691.0,1841.4,1946.3,1908.5,2044.1,2217.9,2234.9,2522.4,2942.5,3167.7,3311.3,3300.0,3621.7,4027.1,4323.9,4428.2,4729.2,4931.9,5113.6,5408.4,5710.4,6251.1,6796.3,7320.8,7784.5,8509.6,9459.8,10379.8,11422.2,12653.1,14106.6,15904.1,17691.3,19852.1,22018.9,24838.3,27637.5,30840.6,33972.2,35978.6,38690.5,42361.4,45624.3,48324.1,50979.9,54731.3,59417.4,63393.2,66866.4,72008.2,75336.7,79726.9,84614.2,88309.4,92906.9,98707.0,101967.5,107051.2,110514.4,114031.8,118942.7,126813.3,134421.1,143717.9,151131.3,156937.6,154764.7,161305.1,167512.8,171424.3,171757.1,177968.1,185944.2,190034.5,196712.3,204671.1,214406.9,230566.6,251373.2,256682.3
 "01000","Alabama",5,SAINC4,12,"..."," Farm income 2/","Millions of dollars",175.1,113.7,92.5,59.3,80.0,119.1,126.5,127.8,141.5,116.5,98.5,103.3,151.9,195.9,259.7,266.1,267.9,309.6,338.3,399.1,278.5,288.9,334.7,319.3,331.5,216.5,358.6,242.8,214.6,304.6,247.8,256.4,246.4,225.7,273.7,246.5,256.1,243.0,207.2,227.8,278.0,248.5,277.1,346.0,532.3,337.0,408.8,471.9,376.0,501.6,513.3,203.8,482.0,406.0,288.4,476.6,461.5,453.1,534.4,796.0,933.6,841.0,1116.0,996.2,1009.4,1059.9,779.7,908.7,945.0,1065.9,1236.6,951.7,1379.7,975.9,1298.3,1793.0,1666.4,1001.1,811.3,842.7,902.2,763.7,369.4,677.1,1963.6,1519.0,1530.5,837.3,1251.5,1003.1,759.0,306.0,1418.7,1679.9
 "01000","Alabama",5,SAINC4,20,"...","Population (persons) 3/","Number of persons",2644000,2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000,2845000,2902000,2950000,2887000,2799000,2770000,2906000,2944000,2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031362,5049846,5074296
 "01000","Alabama",5,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",319,263,220,159,164,207,216,249,266,242,251,281,379,532,676,753,799,763,809,881,838,919,1071,1137,1193,1167,1305,1390,1460,1496,1553,1585,1616,1695,1782,1914,2048,2184,2311,2536,2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7959,8793,9269,9908,10840,11601,12220,12830,13800,14975,15860,16585,17574,18116,18963,19874,20599,21487,22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33849,34887,35564,35713,36729,38197,38712,39975,41330,43004,45887,50059,50916
 "01000","Alabama",5,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",720.0,583.7,469.4,334.4,358.7,476.7,506.6,580.0,645.9,590.2,620.7,707.9,999.2,1460.0,1839.6,1984.5,2049.3,1941.4,2067.6,2303.5,2159.1,2379.4,2877.7,3084.3,3214.2,3043.8,3461.8,3697.8,3902.5,4057.7,4259.8,4427.3,4526.2,4738.2,5054.0,5491.6,5961.4,6490.6,6821.6,7413.4,8112.3,8628.5,9403.1,10496.3,11861.6,12960.8,14045.5,15977.6,17715.7,20164.9,22203.6,23708.9,25812.6,26629.4,28582.0,31634.5,34180.2,36335.7,38826.6,41972.5,44619.3,47432.7,50105.1,53808.9,56263.5,59265.2,61719.6,64433.9,67511.3,72164.9,75429.1,77978.5,80308.9,82624.7,85884.3,91540.1,96799.4,102208.9,105583.3,106202.6,104242.0,107113.9,109788.3,112110.4,115358.2,118674.3,122547.3,124983.4,129741.0,135414.9,140884.5,144959.6,155852.5,166356.2
 "01000","Alabama",5,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.7,0.7,0.6,0.7,0.5,0.6,0.6,1.0,13.3,13.5,16.8,19.4,25.1,34.9,43.9,50.2,65.3,78.4,61.8,55.1,59.5,62.1,74.6,78.8,79.3,91.0,102.5,113.3,132.4,135.6,159.5,186.8,194.0,219.4,259.7,265.3,273.4,376.0,429.4,473.3,550.5,590.1,654.7,765.2,983.1,1136.1,1221.7,1422.1,1596.1,1840.2,2102.8,2277.1,2643.8,2782.7,3052.6,3427.4,3739.4,3972.4,4194.5,4668.5,4970.1,5365.7,5681.0,6061.5,6419.1,6848.9,7217.3,7463.8,7830.3,8228.1,8592.9,8886.3,9189.2,9452.3,9794.3,10294.1,10951.1,11659.2,12221.3,12606.9,12336.4,12714.8,11650.6,11889.7,13675.9,14068.9,14541.9,14816.7,15394.4,16253.4,16862.8,17508.7,18630.7,20188.6
 "01000","Alabama",5,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.9,5.4,5.0,5.3,6.5,8.5,13.5,23.4,25.8,26.3,20.0,22.3,26.0,23.2,30.2,35.3,37.9,39.0,44.4,49.3,54.4,62.7,65.0,75.0,88.4,90.9,99.0,118.1,123.2,130.7,186.4,219.2,238.8,278.2,299.2,324.8,375.8,481.6,556.4,600.0,690.1,773.4,884.5,1015.1,1111.9,1301.2,1377.7,1515.2,1668.4,1873.0,1958.3,2086.2,2343.6,2543.3,2734.8,2911.9,3093.9,3281.7,3516.2,3739.3,3864.2,4057.8,4251.1,4466.2,4612.8,4806.6,4976.8,5143.1,5439.4,5816.9,6306.1,6637.5,6860.6,6728.5,6810.2,5570.7,5723.0,7419.9,7698.2,7956.2,8207.7,8578.0,9146.1,9423.2,9825.3,10413.4,11419.4
 "01000","Alabama",5,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.2,0.1,0.1,0.2,0.1,0.1,0.1,(L),7.9,8.5,11.5,13.0,16.6,21.3,20.5,24.3,39.0,58.4,39.6,29.1,36.2,32.0,39.3,40.9,40.3,46.6,53.2,59.0,69.7,70.7,84.5,98.4,103.1,120.4,141.6,142.1,142.7,189.6,210.2,234.5,272.2,290.9,329.9,389.4,501.5,579.6,621.7,732.0,822.7,955.7,1087.8,1165.2,1342.6,1405.0,1537.4,1759.0,1866.5,2014.1,2108.3,2324.9,2426.8,2630.9,2769.1,2967.6,3137.4,3332.7,3478.0,3599.5,3772.5,3977.0,4126.7,4273.6,4382.5,4475.5,4651.2,4854.7,5134.2,5353.1,5583.8,5746.3,5607.9,5904.6,6079.9,6166.7,6256.0,6370.8,6585.7,6609.0,6816.4,7107.3,7439.6,7683.4,8217.4,8769.1
 "01000","Alabama",5,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.8,2.5,4.5,7.2,10.1,12.7,15.4,19.5,24.0,27.1,0.6,1.6,1.9,2.6,4.4,6.7,8.2,11.2,16.9,23.0,26.5,130.3,127.2,132.8,164.9,183.0,194.2,200.1,214.0,245.8,265.8,291.4,323.6,420.5,444.0,435.5,464.7,473.2,502.5,513.3,516.6,538.8,532.3,562.8,613.6,664.9,757.8,839.3,845.2,948.5,1064.6,1131.2,1256.9,1315.1,1373.6,1454.2,1488.1,1554.2,1611.1,1726.5,1834.7,1803.7,1887.4,2032.6,2292.5,2375.1,2366.4,2352.5,2438.0,2392.4,2536.2,2639.9,2618.1,2836.3,3165.9
