GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",635.6,596.8,498.5,380.3,378.4,399.5,480.0,590.4,589.5,564.5,581.4,619.7,736.0,1038.5,1228.2,1221.3,1350.2,1472.3,1695.8,1880.6,1914.6,2098.9,2493.8,2692.5,2725.8,2808.7,3059.7,3376.0,3699.1,3787.1,4068.0,4353.4,4683.9,4942.1,5174.4,5474.2,5840.6,6275.8,6763.5,7502.7,8438.8,9540.2,10759.7,12176.1,13923.1,15609.2,17249.7,18981.3,21174.2,24413.5,27973.9,32052.6,36843.0,40468.9,43691.7,47578.7,50442.4,52397.1,54179.3,57482.9,61922.1,65631.6,69632.9,75511.8,81698.8,87838.9,95469.0,102974.9,110721.5,122577.9,131712.8,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197.0,200611.2,210065.8,200170.0,206053.4,223873.9,236033.0,247816.7,268453.1,279696.0,283678.7,303366.7,328112.7,351373.2,375157.8,417967.7,442213.0
 "08000","Colorado",7,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",550.4,512.3,456.2,365.5,339.0,384.1,422.2,515.4,527.2,503.1,530.0,558.4,645.6,894.4,1039.0,1041.5,1149.2,1258.7,1388.1,1610.2,1675.5,1907.5,2241.2,2448.4,2552.1,2692.1,2953.1,3264.8,3505.8,3609.4,3912.1,4180.2,4509.5,4787.2,5035.4,5337.7,5628.4,6085.4,6579.5,7261.0,8190.4,9254.1,10461.4,11846.4,13487.1,15078.5,16790.7,18651.2,20915.0,24211.5,27763.4,31769.3,36544.0,40291.4,43338.8,47161.6,50055.8,52007.6,53711.8,56915.8,61313.5,64933.3,69008.1,74848.4,80900.8,87278.3,94948.9,102325.7,110070.1,121791.8,130805.0,145806.2,153018.7,153803.2,156683.9,162646.8,173164.8,187418.8,199550.3,209212.5,199450.1,205080.3,222586.9,234825.8,246495.4,267063.4,278101.4,282397.8,302417.1,327221.1,350297.9,374318.5,416624.9,441679.7
 "08000","Colorado",7,SAINC4,12,"..."," Farm income 2/","Millions of dollars",85.2,84.5,42.3,14.7,39.4,15.4,57.8,75.0,62.2,61.5,51.4,61.3,90.4,144.0,189.3,179.8,200.9,213.6,307.7,270.4,239.1,191.4,252.6,244.1,173.6,116.6,106.7,111.1,193.3,177.7,155.9,173.2,174.4,154.8,139.0,136.4,212.2,190.4,184.0,241.8,248.4,286.1,298.3,329.7,436.0,530.6,459.0,330.1,259.3,202.1,210.5,283.3,299.0,177.5,352.9,417.2,386.6,389.5,467.5,567.2,608.5,698.3,624.8,663.4,798.0,560.6,520.1,649.2,651.4,786.1,907.7,754.6,1048.0,689.1,721.4,921.7,1083.0,778.2,1060.8,853.3,719.9,973.1,1286.9,1207.2,1321.4,1389.7,1594.6,1280.9,949.7,891.7,1075.3,839.3,1342.8,533.3
 "08000","Colorado",7,SAINC4,20,"...","Population (persons) 3/","Number of persons",1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784865,5811297,5839926
 "08000","Colorado",7,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",631,574,472,357,353,372,445,542,534,508,519,548,655,917,1067,1087,1213,1231,1372,1489,1478,1584,1881,1973,1905,1881,1979,2078,2223,2272,2379,2461,2540,2602,2673,2779,2942,3127,3294,3539,3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9818,11019,12372,13218,13943,15009,15720,16185,16617,17620,18903,19843,20558,21600,22608,23586,24948,26269,27554,29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43732,45490,47082,50244,51394,51306,54171,57794,61258,64852,71923,75722
 "08000","Colorado",7,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",505.2,467.7,369.2,276.2,284.6,301.5,375.1,452.8,469.2,449.3,459.2,490.0,594.1,886.1,1079.8,1075.0,1180.9,1261.0,1436.8,1506.0,1512.6,1626.7,1999.5,2178.6,2174.5,2191.7,2407.1,2679.0,2956.7,3001.8,3210.4,3461.5,3732.8,3910.9,4099.8,4343.3,4620.8,5023.0,5374.8,6011.5,6705.6,7472.8,8448.7,9673.2,11120.2,12350.0,13367.7,14819.5,16644.7,19339.2,22343.4,25235.2,28734.8,31244.0,33341.0,36496.1,38559.2,39981.2,41412.8,44020.4,46582.3,49719.2,53107.4,58235.1,63306.6,67714.4,72615.6,78531.5,85205.6,95221.8,104750.1,117250.3,122914.6,123170.1,124753.8,129772.4,137463.6,146424.2,153495.2,156950.7,148344.7,152004.9,160960.0,169705.7,183164.9,197626.8,202604.7,204024.3,219576.6,237094.5,252862.7,259750.4,287172.3,314516.6
 "08000","Colorado",7,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,8.8,9.6,11.3,11.3,13.3,18.7,24.9,26.1,36.2,54.1,45.1,34.3,33.1,34.4,42.3,48.7,48.6,56.7,64.2,73.0,87.6,94.9,108.7,132.8,149.8,163.5,190.8,197.4,197.5,262.8,294.5,333.7,387.4,427.0,498.9,606.0,797.7,905.5,967.2,1104.7,1260.6,1506.7,1838.8,2106.4,2598.3,2908.1,3129.9,3538.8,3834.6,4020.8,4121.3,4530.3,4887.6,5333.8,5856.4,6358.5,6986.7,7557.4,8074.5,8625.6,9300.2,9710.0,10549.1,11703.5,12313.8,12751.7,12981.9,13870.0,14724.0,15588.5,16427.5,17110.6,16484.3,16664.3,15793.4,16569.8,19241.5,20675.7,21822.1,22564.1,23931.8,25514.1,26928.5,27612.3,29839.8,33660.0
 "08000","Colorado",7,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.9,2.7,2.9,3.2,3.8,6.2,12.5,13.8,15.1,12.2,13.2,11.6,11.5,15.6,18.7,21.6,23.1,26.7,30.3,34.2,41.0,43.7,52.0,64.5,70.0,74.1,87.6,89.7,91.3,125.9,149.8,168.1,195.2,213.5,246.6,294.1,388.5,443.4,471.6,521.6,595.3,705.2,870.3,1008.7,1256.4,1410.1,1494.0,1659.9,1854.6,1955.6,2012.2,2221.6,2421.0,2630.0,2895.1,3132.1,3422.5,3723.4,4019.4,4309.5,4656.3,5089.2,5541.3,6136.9,6454.5,6455.4,6543.2,6891.2,7299.5,7834.0,8368.6,8747.3,8525.5,8592.3,7081.5,7424.2,9943.7,10644.1,11240.8,11672.5,12491.9,13556.2,14317.0,14762.9,15983.2,18158.1
 "08000","Colorado",7,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.1,0.1,(L),0.1,(L),(L),(L),(L),5.9,6.9,8.4,8.1,9.5,12.4,12.3,12.4,21.1,41.9,31.9,22.7,21.5,18.8,23.6,27.1,25.5,30.0,33.9,38.8,46.7,51.2,56.7,68.3,79.8,89.4,103.1,107.6,106.2,137.0,144.7,165.6,192.2,213.6,252.2,311.9,409.1,462.0,495.6,583.0,665.3,801.5,968.5,1097.7,1341.9,1498.0,1635.8,1878.9,1980.0,2065.2,2109.0,2308.7,2466.6,2703.8,2961.3,3226.4,3564.2,3834.0,4055.1,4316.1,4643.9,4620.8,5007.9,5566.6,5859.3,6296.4,6438.7,6978.8,7424.5,7754.5,8058.9,8363.3,7958.9,8071.9,8711.9,9145.6,9297.8,10031.5,10581.3,10891.5,11439.9,11957.9,12611.5,12849.3,13856.6,15501.9
 "08000","Colorado",7,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,0.1,0.3,0.6,1.0,1.5,1.8,2.3,3.1,3.5,1.3,1.2,1.1,0.7,0.5,0.3,(L),-0.3,-0.8,-1.2,-1.7,1.1,3.2,3.9,4.5,3.1,4.2,8.5,8.5,11.1,19.3,13.1,19.9,3.1,0.3,-2.0,6.9,15.9,20.6,31.7,46.3,62.8,85.6,96.8,112.0,124.0,141.9,163.1,181.7,205.1,231.0,260.7,288.1,308.8,339.4,363.6,398.4,429.4,476.0,505.2,522.9,563.2,663.1,827.0,1027.1,1183.1,1232.0,1231.8,1203.8,1319.3,1345.6,1386.5,1378.7,1552.9,1626.4
 "08000","Colorado",7,SAINC4,45,"..."," Equals: Net earnings by place of residence ","Millions of dollars",504.7,467.2,368.8,275.7,284.2,301.1,374.7,452.4,460.4,439.8,447.9,478.7,580.8,867.5,1054.9,1048.9,1144.7,1206.9,1391.7,1471.7,1479.7,1592.7,1957.8,2130.9,2127.5,2136.8,2345.2,2609.0,2872.5,2908.2,3102.8,3329.8,3583.7,3747.9,3909.3,4145.9,4423.0,4759.4,5079.1,5676.2,6319.3,7049.0,7953.7,9071.7,10325.7,11448.8,12409.0,13723.4,15395.2,17851.8,20517.7,23148.7,26139.6,28336.2,30209.1,32964.2,34740.5,35981.1,37323.2,39536.3,41757.4,44471.0,47347.8,51988.6,56444.0,60299.0,64704.2,70087.6,76110.6,85742.8,94461.7,105835.0,110909.6,110757.7,112135.4,116300.9,123169.0,131311.7,137572.9,140363.0,132423.6,136003.8,145993.6,154163.0,165106.5,178183.1,182014.4,182664.0,196964.1,212926.0,227320.7,233516.9,258885.5,282483.0
 "08000","Colorado",7,SAINC4,46,"..."," Plus: Dividends, interest, and rent 7/","Millions of dollars",119.1,117.0,105.0,85.3,75.4,79.5,83.4,102.7,102.3,97.2,101.0,104.3,117.4,133.3,137.0,130.5,144.7,165.4,182.2,284.9,306.5,347.1,397.6,420.6,444.7,506.2,530.0,568.5,611.0,658.6,706.1,748.2,798.6,875.0,925.9,984.7,1042.5,1109.7,1201.4,1277.6,1514.2,1760.9,1956.2,2161.7,2489.7,2877.0,3230.4,3496.1,3910.5,4528.8,5172.1,6251.3,7589.4,8604.2,9579.5,10501.2,11396.6,11795.1,11875.1,12697.6,14315.1,14892.0,15321.9,15704.0,16872.7,18647.4,20790.0,22552.8,24110.3,26116.5,25847.6,28677.1,29802.4,28893.2,29686.6,31026.6,33530.2,38032.4,42845.8,46179.0,41616.3,40456.9,47329.6,51169.2,50846.0,55932.7,60292.3,62079.7,66363.0,71709.2,78323.8,80042.0,90178.3,98386.4
 "08000","Colorado",7,SAINC4,47,"..."," Plus: Personal current transfer receipts ","Millions of dollars",11.9,12.6,24.7,19.3,18.9,18.9,21.9,35.3,26.8,27.5,32.5,36.7,37.8,37.7,36.3,42.0,60.8,100.0,121.9,124.0,128.4,159.1,138.4,141.0,153.6,165.7,184.6,198.4,215.5,220.3,259.1,275.5,301.6,319.2,339.2,343.5,375.2,406.7,482.9,548.9,605.3,730.3,849.7,942.7,1107.7,1283.4,1610.4,1761.8,1868.5,2033.0,2284.1,2652.6,3114.0,3528.5,3903.1,4113.3,4305.3,4620.9,4981.0,5249.0,5849.6,6268.6,6963.2,7819.2,8382.1,8892.5,9974.9,10334.5,10500.7,10718.6,11403.5,12048.7,13354.7,14841.4,15583.3,16241.1,17548.6,18853.0,20192.5,23523.8,26130.1,29592.7,30550.6,30700.8,31864.2,34337.3,37389.3,38935.0,40039.7,43477.5,45728.8,61599.0,68903.9,61343.7
