GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "20000","Kansas",4,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",982.6,866.3,741.6,502.8,470.6,537.6,674.3,722.6,792.9,705.8,697.1,759.8,983.1,1521.8,1913.6,2083.8,2027.5,2058.7,2413.5,2554.7,2530.1,2838.3,3162.4,3684.6,3547.6,3755.2,3768.4,3964.2,4184.7,4593.4,4642.2,4827.1,5039.4,5244.0,5364.4,5649.7,6024.0,6452.3,6755.7,7360.3,8194.8,8892.7,9654.2,10763.3,12266.3,13262.0,14487.6,15746.2,17182.1,19014.3,21715.6,23879.6,27038.4,29313.5,30554.6,33489.2,35247.4,36949.9,38509.6,40671.3,43063.2,45745.1,47367.3,50913.1,53268.1,55684.2,58056.3,61821.0,65703.5,69711.2,71968.6,75870.8,78490.8,79285.4,81768.2,84076.9,88784.0,97838.9,105082.6,115298.3,111558.9,113843.0,123198.9,129849.7,132519.0,134773.9,136189.1,136753.6,141311.8,147407.4,152926.2,161704.7,172071.0,177474.7
 "20000","Kansas",4,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",773.2,701.0,608.4,470.5,419.3,481.7,523.1,603.7,627.3,595.9,599.0,634.9,781.8,1141.4,1497.0,1618.1,1607.6,1568.6,1660.3,1985.0,2090.3,2294.9,2706.2,3086.9,3258.8,3353.1,3531.7,3735.5,3925.1,4065.9,4276.1,4385.4,4589.3,4822.6,4962.1,5282.7,5563.3,5976.0,6350.7,6962.1,7731.7,8288.7,8950.6,9803.0,10883.7,12205.8,13687.5,15170.8,16693.4,18738.5,21019.9,23788.4,26703.1,28745.2,30178.9,32747.8,34446.7,36021.8,37347.8,39541.2,42244.2,44374.7,46343.6,49516.2,51936.3,54266.4,57278.7,60328.6,64299.9,68421.4,70584.7,74876.9,77350.6,78814.1,80141.9,82537.5,86841.9,96722.8,103475.1,113268.1,109594.6,111332.4,119571.6,126838.4,127651.9,132064.3,134500.1,134634.0,139978.1,145761.3,151342.0,158904.5,168511.6,176631.8
 "20000","Kansas",4,SAINC4,12,"..."," Farm income 2/","Millions of dollars",209.4,165.3,133.2,32.3,51.3,55.9,151.2,118.9,165.6,109.9,98.1,124.9,201.4,380.4,416.5,465.6,419.9,490.1,753.2,569.7,439.8,543.4,456.2,597.7,288.8,402.1,236.6,228.7,259.6,527.5,366.1,441.7,450.1,421.4,402.3,367.0,460.7,476.3,405.0,398.2,463.1,604.0,703.7,960.4,1382.6,1056.2,800.0,575.3,488.7,275.9,695.7,91.1,335.3,568.3,375.7,741.4,800.7,928.1,1161.8,1130.2,819.0,1370.4,1023.7,1396.9,1331.8,1417.8,777.6,1492.4,1403.7,1289.8,1383.8,993.9,1140.3,471.2,1626.3,1539.5,1942.1,1116.2,1607.5,2030.2,1964.3,2510.6,3627.3,3011.3,4867.0,2709.6,1689.1,2119.6,1333.7,1646.1,1584.2,2800.2,3559.3,842.8
 "20000","Kansas",4,SAINC4,20,"...","Population (persons) 3/","Number of persons",1867000,1883000,1881000,1883000,1877000,1868000,1872000,1869000,1856000,1842000,1824000,1788000,1767000,1769000,1802000,1763000,1719000,1803000,1851000,1892000,1925000,1916000,1950000,1977000,1994000,2042000,2093000,2119000,2128000,2142000,2160000,2183000,2215000,2231000,2217000,2209000,2206000,2200000,2197000,2216000,2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858822,2872476,2891101,2901661,2911506,2922671,2927230,2927419,2931572,2933747,2937919,2937922,2937150
 "20000","Kansas",4,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",526,460,394,267,251,288,360,387,427,383,382,425,556,860,1062,1182,1179,1142,1304,1350,1314,1481,1622,1864,1779,1839,1800,1871,1966,2144,2149,2211,2275,2351,2420,2558,2731,2933,3075,3321,3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10080,11338,12208,12649,13815,14521,15189,15748,16520,17414,18436,18957,20105,20836,21579,22321,23645,24932,26201,26871,28166,29047,29218,30029,30748,32340,35411,37748,41060,39382,39822,42889,44914,45670,46290,46597,46718,48272,50283,52127,55041,58569,60424
 "20000","Kansas",4,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",800.9,711.0,588.7,383.1,373.0,437.3,565.8,581.0,670.0,590.9,577.7,631.2,838.3,1365.6,1753.1,1912.7,1826.7,1790.3,2120.4,2146.1,2107.2,2328.2,2649.3,3071.5,2920.0,3068.9,3029.7,3165.6,3318.1,3613.5,3605.2,3737.4,3904.5,4057.4,4138.2,4348.6,4617.2,5028.6,5246.8,5711.0,6245.2,6690.1,7264.2,8215.1,9480.3,10087.9,10817.5,11848.3,12897.6,14340.0,16573.5,17482.9,19379.6,20309.9,21150.6,23500.4,24656.9,26120.8,27662.6,29237.0,30767.7,32969.6,34001.3,36969.9,38706.9,40652.9,41996.4,45020.1,48063.7,51247.5,53778.2,56072.6,58081.4,58870.7,60831.9,62930.7,66169.0,71889.0,76476.4,82101.2,79533.5,81798.3,87783.5,92491.9,97722.3,97559.3,99008.7,98569.5,101249.4,105164.5,109063.3,111228.5,116071.3,124180.9
 "20000","Kansas",4,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,12.3,13.6,13.0,12.7,14.7,24.1,38.8,45.3,53.2,58.8,47.3,42.9,46.1,49.6,60.9,70.3,75.5,86.6,96.0,105.4,118.1,120.9,141.6,160.7,177.0,183.0,205.8,213.4,221.7,293.2,339.8,376.8,421.0,441.8,491.7,572.8,733.6,853.1,936.4,1068.7,1175.2,1373.7,1614.7,1756.8,2055.5,2180.4,2287.5,2567.2,2732.2,2885.1,3003.0,3317.6,3509.7,3886.9,4118.8,4382.2,4591.2,4896.7,5091.0,5327.3,5697.0,6068.5,6343.1,6655.8,6869.9,7046.2,7212.9,7594.7,7943.7,8409.1,8807.3,9211.7,9007.3,9242.9,8525.0,8826.0,10224.6,10608.9,11025.0,10909.8,11216.0,11748.0,12238.3,12617.5,13419.7,14709.6
 "20000","Kansas",4,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,3.8,3.4,3.6,3.9,4.8,8.1,16.3,20.8,20.2,14.8,15.8,18.2,18.6,24.4,29.8,34.1,37.1,42.3,46.8,53.2,60.6,60.0,71.5,82.4,96.1,92.8,104.6,108.8,112.6,149.6,180.5,198.4,217.1,227.1,250.7,289.1,368.1,424.3,466.7,516.5,551.7,642.8,758.0,839.6,988.2,1055.8,1093.1,1200.7,1322.8,1406.8,1483.8,1657.3,1784.4,1973.1,2103.6,2219.7,2322.6,2478.1,2604.2,2730.2,2928.8,3125.7,3276.4,3432.4,3537.2,3638.3,3701.1,3875.7,4081.7,4354.2,4654.3,4857.1,4777.8,4812.1,3949.6,4071.9,5347.1,5597.4,5734.6,5833.4,6007.4,6344.0,6641.9,6874.2,7430.4,8290.5
 "20000","Kansas",4,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.1,0.1,0.1,0.1,0.1,0.1,0.1,(L),8.5,10.2,9.5,8.7,9.9,16.0,22.5,24.6,33.0,44.0,31.5,24.7,27.5,25.1,31.1,36.2,38.4,44.3,49.2,52.2,57.5,60.9,70.2,78.4,80.9,90.2,101.3,104.6,109.1,143.6,159.2,178.4,203.9,214.6,241.1,283.7,365.5,428.9,469.7,552.2,623.5,730.9,856.7,917.2,1067.3,1124.6,1194.5,1366.5,1409.5,1478.3,1519.2,1660.3,1725.3,1913.8,2015.1,2162.5,2268.5,2418.7,2486.8,2597.1,2768.2,2942.8,3066.7,3223.4,3332.7,3407.9,3511.7,3719.1,3862.0,4055.0,4152.9,4354.6,4229.5,4430.8,4575.5,4754.1,4877.5,5011.5,5290.4,5076.4,5208.6,5404.1,5596.4,5743.2,5989.3,6419.2
 "20000","Kansas",4,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45.1,51.3,61.1,76.0,90.8,106.4,112.7,129.0,147.3,160.7,149.2,165.3,175.1,178.1,194.0,214.2,236.0,258.9,294.2,324.7,354.5,444.9,445.1,438.6,458.2,471.7,484.9,499.5,510.3,553.4,598.6,641.8,716.1,742.3,763.6,741.2,800.3,852.8,843.4,914.2,918.1,974.6,967.8,946.7,1026.7,1115.4,1065.7,1157.4,1147.0,1044.3,1064.5,1018.3,1121.3,1133.2,1199.3,1170.8,1119.9,1261.4,1369.6,1256.7,1414.2,1694.9,1675.1,1239.5,1641.0,1370.3,1188.0,1155.7,1274.8,1540.1,1550.9,1661.1,1546.8,2062.4,2397.7
