GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",3796.8,3178.9,2593.3,1885.8,1661.4,2179.6,2571.8,3035.3,3415.4,2904.5,3239.9,3632.4,4560.3,5875.4,7401.3,7659.1,7335.4,7861.8,8951.9,9697.7,9642.4,11002.6,12319.1,13190.5,14991.5,14618.4,16236.0,16948.9,17440.9,17119.5,18126.0,18884.0,18957.0,20319.3,21691.5,23774.2,26375.2,28764.1,29991.8,33160.6,36067.9,37361.7,40644.0,45132.0,50382.9,53913.2,57745.1,64457.8,72465.6,80772.9,88473.2,94701.8,101183.6,104753.9,111587.4,123022.2,133511.6,141960.4,147028.8,157389.8,169457.8,177358.2,181544.4,192090.2,202230.8,217482.0,229978.8,241755.1,253075.7,268711.9,282128.9,301060.4,306670.4,306427.1,313961.0,322698.4,329235.3,336842.6,346731.9,356356.2,339100.0,352074.3,372954.2,387339.2,390857.9,407267.0,429284.9,441557.2,454894.8,474208.0,489493.1,531530.2,568132.0,572325.1
 "26000","Michigan",3,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",3637.7,3041.5,2473.2,1814.5,1576.0,2092.1,2407.0,2883.4,3235.8,2759.3,3098.6,3479.5,4373.9,5566.7,7086.2,7309.5,6964.4,7436.8,8533.2,9199.6,9290.7,10686.3,11917.5,12802.3,14649.7,14347.2,16004.3,16700.0,17224.2,16821.3,17905.4,18645.7,18658.7,20045.4,21393.7,23480.8,26103.4,28417.3,29718.3,32859.7,35719.0,37023.4,40336.9,44708.4,49825.3,53268.5,57174.5,63989.4,71916.6,80273.3,87939.0,94175.7,100679.0,104354.3,111374.8,122481.9,132859.4,141478.2,146375.5,156818.6,168494.8,176604.3,180902.8,191361.8,201524.8,216952.1,229308.4,241170.3,252499.1,268116.9,281344.5,300496.1,306146.9,305861.6,313283.3,321580.4,328223.9,335738.6,345542.3,355016.7,338269.9,350704.3,370372.0,385750.5,388749.1,405982.3,428270.8,440716.8,453915.1,473225.5,488618.7,529660.4,565840.7,570018.0
 "26000","Michigan",3,SAINC4,12,"..."," Farm income 2/","Millions of dollars",159.1,137.3,120.1,71.3,85.5,87.4,164.8,151.9,179.6,145.3,141.3,152.9,186.5,308.7,315.1,349.6,371.0,425.0,418.7,498.1,351.6,316.3,401.6,388.2,341.9,271.1,231.7,248.9,216.6,298.2,220.7,238.3,298.3,273.9,297.9,293.4,271.7,346.8,273.5,300.9,349.0,338.2,307.1,423.6,557.6,644.7,570.6,468.4,549.0,499.6,534.2,526.1,504.6,399.6,212.5,540.3,652.2,482.2,653.4,571.2,963.0,753.9,641.6,728.4,706.0,530.0,670.3,584.7,576.6,595.1,784.4,564.4,523.5,565.5,677.8,1118.0,1011.4,1104.0,1189.6,1339.5,830.1,1370.0,2582.3,1588.7,2108.8,1284.8,1014.1,840.4,979.7,982.5,874.4,1869.9,2291.3,2307.0
 "26000","Michigan",3,SAINC4,20,"...","Population (persons) 3/","Number of persons",4795000,4834000,4798000,4780000,4780000,4798000,4838000,4889000,4968000,5056000,5156000,5315000,5468000,5552000,5396000,5459000,5468000,5874000,6075000,6213000,6332000,6407000,6497000,6650000,6822000,7066000,7285000,7467000,7569000,7667000,7767000,7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9880076,9895488,9920751,9947308,9974630,9987137,10016980,10049868,10070610,10078236,10069577,10037504,10034113
 "26000","Michigan",3,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",792,658,540,395,348,454,532,621,687,574,628,683,834,1058,1372,1403,1342,1338,1474,1561,1523,1717,1896,1984,2198,2069,2229,2270,2304,2233,2334,2411,2402,2561,2692,2904,3156,3379,3475,3813,4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10232,10987,11492,12333,13594,14710,15553,16003,17074,18313,19048,19312,20265,21198,22660,23767,24773,25800,27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39043,39293,40830,42984,44081,45264,47088,48569,52786,56601,57038
 "26000","Michigan",3,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",2905.7,2450.7,1961.1,1472.2,1355.5,1811.9,2147.6,2483.1,2948.8,2467.7,2768.0,3155.5,4073.5,5272.0,6784.8,7009.0,6526.8,6836.4,7749.2,8584.7,8397.2,9477.4,10885.7,11686.2,13253.1,12722.4,14154.1,14624.3,14972.0,14325.3,15414.8,16077.7,15770.8,17046.7,18360.0,20138.5,22399.5,24778.1,25453.0,28268.7,31053.6,31215.9,33781.0,37815.7,42744.5,44449.7,45628.6,52169.1,59680.7,67245.4,73059.7,73725.0,77683.8,77086.7,82152.3,92105.8,101661.2,108879.4,113472.4,122203.9,129956.4,135296.9,137453.2,146873.1,154813.2,166532.3,175984.7,184289.2,193515.0,207438.2,220800.6,235948.7,237795.1,238158.3,242084.2,248046.0,251126.2,253364.0,254886.7,251958.1,232668.4,240545.9,252855.9,263096.1,270267.7,279281.4,293230.7,301868.8,315061.1,327196.4,336115.3,335469.3,361633.3,386966.2
 "26000","Michigan",3,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",2.1,2.0,1.9,1.9,1.6,1.7,1.7,1.7,70.2,70.1,91.3,106.5,147.3,147.2,182.0,183.3,200.0,206.2,230.9,241.0,257.0,277.1,338.6,358.8,386.8,430.6,456.8,506.4,606.9,560.4,694.8,824.4,785.8,888.4,1038.2,1076.8,1121.9,1571.5,1652.2,1854.0,2206.0,2195.9,2449.8,2904.9,3799.6,4082.1,4090.5,4794.0,5491.4,6390.5,7194.1,7174.2,8185.7,8240.7,8953.5,10356.4,11665.6,12550.7,12896.0,14305.3,15142.5,16052.7,16558.6,17546.5,18603.4,20421.1,21539.2,22020.1,23098.7,24260.3,25630.7,26849.4,26634.0,26847.7,27221.3,28187.1,29074.5,29870.0,30243.6,30261.3,28284.5,28655.5,26610.3,27743.8,32227.8,33295.7,34694.6,35680.2,37091.3,39018.8,39913.8,39484.7,42185.0,46547.4
 "26000","Michigan",3,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",1.8,1.7,1.7,1.6,1.4,1.5,1.5,1.6,18.5,15.0,16.4,18.3,27.6,35.3,49.8,60.3,58.0,58.0,67.7,68.7,68.8,100.1,123.7,136.7,141.5,177.5,198.8,216.5,245.3,225.0,275.1,331.3,316.1,347.1,410.3,435.2,468.4,693.6,776.9,894.4,1033.0,1035.1,1153.1,1319.7,1727.2,1869.7,1879.5,2144.7,2432.8,2785.2,3178.0,3229.5,3727.0,3767.2,4033.9,4561.4,5273.1,5730.8,5995.4,6694.8,7247.6,7699.5,7997.7,8411.3,8911.0,9811.7,10438.3,10840.7,11421.6,11989.5,12752.3,13336.6,13380.8,13627.3,13775.9,14249.9,14763.2,15265.5,15547.0,15672.5,14782.7,14995.3,12366.0,12815.5,16883.1,17622.0,18442.6,19152.2,20034.7,21272.2,21813.2,21739.1,23294.0,25889.5
 "26000","Michigan",3,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.1,51.7,55.1,75.0,88.2,119.7,112.0,132.2,122.9,142.0,148.2,163.2,172.3,188.2,177.0,214.9,222.1,245.2,253.0,258.0,289.9,361.6,335.4,419.7,493.1,469.7,541.2,627.9,641.6,653.5,877.9,875.3,959.6,1173.0,1160.8,1296.7,1585.2,2072.4,2212.3,2211.0,2649.2,3058.7,3605.3,4016.1,3944.8,4458.8,4473.5,4919.6,5795.0,6392.5,6820.0,6900.5,7610.5,7894.9,8353.2,8560.9,9135.2,9692.4,10609.4,11100.9,11179.5,11677.1,12270.8,12878.4,13512.8,13253.2,13220.3,13445.4,13937.2,14311.4,14604.5,14696.6,14588.8,13501.7,13660.2,14244.2,14928.3,15344.7,15673.7,16252.0,16528.1,17056.6,17746.5,18100.6,17745.7,18891.0,20657.9
 "26000","Michigan",3,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.2,2.7,7.0,12.0,17.5,24.2,27.1,34.8,44.8,52.9,30.1,34.4,36.7,38.0,41.5,44.4,49.0,54.3,63.0,67.9,76.3,104.9,112.5,105.5,113.5,139.8,139.8,149.2,190.6,217.0,260.2,292.2,337.1,378.0,380.7,413.3,479.2,501.0,488.4,506.8,514.6,512.0,458.0,487.6,552.2,627.6,753.6,796.8,822.5,909.2,992.9,1080.5,1098.1,1188.6,1215.5,1270.6,1366.8,1442.8,1629.9,1676.1,1681.5,1516.4,1578.6,1724.1,1908.2,1912.7,2068.0,2124.3,2264.5,2319.9,2531.3,2648.8,2587.6,3241.5,3409.4
