GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",552.9,396.0,337.6,244.9,257.1,342.6,358.9,460.9,458.3,417.0,436.4,461.2,690.3,1006.2,1246.2,1360.4,1330.0,1281.2,1410.5,1655.5,1481.7,1697.1,1872.4,1981.1,2009.2,1952.9,2203.1,2245.7,2272.1,2462.1,2726.4,2763.8,2996.9,3132.5,3442.4,3563.3,3868.6,4217.4,4563.4,4993.3,5540.7,6077.0,6737.1,7677.4,8779.0,9648.1,10462.8,11877.6,13222.2,14721.6,16636.7,18102.7,20328.9,21461.8,22458.0,24513.9,25815.0,26776.3,28256.1,30286.1,32710.7,34436.5,36310.8,39042.6,41568.6,44969.5,47565.2,50455.3,53370.6,56581.1,58494.4,61604.9,65064.1,66326.2,69011.9,73054.9,77635.0,80835.7,86187.0,90602.5,89414.0,92714.4,96643.4,99732.8,101472.1,103442.7,104772.2,106355.5,109132.8,111917.8,116256.3,125760.5,137381.7,136330.2
 "28000","Mississippi",5,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",343.8,302.1,248.0,192.9,182.6,223.5,233.3,288.1,284.7,282.9,312.8,346.0,505.7,721.2,954.1,1021.8,1026.1,996.3,1011.5,1109.1,1174.3,1319.8,1469.1,1527.4,1595.5,1657.2,1795.8,1946.6,2027.7,2190.3,2393.5,2484.2,2645.0,2836.8,3012.0,3195.9,3519.2,3873.0,4180.2,4632.5,5195.2,5686.3,6305.4,7188.2,8092.8,9140.0,10093.7,11311.5,12622.8,14277.1,15943.4,17927.8,20006.0,21044.5,22362.6,24041.6,25384.1,26579.3,27676.3,29561.0,32151.4,33954.9,35734.6,38384.1,40997.1,44137.0,46898.5,49389.0,52389.8,55624.2,57560.8,60824.4,63493.0,65699.3,67839.5,71265.7,75890.6,80029.5,85054.2,89880.1,88581.4,91835.9,96077.0,98935.9,99258.8,101845.5,103937.3,105710.4,107704.4,110785.4,115248.5,125165.8,135734.2,135139.0
 "28000","Mississippi",5,SAINC4,12,"..."," Farm income 2/","Millions of dollars",209.1,93.8,89.6,52.1,74.5,119.1,125.5,172.8,173.6,134.1,123.6,115.1,184.6,285.1,292.1,338.5,303.9,284.9,399.0,546.4,307.4,377.3,403.4,453.6,413.8,295.7,407.3,299.2,244.4,271.8,332.9,279.7,351.9,295.7,430.3,367.5,349.4,344.4,383.1,360.8,345.4,390.7,431.6,489.2,686.3,508.0,369.1,566.1,599.4,444.5,693.3,174.9,322.8,417.3,95.4,472.3,430.9,197.1,579.8,725.1,559.4,481.5,576.2,658.5,571.5,832.5,666.6,1066.4,980.7,956.9,933.7,780.5,1571.0,626.9,1172.5,1789.2,1744.3,806.2,1132.8,722.4,832.6,878.4,566.5,796.9,2213.3,1597.3,834.8,645.1,1428.4,1132.5,1007.8,594.7,1647.4,1191.2
 "28000","Mississippi",5,SAINC4,20,"...","Population (persons) 3/","Number of persons",1998000,2006000,1994000,2004000,2031000,2050000,2061000,2072000,2086000,2127000,2168000,2176000,2188000,2204000,2255000,2119000,2079000,2072000,2108000,2076000,2085000,2176000,2163000,2152000,2105000,2064000,2060000,2086000,2088000,2086000,2138000,2182000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970366,2977897,2982342,2986574,2987621,2984959,2984317,2983393,2974618,2968981,2958141,2949586,2940057
 "28000","Mississippi",5,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",277,197,169,122,127,167,174,222,220,196,201,212,316,457,553,642,640,618,669,797,711,780,866,921,955,946,1069,1077,1088,1180,1275,1267,1359,1397,1534,1590,1722,1879,2048,2250,2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6634,7168,8007,8394,8746,9509,9974,10324,10916,11737,12707,13353,13973,14881,15656,16724,17470,18360,19219,20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34624,35100,35638,36580,37624,39157,42513,46577,46370
 "28000","Mississippi",5,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",488.8,340.2,277.8,195.8,213.2,296.0,312.2,397.7,411.3,371.0,387.2,410.2,633.9,945.8,1188.9,1293.9,1235.2,1119.2,1225.3,1440.9,1232.3,1399.4,1601.3,1730.7,1741.4,1662.6,1885.2,1902.1,1913.3,2070.0,2297.5,2312.2,2475.1,2574.2,2854.3,2957.7,3225.9,3565.8,3826.4,4187.2,4571.0,4881.2,5354.0,6148.4,7050.0,7532.3,7895.3,9112.2,10207.5,11334.1,12763.3,13197.6,14548.3,15034.5,15493.5,17134.7,18020.0,18701.9,20007.7,21523.0,22798.4,24157.5,25320.2,27368.8,29359.3,32066.2,33399.6,35217.0,37125.3,39685.8,41393.8,42964.3,44730.4,45373.0,47585.5,50672.9,52770.4,54609.8,56690.3,58498.3,56638.4,58444.2,59737.2,62082.3,64567.1,65467.6,65240.8,65855.7,67942.0,69650.6,71866.7,73337.8,80218.5,83686.7
 "28000","Mississippi",5,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,5.1,5.6,6.0,6.6,9.5,15.4,27.2,30.4,40.5,49.4,36.4,28.7,27.5,27.2,32.5,36.2,39.0,43.6,48.4,52.1,64.8,72.4,87.4,100.7,104.3,114.9,136.3,143.3,151.8,196.8,226.2,253.0,290.8,310.2,351.1,421.3,538.2,615.5,653.1,756.5,850.2,981.8,1128.9,1210.2,1421.5,1497.3,1593.8,1773.3,1913.8,2032.1,2125.1,2373.6,2541.7,2803.2,2988.6,3192.1,3452.6,3779.3,3946.2,4069.0,4283.6,4579.2,4782.9,4926.1,5012.8,5238.0,5403.1,5726.0,5939.6,6397.5,6663.1,6889.5,6801.4,6893.9,6407.5,6621.5,7523.9,7738.9,7944.2,8120.0,8376.9,8585.0,8944.2,9256.0,9751.1,10570.2
 "28000","Mississippi",5,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,1.9,1.9,2.0,2.1,3.0,5.9,17.0,16.5,14.0,10.3,10.5,10.3,10.1,13.4,15.9,17.7,19.3,21.2,23.6,26.1,31.3,33.8,39.7,47.3,49.2,52.1,61.2,65.1,69.2,96.6,116.7,129.7,146.5,157.1,176.0,208.5,265.4,304.5,323.7,364.5,404.1,462.3,535.9,585.1,693.3,741.4,781.7,855.2,953.0,1024.3,1080.5,1217.5,1330.1,1455.7,1560.4,1662.2,1792.9,1969.2,2074.9,2137.2,2253.7,2398.0,2516.4,2590.8,2653.7,2780.5,2875.4,3035.2,3199.5,3493.3,3672.7,3802.8,3758.0,3817.2,3116.3,3207.8,4149.0,4302.6,4423.1,4567.8,4741.5,4924.4,5102.6,5279.3,5608.0,6137.0
 "28000","Mississippi",5,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.1,0.1,0.1,0.1,0.1,0.1,0.1,(L),3.1,3.7,3.9,4.5,6.5,9.5,10.2,13.9,26.5,39.1,25.9,18.4,17.4,13.8,16.6,18.5,19.8,22.5,24.8,26.1,33.5,38.6,47.7,53.4,55.1,62.8,75.1,78.2,82.7,100.2,109.5,123.3,144.3,153.1,175.1,212.8,272.8,311.0,329.4,392.0,446.0,519.5,593.0,625.1,728.1,755.9,812.1,918.1,960.7,1007.8,1044.6,1156.2,1211.6,1347.5,1428.2,1529.9,1659.7,1810.0,1871.3,1931.8,2029.9,2181.2,2266.4,2335.3,2359.1,2457.6,2527.7,2690.8,2740.1,2904.2,2990.3,3086.7,3043.3,3076.7,3291.2,3413.7,3374.9,3436.3,3521.1,3552.2,3635.4,3660.6,3841.5,3976.7,4143.1,4433.3
 "28000","Mississippi",5,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(L),0.3,1.0,2.0,3.1,4.4,5.2,6.6,8.6,10.9,9.2,10.5,12.0,13.2,15.1,16.8,19.7,21.9,22.8,24.7,31.4,36.0,37.4,58.9,74.1,93.8,122.5,148.7,179.0,217.7,271.5,325.4,410.3,439.6,457.3,513.0,572.0,603.1,591.5,629.6,671.5,714.6,749.0,804.0,822.9,839.5,837.5,920.0,961.6,1112.0,1187.7,1286.5,1477.8,1540.7,1585.4,1669.0,1780.0,1897.8,2114.1,2270.2,2411.2,2367.3,2429.3,2651.0,2852.5,2992.6,3054.1,3182.7,3224.0,3317.1,3509.6,3753.7,3770.2,3928.6,4316.7
