GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "37000","North Carolina",5,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",1024.0,909.4,776.8,591.2,663.5,816.0,888.8,982.5,1086.2,1001.2,1096.6,1154.5,1545.2,2111.4,2597.7,2826.6,2941.9,3262.1,3414.3,3868.1,3826.1,4453.0,5012.6,5162.4,5371.5,5493.1,5953.8,6345.5,6387.0,6738.3,7217.1,7617.6,8064.4,8661.2,9109.7,9868.3,10671.1,11855.1,12817.2,14135.7,15858.1,17320.4,18856.8,21319.0,24174.5,26653.9,28942.8,32132.3,35208.1,39736.2,43906.8,49256.2,55448.4,59374.7,64651.8,73042.5,78975.6,85149.3,91578.6,100512.0,109591.5,116495.2,121968.5,132578.4,141327.2,150419.5,161278.5,172515.8,185209.4,198232.0,207943.0,221516.2,228090.9,231930.9,241805.1,261603.4,280391.8,304872.7,327886.5,351637.5,339441.5,343104.3,355001.6,377867.2,373140.6,393886.1,414760.4,429054.9,449817.7,473093.3,501587.2,541078.0,599133.5,621705.6
 "37000","North Carolina",5,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",813.5,750.1,660.0,510.6,517.4,615.5,660.0,778.8,828.3,803.6,886.9,973.5,1288.5,1701.2,2157.6,2275.6,2393.1,2576.9,2788.2,3205.9,3271.7,3811.0,4230.5,4490.8,4731.7,4854.8,5296.7,5700.6,5912.0,6112.1,6699.6,7015.1,7421.7,8036.4,8506.9,9237.4,10142.8,11241.6,12214.8,13622.2,15188.1,16651.3,18233.1,20572.5,23017.3,25549.7,27887.7,30998.2,34366.1,38609.3,43166.5,48620.9,54415.0,58324.2,64029.1,71763.9,77828.7,84017.4,90452.4,99049.6,107887.0,114379.0,119592.5,130264.8,138738.3,147616.7,158596.0,169541.2,182168.2,195846.4,205728.6,218574.3,224993.8,230450.9,240241.9,259266.2,277214.3,302295.6,325645.4,349440.7,337209.3,340740.4,352977.7,375022.4,369777.5,390138.0,411553.7,426529.9,446657.2,471643.5,499630.5,539545.8,595995.7,618366.8
 "37000","North Carolina",5,SAINC4,12,"..."," Farm income 2/","Millions of dollars",210.5,159.2,116.8,80.6,146.1,200.5,228.7,203.8,257.9,197.5,209.8,181.0,256.6,410.2,440.1,551.0,548.9,685.2,626.1,662.3,554.4,642.0,782.1,671.7,639.7,638.3,657.1,644.9,475.0,626.2,517.5,602.5,642.7,624.8,602.8,630.9,528.4,613.5,602.4,513.4,670.1,669.1,623.7,746.5,1157.3,1104.2,1055.1,1134.1,842.0,1126.8,740.3,635.3,1033.4,1050.5,622.7,1278.6,1146.8,1131.9,1126.2,1462.4,1704.5,2116.2,2376.0,2313.6,2588.9,2802.8,2682.5,2974.6,3041.1,2385.6,2214.4,2941.9,3097.1,1480.0,1563.2,2337.2,3177.6,2577.1,2241.1,2196.8,2232.2,2363.9,2023.9,2844.8,3363.0,3748.0,3206.7,2525.0,3160.5,1449.7,1956.6,1532.1,3137.8,3338.8
 "37000","North Carolina",5,SAINC4,20,"...","Population (persons) 3/","Number of persons",3133000,3167000,3184000,3227000,3268000,3304000,3323000,3346000,3385000,3440000,3514000,3574000,3596000,3590000,3641000,3632000,3523000,3727000,3772000,3837000,3911000,4068000,4120000,4109000,4120000,4131000,4242000,4309000,4368000,4376000,4458000,4573000,4663000,4707000,4742000,4802000,4863000,4896000,4952000,5004000,5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571353,9642580,9722105,9803434,9880220,9966060,10076064,10175266,10275806,10370550,10449445,10565885,10698973
 "37000","North Carolina",5,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",327,287,244,183,203,247,267,294,321,291,312,323,430,588,713,778,835,875,905,1008,978,1095,1217,1256,1304,1330,1404,1473,1462,1540,1619,1666,1729,1840,1921,2055,2194,2421,2588,2825,3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8350,9309,9864,10639,11850,12628,13470,14301,15510,16692,17481,17978,19222,20067,20928,21959,23000,24189,25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35847,36816,38867,38062,39866,41617,42582,44207,46040,48366,51781,56705,58109
 "37000","North Carolina",5,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",873.4,767.5,630.1,475.7,560.6,706.2,777.7,835.2,971.3,883.8,972.7,1027.1,1408.2,1975.6,2462.5,2671.1,2735.8,2955.9,3031.4,3411.6,3332.4,3862.2,4461.9,4591.2,4775.2,4826.6,5226.5,5561.0,5540.6,5801.5,6237.2,6583.4,6895.2,7390.5,7787.7,8430.8,9112.5,10279.7,11117.3,12301.1,13695.4,14664.7,15905.7,18116.6,20658.5,22351.2,23353.0,26189.2,28734.4,32665.3,35982.5,39233.0,43471.6,45591.0,49846.5,56766.9,61550.3,66665.9,72743.7,79617.5,85519.3,90451.9,93714.6,102592.3,108938.6,116287.9,123190.7,130549.1,140497.6,150625.4,159949.1,170461.7,174113.3,176240.1,183406.8,198015.8,211554.8,229557.5,244915.3,258157.5,243357.9,244526.7,247490.5,266033.3,265416.9,279153.8,292329.7,302983.3,317386.0,333004.3,353023.0,365699.7,399280.7,434666.8
 "37000","North Carolina",5,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,18.3,20.4,23.9,25.0,30.9,47.0,67.6,74.3,94.1,120.3,92.6,79.3,80.5,95.4,113.6,113.8,115.8,141.5,155.9,172.7,204.7,213.9,257.3,306.6,314.4,346.6,411.8,435.3,467.3,617.0,715.5,826.2,899.6,971.1,1101.8,1308.6,1677.9,1901.0,1977.8,2272.1,2513.2,2920.4,3389.7,3716.8,4380.1,4634.6,5172.7,5969.0,6588.7,7293.9,7869.4,8838.3,9490.1,10256.6,10747.2,11649.2,12435.0,13398.8,14228.0,14926.2,15977.8,17206.6,18335.2,19427.8,20100.0,20457.3,21458.7,22559.7,24118.9,25770.8,27508.4,28284.5,27493.0,27829.2,25943.7,26975.7,31279.3,32936.5,34559.7,35544.0,36885.0,38384.9,40569.8,42200.7,45600.1,50416.8
 "37000","North Carolina",5,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.7,0.7,0.6,0.6,0.5,0.6,0.5,0.6,5.2,4.8,5.2,5.8,8.3,14.2,32.5,34.9,34.6,28.3,27.7,27.4,26.5,37.9,46.2,48.6,49.9,60.7,68.8,77.3,93.3,99.1,114.5,141.3,147.3,158.2,189.0,202.7,217.7,297.5,353.4,398.1,445.4,482.0,542.9,635.1,820.2,933.5,969.8,1083.7,1190.3,1378.8,1610.0,1785.7,2127.0,2287.7,2515.3,2842.7,3239.5,3614.8,3937.9,4460.5,4868.3,5247.3,5533.8,5968.3,6380.1,6910.7,7400.3,7757.7,8307.4,8928.2,9531.2,10088.9,10403.0,10717.9,10986.4,11641.2,12432.3,13386.5,14337.6,14733.4,14362.8,14588.2,11970.5,12406.0,16303.6,17141.1,18006.8,18890.3,19921.2,21167.8,22382.7,23359.5,25111.5,27887.0
 "37000","North Carolina",5,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,13.1,15.6,18.7,19.2,22.6,32.9,35.1,39.4,59.5,92.0,64.9,52.0,54.0,57.6,67.4,65.2,65.9,80.8,87.2,95.3,111.5,114.7,142.7,165.2,167.1,188.4,222.8,232.7,249.6,319.5,362.1,428.1,454.2,489.1,558.9,673.5,857.6,967.4,1007.9,1188.4,1322.9,1541.6,1779.7,1931.1,2253.1,2346.9,2657.4,3126.3,3349.2,3679.1,3931.5,4377.8,4621.8,5009.3,5213.4,5680.9,6054.9,6488.1,6827.7,7168.4,7670.4,8278.4,8804.0,9338.9,9697.0,9739.4,10472.2,10918.5,11686.6,12384.3,13170.8,13551.0,13130.2,13241.0,13973.1,14569.7,14975.6,15795.4,16552.8,16653.7,16963.8,17217.2,18187.1,18841.2,20488.6,22529.9
 "37000","North Carolina",5,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(L),0.7,1.6,3.0,4.7,6.1,6.9,8.1,10.0,12.2,9.4,9.5,9.6,10.0,10.8,11.1,11.8,11.2,10.6,10.2,12.5,18.5,19.7,15.2,9.1,7.4,12.8,15.0,13.8,18.9,17.9,7.7,11.3,-29.4,-40.5,-59.2,-94.8,-157.2,-219.0,-300.8,-363.1,-417.7,-457.6,-440.2,-464.5,-481.3,-546.4,-617.8,-682.0,-759.6,-737.8,-806.9,-920.8,-930.3,-898.7,-755.1,-756.4,-826.1,-1011.8,-1242.9,-1274.2,-1048.8,-963.1,-890.9,-938.8,-848.5,-920.6,-1162.5,-1294.7,-1359.5,-1559.0,-1616.7,-1827.2,-2008.4,-2559.7
