GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "46000","South Dakota",4,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",286.2,247.3,167.8,130.9,93.9,129.3,205.6,164.9,210.5,205.8,219.9,228.9,288.0,450.8,500.9,548.6,620.8,659.3,752.2,920.1,707.6,850.2,995.7,883.5,960.8,988.1,922.3,987.4,1156.9,1188.0,1080.9,1324.8,1333.0,1518.9,1473.1,1445.2,1625.9,1758.0,1786.1,1914.3,2076.4,2257.4,2473.1,2855.4,3605.3,3612.0,3972.0,3932.8,4462.6,5142.5,5665.4,5716.5,6653.4,7011.8,7277.1,8268.3,8481.2,8847.0,9303.5,9740.4,10481.3,11483.9,11982.0,12935.1,13520.2,14573.9,14864.8,16415.5,16797.7,18102.9,18948.9,20201.2,20892.2,20898.5,22822.7,24553.2,26005.4,27393.1,30342.5,32676.8,31827.1,33682.9,36655.0,37469.6,37840.2,39607.1,41160.1,41551.5,42989.3,45144.0,48031.4,52793.3,58627.9,62028.3
 "46000","South Dakota",4,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",170.1,164.1,152.8,116.4,104.7,135.0,136.4,158.5,158.4,158.7,160.6,168.3,184.0,236.4,290.1,300.4,350.9,369.1,406.9,487.2,516.2,567.6,613.3,657.1,690.6,729.1,762.0,808.1,839.2,877.6,940.2,1001.0,1082.3,1151.1,1174.6,1230.2,1292.3,1365.4,1442.7,1552.9,1719.9,1885.0,2070.3,2292.3,2580.0,2925.8,3267.0,3658.2,4020.7,4529.1,5016.7,5583.0,6212.2,6642.0,7025.1,7583.5,7873.4,8188.2,8465.2,9030.5,9762.4,10467.4,11092.3,11865.6,12580.7,13369.9,14231.1,14959.3,15758.0,16942.6,17791.0,18866.4,19748.2,20406.4,21345.7,22718.2,24462.8,26787.4,28613.7,30405.5,30042.5,31966.1,32988.5,34964.1,34487.3,37178.7,39436.5,40438.2,41937.2,43506.7,46484.9,50016.1,54914.3,57713.4
 "46000","South Dakota",4,SAINC4,12,"..."," Farm income 2/","Millions of dollars",116.1,83.3,15.0,14.5,-10.7,-5.7,69.3,6.4,52.2,47.1,59.3,60.7,103.9,214.4,210.8,248.2,269.9,290.2,345.4,432.9,191.4,282.5,382.4,226.4,270.2,259.1,160.3,179.3,317.7,310.4,140.7,323.8,250.7,367.8,298.5,215.0,333.6,392.6,343.3,361.4,356.5,372.3,402.7,563.1,1025.3,686.2,705.0,274.6,441.9,613.3,648.7,133.5,441.2,369.7,252.1,684.8,607.8,658.9,838.3,710.0,719.0,1016.4,889.7,1069.5,939.5,1204.0,633.7,1456.2,1039.7,1160.3,1157.9,1334.7,1144.0,492.1,1477.0,1835.0,1542.6,605.8,1728.8,2271.3,1784.6,1716.8,3666.5,2505.5,3352.9,2428.4,1723.6,1113.3,1052.1,1637.3,1546.5,2777.2,3713.6,4315.0
 "46000","South Dakota",4,SAINC4,20,"...","Population (persons) 3/","Number of persons",690000,693000,694000,692000,690000,682000,674000,666000,656000,649000,645000,641000,613000,597000,587000,562000,573000,588000,600000,612000,631000,655000,655000,651000,648000,655000,663000,670000,666000,656000,667000,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816078,823160,832800,841206,847634,852134,860650,870163,875300,882507,887799,896164,909824
 "46000","South Dakota",4,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",415,357,242,189,136,190,305,248,321,317,341,357,470,755,853,976,1083,1121,1254,1503,1121,1298,1520,1357,1483,1509,1391,1474,1737,1811,1621,1940,1924,2154,2081,2062,2350,2574,2662,2861,3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8275,9648,10153,10501,11858,12144,12711,13366,13952,15044,16474,17028,18147,18722,19943,20144,22117,22571,24265,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41274,44530,44992,44983,46727,48302,48279,49404,51575,54426,59465,65421,68176
 "46000","South Dakota",4,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",254.2,214.2,132.0,104.0,72.1,106.3,181.2,128.6,179.2,174.8,189.8,197.9,255.5,415.9,461.1,507.9,572.7,585.8,671.0,817.3,598.7,716.4,859.7,741.2,803.8,813.0,746.9,797.3,959.8,971.6,861.2,1075.9,1073.9,1245.5,1188.3,1147.6,1297.7,1423.7,1428.7,1536.3,1644.9,1761.6,1921.4,2248.2,2923.7,2802.9,3022.1,2900.8,3311.9,3874.1,4241.6,3937.9,4486.2,4540.4,4735.5,5562.6,5689.7,5985.0,6489.2,6826.3,7272.5,8157.3,8533.1,9362.7,9802.6,10724.9,10623.3,11907.6,12070.3,13131.8,13834.8,14674.2,14921.6,14916.8,16557.5,17964.1,18879.6,19461.3,21426.5,22682.8,22234.7,23622.6,25895.5,25976.0,26981.3,27858.5,28565.6,28469.4,29274.0,31044.3,32948.0,35591.3,38981.8,42023.8
 "46000","South Dakota",4,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,2.2,2.4,2.8,2.9,2.7,3.8,5.0,5.8,10.2,11.5,10.0,8.9,9.7,9.9,11.4,12.8,13.6,14.5,15.6,19.5,22.0,26.0,34.1,34.8,39.0,44.9,51.0,50.4,51.2,64.4,77.2,83.6,89.6,95.5,106.4,121.1,158.1,183.2,200.4,224.6,237.6,274.4,322.1,341.8,388.1,407.8,440.5,491.2,529.5,573.9,618.2,691.6,750.3,851.3,916.3,976.3,1034.7,1117.3,1171.4,1224.4,1292.0,1385.2,1481.9,1567.5,1617.2,1671.1,1746.4,1839.6,1929.5,2079.9,2211.5,2321.1,2316.9,2426.6,2224.4,2328.0,2676.0,2842.3,2946.4,3029.6,3160.7,3289.3,3508.3,3752.2,3977.1,4305.3
 "46000","South Dakota",4,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.8,0.9,0.9,1.0,1.6,3.1,3.6,4.7,3.1,3.6,3.6,3.6,4.9,5.7,6.8,7.3,7.9,8.4,11.7,12.9,14.9,20.6,19.4,21.4,24.4,28.1,28.7,29.2,36.3,45.7,48.2,53.3,56.2,61.1,68.5,90.7,104.6,114.1,122.9,125.2,143.9,172.4,184.2,208.1,220.7,236.2,260.3,288.8,314.0,345.3,387.0,426.3,477.6,512.6,542.2,570.8,617.8,644.5,671.8,708.6,763.5,814.9,858.6,878.5,907.9,955.5,1006.3,1063.7,1147.1,1223.6,1279.9,1277.4,1311.0,1096.9,1145.8,1470.1,1566.8,1635.5,1673.5,1763.5,1851.6,1985.0,2119.3,2251.6,2443.9
 "46000","South Dakota",4,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",(L),(L),(L),(L),(L),(L),(L),(L),1.3,1.6,1.9,1.9,1.7,2.1,1.9,2.2,5.5,8.4,6.4,5.2,6.2,5.1,5.7,6.0,6.3,6.7,7.2,7.8,9.1,11.1,13.5,15.4,17.6,20.5,22.9,21.7,22.0,28.1,31.4,35.4,36.3,39.2,45.3,52.6,67.4,78.6,86.3,101.7,112.4,130.5,149.7,157.7,180.0,187.1,204.3,230.9,240.7,259.9,272.8,304.6,324.0,373.7,403.7,434.2,463.9,499.5,526.9,552.6,583.5,621.7,667.0,709.0,738.7,763.2,790.9,833.3,865.8,932.8,987.9,1041.3,1039.5,1115.7,1127.6,1182.2,1205.9,1275.5,1310.9,1356.1,1397.2,1437.7,1523.3,1632.9,1725.5,1861.4
 "46000","South Dakota",4,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,-0.1,-0.1,-0.2,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,0.2,0.4,0.5,0.4,0.6,1.0,1.4,1.7,2.2,2.7,3.2,6.0,6.1,6.4,7.1,7.3,8.1,10.4,11.8,12.6,14.4,15.0,16.1,12.9,10.3,3.8,-2.2,-4.9,-11.5,-19.2,-26.7,-37.2,-54.2,-67.7,-85.0,-100.4,-130.4,-149.9,-188.8,-185.7,-232.6,-249.3,-267.1,-264.7,-236.8,-225.3,-221.1,-171.4,-141.3,-139.4,-103.5,-68.8,-71.2,-112.9,-71.9,-38.3,-21.5,-11.6,-53.4,-111.7,-126.4,-140.1,-143.3,-184.2,-160.2
