GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "51000","Virginia",5,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",1054.5,938.4,906.9,701.9,704.4,801.9,891.2,1004.3,1104.1,1038.1,1149.7,1304.5,1827.8,2804.5,3114.9,3416.8,3521.2,3540.3,3442.2,3854.1,3900.4,4399.0,5192.7,5657.7,5858.4,5960.0,6293.3,6809.3,7179.4,7416.3,7925.4,8173.2,8705.5,9395.7,10106.6,11151.0,12037.5,13026.7,14251.2,15768.2,17847.7,19371.6,21411.0,23764.2,26612.7,29489.6,32379.8,35770.8,39631.2,44990.4,50186.3,56746.1,63651.3,68805.2,74253.8,82549.8,89269.1,96310.3,103737.7,113855.8,123151.2,129561.6,135176.0,143616.9,150892.5,158792.7,166843.9,175083.8,186626.6,199883.6,214025.7,231869.8,244314.3,251357.7,266325.2,284687.3,303288.9,323553.8,341200.3,355506.4,349465.4,364677.9,385635.1,402072.1,398579.8,414710.1,433088.2,444691.4,462372.2,479766.6,501811.6,530920.4,578639.7,599042.0
 "51000","Virginia",5,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",896.3,848.2,797.2,645.8,614.3,715.5,768.2,891.4,952.6,928.1,1033.6,1194.3,1690.6,2606.2,2887.1,3146.7,3238.3,3205.9,3148.1,3496.0,3638.8,4111.2,4847.6,5345.2,5635.2,5704.2,6066.3,6568.2,7022.2,7157.3,7733.1,7960.1,8482.1,9175.4,9971.8,10931.1,11830.9,12872.3,14051.8,15592.2,17637.3,19160.8,21220.4,23513.0,26261.8,29178.2,32119.2,35540.3,39468.8,44707.0,50037.3,56684.3,63387.7,68689.8,74215.0,82228.6,89045.5,96039.7,103374.0,113340.4,122516.5,128883.5,134562.9,142958.2,150359.4,158159.1,166288.5,174522.7,186210.0,199473.3,213710.4,231311.7,243836.7,250995.2,266057.9,284157.6,302713.7,323276.8,340965.3,355133.7,349117.1,364344.7,385028.5,401433.7,397814.6,414034.6,432603.4,444435.1,461857.9,479476.7,501387.1,530726.5,578026.7,597984.5
 "51000","Virginia",5,SAINC4,12,"..."," Farm income 2/","Millions of dollars",158.2,90.2,109.6,56.0,90.0,86.4,123.0,112.9,151.5,110.0,116.1,110.2,137.3,198.3,227.8,270.1,282.9,334.4,294.1,358.1,261.6,287.9,345.0,312.5,223.3,255.8,227.0,241.1,157.2,259.0,192.3,213.1,223.4,220.3,134.8,220.0,206.6,154.4,199.4,176.1,210.3,210.9,190.6,251.2,350.9,311.4,260.6,230.5,162.4,283.4,149.1,61.8,263.6,115.4,38.8,321.1,223.6,270.6,363.7,515.3,634.6,678.1,613.1,658.7,533.1,633.6,555.4,561.0,416.6,410.3,315.3,558.2,477.7,362.5,267.3,529.7,575.2,277.0,235.0,372.7,348.3,333.2,606.7,638.4,765.2,675.5,484.9,256.3,514.3,290.0,424.5,193.9,613.0,1057.4
 "51000","Virginia",5,SAINC4,20,"...","Population (persons) 3/","Number of persons",2425000,2427000,2445000,2452000,2460000,2485000,2520000,2552000,2590000,2638000,2670000,2720000,2975000,3311000,3510000,3642000,3566000,3371000,3273000,3207000,3292000,3315000,3434000,3504000,3557000,3555000,3588000,3722000,3844000,3914000,3951000,3986000,4095000,4180000,4276000,4357000,4411000,4456000,4508000,4558000,4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025030,8107628,8196915,8269638,8333578,8389864,8444688,8502578,8547016,8597339,8636471,8657365,8683619
 "51000","Virginia",5,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",435,387,371,286,286,323,354,394,426,394,431,480,614,847,887,938,987,1050,1052,1202,1185,1327,1512,1615,1647,1677,1754,1829,1868,1895,2006,2050,2126,2248,2364,2559,2729,2923,3161,3459,3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10571,11692,12526,13344,14626,15620,16572,17487,18860,20122,20840,21452,22390,23180,24085,25011,25935,27328,28965,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45443,47564,49052,48198,49764,51620,52659,54380,56133,58368,61474,66838,68985
 "51000","Virginia",5,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",881.2,769.2,725.7,548.1,573.0,658.4,751.0,822.6,948.5,891.1,992.3,1128.9,1643.5,2588.8,2908.9,3229.9,3341.1,3338.4,3121.2,3264.3,3218.5,3560.8,4344.4,4718.0,4828.4,4835.0,5060.0,5477.7,5686.8,5882.3,6283.8,6431.7,6781.9,7296.6,7823.1,8631.9,9236.8,10104.2,10961.2,12204.8,13888.6,14888.6,16361.6,18248.0,20494.2,22487.7,24107.5,26731.0,29632.8,33472.9,37101.6,40839.5,45398.8,48645.3,53078.4,59515.5,65054.6,70915.4,77743.2,85293.4,91220.9,95102.9,98531.0,104803.0,109727.4,115317.8,120285.8,126802.4,135741.5,147511.3,159419.0,175309.7,184666.5,189151.5,199943.9,216849.8,230677.5,241768.6,251552.0,255751.4,253301.5,263974.7,272116.0,282095.6,284627.7,291940.4,304543.2,310126.0,321253.0,332431.1,348430.8,356186.4,384089.9,410883.0
 "51000","Virginia",5,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",1.6,1.6,1.5,1.5,1.3,1.4,1.3,1.4,18.3,20.2,23.9,25.1,32.8,55.9,81.1,109.8,162.6,254.3,157.3,81.4,81.0,78.3,94.0,99.6,107.2,123.6,137.4,147.5,172.3,184.1,234.5,268.2,284.5,317.8,370.1,383.9,402.9,544.1,633.1,699.8,799.2,869.3,998.9,1166.4,1483.5,1700.6,1821.5,2071.4,2302.4,2623.7,3053.5,3380.3,4012.7,4368.9,4945.4,5702.2,6436.2,7279.1,7980.7,9001.5,9745.9,10316.8,10808.1,11443.5,12026.6,12719.4,13263.8,13951.6,14948.3,16045.3,17282.3,18641.0,19664.0,20356.7,21415.6,23336.7,24956.1,26489.4,27632.7,28536.1,28627.3,29511.4,27107.8,27982.8,32377.1,33130.0,34665.1,35397.6,37048.8,38327.7,39971.6,41103.5,44038.8,47747.1
 "51000","Virginia",5,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",1.5,1.4,1.4,1.3,1.2,1.4,1.2,1.3,6.8,6.6,7.0,7.6,11.8,27.0,55.1,76.1,82.0,53.0,42.7,28.5,26.1,36.1,43.7,48.9,52.8,60.8,66.8,72.7,86.6,90.3,108.8,128.4,134.6,146.9,173.6,185.8,199.1,276.7,327.0,358.0,399.8,430.2,486.2,563.6,727.5,833.7,882.1,980.2,1087.3,1241.4,1460.1,1637.4,1965.6,2163.1,2421.5,2749.8,3193.7,3625.1,4002.7,4532.6,4959.1,5221.5,5489.5,5782.2,6104.0,6515.0,6853.5,7204.4,7731.6,8294.4,8976.3,9662.3,10201.0,10602.0,11081.5,11988.9,12857.3,13708.4,14421.3,14927.6,14941.0,15333.8,12326.1,12670.4,16796.7,17290.9,18115.6,18675.3,19655.8,20591.9,21553.4,22227.0,23891.1,26132.4
 "51000","Virginia",5,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",0.2,0.1,0.1,0.2,0.1,0.1,0.1,(L),11.4,13.6,16.9,17.6,21.0,28.9,26.0,33.6,80.6,201.3,114.6,52.9,54.9,42.3,50.3,50.7,54.5,62.7,70.5,74.8,85.7,93.8,125.6,139.8,149.9,170.9,196.5,198.1,203.9,267.5,306.1,341.9,399.4,439.2,512.7,602.8,756.0,866.9,939.4,1091.1,1215.0,1382.3,1593.4,1742.9,2047.1,2205.8,2524.0,2952.4,3242.5,3654.1,3978.0,4468.9,4786.8,5095.4,5318.6,5661.4,5922.5,6204.4,6410.4,6747.3,7216.6,7750.9,8306.1,8978.7,9463.0,9754.7,10334.1,11347.9,12098.7,12781.0,13211.3,13608.5,13686.3,14177.7,14781.7,15312.5,15580.3,15839.1,16549.5,16722.3,17393.0,17735.8,18418.2,18876.6,20147.8,21614.7
 "51000","Virginia",5,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),129.6,163.5,195.8,227.7,278.6,302.5,306.0,344.4,382.1,426.6,391.4,419.2,467.1,500.1,553.2,610.8,663.7,747.5,827.0,988.0,1064.3,990.6,909.0,947.0,1003.0,1080.9,1189.1,1456.9,1684.1,1907.3,2312.7,2734.4,3317.0,3413.2,3432.8,3378.3,3574.8,3697.8,3821.1,3934.7,4328.1,4561.8,5196.1,5628.8,6031.6,6343.8,6269.0,6375.5,5924.9,6482.2,6211.4,7921.7,6062.5,6574.7,8084.3,8783.6,9248.8,9517.6,10812.0,11420.0,13262.1,13089.8,14602.8,16878.6,16850.4,16606.9,18513.1,18959.7,19840.5,20354.7,20802.9,19349.9,19238.4,20980.0,20909.3
