GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,SAINC4,10,"...","Personal income (millions of dollars) ","Millions of dollars",149.9,131.6,109.3,86.4,85.5,96.4,118.1,132.5,147.2,137.8,145.4,150.5,197.4,242.6,288.1,298.3,305.8,345.3,386.9,439.8,471.3,519.6,588.6,582.0,581.5,567.1,615.9,660.0,701.4,711.1,752.5,788.5,829.3,859.0,878.9,906.3,935.6,958.3,1025.4,1093.6,1218.6,1347.9,1497.5,1684.5,1968.6,2302.7,2607.4,2890.4,3375.6,4033.7,4715.7,5507.3,6294.2,6611.5,6569.0,6848.3,7156.1,7125.3,6833.6,6993.9,7632.0,8231.0,8650.7,9122.2,9646.8,10085.7,10563.2,11043.4,11864.6,12615.1,13476.8,14545.3,15440.8,15905.3,16937.2,18287.4,20004.4,22895.5,24408.3,27002.5,24912.8,26185.4,28699.9,30844.4,30694.1,32679.6,32755.6,31090.1,32487.4,34025.2,35592.6,37866.4,40866.6,42584.7
 "56000","Wyoming",7,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",117.9,107.4,95.5,77.7,72.2,84.1,94.6,109.5,114.2,111.3,116.0,120.5,149.3,188.1,219.3,240.7,245.9,261.4,297.5,367.5,407.3,442.1,464.4,506.5,526.7,525.9,566.2,609.3,625.7,636.2,688.5,738.5,773.1,792.5,812.7,859.6,883.1,900.7,955.8,1032.5,1149.6,1270.2,1410.5,1559.5,1817.3,2193.9,2542.4,2844.9,3333.3,3971.4,4622.2,5424.1,6245.5,6584.4,6534.6,6836.4,7140.7,7087.8,6777.0,6937.1,7544.9,8081.5,8441.0,8904.5,9403.1,9968.9,10465.9,10964.4,11684.9,12520.4,13315.4,14426.0,15254.7,15809.0,16762.3,18113.5,19784.6,22804.7,24372.2,26910.3,24835.2,26075.6,28342.3,30720.9,30475.0,32336.3,32479.0,30940.6,32324.7,33825.4,35380.4,37613.4,40576.4,42212.5
 "56000","Wyoming",7,SAINC4,12,"..."," Farm income 2/","Millions of dollars",32.0,24.2,13.8,8.7,13.3,12.4,23.6,23.0,33.1,26.5,29.4,30.0,48.0,54.5,68.8,57.6,60.0,84.0,89.4,72.3,64.1,77.5,124.2,75.5,54.8,41.2,49.7,50.8,75.7,74.9,64.0,50.0,56.2,66.5,66.1,46.6,52.5,57.6,69.6,61.2,68.9,77.7,87.1,125.0,151.3,108.8,65.0,45.5,42.3,62.3,93.5,83.2,48.7,27.0,34.4,11.9,15.4,37.6,56.7,56.8,87.1,149.5,209.8,217.7,243.8,116.8,97.3,78.9,179.6,94.7,161.4,119.3,186.0,96.3,174.9,173.9,219.8,90.8,36.1,92.2,77.6,109.8,357.5,123.5,219.1,343.4,276.6,149.5,162.7,199.8,212.2,253.0,290.2,372.2
 "56000","Wyoming",7,SAINC4,20,"...","Population (persons) 3/","Number of persons",223000,226000,229000,230000,230000,233000,237000,240000,243000,246000,248000,250000,249000,249000,246000,240000,240000,253000,256000,269000,277000,290000,291000,293000,290000,293000,307000,312000,314000,315000,320000,331000,337000,333000,336000,339000,332000,323000,322000,324000,329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564405,566858,575497,580930,580949,583645,581983,576248,574801,575341,577605,579483,581381
 "56000","Wyoming",7,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",672,582,477,375,372,414,498,552,606,560,586,602,793,974,1171,1243,1274,1365,1511,1635,1702,1792,2023,1986,2005,1935,2006,2115,2234,2257,2352,2382,2461,2580,2616,2673,2818,2967,3184,3375,3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10436,11614,12801,13056,12872,13564,14321,14376,14327,15037,16650,18142,18836,19565,20392,21000,21773,22622,24241,25704,27404,29426,31215,31810,33642,35921,38907,43805,45634,49451,44499,46395,50630,53596,52836,56252,56122,53421,56377,59195,61863,65558,70522,73248
 "56000","Wyoming",7,SAINC4,35,"..."," Earnings by place of work ","Millions of dollars",130.5,115.5,90.7,70.2,70.3,81.2,101.1,110.2,129.4,121.2,125.9,129.4,174.6,219.4,263.0,272.1,277.3,308.5,345.9,385.1,400.2,423.8,505.5,497.8,493.9,476.6,509.2,551.3,580.5,580.5,616.2,653.6,675.1,693.7,713.1,737.5,750.9,772.1,826.6,892.5,980.7,1070.0,1181.2,1351.7,1595.6,1882.0,2125.0,2369.4,2804.0,3395.8,4013.5,4623.4,5197.4,5270.7,5012.0,5206.8,5431.7,5318.6,5010.4,5104.5,5499.9,5955.0,6209.1,6549.4,6959.1,7195.1,7365.4,7613.7,8174.5,8528.4,9141.5,9763.7,10525.8,10987.5,11541.1,12069.3,13013.4,15044.9,16324.7,18195.0,17454.9,18325.7,19473.7,20192.9,20821.6,21922.6,21804.1,20366.7,20949.9,22105.0,22626.7,22443.4,23741.3,24891.6
 "56000","Wyoming",7,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.9,3.2,3.1,3.0,3.6,4.8,6.0,7.2,8.1,10.0,10.4,10.4,10.9,10.8,12.7,14.7,15.2,15.8,16.6,17.4,19.6,22.8,27.5,34.1,33.9,34.9,40.4,42.7,40.7,47.9,53.3,59.1,65.7,71.3,80.6,95.0,127.2,158.4,181.4,212.6,249.1,308.5,380.4,440.5,541.4,565.0,522.3,560.2,599.0,580.9,549.9,602.2,627.6,698.7,744.7,777.0,817.3,866.4,891.0,912.6,957.0,1006.8,1055.0,1121.1,1202.0,1232.0,1309.5,1403.3,1514.5,1914.6,2115.3,2250.4,2182.1,2219.5,2104.3,2217.8,2496.3,2653.2,2608.1,2497.8,2557.2,2627.2,2748.3,2722.5,2814.9,2948.3
 "56000","Wyoming",7,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance ","Millions of dollars",0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.9,0.8,0.8,0.9,1.1,1.7,2.9,3.7,3.5,2.6,3.5,3.8,3.7,4.7,5.5,6.3,6.8,7.1,7.4,7.9,9.0,10.2,11.9,14.9,14.6,15.0,16.7,17.4,17.6,22.1,25.9,28.8,32.7,35.5,39.6,46.2,61.4,74.9,85.7,98.8,114.5,142.2,175.2,205.3,253.8,264.6,243.6,253.8,278.7,273.0,265.4,294.0,311.9,346.8,371.6,391.1,410.0,435.5,450.1,462.1,483.2,513.2,533.6,567.5,617.8,639.8,679.4,727.6,783.1,886.9,961.0,1025.8,1004.8,1024.9,845.7,876.6,1151.7,1224.9,1228.9,1183.8,1230.8,1292.8,1359.4,1369.3,1402.9,1523.9
 "56000","Wyoming",7,SAINC4,38,"...","  Employer contributions for government social insurance ","Millions of dollars",(L),(L),(L),(L),(L),(L),(L),(L),2.0,2.4,2.4,2.1,2.5,3.1,3.1,3.5,4.6,7.4,6.9,6.6,7.2,6.0,7.3,8.4,8.4,8.8,9.1,9.4,10.6,12.6,15.5,19.1,19.3,19.9,23.7,25.3,23.1,25.7,27.5,30.3,32.9,35.8,41.0,48.8,65.8,83.5,95.7,113.8,134.6,166.3,205.2,235.2,287.6,300.4,278.7,306.4,320.4,307.9,284.5,308.2,315.7,351.9,373.2,386.0,407.4,430.9,440.9,450.5,473.8,493.6,521.4,553.6,584.3,592.2,630.1,675.7,731.4,1027.6,1154.3,1224.6,1177.3,1194.5,1258.6,1341.2,1344.6,1428.3,1379.2,1313.9,1326.4,1334.3,1388.9,1353.2,1411.9,1424.3
 "56000","Wyoming",7,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.1,-0.3,-0.4,-0.9,-1.3,-1.7,-2.3,-2.7,-3.4,-3.6,-1.3,-1.4,-1.5,-1.2,-1.0,-1.0,-0.9,-0.6,-0.3,-0.2,0.1,(L),0.2,-0.8,-3.0,-7.0,-13.5,-16.0,-22.2,-28.8,-37.6,-53.8,-74.1,-83.1,-80.1,-58.5,-53.3,-52.2,-41.7,-26.5,-22.0,-14.6,-10.6,-1.0,-6.1,-7.9,-7.5,-5.0,0.4,5.3,7.8,6.9,13.8,-9.2,-29.4,-50.0,-62.6,-93.3,-140.7,-177.3,-216.3,-215.6,-237.6,-247.3,-245.7,-234.4,-221.7,-237.2,-274.6,-262.5,-246.5,-260.4,-284.3,-321.7,-316.2
