GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3508882,3417347,3867566,4444168,4860757,5269850,5373775,5787862,6323479,6744323,6537966,6986929,7276115,7701747,8227247,8691087,9334801,10038603,11023487,12086413,12828792,14692532,15673815,16514402,17804686,19393356,21157238,22725543,24536404,27032652,30080860,33816493,38512122,43179237,46620377,49957302,55764293,59933866,64498723,70109828,77602137,84161946,86883116,87907577,94201383,97257684,99992503,105483757,110516027,117285384,126666437,133690124,146216908,154585901,154452766,156438636,164657448,173328780,187213123,201450389,214658238,212233766,219801274,226305765,229133085,223834328,233084021,239184854,243698710,249451101,260582194,267552755,278373604,292370938,300750748
 "09000","Connecticut",1,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",377081,294099,381013,536961,657976,675822,630114,664907,758423,780508,764901,831122,918622,947077,1021728,1118514,1045557,1183324,1376494,1593481,1893284,2259604,2045410,1928873,2303013,2399969,2629426,2529161,3014360,3317560,3957163,4684445,5517592,6360663,6924827,6319696,6794444,7760548,8670901,10065671,10228067,11030202,11151287,11194544,12857915,13633486,14029302,15411521,17774818,20216706,22779604,24361248,27601833,28739265,23196759,22056040,23581504,27314647,30261182,34587075,34032380,25817318,27853056,31916095,32791066,36661831,38006345,39507427,38141167,39340734,39545739,40528995,41530284,49560218,56128641
 "09000","Connecticut",1,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",3131801,3123248,3486553,3907207,4202781,4594028,4743661,5122955,5565056,5963815,5773065,6155807,6357493,6754670,7205519,7572573,8289244,8855279,9646993,10492932,10935508,12432928,13628405,14585529,15501673,16993387,18527812,20196382,21522044,23715092,26123697,29132048,32994530,36818574,39695550,43637606,48969849,52173318,55827822,60044157,67374070,73131744,75731829,76713033,81343468,83624198,85963201,90072236,92741209,97068678,103886833,109328876,118615075,125846636,131256007,134382596,141075944,146014133,156951941,166863314,180625858,186416448,191948218,194389670,196342019,187172497,195077676,199677427,205557543,210110367,221036455,227023760,236843320,242810720,244622107
 "09000","Connecticut",1,SAINC50,20,"...","Population (persons) 1/","Number of persons",2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580279,3594193,3605259,3610314,3614695,3611995,3607688,3607615,3611318,3607159,3597362,3623355,3626205
 "09000","Connecticut",1,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1742,1682,1918,2191,2336,2431,2389,2516,2730,2859,2673,2769,2860,2978,3108,3187,3336,3514,3797,4118,4328,4898,5158,5394,5800,6319,6879,7367,7951,8752,9720,10909,12371,13800,14852,15797,17536,18723,20007,21590,23717,25633,26392,26615,28540,29390,30153,31733,33122,35017,37638,39479,42857,45032,44656,44898,47098,49424,53224,57112,60543,59586,61392,62964,63555,61999,64482,66220,67550,69146,72157,74173,77383,80691,82938
 "09000","Connecticut",1,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1555,1537,1729,1927,2020,2119,2109,2227,2403,2528,2360,2440,2499,2612,2722,2777,2963,3100,3323,3575,3689,4144,4485,4764,5050,5537,6024,6547,6974,7678,8441,9398,10598,11767,12646,13799,15399,16298,17318,18491,20591,22273,23005,23226,24644,25270,25923,27096,27794,28981,30870,32285,34766,36660,37949,38568,40352,41636,44621,47307,50944,52338,53613,54084,54460,51844,53968,55282,56978,58241,61207,62937,65838,67013,67460
 "09000","Connecticut",1,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",377081,294099,381013,536961,657976,675822,630114,664907,758423,780508,764901,831122,918622,947077,1021728,1118514,1045557,1183324,1376494,1593481,1893284,2259604,2045410,1928873,2303013,2399969,2629426,2529161,3014360,3317560,3957163,4684445,5517592,6360663,6924827,6319696,6794444,7760548,8670901,10065671,10228067,11030202,11151287,11194544,12857915,13633486,14029302,15411521,17774818,20216706,22779604,24361248,27601833,28739265,23196759,22056040,23581504,27314647,30261182,34587075,34032380,25817318,27853056,31916095,32791066,36661831,38006345,39507427,38141167,39340734,39545739,40528995,41530284,49560218,56128641
 "09000","Connecticut",1,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",363514,279414,365235,519770,639503,656073,608342,643577,737582,758197,741401,798501,882761,908024,981833,1074057,999590,1134761,1326826,1541580,1837538,2197325,1966439,1839989,2169131,2272510,2535354,2434958,2872079,3152275,3766081,4474783,5292331,6100381,6657373,5954295,6369418,7279319,8089983,9404164,9606374,10266083,10240775,9970668,10452065,11120526,11357541,12718509,14462319,16917760,18952118,20468863,23267888,24033557,19186593,17860614,18716961,21614759,24085497,28228071,26797059,19387551,21465297,24572773,24912718,28240601,29554328,30943327,29785017,29975627,30091330,31002641,32002562,39210608,45706713
 "09000","Connecticut",1,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",363514,279414,365235,519770,639503,656073,608342,643577,737582,758197,741401,798501,882761,908024,981833,1074057,999590,1134761,1326826,1541580,1837538,2197325,1966439,1839989,2169131,2272510,2535354,2434958,2872079,3152275,3766081,4474783,5292331,6100381,6657373,5954295,6369418,7279319,8089983,9404164,9606374,10266083,10240775,9970668,10452065,11120526,11357541,12718509,14462319,16917760,18952118,20468863,23267888,24033557,19186593,17860614,18716961,21614759,24085497,28228071,26797059,19387551,21465297,24572773,24912718,28240601,29554328,30943327,29785017,29975627,30091330,31002641,32002562,39210608,45706713
 "09000","Connecticut",1,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",398688,326465,396242,556290,682836,711048,668815,710084,805920,833863,823531,883915,970190,1005063,1084061,1183686,1117901,1230083,1442680,1697271,2027549,2401060,2232148,2108024,2423545,2660888,2944387,3002914,3270448,3589326,4174895,4893189,5816875,6694777,7344809,6849144,7292150,8278171,9184434,10529026,10763131,11455781,11487632,11314403,11758894,12394025,12612805,14085974,15795301,18290825,20382912,22248111,25143800,26070805,21789316,20380681,21417662,24051488,26728445,30969939,30618302,23173721,24772744,27507020,27897206,31206981,32900562,34273597,33336448,33670090,33437379,33940295,34787026,42495834,48805634
 "09000","Connecticut",1,SAINC50,82,"...","   Less: Refunds ","Thousands of dollars",35174,47051,31007,36520,43333,54975,60473,66507,68338,75666,82130,85414,87429,97039,102228,109629,118311,95322,115854,155691,190011,203735,265709,268035,254414,388378,409033,567956,398369,437051,408814,418406,524544,594396,687436,894849,922732,998852,1094451,1124862,1156757,1189698,1246857,1343735,1306829,1273499,1255264,1367465,1332982,1373065,1430794,1779248,1875912,2037248,2602723,2520067,2700701,2436729,2642948,2741868,3821243,3786170,3307447,2934247,2984488,2966380,3346234,3330270,3551431,3694463,3346049,2937654,2784464,3285226,3098921
 "09000","Connecticut",1,SAINC50,120,"..."," State governments ","Thousands of dollars",6387,6674,7164,7923,8435,8931,10245,9339,9343,11536,11819,12834,13452,14179,14537,17656,18640,19961,20861,21668,23525,26701,39371,49514,95007,90749,57532,55457,100630,122981,138932,151525,161035,199649,202654,292250,348630,415074,485445,573371,510727,632777,759874,1073371,2247312,2410383,2539843,2555075,3148915,3137757,3678977,3712877,4136944,4455899,3749225,3912505,4577803,5385410,5821880,6010273,6899356,6157642,6113785,7016413,7513158,8044811,8057497,8134275,7909801,8900611,8967281,9015707,8999365,9800345,9840601
 "09000","Connecticut",1,SAINC50,130,"...","  Income taxes ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,5797,15302,58770,49927,18087,12477,49144,65485,75288,90668,100898,132779,133314,219973,264973,309127,355698,426024,361642,480553,605147,922285,2081204,2250734,2378555,2382433,2984642,2962446,3497350,3530169,3954000,4272528,3557633,3731910,4393979,5192936,5632623,5827684,6721241,5978842,5934099,6840073,7317511,7854269,7861406,7930482,7702379,8694468,8757152,8809705,8801686,9578617,9603402
 "09000","Connecticut",1,SAINC50,150,"...","  Motor vehicle licenses ","Thousands of dollars",5895,6188,6621,7334,7790,8270,9601,8687,8689,10836,11155,12275,12933,13649,14009,17067,17967,19266,20139,21039,22795,25883,32943,33479,35204,39595,38637,42073,50677,56161,62297,59374,58246,63946,65165,66714,77936,100874,123975,140731,144488,146419,147573,144789,160842,154010,154956,167483,160305,170056,176113,178200,178915,179478,187277,176108,178924,187613,184690,176181,171120,169785,170279,168057,187292,183653,189519,196361,200695,199898,202998,199470,190390,211868,228135
 "09000","Connecticut",1,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",492,486,543,589,645,661,644,652,654,700,664,559,519,530,528,589,673,695,722,629,730,618,631,733,1033,1227,808,907,809,1335,1347,1483,1891,2924,4175,5563,5721,5073,5772,6616,4597,5805,7154,6297,5266,5639,6332,5159,3968,5255,5514,4508,4029,3893,4315,4487,4900,4861,4567,6408,6995,9015,9407,8283,8355,6889,6572,7432,6727,6245,7131,6532,7289,9860,9064
 "09000","Connecticut",1,SAINC50,180,"..."," Local governments ","Thousands of dollars",129,139,145,128,115,111,112,203,232,292,172,338,354,309,355,574,685,678,674,562,693,925,990,1029,1219,1331,2060,2001,2384,2188,2852,2914,3299,4211,4403,5134,5618,6200,5318,6266,6873,7020,6561,6035,6119,6380,6901,6555,7157,7730,9939,11174,8845,10533,12097,13876,20199,25518,23727,23943,23201,12546,15576,14669,16972,19467,21739,27672,27147,27247,28176,29421,28610,29809,30717
 "09000","Connecticut",1,SAINC50,190,"...","  Income taxes ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAINC50,200,"...","  Motor vehicle licenses ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAINC50,210,"...","  Other taxes ","Thousands of dollars",129,139,145,128,115,111,112,203,232,292,172,338,354,309,355,574,685,678,674,562,693,925,990,1029,1219,1331,2060,2001,2384,2188,2852,2914,3299,4211,4403,5134,5618,6200,5318,6266,6873,7020,6561,6035,6119,6380,6901,6555,7157,7730,9939,11174,8845,10533,12097,13876,20199,25518,23727,23943,23201,12546,15576,14669,16972,19467,21739,27672,27147,27247,28176,29421,28610,29809,30717
 "09000","Connecticut",1,SAINC50,230,"..."," State and local personal property taxes ","Thousands of dollars",7051,7872,8469,9140,9923,10707,11415,11788,11266,10483,11509,19449,22055,24565,25003,26227,26642,27924,28133,29671,31528,34653,38610,38341,37656,35379,34480,36745,39267,40116,49298,55223,60927,56422,60397,68017,70778,59955,90155,81870,104093,124322,144077,144470,152419,96197,125017,131382,156427,153459,138570,168334,188156,239276,248844,269045,266541,288960,330078,324788,312764,259579,258398,312240,348218,356952,372781,402153,419202,437249,458952,481226,499747,519456,550610
"Note: See the included footnote file."
"SAINC50: Personal current taxes "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
