GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1780641,1844768,1956498,2058167,2167728,2105091,2073499,2058849,2155772,2242349,2291789,2363383,2390438,2517442,2709183,2876743,3054211,3290758,3436363,3682043,3865332,3763509,4174412,4647010,5043485,5316110,5768726,6274684,6648081,7137541,7604426,8001440,8446926,9074177,9672774,10187182,11098901,11763981,12380775,13015287,14289314,15131478,15808931,16540281,17350697,18044197,18457668,18588945,19345870,20243500,21514741,22625232,24827602,25742853,25863394,26138554,28379651,29880407,31606539,34095651,35167511,35540049,38212411,41361087,42582290,43213780,46123985,49741739,52190604,54158673,56395716,57492301,60178636,65205559,64472803
 "11000","District of Columbia",2,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",153394,161910,169100,219843,277316,236101,218264,226945,229257,247466,269979,309275,323386,309322,343195,343893,327187,337001,383010,392006,419622,495467,526131,532196,601039,648570,694675,732054,863832,871591,984551,1131394,1178308,1385489,1458160,1446807,1585700,1697709,1767782,1958560,2026817,2166970,2193203,2132704,2158197,2172879,2340759,2347303,2595113,2913506,3275337,3584639,4025052,4113047,3506685,3492015,3815717,4364239,4698577,5426275,5357447,4562172,4684228,5580571,6077687,6577153,7043606,7877605,7967058,8239615,8742871,9314115,9658062,11518340,13010868
 "11000","District of Columbia",2,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",1627247,1682858,1787398,1838324,1890412,1868990,1855235,1831904,1926515,1994883,2021810,2054108,2067052,2208120,2365988,2532850,2727024,2953757,3053353,3290037,3445710,3268042,3648281,4114814,4442446,4667540,5074051,5542630,5784249,6265950,6619875,6870046,7268618,7688688,8214614,8740375,9513201,10066272,10612993,11056727,12262497,12964508,13615728,14407577,15192500,15871318,16116909,16241642,16750757,17329994,18239404,19040593,20802550,21629806,22356709,22646539,24563934,25516168,26907962,28669376,29810064,30977877,33528183,35780516,36504603,36636627,39080379,41864134,44223546,45919058,47652845,48178186,50520574,53687219,51461935
 "11000","District of Columbia",2,SAINC50,20,"...","Population (persons) 1/","Number of persons",840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604795,617794,631132,644755,654557,665633,673833,680945,685632,687408,670868,668791,671803
 "11000","District of Columbia",2,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",2120,2286,2427,2547,2693,2599,2621,2623,2840,2939,3027,3106,3125,3236,3438,3605,3827,4129,4344,4655,4968,4939,5528,6191,6781,7246,8004,8834,9548,10469,11349,12204,13234,14248,15253,16108,17523,18539,19397,20434,22666,24243,26117,27527,29036,30311,31325,32021,33799,35657,38064,39679,43401,44809,45124,45978,49986,52686,55384,59358,60609,60011,63182,66950,67470,67024,70466,74728,77453,79535,82254,83636,89703,97498,95970
 "11000","District of Columbia",2,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1937,2085,2218,2275,2348,2307,2345,2334,2538,2615,2671,2699,2702,2838,3003,3174,3417,3706,3860,4159,4429,4289,4832,5482,5973,6362,7040,7803,8307,9191,9880,10479,11388,12072,12953,13820,15020,15864,16628,17359,19451,20771,22493,23978,25424,26661,27352,27978,29265,30525,32269,33392,36365,37650,39006,39835,43265,44991,47151,49912,51376,52307,55437,57917,57840,56823,59705,62894,65630,67434,69502,70087,75306,80275,76603
 "11000","District of Columbia",2,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",153394,161910,169100,219843,277316,236101,218264,226945,229257,247466,269979,309275,323386,309322,343195,343893,327187,337001,383010,392006,419622,495467,526131,532196,601039,648570,694675,732054,863832,871591,984551,1131394,1178308,1385489,1458160,1446807,1585700,1697709,1767782,1958560,2026817,2166970,2193203,2132704,2158197,2172879,2340759,2347303,2595113,2913506,3275337,3584639,4025052,4113047,3506685,3492015,3815717,4364239,4698577,5426275,5357447,4562172,4684228,5580571,6077687,6577153,7043606,7877605,7967058,8239615,8742871,9314115,9658062,11518340,13010868
 "11000","District of Columbia",2,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",148261,156297,163986,215467,272816,231537,212882,219683,216246,226999,245019,280033,291599,274275,302916,307763,287816,294035,319699,329805,351452,411074,423561,416874,463338,508306,528360,554088,650196,654921,765099,896993,942892,1057427,1119351,1080239,1180579,1255326,1305977,1426666,1386637,1532209,1533509,1485306,1495519,1559659,1678742,1653451,1875395,2110556,2364102,2577072,2919924,3012945,2540562,2471629,2589285,3007291,3443318,3964590,4000688,3416553,3500361,4199594,4451586,4821788,5231772,5946563,6038993,6148562,6597305,6953434,7202206,8817078,10088581
 "11000","District of Columbia",2,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",148261,156297,163986,215467,272816,231537,212882,219683,216246,226999,245019,280033,291599,274275,302916,307763,287816,294035,319699,329805,351452,411074,423561,416874,463338,508306,528360,554088,650196,654921,765099,896993,942892,1057427,1119351,1080239,1180579,1255326,1305977,1426666,1386637,1532209,1533509,1485306,1495519,1559659,1678742,1653451,1875395,2110556,2364102,2577072,2919924,3012945,2540562,2471629,2589285,3007291,3443318,3964590,4000688,3416553,3500361,4199594,4451586,4821788,5231772,5946563,6038993,6148562,6597305,6953434,7202206,8817078,10088581
 "11000","District of Columbia",2,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",164703,175698,180695,232179,290911,254950,234552,242962,239576,249392,269494,307947,322194,306903,334680,342457,323196,322747,351597,370005,395733,453822,477842,478864,525804,599354,627868,684854,765652,779068,889983,1025701,1144300,1244512,1322980,1310776,1441291,1495931,1554568,1667266,1642277,1759796,1768850,1740769,1735282,1789289,1903094,1884778,2101592,2343354,2606385,2876097,3240221,3374021,2991244,2895044,3028157,3418844,3921103,4428709,4647878,4035279,4078068,4770272,5031422,5372928,5798867,6495304,6649952,6777239,7224725,7491862,7727807,9400993,10639383
 "11000","District of Columbia",2,SAINC50,82,"...","   Less: Refunds ","Thousands of dollars",16442,19401,16709,16712,18095,23413,21670,23279,23330,22393,24475,27914,30595,32628,31764,34694,35380,28712,31898,40200,44281,42748,54281,61990,62466,91048,99508,130766,115456,124147,124884,128708,201408,187085,203629,230537,260712,240605,248591,240600,255640,227587,235341,255463,239763,229630,224352,231327,226197,232798,242283,299025,320297,361076,450682,423415,438872,411553,477785,464119,647190,618726,577707,570678,579836,551140,567095,548741,610959,628677,627420,538428,525601,583915,550802
