GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "98000","Far West *",8,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",24696383,25043310,29193162,33625673,37035175,39440408,40467194,44116458,47838433,50995232,53292341,58022680,61278658,64770030,69807999,74242397,80067691,85799293,93565050,100755268,110715593,121725092,131575529,140637143,154352867,170589067,191194445,212898961,236674946,262401174,298985644,339286502,385164035,430452735,460351467,496621926,546427148,588723531,630005827,672948217,734350756,795727590,857540537,895025255,948259780,979463110,1017352202,1072422378,1141298788,1210811358,1314332625,1403240278,1536589462,1592908396,1620545990,1693126430,1800778881,1901852774,2050380972,2155172916,2207774720,2137487407,2226134647,2362927306,2501102067,2536151947,2697504923,2886096453,3016423051,3169740963,3339906496,3524619652,3828494482,4179488126,4193955215
 "98000","Far West *",8,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",2457925,2084570,2370859,3453012,4180564,4180231,3992861,4508513,4845876,5214736,5467379,6065742,6839623,7163617,7795773,8342687,7821354,8365121,9655631,10719626,12817986,15032894,14317346,13921776,17426017,18268371,21090521,21301802,25665128,29971932,35888702,42808042,48525957,53883896,53948396,56227932,61754922,69144706,73576862,84816087,87120898,101444765,107907060,105257226,106028739,109265017,114899497,125153399,143460022,162180929,183112652,211753809,251050823,233493715,192511346,186775281,197189351,232588220,258964957,281550578,277607299,211722486,231332337,271397973,289698437,327920663,356201340,400096844,416168118,433132623,455391936,478626490,513476868,633472928,704772720
 "98000","Far West *",8,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",22238458,22958740,26822303,30172661,32854611,35260177,36474333,39607945,42992557,45780496,47824962,51956938,54439035,57606413,62012226,65899710,72246337,77434172,83909419,90035642,97897607,106692198,117258183,126715367,136926850,152320696,170103924,191597159,211009818,232429242,263096942,296478460,336638078,376568839,406403071,440393994,484672226,519578825,556428965,588132130,647229858,694282825,749633477,789768029,842231041,870198093,902452705,947268979,997838766,1048630429,1131219973,1191486469,1285538639,1359414681,1428034644,1506351149,1603589530,1669264554,1791416015,1873622338,1930167421,1925764921,1994802310,2091529333,2211403630,2208231284,2341303583,2485999609,2600254933,2736608340,2884514560,3045993162,3315017614,3546015198,3489182495
 "98000","Far West *",8,SAINC50,20,"...","Population (persons) 1/","Number of persons",13880000,14219000,15392000,15942000,16530000,17217000,17820000,18384000,19101000,19764000,20469000,21159000,21659000,22378000,23114000,23811000,24389000,24908000,25311000,25779000,26151000,26635000,27101402,27570486,27918162,28327835,28800911,29346033,29929494,30553208,31285112,31964927,32779936,33433990,34086401,34716476,35321190,36037077,36815133,37640660,38542275,39534189,40610409,41427985,42225887,42797622,43271002,43744822,44314342,45053779,45798042,46505506,47188420,47891178,48493357,49053068,49601761,50090268,50570529,51031362,51608614,52167532,52684613,53171603,53650540,54120872,54651324,55207598,55738346,56174005,56477384,56663461,56770093,56467775,56406816
 "98000","Far West *",8,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1779,1761,1897,2109,2240,2291,2271,2400,2504,2580,2604,2742,2829,2894,3020,3118,3283,3445,3697,3908,4234,4570,4855,5101,5529,6022,6638,7255,7908,8588,9557,10614,11750,12875,13505,14305,15470,16337,17113,17878,19053,20128,21116,21604,22457,22886,23511,24515,25755,26875,28698,30174,32563,33261,33418,34516,36305,37969,40545,42232,42779,40974,42254,44440,46618,46861,49358,52277,54118,56427,59137,62203,67439,74015,74352
 "98000","Far West *",8,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1602,1615,1743,1893,1988,2048,2047,2154,2251,2316,2336,2456,2513,2574,2683,2768,2962,3109,3315,3493,3744,4006,4327,4596,4905,5377,5906,6529,7050,7607,8410,9275,10270,11263,11923,12685,13722,14418,15114,15625,16793,17562,18459,19064,19946,20333,20856,21654,22517,23275,24700,25620,27243,28385,29448,30709,32329,33325,35424,36715,37400,36915,37863,39335,41219,40802,42841,45030,46651,48717,51074,53756,58394,62797,61857
 "98000","Far West *",8,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",2457925,2084570,2370859,3453012,4180564,4180231,3992861,4508513,4845876,5214736,5467379,6065742,6839623,7163617,7795773,8342687,7821354,8365121,9655631,10719626,12817986,15032894,14317346,13921776,17426017,18268371,21090521,21301802,25665128,29971932,35888702,42808042,48525957,53883896,53948396,56227932,61754922,69144706,73576862,84816087,87120898,101444765,107907060,105257226,106028739,109265017,114899497,125153399,143460022,162180929,183112652,211753809,251050823,233493715,192511346,186775281,197189351,232588220,258964957,281550578,277607299,211722486,231332337,271397973,289698437,327920663,356201340,400096844,416168118,433132623,455391936,478626490,513476868,633472928,704772720
 "98000","Far West *",8,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",2316873,1927518,2192529,3243597,3951271,3942152,3734224,4211673,4502065,4846932,5096386,5588513,6248311,6543224,7108691,7573906,6973659,7432190,8507671,9347253,10883067,12992301,12186529,11590747,14079805,15018196,17801826,17059926,20762192,24156160,28736958,35364305,39236438,44505331,43581461,45309464,48342269,54327231,57719406,66186779,69615273,79935752,84853738,82070047,82083882,85098119,90193693,98333460,113665019,129561351,145540227,169758788,199909030,181203160,150645859,143365443,150082065,176420089,195653012,216125260,209936008,157013943,171644254,205716944,216794602,244724854,268372241,302992333,316446601,326120624,341212245,359646430,381990875,469108534,535487356
 "98000","Far West *",8,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",2316873,1927518,2192529,3243597,3951271,3942152,3734224,4211673,4502065,4846932,5096386,5588513,6248311,6543224,7108691,7573906,6973659,7432190,8507671,9347253,10883067,12992301,12186529,11590747,14079805,15018196,17801826,17059926,20762192,24156160,28736958,35364305,39236438,44505331,43581461,45309464,48342269,54327231,57719406,66186779,69615273,79935752,84853738,82070047,82083882,85098119,90193693,98333460,113665019,129561351,145540227,169758788,199909030,181203160,150645859,143365443,150082065,176420089,195653012,216125260,209936008,157013943,171644254,205716944,216794602,244724854,268372241,302992333,316446601,326120624,341212245,359646430,381990875,469108534,535487356
 "98000","Far West *",8,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",2541836,2228778,2405142,3466598,4221768,4282222,4098303,4619485,4947262,5312291,5619252,6169849,6898427,7279579,7922558,8482803,7966926,8254144,9483653,10672776,12481311,14722511,14439673,13985816,16412648,18649777,21753765,22846842,25455455,29337887,34506274,41369869,46621291,52966206,53549846,55920037,59668326,65716807,70113019,78798504,80970794,91204038,97171699,96085662,95969296,98123536,103295834,112496557,128400305,144771925,161803220,190111433,221557007,205916159,181229079,172898244,180803033,205965234,228253165,251059476,258693955,203270076,213935578,243961469,255519799,281636056,306497815,341448835,358983913,370861040,385507797,398656776,421092031,514605489,578404179
 "98000","Far West *",8,SAINC50,82,"...","   Less: Refunds ","Thousands of dollars",224963,301260,212613,223001,270497,340070,364079,407812,445197,465359,522866,581336,650116,736355,813867,908897,993267,821954,975982,1325523,1598244,1730210,2253144,2395069,2332843,3631581,3951939,5786916,4693263,5181727,5769316,6005564,7384853,8460875,9968385,10610573,11326057,11389576,12393613,12611725,11355521,11268286,12317961,14015615,13885414,13025417,13102141,14163097,14735286,15210574,16262993,20352645,21647977,24712999,30583220,29532801,30720968,29545145,32600153,34934216,48757947,46256133,42291324,38244525,38725197,36911202,38125574,38456502,42537312,44740416,44295552,39010346,39101156,45496955,42916823
 "98000","Far West *",8,SAINC50,120,"..."," State governments ","Thousands of dollars",111206,124000,142891,171486,188484,193929,211206,244850,294116,319858,321406,391188,493673,515766,547452,595893,658808,718504,906101,1100138,1627338,1729431,1808566,1990559,2991681,2903368,2928606,3855612,4494413,5408427,6664806,6921467,8713825,8762706,9609385,10122303,12446039,13809320,14800534,17480649,16283538,20155941,21585771,21553828,22065001,22319094,22719643,24874820,27673141,30430837,35194651,39612483,48934384,50070519,40020657,41100496,44442079,53211830,60486230,62543043,64789591,51402665,56082115,62370781,69683430,79851971,84392151,93483673,95913039,103088955,110109745,114777796,127088592,159795072,164494940
