GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "13000","Georgia",5,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3250194,3269292,3760184,4380038,4738061,4869653,4866176,5362779,5743241,5951099,6203862,6610930,6917526,7221349,7768245,8445324,9145250,10099354,11143592,12120397,13381445,14980053,16310397,18009654,20206129,22848185,25067819,27084317,30146592,33332134,37818959,42320346,47202071,53425141,57837878,63391355,71797631,78653685,85815039,92176403,100730745,108528867,116127930,121970784,131894417,140056533,150802631,162763562,175804576,187175782,205294013,218718588,236616760,248742489,255977173,265622803,280462397,297084940,316548828,331363663,335257508,329158884,337420548,360456247,369040241,374124564,398585712,423242013,441039056,467592473,491087953,516552121,552248854,606113593,617552988
 "13000","Georgia",5,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",210946,198732,209705,317251,404101,373359,364670,407581,449826,496259,511620,563426,639003,653485,745355,814288,825000,933340,1090126,1143257,1407924,1833063,1791191,1812178,2277522,2439810,2698214,2451906,2990839,3487279,4173989,5122658,5571619,6504089,6731446,7465916,8157294,9417221,10152245,11357546,11892639,13213810,13995400,13952632,14842524,16249322,17689102,19454622,22053721,24523192,27598005,29629306,32453392,33073787,28420745,27026134,27803891,32025037,36002581,38713741,37482910,29369724,31122529,35964013,36577803,40634146,43511027,47788724,48906297,52716843,52225931,56217510,57859896,71052698,83695306
 "13000","Georgia",5,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",3039248,3070560,3550479,4062787,4333960,4496294,4501506,4955198,5293415,5454840,5692242,6047504,6278523,6567864,7022890,7631036,8320250,9166014,10053466,10977140,11973521,13146990,14519206,16197476,17928607,20408375,22369605,24632411,27155753,29844855,33644970,37197688,41630452,46921052,51106432,55925439,63640337,69236464,75662794,80818857,88838106,95315057,102132530,108018152,117051893,123807211,133113529,143308940,153750855,162652590,177696008,189089282,204163368,215668702,227556428,238596669,252658506,265059903,280546247,292649922,297774598,299789160,306298019,324492234,332462438,333490418,355074685,375453289,392132759,414875630,438862022,460334611,494388958,535060895,533857682
 "13000","Georgia",5,SAINC50,20,"...","Population (persons) 1/","Number of persons",3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712576,9805488,9906963,9980513,10077700,10191467,10318225,10428498,10532566,10642947,10729828,10788029,10912876
 "13000","Georgia",5,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",997,983,1087,1240,1322,1369,1351,1475,1552,1580,1631,1709,1749,1799,1901,2024,2148,2331,2545,2750,2986,3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8604,9594,10237,11066,12305,13191,14104,14847,15948,16928,17831,18333,19347,20070,21070,22210,23437,24356,26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34741,36761,37251,37486,39551,41529,42744,44838,46626,48535,51469,56184,56589
 "13000","Georgia",5,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",933,923,1027,1151,1209,1264,1250,1363,1430,1448,1496,1563,1587,1636,1719,1829,1954,2116,2296,2490,2671,2889,3153,3439,3730,4159,4479,4869,5297,5726,6365,6900,7588,8426,9046,9763,10907,11612,12435,13017,14065,14867,15682,16236,17170,17742,18599,19555,20497,21165,22597,23501,24815,25745,26745,27670,28812,29696,30641,31299,31329,31160,31536,33093,33558,33414,35234,36840,38004,39783,41667,43253,46076,49598,48920
 "13000","Georgia",5,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",210946,198732,209705,317251,404101,373359,364670,407581,449826,496259,511620,563426,639003,653485,745355,814288,825000,933340,1090126,1143257,1407924,1833063,1791191,1812178,2277522,2439810,2698214,2451906,2990839,3487279,4173989,5122658,5571619,6504089,6731446,7465916,8157294,9417221,10152245,11357546,11892639,13213810,13995400,13952632,14842524,16249322,17689102,19454622,22053721,24523192,27598005,29629306,32453392,33073787,28420745,27026134,27803891,32025037,36002581,38713741,37482910,29369724,31122529,35964013,36577803,40634146,43511027,47788724,48906297,52716843,52225931,56217510,57859896,71052698,83695306
 "13000","Georgia",5,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",187756,174123,183400,287910,374433,344237,333911,370043,402269,445788,459092,494618,554559,563058,648457,719712,717605,809699,948448,991670,1231121,1623354,1534047,1544253,1937900,2047676,2246264,1982296,2415868,2856158,3415592,4223778,4525678,5277945,5376893,5942672,6383996,7440303,7911512,8894521,9154356,10156704,10740777,10727774,11277559,12375010,13499882,14980703,17088857,19160347,21495024,23119656,25276232,25604796,21440105,19911624,20168541,23744225,26899337,28980066,28120164,21319264,23308841,27462002,27624356,30785585,33420756,36748315,37333341,40586120,39645437,42424071,44316136,54287063,64554445
 "13000","Georgia",5,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",187756,174123,183400,287910,374433,344237,333911,370043,402269,445788,459092,494618,554559,563058,648457,719712,717605,809699,948448,991670,1231121,1623354,1534047,1544253,1937900,2047676,2246264,1982296,2415868,2856158,3415592,4223778,4525678,5277945,5376893,5942672,6383996,7440303,7911512,8894521,9154356,10156704,10740777,10727774,11277559,12375010,13499882,14980703,17088857,19160347,21495024,23119656,25276232,25604796,21440105,19911624,20168541,23744225,26899337,28980066,28120164,21319264,23308841,27462002,27624356,30785585,33420756,36748315,37333341,40586120,39645437,42424071,44316136,54287063,64554445
 "13000","Georgia",5,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",207739,198756,202339,306608,398430,376521,366032,406476,441431,487241,507057,547147,610340,628062,718390,801621,810945,892891,1053650,1138653,1401391,1817282,1811499,1843952,2244674,2543168,2784507,2721165,3026697,3493288,4128771,4941963,5557544,6440464,6644204,7309737,7896818,9106642,9846018,10972471,11344775,12210326,12830782,12978472,13499475,14455854,15646588,17371194,19649246,21951985,24499112,26819042,29297783,30128951,26869510,25337082,25850271,29317793,33065776,35518730,37299087,30013842,31555713,35327674,35856512,38375861,40658845,43918416,45060974,48447255,48039497,50070688,51903409,63395625,73146461
