GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "21000","Kentucky",5,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2819336,2679482,2931480,3445459,3666250,3852643,3803429,3980952,4206877,4416067,4623198,4862602,5022016,5346005,5677786,5967887,6225454,6749598,7379420,7987572,8731440,9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454302,29879523,33220541,35387079,36765030,41024190,42799341,44002089,46347070,50536886,54313733,57664576,60894857,65508425,68068630,71532496,74960257,79482505,84466334,89403051,93174966,100475073,103997797,106551862,109765865,116214070,121734486,128584095,134209937,140837674,138999735,144335559,151379896,156564902,157905375,164862106,172269382,175275581,180836063,186931085,195419696,211966801,232362631,234281888
 "21000","Kentucky",5,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",188107,159237,194994,274427,345979,363375,339000,359276,394794,459237,432154,455555,479014,481202,549289,566753,557412,618254,747519,774996,923050,1177403,1179720,1189701,1466134,1508397,1969360,1809762,2109422,2539688,2913062,3293293,3457655,4017006,4185515,4143506,4276888,4633683,4765545,5235477,5506308,6248306,6740201,6791144,7281136,7635522,8182395,8831298,9531150,10511483,11341428,11837768,12455141,12956837,11567079,11209294,11237292,12522961,13332193,14550211,15106300,12249976,12958174,14717191,14829057,16065461,16947734,18498395,19015450,19072734,18960370,20042821,19932868,23678951,27247148
 "21000","Kentucky",5,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",2631229,2520245,2736486,3171032,3320271,3489268,3464429,3621676,3812083,3956830,4191044,4407047,4543002,4864803,5128497,5401134,5668042,6131344,6631901,7212576,7808390,8534303,9355129,10276350,11213637,12744143,14082827,15669429,17434937,19394237,21530943,24161009,26421868,29203535,31201564,32621524,36747302,38165658,39236544,41111593,45030578,48065427,50924375,54103713,58227289,60433108,63350101,66128959,69951355,73954851,78061623,81337198,88019932,91040960,94984783,98556571,104976778,109211525,115251902,119659726,125731374,126749759,131377385,136662705,141735845,141839914,147914372,153770987,156260131,161763329,167970715,175376875,192033933,208683680,207034740
 "21000","Kentucky",5,SAINC50,20,"...","Population (persons) 1/","Number of persons",2817000,2849000,2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000,2961000,2999000,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349138,4374212,4394010,4415821,4428679,4443606,4457599,4475723,4487233,4498141,4507445,4506589,4512310
 "21000","Kentucky",5,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1001,940,998,1172,1256,1327,1311,1368,1452,1508,1561,1621,1651,1750,1844,1928,1990,2150,2345,2518,2733,3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8154,9051,9607,9951,11101,11584,11932,12583,13733,14770,15610,16359,17397,17855,18584,19283,20279,21369,22433,23189,24815,25564,26053,26661,28030,29104,30476,31529,32830,32198,33187,34607,35631,35759,37226,38768,39321,40404,41658,43445,47026,51561,51921
 "21000","Kentucky",5,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",934,885,932,1078,1137,1202,1194,1245,1315,1351,1415,1470,1494,1593,1666,1745,1811,1953,2107,2274,2444,2669,2896,3116,3361,3780,4121,4517,4938,5425,5962,6631,7211,7957,8471,8830,9944,10330,10640,11162,12237,13071,13786,14535,15463,15853,16458,17011,17847,18710,19587,20243,21739,22379,23224,23938,25319,26110,27316,28111,29309,29360,30208,31243,32257,32121,33399,34605,35055,36142,37433,38989,42604,46306,45882
 "21000","Kentucky",5,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",188107,159237,194994,274427,345979,363375,339000,359276,394794,459237,432154,455555,479014,481202,549289,566753,557412,618254,747519,774996,923050,1177403,1179720,1189701,1466134,1508397,1969360,1809762,2109422,2539688,2913062,3293293,3457655,4017006,4185515,4143506,4276888,4633683,4765545,5235477,5506308,6248306,6740201,6791144,7281136,7635522,8182395,8831298,9531150,10511483,11341428,11837768,12455141,12956837,11567079,11209294,11237292,12522961,13332193,14550211,15106300,12249976,12958174,14717191,14829057,16065461,16947734,18498395,19015450,19072734,18960370,20042821,19932868,23678951,27247148
 "21000","Kentucky",5,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",170870,138604,170288,244710,310800,326348,293901,307098,336138,389583,360814,375487,395421,404648,467160,476449,452896,500557,608982,624562,751203,973057,956317,943783,1192754,1178051,1589422,1389971,1615826,1987773,2277340,2576121,2712115,3172630,3270236,3183018,3249046,3520315,3589302,3950357,4010129,4616962,4799585,4779759,4975353,5308717,5688395,6110933,6697805,7418162,8033343,8304079,8822982,9229703,7784328,7268970,7263741,8241175,9104412,10058729,10181877,7752317,8398202,9848323,9822732,10766741,11460198,12662155,13050238,12862912,12693564,13118167,13153099,16084363,18840877
 "21000","Kentucky",5,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",170870,138604,170288,244710,310800,326348,293901,307098,336138,389583,360814,375487,395421,404648,467160,476449,452896,500557,608982,624562,751203,973057,956317,943783,1192754,1178051,1589422,1389971,1615826,1987773,2277340,2576121,2712115,3172630,3270236,3183018,3249046,3520315,3589302,3950357,4010129,4616962,4799585,4779759,4975353,5308717,5688395,6110933,6697805,7418162,8033343,8304079,8822982,9229703,7784328,7268970,7263741,8241175,9104412,10058729,10181877,7752317,8398202,9848323,9822732,10766741,11460198,12662155,13050238,12862912,12693564,13118167,13153099,16084363,18840877
 "21000","Kentucky",5,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",188346,160892,185611,261887,331240,353077,323937,339341,368841,424261,402612,417246,438004,451286,517399,535424,515177,553324,674038,718254,858157,1091246,1121702,1127967,1379034,1480204,1900380,1890356,2018094,2396401,2729983,3034674,3384701,3845411,4020441,3970569,4071290,4327662,4448931,4801306,4928018,5517970,5754672,5806159,6004259,6262965,6661671,7230045,7885797,8668701,9376381,9965939,10627229,11178901,10092228,9530566,9607674,10543792,11596320,12648898,13743727,11075054,11548069,12802728,12844806,13731814,14331903,15555090,16126298,16069308,16055826,16217984,16241121,19720690,22270988
