GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "29000","Missouri",4,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",5295887,5171674,5699830,6319793,6680411,7086996,7139915,7645626,8065012,8296046,8828756,9350234,9629682,9955280,10488742,11002316,11619622,12634817,13535764,14407447,15949874,16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42514262,46138539,51479765,55043829,58776893,65104981,69704040,73379132,77025452,82057137,87941735,91896544,96075025,102078066,106723405,113256616,119399811,126394157,134117797,140839690,146172453,156202129,161531191,165389801,171593178,180453767,186770922,197834125,207411340,219921999,216424450,221760207,230858278,240967754,242493009,250783748,259349984,267048570,273774195,286084305,297349071,320592856,345961209,357194742
 "29000","Missouri",4,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",431030,409205,451609,645056,772216,821455,713859,783463,835212,864442,887586,957863,1047986,1081928,1173910,1256396,1164223,1342990,1475288,1586075,1852397,2237304,2220666,2227544,2653641,2735002,3104639,3048568,3576321,3970615,4667751,5393048,5829874,6719372,7407217,6794986,7250812,7999072,8338384,8977292,9304807,10292771,10762528,10599480,11049081,11689155,12734955,13782444,15154757,16636411,17994316,18730818,20012197,20618660,17799619,16720256,16845324,19109654,21240217,23405882,24651522,18947017,19572579,22621106,23393768,25592856,26862902,29230249,29950689,29706253,29847659,31304847,31667802,38511423,44044129
 "29000","Missouri",4,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",4864857,4762469,5248221,5674737,5908195,6265541,6426056,6862163,7229800,7431604,7941170,8392371,8581696,8873352,9314832,9745920,10455399,11291827,12060476,12821372,14097477,14675181,16258816,17711369,19028583,21354648,22670086,25164147,27335703,30281786,33461984,37121214,40308665,44760393,47636612,51981907,57854169,61704968,65040748,68048160,72752330,77648964,81134016,85475545,91028985,95034250,100521661,105617367,111239400,117481386,122845374,127441635,136189932,140912531,147590182,154872922,163608443,167661268,176593908,184005458,195270477,197477433,202187628,208237172,217573986,216900153,223920846,230119735,237097881,244067942,256236646,266044224,288925054,307449786,313150613
 "29000","Missouri",4,SAINC50,20,"...","Population (persons) 1/","Number of persons",3844000,3882000,3964000,4015000,3972000,4020000,4066000,4134000,4163000,4189000,4186000,4258000,4326000,4349000,4357000,4392000,4442000,4467000,4523000,4539000,4568000,4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996166,6011569,6026727,6044003,6060459,6077057,6093349,6113669,6128594,6143406,6153998,6169823,6177957
 "29000","Missouri",4,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1378,1332,1438,1574,1682,1763,1756,1849,1937,1980,2109,2196,2226,2289,2407,2505,2616,2828,2993,3174,3492,3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9374,10438,11166,11889,13086,13940,14608,15232,16147,17258,17917,18580,19566,20247,21271,22201,23270,24469,25506,26281,27857,28634,29144,30054,31396,32256,33860,35228,37124,36306,36984,38402,39983,40121,41380,42677,43826,44781,46680,48401,52095,56073,57818
 "29000","Missouri",4,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1266,1227,1324,1413,1487,1559,1580,1660,1737,1774,1897,1971,1984,2040,2138,2219,2354,2528,2666,2825,3086,3163,3471,3750,4003,4473,4737,5248,5667,6250,6869,7592,8190,9075,9664,10515,11628,12340,12948,13457,14316,15238,15819,16530,17448,18029,18879,19638,20480,21434,22247,22913,24288,24979,26008,27126,28465,28956,30225,31253,32963,33128,33719,34639,36102,35887,36948,37867,38911,39922,41810,43306,46949,49831,50688
 "29000","Missouri",4,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",431030,409205,451609,645056,772216,821455,713859,783463,835212,864442,887586,957863,1047986,1081928,1173910,1256396,1164223,1342990,1475288,1586075,1852397,2237304,2220666,2227544,2653641,2735002,3104639,3048568,3576321,3970615,4667751,5393048,5829874,6719372,7407217,6794986,7250812,7999072,8338384,8977292,9304807,10292771,10762528,10599480,11049081,11689155,12734955,13782444,15154757,16636411,17994316,18730818,20012197,20618660,17799619,16720256,16845324,19109654,21240217,23405882,24651522,18947017,19572579,22621106,23393768,25592856,26862902,29230249,29950689,29706253,29847659,31304847,31667802,38511423,44044129
 "29000","Missouri",4,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",400254,369647,411011,603720,729081,773830,659648,721086,765650,788091,807086,856813,929837,942473,1008716,1106933,978061,1126000,1237284,1364149,1599580,1942331,1906546,1862048,2197024,2196946,2580925,2502452,2984570,3336674,3974094,4586670,4965150,5744006,6322454,5625798,5917752,6539566,6796454,7318623,7255058,8117921,8320976,8286110,8563829,9083715,9811567,10501601,11650226,12780583,13882264,14455088,15654225,15932723,13408102,12327724,12245259,14060653,15661289,17477883,18497318,13503561,14282174,16852376,17291100,19118765,20272837,22086436,22713912,22230639,22235069,23325700,23786415,29082851,33765182
 "29000","Missouri",4,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",400254,369647,411011,603720,729081,773830,659648,721086,765650,788091,807086,856813,929837,942473,1008716,1106933,978061,1126000,1237284,1364149,1599580,1942331,1906546,1862048,2197024,2196946,2580925,2502452,2984570,3336674,3974094,4586670,4965150,5744006,6322454,5625798,5917752,6539566,6796454,7318623,7255058,8117921,8320976,8286110,8563829,9083715,9811567,10501601,11650226,12780583,13882264,14455088,15654225,15932723,13408102,12327724,12245259,14060653,15661289,17477883,18497318,13503561,14282174,16852376,17291100,19118765,20272837,22086436,22713912,22230639,22235069,23325700,23786415,29082851,33765182
 "29000","Missouri",4,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",442041,422182,451386,645646,779633,836907,731015,794044,842244,867198,892594,949528,1024977,1047695,1119092,1225373,1107761,1227306,1363111,1526311,1790447,2145849,2174268,2156267,2490391,2646725,3039243,3162598,3528503,3925285,4607424,5241438,5791239,6662456,7372587,6825246,7182176,7854405,8151144,8622655,8633136,9411414,9720748,9781712,10032240,10469617,11226081,12087517,13328614,14551167,15756802,16802565,18177092,18659267,16703980,15580916,15624549,17315828,19162453,21149185,23503102,18242640,18676801,20840123,21346499,23137127,24344431,26190174,27019971,26690886,26959503,27629542,28084571,34146375,38541554
