GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1655497,1481714,1697140,1872430,1981064,2009235,1952930,2203088,2245737,2272115,2462146,2726403,2763849,2996917,3132456,3442364,3563335,3868601,4217350,4563380,4993314,5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636703,18102701,20328860,21461818,22457971,24513876,25814984,26776347,28256068,30286055,32710737,34436460,36310810,39042558,41568620,44969477,47565152,50455345,53370558,56581064,58494432,61604859,65064052,66326193,69011943,73054919,77634967,80835682,86186957,90602512,89414013,92714361,96643444,99732847,101472085,103442732,104772168,106355488,109132813,111917844,116256330,125760516,137381666,136330235
 "28000","Mississippi",5,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",74636,67430,75462,102550,117712,116344,112935,118480,140892,141311,151309,182801,201659,196321,229933,257140,241248,273382,328681,351979,410439,480724,550144,515610,687550,739951,901240,826077,1036055,1121709,1397579,1635842,1788634,2141126,1917953,2086639,2168486,2295194,2272598,2483873,2555542,2908891,3069674,3092919,3291223,3618223,4048290,4354600,4756039,5142820,5547362,5765738,5945820,6221981,5426414,5271698,4987334,5775222,6760545,7109348,7772304,6115920,6865959,7105206,7506175,8181482,8289631,8764139,9006218,8749346,8446831,9022975,9135662,10987616,12348030
 "28000","Mississippi",5,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",1580861,1414284,1621678,1769880,1863352,1892891,1839995,2084608,2104845,2130804,2310837,2543602,2562190,2800596,2902523,3185224,3322087,3595219,3888669,4211401,4582875,5059951,5526858,6221463,6989854,8039088,8746851,9636765,10841556,12100498,13324032,15000861,16314067,18187734,19543865,20371332,22345390,23519790,24503749,25772195,27730513,29801846,31366786,33217891,35751335,37950397,40921187,43210552,45699306,48227738,51033702,52728694,55659039,58842071,60899779,63740245,68067585,71859745,74075137,79077609,82830208,83298093,85848402,89538238,92226672,93290603,95153101,96008029,97349270,100383467,103471013,107233355,116624854,126394050,123982205
 "28000","Mississippi",5,SAINC50,20,"...","Population (persons) 1/","Number of persons",2076000,2085000,2176000,2163000,2152000,2105000,2064000,2060000,2086000,2088000,2086000,2138000,2182000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970366,2977897,2982342,2986574,2987621,2984959,2984317,2983393,2974618,2968981,2958141,2949586,2940057
 "28000","Mississippi",5,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",797,711,780,866,921,955,946,1069,1077,1088,1180,1275,1267,1359,1397,1534,1590,1722,1879,2048,2250,2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6634,7168,8007,8394,8746,9509,9974,10324,10916,11737,12707,13353,13973,14881,15656,16724,17470,18360,19219,20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34624,35100,35638,36580,37624,39157,42513,46577,46370
 "28000","Mississippi",5,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",761,678,745,818,866,899,891,1012,1009,1021,1108,1190,1174,1270,1294,1419,1482,1601,1732,1890,2065,2279,2488,2746,3029,3421,3677,4015,4461,4919,5355,5981,6460,7163,7644,7934,8668,9088,9448,9956,10747,11577,12163,12782,13626,14293,15218,15871,16630,17367,18195,18643,19541,20625,21303,22222,23561,24729,25499,27004,28099,28153,28902,30068,30924,31237,31849,32164,32620,33647,34785,36118,39425,42851,42170
 "28000","Mississippi",5,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",74636,67430,75462,102550,117712,116344,112935,118480,140892,141311,151309,182801,201659,196321,229933,257140,241248,273382,328681,351979,410439,480724,550144,515610,687550,739951,901240,826077,1036055,1121709,1397579,1635842,1788634,2141126,1917953,2086639,2168486,2295194,2272598,2483873,2555542,2908891,3069674,3092919,3291223,3618223,4048290,4354600,4756039,5142820,5547362,5765738,5945820,6221981,5426414,5271698,4987334,5775222,6760545,7109348,7772304,6115920,6865959,7105206,7506175,8181482,8289631,8764139,9006218,8749346,8446831,9022975,9135662,10987616,12348030
 "28000","Mississippi",5,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",63464,55081,62633,88877,102912,100936,97593,102371,122674,121733,131197,156048,172800,165790,197123,222523,205218,235189,288430,310017,366451,419481,471652,430995,588467,624481,772997,692162,882395,939974,1180356,1389062,1569919,1883579,1654597,1789523,1821721,1951753,1917257,2089333,2110858,2408163,2534869,2534940,2657801,2886525,3244829,3504607,3845875,4186637,4498403,4616495,4775793,5037587,4247455,3982728,3738216,4360297,5274956,5542089,5990809,4454377,5261074,5402332,5648564,6155356,6306443,6677014,6935261,6672452,6321605,6698064,6745429,8246430,9533508
 "28000","Mississippi",5,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",63464,55081,62633,88877,102912,100936,97593,102371,122674,121733,131197,156048,172800,165790,197123,222523,205218,235189,288430,310017,366451,419481,471652,430995,588467,624481,772997,692162,882395,939974,1180356,1389062,1569919,1883579,1654597,1789523,1821721,1951753,1917257,2089333,2110858,2408163,2534869,2534940,2657801,2886525,3244829,3504607,3845875,4186637,4498403,4616495,4775793,5037587,4247455,3982728,3738216,4360297,5274956,5542089,5990809,4454377,5261074,5402332,5648564,6155356,6306443,6677014,6935261,6672452,6321605,6698064,6745429,8246430,9533508
 "28000","Mississippi",5,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",69999,63377,68672,95241,110354,109857,106950,113025,133567,134274,144410,171003,190165,185846,217503,246775,233229,258444,317755,352483,416706,474261,540011,515400,669541,764276,926126,924937,1127975,1197030,1467980,1698395,1997678,2326413,2185645,2308394,2415002,2564047,2548990,2691308,2842331,3166177,3252229,3327682,3466794,3639916,4007796,4377140,4798172,5215810,5593107,5924448,6185510,6537590,5941798,5676699,5491071,6104878,7279364,7604377,8739643,6963599,7784814,7899073,8054309,8428103,8506254,8863061,9233524,8954018,8774302,8959185,8989995,10795118,11937660
